,title,link
0,"Alpino Health Foods, a Shark Tank Brand, Raises Funds through Revenue Based Financing before its Seed Round",https://www.newsvoir.com/release/alpino-health-foods-a-shark-tank-brand-raises-funds-through-revenue-based-financing-before-its-seed-round-19697.html
1,NIVEA India Ranked as India's No. 1 Trusted Brand in the Skin Care Category in 2022 by TRA,https://www.newsvoir.com/release/nivea-india-ranked-as-india-s-no-1-trusted-brand-in-the-skin-care-category-in-2022-by-tra-19698.html
2,GROHE and Hurun India Launch 'Builders of Tomorrow',https://www.newsvoir.com/release/grohe-and-hurun-india-launch-builders-of-tomorrow-19690.html
3,"Hafele Launches Strong, Versatile and Creatively Workable Terra Quartz Surfaces for Wide Array of Home Applications",https://www.newsvoir.com/release/hafele-launches-strong-versatile-and-creatively-workable-terra-quartz-surfaces-for-wide-array-of-home-applications-19691.html
4,10 Nahi 40 to have a Direct OTT Release,https://www.newsvoir.com/release/10-nahi-40-to-have-a-direct-ott-release-19689.html
5,"A&W Capital Acts as the Exclusive Financial Advisor to KukuFM for its Series B Fund Raise of USD 19.5 Million Led by Krafton
",https://www.newsvoir.com/release/a-w-capital-acts-as-the-exclusive-financial-advisor-to-kukufm-for-its-series-b-fund-raise-of-usd-19-5-million-led-by-krafton-19688.html
6,Dia Mirza Graces iDiva's March Cover,https://www.newsvoir.com/release/dia-mirza-graces-idivas-march-cover-19684.html
7,MVM London Welcomes Divine for a Very First Time in the UK for a Magical Musical Night,https://www.newsvoir.com/release/mvm-london-welcomes-divine-for-a-very-first-time-in-the-uk-for-a-magical-musical-night-19681.html
8,3 in 10 Women Consider Buying Insurance as an Important Step towards being Financially Independent - Study Conducted by SBI General Insurance,https://www.newsvoir.com/release/3-in-10-women-consider-buying-insurance-as-an-important-step-towards-being-financially-independent-study-conducted-by-sbi-general-insurance-19676.html
9,ICICI Lombard Launches 'BeFit Cover' Digital Campaign,https://www.newsvoir.com/release/icici-lombard-launches-befit-cover-digital-campaign-19668.html
10,Oiva Moves for D2C Segment; Aims 100 Channel Partners with its Affordable and Premium Range,https://www.newsvoir.com/release/oiva-moves-for-d2c-segment-aims-100-channel-partners-with-its-affordable-and-premium-range-19663.html
11,Socomec India Unveils New Website to Mark its 100th Anniversary,https://www.newsvoir.com/release/socomec-india-unveils-new-website-to-mark-its-100th-anniversary-19671.html
12,Embrace Love with Amore Intimo at Hilton Goa Resort,https://www.newsvoir.com/release/embrace-love-with-amore-intimo-at-hilton-goa-resort-19666.html
13,"On the Account of International Women's Day, ICICI Lombard Introduces 'RIA', Intelligent Virtual Assistant ",https://www.newsvoir.com/release/on-the-account-of-international-women-apos-s-day-icici-lombard-introduces-ria-intelligent-virtual-assistant-19667.html
14,Bollyboom in Association with SteppinOut by Dineout Announces the 'Farhan Live India Tour 2022' with Farhan Akhtar,https://www.newsvoir.com/release/bollyboom-in-association-with-steppinout-by-dineout-announces-the-farhan-live-india-tour-2022-with-farhan-akhtar-19640.html
15,Aditya Birla Sun Life Insurance and Bharat Co-operative Bank (Mumbai) Ltd. Ink Bancassurance Partnership,https://www.newsvoir.com/release/aditya-birla-sun-life-insurance-and-bharat-co-operative-bank-mumbai-ltd-ink-bancassurance-partnership-19665.html
16,Soothe Healthcare Cracking New Grounds After Six Months of Raising Funds; Clocks 2X Growth,https://www.newsvoir.com/release/soothe-healthcare-cracking-new-grounds-after-six-months-of-raising-funds-clocks-2x-growth-19662.html
17,Conrad Maldives Rangali Island Unveils First Look Following Expansive Multi-million Dollar Renovation,https://www.newsvoir.com/release/conrad-maldives-rangali-island-unveils-first-look-following-expansive-multi-million-dollar-renovation-19657.html
18,Announcing Colive Venus2022 with Rs. 25 Lakhs of Stay Scholarships for Female Students and Women Entrepreneurs,https://www.newsvoir.com/release/announcing-colive-venus2022-with-rs-25-lakhs-of-stay-scholarships-for-female-students-and-women-entrepreneurs-19652.html
19,OYO's Women-only Hackathon 'WomenInCtrl' to Improve Gender Diversity in Tech,https://www.newsvoir.com/release/oyos-women-only-hackathon-apos-womeninctrl-apos-to-improve-gender-diversity-in-tech-19654.html
20,"Ashok Leyland Strengthens its Presence in Karnataka, Opens 4 Dealerships in the State",https://www.newsvoir.com/release/ashok-leyland-strengthens-its-presence-in-karnataka-opens-4-dealerships-in-the-state-19649.html
21,Molitics Infomedia Raised Funding from SAAMAG Group,https://www.newsvoir.com/release/molitics-infomedia-raised-funding-from-saamag-group-19648.html
22,Get Naturally High this Holi with Refreshing Healthy Smoothies by Drunken Monkey,https://www.newsvoir.com/release/get-naturally-high-this-holi-with-refreshing-healthy-smoothies-by-drunken-monkey-19647.html
23,Bajaj Finance Fixed Deposit can Empower the Women of Tomorrow,https://www.newsvoir.com/release/bajaj-finance-fixed-deposit-can-empower-the-women-of-tomorrow-19645.html
24,"Zoya's Marquee Collection Aeterna is An Ode to Infinite Feminine Energy
",https://www.newsvoir.com/release/zoyas-marquee-collection-aeterna-is-an-ode-to-infinite-feminine-energy-19565.html
25,"Infallible Pharma Bullish on Indian Market, Targets Rs. 1000 Crore Revenue in Next Five Years",https://www.newsvoir.com/release/infallible-pharma-bullish-on-indian-market-targets-rs-1000-crore-revenue-in-next-five-years-19642.html
26,Women's Day 2022: Here's How California Walnuts May Help you Achieve your Health Goals,https://www.newsvoir.com/release/womens-day-2022-heres-how-california-walnuts-may-help-you-achieve-your-health-goals-19638.html
27,Gomaads Exhibited Range of Lifestyle Products in Concrete,https://www.newsvoir.com/release/gomaads-exhibited-range-of-lifestyle-products-in-concrete-19637.html
28,Truecaller Encourages Women to CallItOut with ItsNotOk Campaign,https://www.newsvoir.com/release/truecaller-encourages-women-to-callitout-with-itsnotokay-campaign-19635.html
29,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Bangladesh,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-bangladesh-19636.html
30,"Sonalika Publications Launches ""Tales of Different Tails"" Book Series; Celebrates the Fun-filled Way of Learning and Living with a Splash of 'Monkeyness'",https://www.newsvoir.com/release/sonalika-publications-launches-tales-of-different-tails-book-series-celebrates-the-fun-filled-way-of-learning-and-living-with-a-splash-of-monkeyness-19634.html
31,"Techlutions is Delighted to Announce the Launch of ""SCORE""",https://www.newsvoir.com/release/techlutions-is-delighted-to-announce-the-launch-of-quot-score-quot-19619.html
32,"Birla Century's Home Division Ventures into Home Bedding Segment with the Launch of Hill & Glade
",https://www.newsvoir.com/release/birla-centurys-home-division-ventures-into-home-bedding-segment-with-the-launch-of-hill-glade-19632.html
33,Rise Infraventures Targets 300 Crore of Sales with Delhi Office,https://www.newsvoir.com/release/rise-infraventures-targets-300-crore-of-sales-with-delhi-office-19630.html
34,Lexar Professional CFexpress Type-B Card Wins Photography News 'Best Memory Card – Editor's Choice' Award,https://www.newsvoir.com/release/lexar-professional-cfexpress-type-b-card-wins-photography-news-best-memory-card-editor-s-choice-award-19629.html
35,Iconic Red Gold Tomatoes from Europe Launches its Promotional Campaign in India,https://www.newsvoir.com/release/iconic-red-gold-tomatoes-from-europe-launches-its-promotional-campaign-in-india-19613.html
36,Anand Hearing Sound Center; a Professionally Managed Healthcare Clinic for Hearing Impaired Inaugurated at Delhi,https://www.newsvoir.com/release/anand-hearing-sound-center-a-professionally-managed-healthcare-clinic-for-hearing-impaired-inaugurated-at-delhi-19621.html
37,Celebrities Dazzle in Platinum Jewellery at the 28th Annual Screen Actors Guild Awards ,https://www.newsvoir.com/release/celebrities-dazzle-in-platinum-jewellery-at-the-28th-annual-screen-actors-guild-awards-19618.html
38,"PRAMA's First Brand Store in India Opens in Bhavnagar, Gujarat",https://www.newsvoir.com/release/pramas-first-brand-store-in-india-opens-in-bhavnagar-gujarat-19616.html
39,Recenturesoft Launches WorkTrackZilla: A Modern Employee Monitoring Software for Work From Home Employees,https://www.newsvoir.com/release/recenturesoft-launches-worktrackzilla-a-modern-employee-monitoring-software-for-work-from-home-employees-19609.html
40,Newsblare Launches First Magazine on COVID-19 Pandemic,https://www.newsvoir.com/release/newsblare-launches-first-magazine-on-covid-19-pandemic-19610.html
41,"California Walnuts Launches Global ""Power of 3"" Campaign to Address Importance of Omega-3 Consumption",https://www.newsvoir.com/release/california-walnuts-launches-global-quot-power-of-3-quot-campaign-to-address-importance-of-omega-3-consumption-19608.html
42,CoSoSys Launches Advanced Content Detection and Integrations with the Release of Endpoint Protector 5.5.0.0 in India,https://www.newsvoir.com/release/cososys-launches-advanced-content-detection-and-integrations-with-the-release-of-endpoint-protector-5-5-0-0-in-india-19603.html
43,Dangal TV becomes No. 4 Channel in India Across GECs,https://www.newsvoir.com/release/dangal-tv-becomes-no-4-channel-in-india-across-gecs-19601.html
44,Loop Rebrands with a New Ad Campaign Featuring Kunal Kapoor,https://www.newsvoir.com/release/loop-rebrands-with-a-new-ad-campaign-featuring-kunal-kapoor-19602.html
45,"Ginglani Distillers raises Rs. 6.6 Crores in its Pre-Series-A Round led by Supermorpheus, Eagle10 Ventures and Grand Anicut Angel Fund",https://www.newsvoir.com/release/ginglani-distillers-raises-rs-6-6-crores-in-its-pre-series-a-round-led-by-supermorpheus-eagle10-ventures-and-grand-anicut-angel-fund-19600.html
46,How Bajaj Finance Fixed Deposit can Help in Growing your Money,https://www.newsvoir.com/release/how-bajaj-finance-fixed-deposit-can-help-in-growing-your-money-19598.html
47,"TimesPro Consulting - A New Face to Believe for your Real Estate Investment in Delhi NCR
",https://www.newsvoir.com/release/timespro-consulting-a-new-face-to-believe-for-your-real-estate-investment-in-delhi-ncr-19597.html
48,Krystle D'Souza Redefines 'Stay at Home' Fashion with Clovia's Trendy Nightwear Collection,https://www.newsvoir.com/release/krystle-dsouza-redefines-stay-at-home-fashion-with-clovias-trendy-nightwear-collection-19594.html
49,The 5 Best Places to Install a FritsJurgens Pivot Door in your Home by Hafele,https://www.newsvoir.com/release/the-5-best-places-to-install-a-fritsjurgens-pivot-door-in-your-home-by-hafele-19592.html
50,SATYA MicroCapital to Raise More Funding up to USD 22 Mn for Future Growth,https://www.newsvoir.com/release/satya-microcapital-to-raise-more-funding-up-to-usd-22-mn-for-future-growth-19590.html
51,Raksha4U brings the Boon of 'JugJugJiyo' with its New Campaign,https://www.newsvoir.com/release/raksha4u-brings-the-boon-of-apos-jugjugjiyo-apos-with-its-new-campaign-19570.html
52,Coronary Laser Angioplasty Saves Life of a 58 Year Aged Man at Kauvery Hospital,https://www.newsvoir.com/release/coronary-laser-angioplasty-saves-life-of-a-58-year-aged-man-at-kauvery-hospital-19591.html
53,"EventScape Announces India's First Community For Independent Filmmakers to Host, Ticket, Stream and Engage their Audiences
",https://www.newsvoir.com/release/eventscape-announces-india-s-first-community-for-independent-filmmakers-to-host-ticket-stream-and-engage-their-audiences-19581.html
54,MAXHUB Instates Hybrid Learning Solutions in Educational Institutes Across India,https://www.newsvoir.com/release/maxhub-instates-hybrid-learning-solutions-in-educational-institutes-across-india-19588.html
55,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Latin America,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-latin-america-19587.html
56,New Captain in Town: Vinay Pratap Singh Joins as the Business Head at Massimo Batteries,https://www.newsvoir.com/release/new-captain-in-town-vinay-pratap-singh-joins-as-the-business-head-at-massimo-batteries-19584.html
57,Wigwam Ropes in Kartik Aaryan as Brand Ambassador,https://www.newsvoir.com/release/wigwam-ropes-in-kartik-aaryan-as-brand-ambassador-19366.html
58,TreeHouse Education Addressing the Post-pandemic Learning Gaps through Special Modules,https://www.newsvoir.com/release/treehouse-education-addressing-the-post-pandemic-learning-gaps-through-special-modules-19571.html
59,Brinton Cracks Strategic Alliance with Scholl Wellness Company,https://www.newsvoir.com/release/brinton-cracks-strategic-alliance-with-scholl-wellness-company-19578.html
60,Crack Open Goodness with California Pistachios on World Pistachio Day,https://www.newsvoir.com/release/crack-open-goodness-with-california-pistachios-on-world-pistachio-day-19573.html
