,title,link
0,"Following the Digital Dream: AgFarm, A Dubai Based Agrochemical Company, Launched in India",https://www.newsvoir.com/release/following-the-digital-dream-agfarm-a-dubai-based-agrochemical-company-launched-in-india-19695.html
1,OrgFarm - Empowering Rural Women Drive Economic Growth,https://www.newsvoir.com/release/orgfarm-empowering-rural-women-drive-economic-growth-19660.html
2,India's Agriculture and Allied Sector Demonstrates its Prowess at EXPO2020 Dubai,https://www.newsvoir.com/release/india-s-agriculture-and-allied-sector-demonstrates-its-prowess-at-expo2020-dubai-19611.html
3,"Best Agrolife Ltd. Acquires Another Patent for Herbicidal Composition, Resourceful in Preventing Narrow-leaved, Broad-leaved Weed and Sedges Attack",https://www.newsvoir.com/release/best-agrolife-ltd-acquires-another-patent-for-herbicidal-composition-resourceful-in-preventing-narrow-leaved-broad-leaved-weed-and-sedges-attack-19563.html
4,"Solis Yanmar Launches its Globally Acclaimed YM3 Series Tractors in India, Powered by Un-paralleled Japanese Engine Technology and Unique Features",https://www.newsvoir.com/release/solis-yanmar-launches-its-globally-acclaimed-ym3-series-tractors-in-india-powered-by-un-paralleled-japanese-engine-technology-and-unique-features-19512.html
5,India Showcases Digital Agriculture Ecosystem at EXPO2020,https://www.newsvoir.com/release/india-showcases-digital-agriculture-ecosystem-at-expo2020-19504.html
6,Organic India Felicitates the Heroes of Indian Agriculture with Dharti Mitr Award at the Dadasaheb Phalke International Film Festival 2022,https://www.newsvoir.com/release/organic-india-felicitates-the-heroes-of-indian-agriculture-with-dharti-mitr-award-at-the-dadasaheb-phalke-international-film-festival-2022-19474.html
7,"Rhiti Group and EST Global Inc. Collaborate to Spearhead New-age AgriTech Solutions

 ",https://www.newsvoir.com/release/rhiti-group-and-est-global-inc-collaborate-to-spearhead-new-age-agritech-solutions-19462.html
8,HarvestPlus Partners with Grameen Foundation India to Empower Women through Inclusive Agriculture Approach,https://www.newsvoir.com/release/harvestplus-partners-with-grameen-foundation-india-to-empower-women-through-inclusive-agriculture-approach-19411.html
9,Best Agrolife Ltd. Bagged the Award for Fastest Growing Company at PMFAI-SML Annual Agchem Awards 2022,https://www.newsvoir.com/release/best-agrolife-ltd-bagged-the-award-for-fastest-growing-company-at-pmfai-sml-annual-agchem-awards-2022-19412.html
10,India Pavilion to Exhibit Global Investment Opportunities in Agriculture and Allied Sectors at EXPO2020,https://www.newsvoir.com/release/india-pavilion-to-exhibit-global-investment-opportunities-in-agriculture-and-allied-sectors-at-expo2020-19409.html
11,Best Agrolife Limited to be the First Agrochemical Company in India to Manufacture Spiromesifen Technical,https://www.newsvoir.com/release/best-agrolife-limited-to-be-the-first-agrochemical-company-in-india-to-manufacture-spiromesifen-technical-19359.html
12,Best Agrolife Ltd. Starts Production in its Subsidiary Unit Seedling India Pvt. Ltd.,https://www.newsvoir.com/release/best-agrolife-ltd-starts-production-in-its-subsidiary-unit-seedling-india-pvt-ltd-19294.html
13,BAL Reports Consolidated Q3 Revenue of Rs. 232.5 Cr. a YOY Growth of 310 Percent and PAT at Rs. 15.5 Cr. a YOY Growth at 465 Percent,https://www.newsvoir.com/release/bal-reports-consolidated-q3-revenue-of-rs-232-5-cr-a-yoy-growth-of-310-percent-and-pat-at-rs-15-5-cr-a-yoy-growth-at-465-percent-19150.html
14,"Indian Consumers Embrace South African Apples and Pears, 2021 Ends on a Great Note for Hortgro India",https://www.newsvoir.com/release/indian-consumers-embrace-south-african-apples-and-pears-2021-ends-on-a-great-note-for-hortgro-india-19109.html
15,USA Dry Pea and Lentil Council Welcomes 2022 with a Focus on Sustainability,https://www.newsvoir.com/release/usa-dry-pea-and-lentil-council-welcomes-2022-with-a-focus-on-sustainability-19095.html
16,Gradual Shift towards the Implementation of Green Practices,https://www.newsvoir.com/release/gradual-shift-towards-the-implementation-of-green-practices-19083.html
17,"Sonalika Records Overall Tractor Sales of 1,05,250; Crosses 1 Lakh Sales Mark in Just 9 Months of FY'22",https://www.newsvoir.com/release/sonalika-records-overall-tractor-sales-of-1-05-250-crosses-1-lakh-sales-mark-in-just-9-months-of-fy-22-19046.html
18,StoreHippo Facilitates New-Age Agritech Brands with Cutting-Edge Solutions,https://www.newsvoir.com/release/storehippo-facilitates-new-age-agritech-brands-with-cutting-edge-solutions-19027.html
19,"Pune Based Agritech Startup Bharat Krushi Seva Came up with Comprehensive Solution to Empower Farmers
",https://www.newsvoir.com/release/pune-based-agritech-startup-bharat-krushi-seva-came-up-with-comprehensive-solution-to-empower-farmers-18873.html
20,Savour the Flavour with Scrumptious Delicacies of U.S. Duck and Turkey,https://www.newsvoir.com/release/savour-the-flavour-with-scrumptious-delicacies-of-u-s-duck-and-turkey-18894.html
21,Dhaanvi - A First-of-its-kind Farmland Focused on Creating Farm Experiences for Children,https://www.newsvoir.com/release/dhaanvi-a-first-of-its-kind-farmland-focused-on-creating-farm-experiences-for-children-18902.html
22,"For the Love of Nature (FTLON) - Launches a Green Initiative ""Experience Centre""",https://www.newsvoir.com/release/for-the-love-of-nature-ftlon-launches-a-green-initiative-experience-centre-18839.html
23,Sonalika Launches CRDs Technology in Tiger DI 75 4WD at an Introductory Price Range of Rs. 11-11.2 Lacs,https://www.newsvoir.com/release/sonalika-launches-crds-technology-in-tiger-di-75-4wd-at-an-introductory-price-range-of-rs-11-11-2-lacs-18831.html
24,Organic India Sets Stage for Dharti Mitr Awards 2021; Receives over 100+ Nominations from Farmers across the Country,https://www.newsvoir.com/release/organic-india-sets-stage-for-dharti-mitr-awards-2021-receives-over-100-nominations-from-farmers-across-the-country-18821.html
25,"More than 50 percent of FPOs are Potentially Viable and Efficient: MD, SFAC",https://www.newsvoir.com/release/more-than-50-percent-of-fpos-are-potentially-viable-and-efficient-md-sfac-18727.html
26,"Marwari Catalysts in Association with ACIC Vivekananda Global University Invites Applications for its Accelerator Cohort Program, Exclusively for AgriTech Startups",https://www.newsvoir.com/release/marwari-catalysts-in-association-with-acic-vivekananda-global-university-invites-applications-for-its-accelerator-cohort-program-exclusively-for-agritech-startups-18704.html
27,Sonalika Clocks Highest ever November Overall Estimated Market Share of 16 percent with 1.4 percent Market Share Gain,https://www.newsvoir.com/release/sonalika-clocks-highest-ever-november-overall-estimated-market-share-of-16-percent-with-1-4-percent-market-share-gain-18595.html
28,"Grameen Foundation India Launches Initiative to Strengthen Farmer Producer Organizations 
",https://www.newsvoir.com/release/grameen-foundation-india-launches-initiative-to-strengthen-farmer-producer-organizations-18538.html
29,Freshokartz Launched India's First Social Commerce Platform for Farmers,https://www.newsvoir.com/release/freshokartz-launched-india-s-first-social-commerce-platform-for-farmers-18420.html
30,"Sany Steps up CSR Activities, Supplies Excavator for Pond Construction ",https://www.newsvoir.com/release/sany-steps-up-csr-activities-supplies-excavator-for-pond-construction-18413.html
31,"Sonalika Records 17,130 Overall Tractors Sales in Oct'21 to Register 5.5 Percent Growth, Surpassing Industry Growth (Est: 3.6 Percent)",https://www.newsvoir.com/release/sonalika-records-17-130-overall-tractors-sales-in-oct-21-to-register-5-5-percent-growth-surpassing-industry-growth-est-3-6-percent-18283.html
32,Best Agrolife Ltd. Releases Results for 1HY FY22; Revenue of Rs. 668.95 Cr. and PAT Rs. 50.73 Cr. Profit Grow More than 5X,https://www.newsvoir.com/release/best-agrolife-ltd-releases-results-for-1hy-fy22-revenue-of-rs-668-95-cr-and-pat-rs-50-73-cr-profit-grow-more-than-5x-18223.html
33,Farm Asset Management Company Hosachiguru Launch their 20th Managed Farm Plot,https://www.newsvoir.com/release/farm-asset-management-company-hosachiguru-launch-their-20th-managed-farm-plot-18213.html
34,"13th Edition of BIOFACH INDIA 2021 between 28-30 October, 2021 to be Held at IEML, Delhi NCR",https://www.newsvoir.com/release/13th-edition-of-biofach-india-2021-between-28-30-october-2021-to-be-held-at-ieml-delhi-ncr-18170.html
35,"Hatsun Agro Product Ltd. Financial Results for the Quarter Ended September 30, 2021",https://www.newsvoir.com/release/hatsun-agro-product-ltd-financial-results-for-the-quarter-ended-september-30-2021-18081.html
36,"In a Global First, SLCM Launches 'Made in India' QC App for Food Grains",https://www.newsvoir.com/release/in-a-global-first-slcm-launches-made-in-india-qc-app-for-food-grains-18019.html
37,Best Agrolife Ltd. Ranked 15th Among Top Agrochemical Companies in India,https://www.newsvoir.com/release/best-agrolife-ltd-ranked-15th-among-top-agrochemical-companies-in-india-18011.html
38,SettleMint India Concludes Pilot Project with India's Largest Integrated Agri Business Enterprise - ITC Agri Business,https://www.newsvoir.com/release/settlemint-india-concludes-pilot-project-with-india-s-largest-integrated-agri-business-enterprise-itc-agri-business-17949.html
39,CRISIL Research Data on Milk Procurement by Dairy Companies in India,https://www.newsvoir.com/release/crisil-research-data-on-milk-procurement-by-dairy-companies-in-india-17942.html
40,FarmERP's Market Share Expansion with Global Ag-Tech Opportunities ,https://www.newsvoir.com/release/farmerp-s-market-share-expansion-with-global-ag-tech-opportunities-17874.html
41,OrgFarm Receives Award for 'The Fastest Growing Online Organic Superstore in Chennai' by The Times of India,https://www.newsvoir.com/release/orgfarm-receives-award-for-the-fastest-growing-online-organic-superstore-in-chennai-by-the-times-of-india-17859.html
42,"At 30th AGM, Best Agrolife Passes Resolution on Best Crop Science Acquisition",https://www.newsvoir.com/release/at-30th-agm-best-agrolife-passes-resolution-on-best-crop-science-acquisition-17862.html
43,Sonalika Honours Excellence of Indian Farmers; Organises 'Sonalika Krishi Samman Awards 2021' to Acknowledge their Passion and Hard Work,https://www.newsvoir.com/release/sonalika-honours-excellence-of-indian-farmers-organises-sonalika-krishi-samman-awards-2021-to-acknowledge-their-passion-and-hard-work-17686.html
44,Best Agrolife Limited Announces Acquisition of Best Crop Science Pvt. Ltd.,https://www.newsvoir.com/release/best-agrolife-limited-announces-acquisition-of-best-crop-science-pvt-ltd-17576.html
