,title,link
0,DefExpo 2022: Crown Group Defence to Showcase their Capabilities in MRO and Indigenous Manufacturing for Indian Defence Services,https://www.newsvoir.com/release/defexpo-2022-crown-group-defence-to-showcase-their-capabilities-in-mro-and-indigenous-manufacturing-for-indian-defence-services-19582.html
1,Frankfinn Receives the Award for 'Best Air Hostess Training Institute' for 10th Year in a Row at 13th ASSOCHAM International Conference cum Awards,https://www.newsvoir.com/release/frankfinn-receives-the-award-for-apos-best-air-hostess-training-institute-apos-for-10th-year-in-a-row-at-13th-assocham-international-conference-cum-awards-19564.html
2,Auriga Research Expedites COVID Testing at Bengaluru Airport with 50 New Machines and Staff of 250+ Members,https://www.newsvoir.com/release/auriga-research-expedites-covid-testing-at-bengaluru-airport-with-50-new-machines-and-staff-of-250-members-19345.html
3,"SpiceJet Flyers can Now Enjoy a Dolby Atmos Experience 38,000 ft. up in the Sky",https://www.newsvoir.com/release/spicejet-flyers-can-now-enjoy-a-dolby-atmos-experience-38-000-ft-up-in-the-sky-18830.html
4,SpiceJet Receives 2021 'APEX Newcomer of the Year' Award for Cabin Crew App ,https://www.newsvoir.com/release/spicejet-receives-2021-apex-newcomer-of-the-year-award-for-cabin-crew-app-18644.html
5,"Travel Innovations by MakeMyTrip that Promise to Make Travelling Safe, Convenient, Flexible and Hassle-free ",https://www.newsvoir.com/release/travel-innovations-by-makemytrip-that-promise-to-make-travelling-safe-convenient-flexible-and-hassle-free-18535.html
6,Paras Aerospace India Launches Universal UTM from High Lander Israel Enabling BVLOS Missions in India,https://www.newsvoir.com/release/paras-aerospace-india-launches-universal-utm-from-high-lander-israel-enabling-bvlos-missions-in-india-18429.html
7,UPS begins First Direct Flight from India to Europe,https://www.newsvoir.com/release/ups-begins-first-direct-flight-from-india-to-europe-18310.html
8,MakeMyTrip and GO FIRST Join Hands to Launch Exclusive Air Charter Holiday Services to Phuket,https://www.newsvoir.com/release/makemytrip-and-go-first-join-hands-to-launch-exclusive-air-charter-holiday-services-to-phuket-18303.html
9,MakeMyTrip Partners with IndiGo to Launch Exclusive Air Charter Holiday Services to Phuket,https://www.newsvoir.com/release/makemytrip-partners-with-indigo-to-launch-exclusive-air-charter-holiday-services-to-phuket-18285.html
10,"Women in Aviation International (India Chapter) and Lockheed Martin India Celebrate Girls in Aviation Day in Vidya School, Gurugram",https://www.newsvoir.com/release/women-in-aviation-international-india-chapter-and-lockheed-martin-india-celebrate-girls-in-aviation-day-in-vidya-school-gurugram-17979.html
11,Certified Drone Parachutes Launched in India,https://www.newsvoir.com/release/certified-drone-parachutes-launched-in-india-17618.html
12,Lock Flight Fare and Book Later at the Same Price through 'Price Lock' on Goibibo ,https://www.newsvoir.com/release/lock-flight-fare-and-book-later-at-the-same-price-through-price-lock-on-goibibo-17151.html
13,Modair Introduces Sky Adventure Tourism Activities for the First Time in India,https://www.newsvoir.com/release/modair-introduces-sky-adventure-tourism-activities-for-the-first-time-in-india-17141.html
14,"Aptech Aviation Academy Inaugurates a New Centre in Vastrapur, Ahmedabad ",https://www.newsvoir.com/release/aptech-aviation-academy-inaugurates-a-new-centre-in-vastrapur-ahmedabad-17135.html
15,"Honorable Raksha Rajya Mantri, Shri Shripadji Naik Lauds udChalo for Commendable Service to the Defence Fraternity",https://www.newsvoir.com/release/honorable-raksha-rajya-mantri-shri-shripadji-naik-lauds-udchalo-for-commendable-service-to-the-defence-fraternity-16962.html
16,udChalo Appoints Ravi Kumar as Chief Executive Officer ,https://www.newsvoir.com/release/udchalo-appoints-ravi-kumar-as-chief-executive-officer-16798.html
17,"GoAir Lends Support to #BreakTheChain, Reiterates Air Travel is the Safest Mode",https://www.newsvoir.com/release/goair-lends-support-to-breakthechain-reiterates-air-travel-is-the-safest-mode-16337.html
18,Dubai International (DXB) Partners with Magzter to become World's First 'Smart Reading Airport',https://www.newsvoir.com/release/dubai-international-dxb-partners-with-magzter-to-become-world-apos-s-first-apos-smart-reading-airport-apos-16062.html
19,DragonPass Partners with Thriwe India - a B2B Consumer Benefits Marketplace,https://www.newsvoir.com/release/dragonpass-partners-with-thriwe-india-a-b2b-consumer-benefits-marketplace-15978.html
20,CSMIA Releases 5th Edition of its Sustainability Report 2020,https://www.newsvoir.com/release/csmia-releases-5th-edition-of-its-sustainability-report-2020-15666.html
21,Crown Group Takes A leap Towards 'Atmanirbhar' in Defence Sector,https://www.newsvoir.com/release/crown-group-takes-a-leap-towards-apos-atmanirbhar-apos-in-defence-sector-15605.html
22,FSTC to Offer Discounted Rates to Indian CPL Holders for Type Rating Training on A-320 and B-737,https://www.newsvoir.com/release/fstc-to-offer-discounted-rates-to-indian-cpl-holders-for-type-rating-training-on-a-320-and-b-737-14849.html
23,Dr. Mohammed Khan Launches Initiative 'TAKEOFF - A Public - Spirited Motive' to Uphold Calicut Airport ,https://www.newsvoir.com/release/dr-mohammed-khan-launches-initiative-takeoff-a-public-spirited-motive-to-uphold-calicut-airport-14389.html
24,Revival in Air Travel as Restart Feedback Survey Reveals Passengers are Ready to Fly,https://www.newsvoir.com/release/revival-in-air-travel-as-restart-feedback-survey-reveals-passengers-are-ready-to-fly-14334.html
25,Classroom-based Refresher Training for Indian Commercial Pilots to Move On-line,https://www.newsvoir.com/release/classroom-based-refresher-training-for-indian-commercial-pilots-to-move-on-line-14281.html
26,HDFC ERGO to Launch On-demand 'Pay As You Fly' Insurance for Drones with TropoGo,https://www.newsvoir.com/release/hdfc-ergo-to-launch-on-demand-apos-pay-as-you-fly-apos-insurance-for-drones-with-tropogo-14002.html
27,Women in Aviation International (India Chapter) and Lockheed Martin India Advance Stem Education,https://www.newsvoir.com/release/women-in-aviation-international-india-chapter-and-lockheed-martin-india-advance-stem-education-14001.html
