,title,link
0,"Bharat Petroleum to Invest Rs. 3,972 Crore for Development of City Gas Distribution Network in Aurangabad and Ahmednagar",https://www.newsvoir.com/release/bharat-petroleum-to-invest-rs-3-972-crore-for-development-of-city-gas-distribution-network-in-aurangabad-and-ahmednagar-19572.html
1,PM Narendra Modi Calls for Global Alliances to Tackle Climate Change at the World Sustainable Development Summit ,https://www.newsvoir.com/release/pm-narendra-modi-calls-for-global-alliances-to-tackle-climate-change-at-the-world-sustainable-development-summit-19410.html
2,PM Modi to Deliver the Inaugural Address at TERI's World Sustainable Development Summit on Planetary Resilience,https://www.newsvoir.com/release/pm-modi-to-deliver-the-inaugural-address-at-teri-s-world-sustainable-development-summit-on-planetary-resilience-19400.html
3,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
4,Bharat Petroleum to Scale up Renewable Energy Portfolio; Collaborates with Solar Energy Corporation of India Limited,https://www.newsvoir.com/release/bharat-petroleum-to-scale-up-renewable-energy-portfolio-collaborates-with-solar-energy-corporation-of-india-limited-18871.html
5,Spray Engineering Devices Limited Bags National Energy Efficiency Innovation Award-2021,https://www.newsvoir.com/release/spray-engineering-devices-limited-bags-national-energy-efficiency-innovation-award-2021-18810.html
6,"Transparency on Climate Finance and Enhancement of Support are Areas to Build on in the Future, Key COP Negotiators at TERI High-level Discussion",https://www.newsvoir.com/release/transparency-on-climate-finance-and-enhancement-of-support-are-areas-to-build-on-in-the-future-key-cop-negotiators-at-teri-high-level-discussion-18671.html
7,Uranus Collects Over 2.5 Tons of Used Cooking Oil from Hotels in Chennai to Turn it into Biodiesel ,https://www.newsvoir.com/release/uranus-collects-over-2-5-tons-of-used-cooking-oil-from-hotels-in-chennai-to-turn-it-into-biodiesel-18522.html
8,MOEFCC Secretary Launches COP26 Charter of Actions Prepared by TERI in Glasgow ,https://www.newsvoir.com/release/moefcc-secretary-launches-cop26-charter-of-actions-prepared-by-teri-in-glasgow-18302.html
9,EKI Energy Reported H1 FY2022 Revenues of Rs. 637 Crores,https://www.newsvoir.com/release/eki-energy-reported-h1-fy2022-revenues-of-rs-637-crores-18237.html
10,"Mr. Ashish Khanna, President - Renewables, Tata Power has been Recognized as One of the Meaningful Business 100 (MB100) Leaders for the Year 2021 by Meaningful Business",https://www.newsvoir.com/release/mr-ashish-khanna-president-renewables-tata-power-has-been-recognized-as-one-of-the-meaningful-business-100-mb100-leaders-for-the-year-2021-by-meaningful-business-18198.html
11,"India can Halve Electricity Costs and Reach Net Zero before 2050, According to New Report from Wartsila",https://www.newsvoir.com/release/india-can-halve-electricity-costs-and-reach-net-zero-before-2050-according-to-new-report-from-wartsila-17939.html
12,"Nagaur City is Ready for Any Further Health Hazard with an Upgraded Healthcare System, Installs New Oxygen Plant in the City",https://www.newsvoir.com/release/nagaur-city-is-ready-for-any-further-health-hazard-with-an-upgraded-healthcare-system-installs-new-oxygen-plant-in-the-city-17508.html
13,"Aditya Thackeray Inaugurates Power Bank's EV Charging Hub in Kohinoor Mills, Mumbai",https://www.newsvoir.com/release/aditya-thackeray-inaugurates-power-bank-s-ev-charging-hub-in-kohinoor-mills-mumbai-17384.html
14,Stovekraft makes Sustainability the Focus by going Solar,https://www.newsvoir.com/release/stovekraft-makes-sustainability-the-focus-by-going-solar-17313.html
15,Vedanta Aluminium becomes India's Largest Green Power Purchaser,https://www.newsvoir.com/release/vedanta-aluminium-becomes-india-s-largest-green-power-purchaser-17222.html
16,Blue Planet Secures Hat-trick with the Acquisition of Qube Renewables Ltd.,https://www.newsvoir.com/release/blue-planet-secures-hat-trick-with-the-acquisition-of-qube-renewables-ltd-16707.html
17,UAE Announces Offer to Host COP 28,https://www.newsvoir.com/release/uae-announces-offer-to-host-cop-28-16562.html
18,Grinntech Emerges a Winner in the NXP India Start-up Challenge,https://www.newsvoir.com/release/grinntech-emerges-a-winner-in-the-nxp-india-start-up-challenge-16390.html
19,IEC's Path-breaking Waste-To-Energy Technologies to become a Game-changer in Solid Waste Management Sector,https://www.newsvoir.com/release/iec-apos-s-path-breaking-waste-to-energy-technologies-to-become-a-game-changer-in-solid-waste-management-sector-16167.html
