,title,link
0,NEWJ Jumps 10 Spots in Top Global Digital First Publishers by Tubular Inc; Now Ranks at the 25th position ,https://www.newsvoir.com/release/newj-jumps-10-spots-in-top-global-digital-first-publishers-by-tubular-inc-now-ranks-at-the-25th-position-18935.html
1,Drools Collaborates with Chef Sanjeev Kapoor and Chef Vikas Khanna to Introduce Gourmet Bites for Pets,https://www.newsvoir.com/release/drools-collaborates-with-chef-sanjeev-kapoor-and-chef-vikas-khanna-to-introduce-gourmet-bites-for-pets-18797.html
2,Winners of the Nature inFocus Photography and Film Contest 2021,https://www.newsvoir.com/release/winners-of-the-nature-infocus-photography-and-film-contest-2021-18478.html
3,World Animal Protection Renews Call to Ban Wildlife Trade to Prime Minister,https://www.newsvoir.com/release/world-animal-protection-renews-call-to-ban-wildlife-trade-to-prime-minister-18224.html
4,Captain Zack Celebrated 4th Anniversary by Unveiling Brand New Pupcake Mixes,https://www.newsvoir.com/release/captain-zack-celebrated-4th-anniversary-by-unveiling-brand-new-pupcake-mixes-18010.html
5,Proteon Pharma to Focus on Development of Bacteriophages as a Sustainable Alternative to Antibiotics in Poultry Industry,https://www.newsvoir.com/release/proteon-pharma-to-focus-on-development-of-bacteriophages-as-a-sustainable-alternative-to-antibiotics-in-poultry-industry-17997.html
6,Natural Remedies Launches Kamdhenu to Help Cows Recover Post Calving,https://www.newsvoir.com/release/natural-remedies-launches-kamdhenu-to-help-cows-recover-post-calving-17762.html
7,Licious Commits to Chicken Welfare while Global QSRs Still Lag in India,https://www.newsvoir.com/release/licious-commits-to-chicken-welfare-while-global-qsrs-still-lag-in-india-17578.html
8,Wiggles.in Expands its Product Portfolio with the Launch of Category Disruptor Products,https://www.newsvoir.com/release/wiggles-in-expands-its-product-portfolio-with-the-launch-of-category-disruptor-products-17395.html
9,"Purina Supercoat Bags the Prestigious Product of the Year Award in Dog Foods Category

",https://www.newsvoir.com/release/purina-supercoat-bags-the-prestigious-product-of-the-year-award-in-dog-foods-category-17380.html
10,"Retire Elephants from Rides at Amer Fort in Jaipur, says World Animal Protection",https://www.newsvoir.com/release/retire-elephants-from-rides-at-amer-fort-in-jaipur-says-world-animal-protection-17318.html
11,Delhi NCR Girl Diya Singh Help Stray Dogs through Various Dog Shelters,https://www.newsvoir.com/release/delhi-ncr-girl-diya-singh-help-stray-dogs-through-various-dog-shelters-16715.html
12,LASA Launches New Product - Oxyclozanide,https://www.newsvoir.com/release/lasa-launches-new-product-oxyclozanide-16713.html
13,World Animal Protection Welcomes Corporates Embracing Wildlife Friendly Tourism in the Wake of Landmark Legal Directive on Gir Tourism,https://www.newsvoir.com/release/world-animal-protection-welcomes-corporates-embracing-wildlife-friendly-tourism-in-the-wake-of-landmark-legal-directive-on-gir-tourism-15983.html
14,Panav Bio-Tech Witnesses Increased Demand for Canglob P Hyperimmune Immunoglobulins After Parvovirus Outbreak in West Bengal,https://www.newsvoir.com/release/panav-bio-tech-witnesses-increased-demand-for-canglob-p-hyperimmune-immunoglobulins-after-parvovirus-outbreak-in-west-bengal-15838.html
15,World Animal Protection Organisation Welcomes Madras Court's Call to Prohibit Future Ownership of Elephants,https://www.newsvoir.com/release/world-animal-protection-organisation-welcomes-madras-court-apos-s-call-to-prohibit-future-ownership-of-elephants-15839.html
16,Wiggles.in Introduces 100% Human Grade Wet Food for Dogs,https://www.newsvoir.com/release/wiggles-in-introduces-100-human-grade-wet-food-for-dogs-15580.html
17,Gulshan Dynasty Becomes the Official Host for India's Biggest Pet Festival 'Pet Fed',https://www.newsvoir.com/release/gulshan-dynasty-becomes-the-official-host-for-india-apos-s-biggest-pet-festival-apos-pet-fed-apos-15473.html
18,Bird Flu or Inhumane Farming; Animals in Farms are at a Higher Risk of Diseases,https://www.newsvoir.com/release/bird-flu-or-inhumane-farming-animals-in-farms-are-at-a-higher-risk-of-diseases-15463.html
19,Speaking the White Truth - Building a Better World for Dairy and Farm Animals,https://www.newsvoir.com/release/speaking-the-white-truth-building-a-better-world-for-dairy-and-farm-animals-15284.html
20,"IIT Roorkee Professor's Study Finds Fbln7-C Can Delay the Reprogramming Process of Tumor-associated Macrophage (TAMs)

",https://www.newsvoir.com/release/iit-roorkee-professor-apos-s-study-finds-fbln7-c-can-delay-the-reprogramming-process-of-tumor-associated-macrophage-tams-15204.html
21,"Over One Lakh Indians Demand to Ban the Trade of Wild Animals, Urge Prime Minister Narendra Modi to Give Support  ",https://www.newsvoir.com/release/over-one-lakh-indians-demand-to-ban-the-trade-of-wild-animals-urge-prime-minister-narendra-modi-to-give-support-15056.html
22,Arjun Anand Launched his Maiden Book Hamir - The Fallen Prince of Ranthambore,https://www.newsvoir.com/release/arjun-anand-launched-his-maiden-book-hamir-the-fallen-prince-of-ranthambore-14877.html
23,Over 50% Indians Concerned the Next Pandemic could come from Farm Animals,https://www.newsvoir.com/release/over-50-indians-concerned-the-next-pandemic-could-come-from-farm-animals-14830.html
24,World Animal Protection Welcomes Prime Minister Narendra Modi's Remarks on Preserving Wildlife,https://www.newsvoir.com/release/world-animal-protection-welcomes-prime-minister-narendra-modi-apos-s-remarks-on-preserving-wildlife-14781.html
25,World Day for Farmed Animals Celebrated Across Asia ,https://www.newsvoir.com/release/world-day-for-farmed-animals-celebrated-across-asia-14740.html
26,World Animal Protection Launches Report to Increase Awareness on Rabies Elimination  ,https://www.newsvoir.com/release/world-animal-protection-launches-report-to-increase-awareness-on-rabies-elimination-14687.html
27,World Animal Protection and Partners Organise Veterinary Drive for Animals Affected by Assam Floods,https://www.newsvoir.com/release/world-animal-protection-and-partners-organise-veterinary-drive-for-animals-affected-by-assam-floods-14571.html
28,This International Dog Day Make your Locality Animal Friendly,https://www.newsvoir.com/release/this-international-dog-day-make-your-locality-animal-friendly-14460.html
29,World Animal Protection Asks Consumers to Step Forward and Demand Better Lives for Chickens,https://www.newsvoir.com/release/world-animal-protection-asks-consumers-to-step-forward-and-demand-better-lives-for-chickens-14433.html
30,"Space for Giants Partners with Gemfields, Announces Walk for Giants for African Wildlife Conservation ",https://www.newsvoir.com/release/space-for-giants-partners-with-gemfields-announces-walk-for-giants-for-african-wildlife-conservation-14415.html
31,"Ekam Organises Online Peace Meditation, Calls for End Violence Against Animals and Nature ",https://www.newsvoir.com/release/ekam-organises-online-peace-meditation-calls-for-end-violence-against-animals-and-nature-14360.html
32,"Over 200 Elephants in India Kept in Severely Inadequate Conditions, Says World Animal Protection",https://www.newsvoir.com/release/over-200-elephants-in-india-kept-in-severely-inadequate-conditions-says-world-animal-protection-14349.html
33,"On World Tiger Day, World Animal Protection Urges Tourists to Avoid Visiting Venues Offering Tiger Shows",https://www.newsvoir.com/release/on-world-tiger-day-world-animal-protection-urges-tourists-to-avoid-visiting-venues-offering-tiger-shows-14266.html
34,World Animal Protection and NDMC Feed Hundreds of Stray Dogs in Delhi,https://www.newsvoir.com/release/world-animal-protection-and-ndmc-feed-hundreds-of-stray-dogs-in-delhi-14113.html
35,Ending Wildlife Trade will Protect the Environment; Reduce Risk of Future Pandemics like COVID-19,https://www.newsvoir.com/release/ending-wildlife-trade-will-protect-the-environment-reduce-risk-of-future-pandemics-like-covid-19-13966.html
36,Aussie Merino Sheep Wool gets Local in Tehri ,https://www.newsvoir.com/release/aussie-merino-sheep-wool-gets-local-in-tehri-13939.html
37,Protecting Animals Imperative as Super Cyclone Amphan makes landfall,https://www.newsvoir.com/release/protecting-animals-imperative-as-super-cyclone-amphan-makes-landfall-13907.html
38,COVID-19 and the True Cost of Wildlife Exploitation,https://www.newsvoir.com/release/covid-19-and-the-true-cost-of-wildlife-exploitation-13859.html
39,MoooFarm Wins Start-up India's Animal Husbandry Grand Challenge ,https://www.newsvoir.com/release/mooofarm-wins-start-up-india-apos-s-animal-husbandry-grand-challenge-13855.html
40,Don't Forget Stray Animals on National Pet Day,https://www.newsvoir.com/release/don-apos-t-forget-stray-animals-on-national-pet-day-13745.html
41,Pet Care Start-up Wiggles Launches SmartVet - An On-demand Online Consultation Service,https://www.newsvoir.com/release/pet-care-start-up-wiggles-launches-smartvet-an-on-demand-online-consultation-service-13669.html
42,"India Ranks better in Animal Protection Index 2020, but Still Needs Improvements ",https://www.newsvoir.com/release/india-ranks-better-in-animal-protection-index-2020-but-still-needs-improvements-13598.html
43,Retail Chains in Dairy Stand in Unison with World Animal Protection,https://www.newsvoir.com/release/retail-chains-in-dairy-stand-in-unison-with-world-animal-protection-13539.html
44,"Madhya Pradesh, The Tiger State of India Reiterates Focus on Wildlife Tourism and Combating Threats of Climate Change and Global Warming through Wild-life Conservation",https://www.newsvoir.com/release/madhya-pradesh-the-tiger-state-of-india-reiterates-focus-on-wildlife-tourism-and-combating-threats-of-climate-change-and-global-warming-through-wild-life-conservation-13534.html
45,Over 1600 People Demand Better Dairy and Welfare of Dairy Animals in Delhi,https://www.newsvoir.com/release/over-1600-people-demand-better-dairy-and-welfare-of-dairy-animals-in-delhi-13204.html
46,#Danceforanimal on Likee to Support Animal Protection and Raise Funds,https://www.newsvoir.com/release/danceforanimal-on-likee-to-support-animal-protection-and-raise-funds-13019.html
47,Over 800 People Dance in Delhi to Raise their Voice Against Animal Suffering,https://www.newsvoir.com/release/over-800-people-dance-in-delhi-to-raise-their-voice-against-animal-suffering-12868.html
48,World Animal Protection Urges Government to Stop Display of Elephants at Sonepur Fair,https://www.newsvoir.com/release/world-animal-protection-urges-government-to-stop-display-of-elephants-at-sonepur-fair-12802.html
49,World Animal Protection Launches City wide Campaign on Better Dairy,https://www.newsvoir.com/release/world-animal-protection-launches-city-wide-campaign-on-better-dairy-12698.html
50,Animals in Need of Help after Floods in Bihar,https://www.newsvoir.com/release/animals-in-need-of-help-after-floods-in-bihar-12641.html
51,World Animal Protection Screens a Film to End Suffering of Elephants at Amer Fort,https://www.newsvoir.com/release/world-animal-protection-screens-a-film-to-end-suffering-of-elephants-at-amer-fort-12631.html
52,Ananda Commits to Better Dairy Welfare and Joins Others in Embracing Responsible Sourcing,https://www.newsvoir.com/release/ananda-commits-to-better-dairy-welfare-and-joins-others-in-embracing-responsible-sourcing-12313.html
53,Thousands of Cows’ Lives will be Transformed as Dairies Commit to Higher Welfare,https://www.newsvoir.com/release/thousands-of-cows-lives-will-be-transformed-as-dairies-commit-to-higher-welfare-11905.html
54,"Moscow Launches Online Vet Appointments for Pets, Exotic Animals  ",https://www.newsvoir.com/release/moscow-launches-online-vet-appointments-for-pets-exotic-animals-11882.html
55,"Wild Edens: South Asia, a New Feature Documentary Dedicated to the Fight Against Global Warming, Premieres in Mumbai",https://www.newsvoir.com/release/wild-edens-south-asia-a-new-feature-documentary-dedicated-to-the-fight-against-global-warming-premieres-in-mumbai-11554.html
56,"Wild Edens: South Asia, A New Feature Documentary Dedicated to The Fight Against Global Warming, will Premiere in Mumbai
",https://www.newsvoir.com/release/wild-edens-south-asia-a-new-feature-documentary-dedicated-to-the-fight-against-global-warming-will-premiere-in-mumbai-11529.html
57,Rosatom Announces Wild Edens Photo Contest ,https://www.newsvoir.com/release/rosatom-announces-wild-edens-photo-contest-11443.html
58,Pawsome Tails to Expand its Operations Abroad,https://www.newsvoir.com/release/pawsome-tails-to-expand-its-operations-abroad-11366.html
59,Animal Planet Joins Hands with L&T Metro Rail Hyderabad to Sensitize Citizens About Tiger Conservation,https://www.newsvoir.com/release/animal-planet-joins-hands-with-l-t-metro-rail-hyderabad-to-sensitize-citizens-about-tiger-conservation-11352.html
60,Undercover Investigation: Shocking Footage of Pangolin Poaching Uncovered ,https://www.newsvoir.com/release/undercover-investigation-shocking-footage-of-pangolin-poaching-uncovered-11059.html
