,title,link
0,CII Karnataka Elects Arjun Ranga as Chairman for 2022-23,https://www.newsvoir.com/release/cii-karnataka-elects-arjun-ranga-as-chairman-for-2022-23-19683.html
1,New Captain in Town: Vinay Pratap Singh Joins as the Business Head at Massimo Batteries,https://www.newsvoir.com/release/new-captain-in-town-vinay-pratap-singh-joins-as-the-business-head-at-massimo-batteries-19584.html
2,"Shri Sanjay Khanna Takes Over as Director Refineries, BPCL",https://www.newsvoir.com/release/shri-sanjay-khanna-takes-over-as-director-refineries-bpcl-19501.html
3,Ravikrishna Chebolu Joins West as General Manager of India,https://www.newsvoir.com/release/ravikrishna-chebolu-joins-west-as-general-manager-of-india-19473.html
4,"Mr. Vineet Nanda Appointed as the Chairman of the FICCI Committee of Housing and Infrastructure for Punjab, Haryana, Himachal Pradesh, Chandigarh and Uttarakhand",https://www.newsvoir.com/release/mr-vineet-nanda-appointed-as-the-chairman-of-the-ficci-committee-of-housing-and-infrastructure-for-punjab-haryana-himachal-pradesh-chandigarh-and-uttarakhand-19472.html
5,R Gopalan Appointed as Chairman of the Board of Sundaram-Clayton Limited,https://www.newsvoir.com/release/r-gopalan-appointed-as-chairman-of-the-board-of-sundaram-clayton-limited-19355.html
6,"K. Gopala Desikan Appointed as Director and Group CFO in the Rank of Whole-Time Director of Sundaram-Clayton Limited
",https://www.newsvoir.com/release/k-gopala-desikan-appointed-as-director-and-group-cfo-in-the-rank-of-whole-time-director-of-sundaram-clayton-limited-19339.html
7,CMS IT Services Names Anuj Vaid as the CEO,https://www.newsvoir.com/release/cms-it-services-names-anuj-vaid-as-the-ceo-19307.html
8,SATYA MicroCapital Ropes in International Footballer Sangeeta Soren as its Brand Ambassador,https://www.newsvoir.com/release/satya-microcapital-ropes-in-international-footballer-sangeeta-soren-as-its-brand-ambassador-19264.html
9,Senior Member from Leading VC Fund Joins Klub to Scale its Capital Platform 10x,https://www.newsvoir.com/release/senior-member-from-leading-vc-fund-joins-klub-to-scale-its-capital-platform-10x-19218.html
10,Proteon Pharmaceuticals Appoints Paolo Doncecchi as Global Sales Director,https://www.newsvoir.com/release/proteon-pharmaceuticals-appoints-paolo-doncecchi-as-global-sales-director-19210.html
11,Atul Gupta Joins GuruQ Leadership Team as Co-founder and CTO,https://www.newsvoir.com/release/atul-gupta-joins-guruq-leadership-team-as-co-founder-and-cto-19205.html
12,MSB Docs Appoints Prateek Kataria as Country Head Enterprise Business for Digital Smart Document Solutions,https://www.newsvoir.com/release/msb-docs-appoints-prateek-kataria-as-country-head-enterprise-business-for-digital-smart-document-solutions-19171.html
13,B.J. Arun Appointed as Chairman of the TiE Global Board,https://www.newsvoir.com/release/b-j-arun-appointed-as-chairman-of-the-tie-global-board-19118.html
14,Axis My India Constitutes Advisory Board with Industry Experts Shashi Sinha and Vikram Sakhuja as Members,https://www.newsvoir.com/release/axis-my-india-constitutes-advisory-board-with-industry-experts-shashi-sinha-and-vikram-sakhuja-as-members-19073.html
15,Ashok Shivpuri Joins ST Digital as Head of Content Acquisition,https://www.newsvoir.com/release/ashok-shivpuri-joins-st-digital-as-head-of-content-acquisition-19002.html
16,"HFCL Accelerates International Business, further Strengthens its Leadership Team with Three New Leaders",https://www.newsvoir.com/release/hfcl-accelerates-international-business-further-strengthens-its-leadership-team-with-three-new-leaders-18988.html
17,Anicut Capital Appoints Adithya Bharadwaj as Vice President-Investments,https://www.newsvoir.com/release/anicut-capital-appoints-adithya-bharadwaj-as-vice-president-investments-18982.html
18,India Born Vikram Sinha to Lead PT Indosat Ooredoo Hutchison Tbk ,https://www.newsvoir.com/release/india-born-vikram-sinha-to-lead-pt-indosat-ooredoo-hutchison-tbk-18967.html
19,TVS Motor Company Appoints Professor Venkat Viswanathan as Technical Advisor for Electric Mobility ,https://www.newsvoir.com/release/tvs-motor-company-appoints-professor-venkat-viswanathan-as-technical-advisor-for-electric-mobility-18968.html
20,A S Mehta and Pawan Agarwal Elected as IPMA Office Bearers; IPMA Awards Announced,https://www.newsvoir.com/release/as-mehta-pawan-agarwal-elected-as-ipma-office-bearers-ipma-awards-announced-18943.html
21,Sahyadri Industries Ltd. Appoints New Independent Director,https://www.newsvoir.com/release/sahyadri-industries-ltd-appoints-new-independent-director-18842.html
22,Bangalore based Siply to Double its Head Count in 2022,https://www.newsvoir.com/release/bangalore-based-siply-to-double-its-head-count-in-2022-18833.html
23,Modenik Announces Post Merger Leadership Team,https://www.newsvoir.com/release/modenik-announces-post-merger-leadership-team-18822.html
24,Innovecture Appoints New CEO for India,https://www.newsvoir.com/release/innovecture-appoints-new-ceo-for-india-18753.html
25,Organized Retailers Association Appoints T S Sridhar as President,https://www.newsvoir.com/release/organized-retailers-association-appoints-t-s-sridhar-as-president-18785.html
26,"Karunamoorthi Rajangam Appointed as Vice President, Anicut Capital",https://www.newsvoir.com/release/karunamoorthi-rajangam-appointed-as-vice-president-anicut-capital-18754.html
27,"World's First Data Observability Platform, Acceldata Appoints Gajanana Hegde as Vice President and Head of Global Engineering",https://www.newsvoir.com/release/worlds-first-data-observability-platform-acceldata-appoints-gajanana-hegde-as-vice-president-and-head-of-global-engineering-18739.html
28,Arvind Kumar Joins Software Technology Parks of India (STPI) as Director General,https://www.newsvoir.com/release/arvind-kumar-joins-software-technology-parks-of-india-stpi-as-director-general-18701.html
29,GreenCell Mobility Appoints McCann Worldgroup for Branding and Communications Mandate for its Shared Electric Mobility Business,https://www.newsvoir.com/release/greencell-mobility-appoints-mccann-worldgroup-for-branding-and-communications-mandate-for-its-shared-electric-mobility-business-18576.html
30,Navy Week 2021: Crown Group Reaffirms its Commitment Towards 'Atmanirbhar Bharat' for Indian Navy ,https://www.newsvoir.com/release/navy-week-2021-crown-group-reaffirms-its-commitment-towards-atmanirbhar-bharat-for-indian-navy-18578.html
31,Bharat Petroleum Corporation Limited Announces Appointment of Five Independent Directors on Board,https://www.newsvoir.com/release/bharat-petroleum-corporation-limited-announces-appointment-of-five-independent-directors-on-board-18560.html
32,Vertex Group Founder and CEO Gagan Arora Appointed as Senator for India at World Business Angels Investment Forum,https://www.newsvoir.com/release/vertex-group-founder-and-ceo-gagan-arora-appointed-as-senator-for-india-at-world-business-angels-investment-forum-18484.html
33,"World Cycling Alliance (WCA) Elects D V Manohar, Chairman, SmartBike Mobility from India as their First Vice President for a Span of Three Years",https://www.newsvoir.com/release/world-cycling-alliance-wca-elects-d-v-manohar-chairman-smartbike-mobility-from-india-as-their-first-vice-president-for-a-span-of-three-years-18426.html
34,Drip Capital Appoints Rahul Nath as Product Head to Drive Product Growth,https://www.newsvoir.com/release/drip-capital-appoints-rahul-nath-as-product-head-to-drive-product-growth-18384.html
35,Law Firms on Recruiting Spree Post Pandemic but with Remote Working as an Effective Retention Tool,https://www.newsvoir.com/release/law-firms-on-recruiting-spree-post-pandemic-but-with-remote-working-as-an-effective-retention-tool-18316.html
36,"Global Chamber of Business Leaders Appoints Gagan Arora as Delegate for India
",https://www.newsvoir.com/release/global-chamber-of-business-leaders-appoints-gagan-arora-as-delegate-for-india-18212.html
37,Vertex Group Appoints Farouk Khailann as Senior Executive Advisor to the Board and names Shitij Taneja as Chief Commercial Officer for Vertex Next,https://www.newsvoir.com/release/vertex-group-appoints-farouk-khailann-as-senior-executive-advisor-to-the-board-and-names-shitij-taneja-as-chief-commercial-officer-for-vertex-next-18121.html
38,Engineering EdTech Startup Skill-Lync Appoints Engineering Veteran Dr. Amod as Director - Curriculum and Applications,https://www.newsvoir.com/release/engineering-edtech-startup-skill-lync-appoints-engineering-veteran-dr-amod-as-director-curriculum-and-applications-18090.html
39,"Parimatch Appoints Bollywood Star, Elli Avrram, as its New Brand Ambassador",https://www.newsvoir.com/release/parimatch-appoints-bollywood-star-elli-avrram-as-its-new-brand-ambassador-18085.html
40,Mr. Ashwini Kakkar Becomes International President of Action Against Hunger Network,https://www.newsvoir.com/release/mr-ashwini-kakkar-becomes-international-president-of-action-against-hunger-network-18022.html
41,"SATYA MicroCapital Appoints Former Executive Director of RBI, Deepali Pant Rajeev Joshi as Independent Director",https://www.newsvoir.com/release/satya-microcapital-appoints-former-executive-director-of-rbi-deepali-pant-rajeev-joshi-as-independent-director-17945.html
