,title,link
0,Prayers for World Peace held at The Art of Living International Center as part of Maha Shivratri,https://www.newsvoir.com/release/prayers-for-world-peace-held-at-the-art-of-living-international-centre-as-part-of-maha-shivratri-19589.html
1,SRM University-AP Launches Aadigyan: To Promote India's Cultural Knowledge Tradition,https://www.newsvoir.com/release/srm-university-ap-launches-aadigyan-to-promote-indias-cultural-knowledge-tradition-19550.html
2,"5th Global Bhagavad Gita Convention based on the Theme of Mental Harmony to be Inaugurated by Hon'ble Vice President of India, Shri M. Venkaiah Naidu",https://www.newsvoir.com/release/5th-global-bhagavad-gita-convention-based-on-the-theme-of-mental-harmony-to-be-inaugurated-by-hon-apos-ble-vice-president-of-india-shri-m-venkaiah-naidu-19428.html
3,"Eikowa Becomes a Pioneer to Introduce Blockchain Technology in the Indian Art Domain
",https://www.newsvoir.com/release/eikowa-becomes-a-pioneer-to-introduce-blockchain-technology-in-the-indian-art-domain-19327.html
4,"Bharatanatyam Danseuse Savitha Sastry and AK Srikanth, Writer and Director Mark a Decade of their Bharatanatyam Dance Productions with Beyond the Rains",https://www.newsvoir.com/release/bharatanatyam-danseuse-savitha-sastry-and-ak-srikanth-writer-and-director-mark-a-decade-of-their-bharatanatyam-dance-productions-with-beyond-the-rains-19279.html
5,"New Health and Wellness Rotary Club Debuts in Silicon Valley with Guest of Honor Swami Mukundananda
",https://www.newsvoir.com/release/new-health-and-wellness-rotary-club-debuts-in-silicon-valley-with-guest-of-honor-swami-mukundananda-19236.html
6,"Positively Perfect Introduces Life Circles, a Wholesome Collection of Handmade Wall Art",https://www.newsvoir.com/release/positively-perfect-introduces-life-circles-a-wholesome-collection-of-handmade-wall-art-19139.html
7,Student Start-up Project Nishant Organises Virtual Art Exhibition Showcasing Talented Young Neurodiverse Artists,https://www.newsvoir.com/release/student-start-up-project-nishant-organises-virtual-art-exhibition-showcasing-talented-young-neurodiverse-artists-18787.html
8,Yes!poho Witnesses 100 percent YOY Growth since its Inception,https://www.newsvoir.com/release/yes-poho-witnesses-100-percent-yoy-growth-since-its-inception-18745.html
9,Kriti Fellowship Launched; Museum of Plastic Waste Art to Come up in Karnataka,https://www.newsvoir.com/release/kriti-fellowship-launched-museum-of-plastic-waste-art-to-come-up-in-karnataka-18718.html
10,Dr. Shefali Bhujbal Showcases her First Exhibition 'Anavarnam' - Unveiling the Passion,https://www.newsvoir.com/release/dr-shefali-bhujbal-showcases-her-first-exhibition-anavarnam-unveiling-the-passion-18707.html
11,Renowned Speakers from All Over World to Attend JKYog Bhagavad Gita Summit,https://www.newsvoir.com/release/renowned-speakers-from-all-over-world-to-attend-jkyog-bhagavad-gita-summit-18658.html
12,Ancient Tradition of Art Revealed to the World at Dubai Expo,https://www.newsvoir.com/release/ancient-tradition-of-art-revealed-to-the-world-at-dubai-expo-18653.html
13,"Vande Bharatam-Nritya Utsav, Zonal Level Competition Starts from December 9th 2021",https://www.newsvoir.com/release/vande-bharatam-nritya-utsav-zonal-level-competition-starts-from-december-9th-2021-18626.html
14,"""Socio-dramatic Play is Key to Interactive, Enriching Education"" Says Education Expert Rajesh Bhatia
",https://www.newsvoir.com/release/socio-dramatic-play-is-key-to-interactive-enriching-education-says-education-expert-rajesh-bhatia-18431.html
15,Dr. Mangalam Swaminathan National Award for Excellence in Art and Culture Goes to Mubarak Nissa,https://www.newsvoir.com/release/dr-mangalam-swaminathan-national-award-for-excellence-in-art-and-culture-goes-to-mubarak-nissa-18398.html
16,First 700 Years of the World's Buddhist Paintings to be Revealed at Expo 2020 in Dubai by Art Historian Benoy K Behl ,https://www.newsvoir.com/release/first-700-years-of-the-world-s-buddhist-paintings-to-be-revealed-at-expo-2020-in-dubai-by-art-historian-benoy-k-behl-18383.html
17,Songdew in Partnership with HT Media Ltd. Unveils the Most Comprehensive Artist Management Programme - SURGE,https://www.newsvoir.com/release/songdew-in-partnership-with-ht-media-ltd-unveils-the-most-comprehensive-artist-management-programme-surge-18363.html
18,Treasureclub.io Announces its Partnership with Acclaimed Designer Gaurang Shah to its NFT Marketplace Backed by BCETH Labs,https://www.newsvoir.com/release/treasureclub-io-announces-its-partnership-with-acclaimed-designer-gaurang-shah-to-its-nft-marketplace-backed-by-bceth-labs-18296.html
19,"Vanbros: Innovation, Perseverance and Passion Driven by Legacy ",https://www.newsvoir.com/release/vanbros-innovation-perseverance-and-passion-driven-by-legacy-18194.html
20,3-yr Old Armaan Raheja Holds Solo Art Exhibition,https://www.newsvoir.com/release/3-yr-old-armaan-raheja-holds-solo-art-exhibition-18067.html
21,"Dubai Expo to Present Ancient Culture of India, Attract Global Investors",https://www.newsvoir.com/release/dubai-expo-to-present-ancient-culture-of-india-attract-global-investors-17944.html
22,Earliest Surviving Hindu Paintings Preserved for Eternity at Arctic World Archive,https://www.newsvoir.com/release/earliest-surviving-hindu-paintings-preserved-for-eternity-at-arctic-world-archive-17787.html
23,Creativegarh Launches Creative Retreats to Revive Creative Passion amongst Seekers,https://www.newsvoir.com/release/creativegarh-launches-creative-retreats-to-revive-creative-passion-amongst-seekers-17770.html
24,"Epically Ramayana (Hindi), Epically Mahabharata and Epically Vahana Launched, with Art and Story by Devdutt Pattanaik",https://www.newsvoir.com/release/epically-ramayana-hindi-epically-mahabharata-and-epically-vahana-launched-with-art-and-story-by-devdutt-pattanaik-17738.html
25,"IMS Noida Organized Virtual Art Competition ""Kala Kaushal""",https://www.newsvoir.com/release/ims-noida-organized-virtual-art-competition-kala-kaushal-17554.html
26,More than 850 ISKCON Temples All Over the World Celebrates Janmashtami with Enthusiasm but on a Quiet Note,https://www.newsvoir.com/release/more-than-850-iskcon-temples-all-over-the-world-celebrates-janmashtami-with-enthusiasm-but-on-a-quiet-note-17509.html
27,Cycle Pure Creates 'The Bhagavad Gita in 3 Minutes' for Millennials,https://www.newsvoir.com/release/cycle-pure-creates-the-bhagavad-gita-in-3-minutes-for-millennials-17501.html
28,The Kingdom of Saudi Arabia Reveals the Inspired Experiences Awaiting Visitors at its Stunning Expo Pavilion,https://www.newsvoir.com/release/the-kingdom-of-saudi-arabia-reveals-the-inspired-experiences-awaiting-visitors-at-its-stunning-expo-pavilion-17414.html
29,Rising Riders Celebrates Independence Day with a Cycle Ride in Dwarka,https://www.newsvoir.com/release/rising-riders-celebrates-independence-day-with-a-cycle-ride-in-dwarka-17361.html
30,Religious and Cultural Amalgamation of Hindutva and Buddhism Showcased in 'Vasudhaiva Kutumbakam',https://www.newsvoir.com/release/religious-and-cultural-amalgamation-of-hindutva-and-buddhism-showcased-in-vasudhaiva-kutumbakam-17312.html
31,Cycle Pure Announces an Online Pookalam Competition to Celebrate Onam,https://www.newsvoir.com/release/cycle-pure-announces-an-online-pookalam-competition-to-celebrate-onam-17308.html
32,"The Award Winning Trilogy ""Colors"" Culminates on Independence Day with its Third Part Colors: Saffron",https://www.newsvoir.com/release/the-award-winning-trilogy-colors-culminates-on-independence-day-with-its-third-part-colors-saffron-17289.html
33,Mystique Earth is Unveiling the Deep-rooted Mysteries of Central India through its Tribal Alchemy Inspired Brand Film,https://www.newsvoir.com/release/mystique-earth-is-unveiling-the-deep-rooted-mysteries-of-central-india-through-its-tribal-alchemy-inspired-brand-film-17282.html
34,Chitkara University Students' Artwork makes it to Tokyo Olympics 2021,https://www.newsvoir.com/release/chitkara-university-students-artwork-makes-it-to-tokyo-olympics-2021-17119.html
35,ISKCON and DBSKKV University Join Hands to Revolutionize Agriculture and Farming in Maha's Palghar,https://www.newsvoir.com/release/iskcon-and-dbskkv-university-join-hands-to-revolutionize-agriculture-and-farming-in-maha-apos-s-palghar-17098.html
36,"World Renowned Masters, Wellness Pioneers at JKYog International Festival of Yoga 2021",https://www.newsvoir.com/release/world-renowned-masters-wellness-pioneers-at-jkyog-international-festival-of-yoga-2021-16754.html
37,Pancham Dham Foundation Day Celebrated Amongst Renowned Spiritual Dignitaries,https://www.newsvoir.com/release/pancham-dham-foundation-day-celebrated-amongst-renowned-spiritual-dignitaries-16698.html
38,'Of Fire and Earth' Online Exhibition of Contemporary Ceramic Art in India Hosted by Dhi Artspace,https://www.newsvoir.com/release/of-fire-and-earth-online-exhibition-of-contemporary-ceramic-art-in-india-hosted-by-dhi-artspace-16676.html
