,title,link
0,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
1,"Mobis India Participates in ""Nurture Young Minds, Develop Safety Culture"" an Initiative on National Safety Day from March 4-10' 2022",https://www.newsvoir.com/release/mobis-india-participates-in-nurture-young-minds-develop-safety-culture-an-initiative-on-national-safety-day-from-march-4-10-2022-19612.html
2,WAF Stars Shine and Innovations Light up the Way at the 9th WAF Awards,https://www.newsvoir.com/release/waf-stars-shine-and-innovations-light-up-the-way-at-the-9th-waf-awards-19368.html
3,"OLX Autos in Collaboration with AutoCar India Presents the ""Pre-Owned Car Awards 2022""",https://www.newsvoir.com/release/olx-autos-in-collaboration-with-autocar-india-presents-the-pre-owned-car-awards-2022-19111.html
4,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
5,"OLX Autos Announces the Second Edition of a Two Day Design Summit Around Design and Art ""OLX D'Light '22""",https://www.newsvoir.com/release/olx-autos-announces-the-second-edition-of-a-two-day-design-summit-around-design-and-art-olx-d-light-22-19087.html
6,"In a World where Everything is Connected, Insurance is Catching up",https://www.newsvoir.com/release/in-a-world-where-everything-is-connected-insurance-is-catching-up-18990.html
7,Landmark Cars to Showcase the Latest Mercedes-Benz Vehicles in Daman,https://www.newsvoir.com/release/landmark-cars-to-showcase-the-latest-mercedes-benz-vehicles-in-daman-18763.html
8,"The Pre-owned Car Market Propelled to Grow with Digital Platforms Gaining Traction: Industry Experts from OLX Autos, Kia India, FADA, and CRISIL Limited, Weigh in at the OLX Auto Talk 4.0",https://www.newsvoir.com/release/the-pre-owned-car-market-propelled-to-grow-with-digital-platforms-gaining-traction-industry-experts-from-olx-autos-kia-india-fada-and-crisil-limited-weigh-in-at-the-olx-auto-talk-4-0-18760.html
9,Big Boy Toyz to Launch New 100 Crores Vertical; Vintage and Classic Car Auctions ,https://www.newsvoir.com/release/big-boy-toyz-to-launch-new-100-crores-vertical-vintage-and-classic-car-auctions-18740.html
10,Landmark Cars to Host one of Ahmedabad's Largest Displays of Mercedes-Benz Diecast Cars,https://www.newsvoir.com/release/landmark-cars-to-host-one-of-ahmedabad-s-largest-displays-of-mercedes-benz-diecast-cars-18672.html
11,"Mobis India Celebrates World Paper Free Day on November 6, 2021",https://www.newsvoir.com/release/mobis-india-celebrates-world-paper-free-day-on-november-6-2021-18279.html
12,TVS Motor Company to Partner with Bahwan International Group to Strengthen its Presence in Iraq,https://www.newsvoir.com/release/tvs-motor-company-to-partner-with-bahwan-international-group-to-strengthen-its-presence-in-iraq-18137.html
13,Serial Investor Mr Karn Nagpal Launches India's Most Disruptive Vehicle Service Aggregator,https://www.newsvoir.com/release/serial-investor-mr-karn-nagpal-launches-india-s-most-disruptive-vehicle-service-aggregator-18020.html
14,Hyundai Mobis India Launches Innovative and Stylish Accessories for the New i20 N Line,https://www.newsvoir.com/release/hyundai-mobis-india-launches-innovative-and-stylish-accessories-for-the-new-i20-n-line-17602.html
15,"TR Sawhney Inaugrated ARENA and NEXA Showrooms in Daryaganj, Delhi",https://www.newsvoir.com/release/tr-sawhney-inaugrated-arena-and-nexa-showrooms-in-daryaganj-delhi-17588.html
16,AGM Vijaylaxmi Venture's World Class 14 Storeyed Commercial Centre 'at' with First Ever Electric Car Charge Station,https://www.newsvoir.com/release/agm-vijaylaxmi-venture-s-world-class-14-storeyed-commercial-centre-at-with-first-ever-electric-car-charge-station-17573.html
17,"CamCom Announces a First-of-its-kind AI Partnership with Mahindra First Choice Wheels in India
",https://www.newsvoir.com/release/camcom-announces-a-first-of-its-kind-ai-partnership-with-mahindra-first-choice-wheels-in-india-17398.html
18,"Aditya Thackeray Inaugurates Power Bank's EV Charging Hub in Kohinoor Mills, Mumbai",https://www.newsvoir.com/release/aditya-thackeray-inaugurates-power-bank-s-ev-charging-hub-in-kohinoor-mills-mumbai-17384.html
19,"Audi Ahmedabad Launches 3 Electric SUVs - Audi e-tron 50, Audi e-tron 55 and Audi e-tron Sportback 55",https://www.newsvoir.com/release/audi-ahmedabad-launches-3-electric-suvs-audi-e-tron-50-audi-e-tron-55-and-audi-e-tron-sportback-55-17221.html
20,"Digital Lender ""Prest Loans"" Forays into Electrical Vehicle (EV) Financing Segment; Collaborates with Eqaro Guarantees and Terra Motors",https://www.newsvoir.com/release/digital-lender-prest-loans-forays-into-electrical-vehicle-ev-financing-segment-collaborates-with-eqaro-guarantees-and-terra-motors-16942.html
21,Style up your Premium SUV Hyundai Alcazar with Exclusive Hyundai Genuine Accessory Packs by Mobis,https://www.newsvoir.com/release/style-up-your-premium-suv-hyundai-alcazar-with-exclusive-hyundai-genuine-accessory-packs-by-mobis-16836.html
22,The Pandemic will Accelerate the Digitization of the Indian Automotive Industry: Auto Experts at OLX Auto Talk 3.0,https://www.newsvoir.com/release/the-pandemic-will-accelerate-the-digitization-of-the-indian-automotive-industry-auto-experts-at-olx-auto-talk-3-0-16784.html
23,"Hyundai Mobis Launches New Digital Campaign - ""Safety Mein Zero Compromise"" on Anti-Counterfeit Day on June 8, 2021",https://www.newsvoir.com/release/hyundai-mobis-launches-new-digital-campaign-quot-safety-mein-zero-compromise-quot-on-anti-counterfeit-day-on-june-8-2021-16681.html
24,"Rust-X Shows 70 Percent Hike in Demand as India becomes the Preferred Destination for Global Car Manufacturers
",https://www.newsvoir.com/release/rust-x-shows-70-percent-hike-in-demand-as-india-becomes-the-preferred-destination-for-global-car-manufacturers-16613.html
25,Reasons to Renew Motor Insurance Plan with Bajaj Finance Limited,https://www.newsvoir.com/release/reasons-to-renew-motor-insurance-plan-with-bajaj-finance-limited-16555.html
26,sRide Launches sNeighbour Feature to Help Communities Tide Over the Pandemic,https://www.newsvoir.com/release/sride-launches-sneighbour-feature-to-help-communities-tide-over-the-pandemic-16375.html
27,"Autosports India Organises a Grand ATV Racing Championship in Goa, Mega ATV Championship
",https://www.newsvoir.com/release/autosports-india-organises-a-grand-atv-racing-championship-in-goa-mega-atv-championship-16338.html
28,India's Premier Roadside Assistance Application AUTO i CARE Ropes in Sayaji Shinde as its Brand Ambassador,https://www.newsvoir.com/release/india-apos-s-premier-roadside-assistance-application-auto-i-care-ropes-in-sayaji-shinde-as-its-brand-ambassador-16220.html
29,YouWe Nissan Overwhelms a Magnite Customer with 100% Cashback,https://www.newsvoir.com/release/youwe-nissan-overwhelms-a-magnite-customer-with-100-cashback-16213.html
30,"CNB Car of the Year, Motorcycle of the Year Announced at 2021 carandbike Awards",https://www.newsvoir.com/release/cnb-car-of-the-year-motorcycle-of-the-year-announced-at-2021-carandbike-awards-16058.html
31,RR Parkon Installs Multi-level Car Parking System in Delhi's Lajpat Nagar,https://www.newsvoir.com/release/rr-parkon-installs-multi-level-car-parking-system-in-delhi-apos-s-lajpat-nagar-15935.html
32,AckoDrive Partners with IDFC FIRST Bank to Issue Free FASTags,https://www.newsvoir.com/release/ackodrive-partners-with-idfc-first-bank-to-issue-free-fastags-15896.html
33,The Tech-laden New Audi A4 is Now on Sale in Gujarat,https://www.newsvoir.com/release/the-tech-laden-new-audi-a4-is-now-on-sale-in-gujarat-15456.html
34,carandbike.com Clocks 17 million Unique Users in December 2020,https://www.newsvoir.com/release/carandbike-com-clocks-17-million-unique-users-in-december-2020-15455.html
35,"Pent-up Demand for Cars not a One-time Festive Phenomenon, its here to Stay: FADA, ACKO, Ford, OLX at OLX Auto Talk 2.0 ",https://www.newsvoir.com/release/pent-up-demand-for-cars-not-a-one-time-festive-phenomenon-its-here-to-stay-fada-acko-ford-olx-at-olx-auto-talk-2-0-15383.html
36,Delhi Based Automobile Studio's Instagram Account Hacked,https://www.newsvoir.com/release/delhi-based-automobile-studio-apos-s-instagram-account-hacked-15357.html
37,SheerDrive Raises Seed Round Funding from Group Landmark,https://www.newsvoir.com/release/sheerdrive-raises-seed-round-funding-from-group-landmark-15216.html
38,Avass Successfully Tests Ground-breaking Fully Electric Sports Car which will Cover Over 1000 km with Single Charge,https://www.newsvoir.com/release/avass-successfully-tests-ground-breaking-fully-electric-sports-car-which-will-cover-over-1000-km-with-single-charge-15194.html
39,"Kings Auto, a Venture of K2 Group India, Launches New Showroom in Delhi under its Pan India Expansion Plan",https://www.newsvoir.com/release/kings-auto-a-venture-of-k2-group-india-launches-new-showroom-in-delhi-under-its-pan-india-expansion-plan-15055.html
40,Drive Home Your All-New Hyundai i20 with Exclusive Genuine Accessory Kits by Mobis,https://www.newsvoir.com/release/drive-home-your-all-new-hyundai-i20-with-exclusive-genuine-accessory-kits-by-mobis-14990.html
41,Group Landmark Delivers 100 Mercedes-Benz Cars in this Festive Season,https://www.newsvoir.com/release/group-landmark-delivers-100-mercedes-benz-cars-in-this-festive-season-14956.html
42,HDFC ERGO Implements AI Enabled Solution to Automate Motor Claim Settlements,https://www.newsvoir.com/release/hdfc-ergo-implements-ai-enabled-solution-to-automate-motor-claim-settlements-14948.html
43,ACKO Partners with Finserv MARKETS to Offer Car and Bike Insurance,https://www.newsvoir.com/release/acko-partners-with-finserv-markets-to-offer-car-and-bike-insurance-14864.html
44,Nippon Paint Launches n-MAX Range of Automotive Refinish Paints,https://www.newsvoir.com/release/nippon-paint-launches-n-max-range-of-automotive-refinish-paints-14629.html
45,OSRAM Embarks upon Product Promotion of Automotive Lamps through Leading Media Channel,https://www.newsvoir.com/release/osram-embarks-upon-product-promotion-of-automotive-lamps-through-leading-media-channel-14538.html
46,Hyundai Mobis Offers Hand-picked Deals in Hyundai Mobility Membership Program,https://www.newsvoir.com/release/hyundai-mobis-offers-hand-picked-deals-in-hyundai-mobility-membership-program-14450.html
47,Maruti Suzuki Partners with Myles Automotive Technologies for Car Subscription Programme,https://www.newsvoir.com/release/maruti-suzuki-partners-with-myles-automotive-technologies-for-car-subscription-programme-14478.html
48,From Luxury to Necessity: FleetPro's Tracking Solutions Now Integral Part of Life,https://www.newsvoir.com/release/from-luxury-to-necessity-fleetpro-apos-s-tracking-solutions-now-integral-part-of-life-14457.html
