,title,link
0,"Ashok Leyland Strengthens its Presence in Karnataka, Opens 4 Dealerships in the State",https://www.newsvoir.com/release/ashok-leyland-strengthens-its-presence-in-karnataka-opens-4-dealerships-in-the-state-19649.html
1,"Mobis India Participates in ""Nurture Young Minds, Develop Safety Culture"" an Initiative on National Safety Day from March 4-10' 2022",https://www.newsvoir.com/release/mobis-india-participates-in-nurture-young-minds-develop-safety-culture-an-initiative-on-national-safety-day-from-march-4-10-2022-19612.html
2,"Omega Seiki Mobility (OSM) to Deploy 1,500 EV Three-Wheelers with Zyngo for Last-mile Delivery",https://www.newsvoir.com/release/omega-seiki-mobility-osm-to-deploy-1-500-ev-three-wheelers-with-zyngo-for-last-mile-delivery-19520.html
3,"Solis Yanmar Launches its Globally Acclaimed YM3 Series Tractors in India, Powered by Un-paralleled Japanese Engine Technology and Unique Features",https://www.newsvoir.com/release/solis-yanmar-launches-its-globally-acclaimed-ym3-series-tractors-in-india-powered-by-un-paralleled-japanese-engine-technology-and-unique-features-19512.html
4,WAF Stars Shine and Innovations Light up the Way at the 9th WAF Awards,https://www.newsvoir.com/release/waf-stars-shine-and-innovations-light-up-the-way-at-the-9th-waf-awards-19368.html
5,"OLX Autos I Autocar ""Pre-Owned Car Awards 2022"" Winners Announced",https://www.newsvoir.com/release/olx-autos-i-autocar-pre-owned-car-awards-2022-winners-announced-19204.html
6,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
7,"Sonalika Records Overall Tractor Sales of 1,05,250; Crosses 1 Lakh Sales Mark in Just 9 Months of FY'22",https://www.newsvoir.com/release/sonalika-records-overall-tractor-sales-of-1-05-250-crosses-1-lakh-sales-mark-in-just-9-months-of-fy-22-19046.html
8,TVS Motor Company Accelerates Electrification in the Commercial Mobility Segment; Signs MoU with Swiggy,https://www.newsvoir.com/release/tvs-motor-company-accelerates-electrification-in-the-commercial-mobility-segment-signs-mou-with-swiggy-19045.html
9,E-vehicles will be a Game-changer for the Courier and Logistics Sector,https://www.newsvoir.com/release/e-vehicles-will-be-a-game-changer-for-the-courier-and-logistics-sector-18923.html
