,title,link
0,New Captain in Town: Vinay Pratap Singh Joins as the Business Head at Massimo Batteries,https://www.newsvoir.com/release/new-captain-in-town-vinay-pratap-singh-joins-as-the-business-head-at-massimo-batteries-19584.html
1,Hero MotoCorp and Bharat Petroleum Corporation Ltd. Join Hands to Electrify the Country,https://www.newsvoir.com/release/hero-motocorp-and-bharat-petroleum-corporation-ltd-join-hands-to-electrify-the-country-19479.html
2,R Gopalan Appointed as Chairman of the Board of Sundaram-Clayton Limited,https://www.newsvoir.com/release/r-gopalan-appointed-as-chairman-of-the-board-of-sundaram-clayton-limited-19355.html
3,"K. Gopala Desikan Appointed as Director and Group CFO in the Rank of Whole-Time Director of Sundaram-Clayton Limited
",https://www.newsvoir.com/release/k-gopala-desikan-appointed-as-director-and-group-cfo-in-the-rank-of-whole-time-director-of-sundaram-clayton-limited-19339.html
4,Sundaram Auto Components conferred with TPM Excellence Award for its Mysuru Plant,https://www.newsvoir.com/release/sundaram-auto-components-conferred-with-tpm-excellence-award-for-its-mysuru-plant-19248.html
5,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
6,iCreate Facilitates USD 300 Million worth MoU between Gujarat Government and CHARGE+ZONE,https://www.newsvoir.com/release/icreate-facilitates-usd-300-million-worth-mou-between-gujarat-government-and-charge-zone-18796.html
7,TII Announces its Electric Vehicles under Montra Brand,https://www.newsvoir.com/release/tii-announces-its-electric-vehicles-under-montra-brand-18766.html
8,"Bounce Accelerates its Promise to Enable Battery Swapping Infrastructure for a Million plus Scooters in India; 
Partners with NoBroker",https://www.newsvoir.com/release/bounce-accelerates-its-promise-to-enable-battery-swapping-infrastructure-for-a-million-plus-scooters-in-india-partners-with-nobroker-18668.html
9,"One Moto Leads the Race in EV Domination, Outshines Competitors at Bengaluru EV Expo",https://www.newsvoir.com/release/one-moto-leads-the-race-in-ev-domination-outshines-competitors-at-bengaluru-ev-expo-18650.html
10,iCreate Concludes 3-day Bootcamp for the Build Stage of its EV Flagship Event - EVangelise 2021,https://www.newsvoir.com/release/icreate-concludes-3-day-bootcamp-for-the-build-stage-of-its-ev-flagship-event-evangelise-2021-18480.html
11,One Moto's Launch in India Turns out to be Tremendous Success,https://www.newsvoir.com/release/one-moto-apos-s-launch-in-india-turns-out-to-be-tremendous-success-18436.html
12,One Moto Global Set to Launch in India ,https://www.newsvoir.com/release/one-moto-global-set-to-launch-in-india-18369.html
13,"Mobis India Celebrates World Paper Free Day on November 6, 2021",https://www.newsvoir.com/release/mobis-india-celebrates-world-paper-free-day-on-november-6-2021-18279.html
14,Hyundai Mobis India Launches Innovative and Stylish Accessories for the New i20 N Line,https://www.newsvoir.com/release/hyundai-mobis-india-launches-innovative-and-stylish-accessories-for-the-new-i20-n-line-17602.html
15,"Mr. Yong Goon Park Appointed as Managing Director, Mobis India After-sales Parts Division",https://www.newsvoir.com/release/mr-yong-goon-park-appointed-as-managing-director-mobis-india-after-sales-parts-division-17371.html
16,Style up your Premium SUV Hyundai Alcazar with Exclusive Hyundai Genuine Accessory Packs by Mobis,https://www.newsvoir.com/release/style-up-your-premium-suv-hyundai-alcazar-with-exclusive-hyundai-genuine-accessory-packs-by-mobis-16836.html
17,CEAT Specialty Conducts Vaccination Drive for its Customers and Employees,https://www.newsvoir.com/release/ceat-specialty-conducts-vaccination-drive-for-its-customers-and-employees-16722.html
18,"Hyundai Mobis Launches New Digital Campaign - ""Safety Mein Zero Compromise"" on Anti-Counterfeit Day on June 8, 2021",https://www.newsvoir.com/release/hyundai-mobis-launches-new-digital-campaign-quot-safety-mein-zero-compromise-quot-on-anti-counterfeit-day-on-june-8-2021-16681.html
19,Hyderabad-based Startup Rikarica Launches Operations with GenNext EV Charging Solution,https://www.newsvoir.com/release/hyderabad-based-startup-rikarica-launches-operations-with-gennext-ev-charging-solution-16409.html
20,"Hyundai Mobis Offers Attractive Hand-picked Deals & Discounts under Hyundai Mobility Membership Program
",https://www.newsvoir.com/release/hyundai-mobis-offers-attractive-hand-picked-deals-discounts-under-hyundai-mobility-membership-program-16366.html
21,Grinntech Emerges a Winner in the NXP India Start-up Challenge,https://www.newsvoir.com/release/grinntech-emerges-a-winner-in-the-nxp-india-start-up-challenge-16390.html
22,SKF India Unveils 3 New Automotive Aftermarket Products ,https://www.newsvoir.com/release/skf-india-unveils-3-new-automotive-aftermarket-products-16004.html
23,ADVIK Acquires Hanon Bangalore Operations Pvt. Ltd. from Hanon Systems specializing in Vacuum Pump and Water Pump,https://www.newsvoir.com/release/advik-acquires-hanon-bangalore-operations-pvt-ltd-from-hanon-systems-specializing-in-vacuum-pump-and-water-pump-15841.html
24,"Omega Seiki Mobility to Set up Electric Vehicle Manufacturing Plant in Bangladesh, Company to Invest INR 100 Crores 
",https://www.newsvoir.com/release/omega-seiki-mobility-to-set-up-electric-vehicle-manufacturing-plant-in-bangladesh-company-to-invest-inr-100-crores-15819.html
25,DesignX a Shopfloor Hyper Automation Company Raised USD 300K in Seed Round from Modulor Capital & Angels from the Manufacturing Sector,https://www.newsvoir.com/release/designx-a-shopfloor-hyper-automation-company-raised-usd-300k-in-seed-round-from-modulor-capital-angels-from-the-manufacturing-sector-15776.html
26,Vedanta Launches Aluminium Cylinder Head Alloy at ACMA 2021,https://www.newsvoir.com/release/vedanta-launches-aluminium-cylinder-head-alloy-at-acma-2021-15695.html
27,"SKF India Launches E-shop, its First Online Store in India",https://www.newsvoir.com/release/skf-india-launches-e-shop-its-first-online-store-in-india-15626.html
28,OSRAM Unveils LEDriving HL Premium Lamps in Indian Automotive Market,https://www.newsvoir.com/release/osram-unveils-ledriving-hl-premium-lamps-in-indian-automotive-market-15428.html
29,Drive Home Your All-New Hyundai i20 with Exclusive Genuine Accessory Kits by Mobis,https://www.newsvoir.com/release/drive-home-your-all-new-hyundai-i20-with-exclusive-genuine-accessory-kits-by-mobis-14990.html
30,CEAT Specialty Launches Farm Tyre Range Vardhan ,https://www.newsvoir.com/release/ceat-specialty-launches-farm-tyre-range-vardhan-14689.html
31,OSRAM Embarks upon Product Promotion of Automotive Lamps through Leading Media Channel,https://www.newsvoir.com/release/osram-embarks-upon-product-promotion-of-automotive-lamps-through-leading-media-channel-14538.html
32,Hyundai Mobis Offers Hand-picked Deals in Hyundai Mobility Membership Program,https://www.newsvoir.com/release/hyundai-mobis-offers-hand-picked-deals-in-hyundai-mobility-membership-program-14450.html
33,"Hyundai Mobis Extends Rs. 6 Crores for COVID-19 Relief through Donation, Safety Materials and Dry Ration Kits",https://www.newsvoir.com/release/hyundai-mobis-extends-rs-6-crores-for-covid-19-relief-through-donation-safety-materials-and-dry-ration-kits-14216.html
