,title,link
0,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Bangladesh,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-bangladesh-19636.html
1,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
2,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Latin America,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-latin-america-19587.html
3,"TVS Motor Company Registers Sales of 281,714 Units in February 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-281-714-units-in-february-2022-19579.html
4,"Bounce Infinity Customer Test Ride Camps to Begin in Bangalore, Delhi NCR, Kochi, Mumbai, Pune, Chennai and Hyderabad",https://www.newsvoir.com/release/bounce-infinity-customer-test-ride-camps-to-begin-in-bangalore-delhi-ncr-kochi-mumbai-pune-chennai-and-hyderabad-19503.html
5,TVS Motor Company Clocks 1 Million Two-wheeler Export Milestone in FY 21-22,https://www.newsvoir.com/release/tvs-motor-company-clocks-1-million-two-wheeler-export-milestone-in-fy-21-22-19491.html
6,Hero MotoCorp and Bharat Petroleum Corporation Ltd. Join Hands to Electrify the Country,https://www.newsvoir.com/release/hero-motocorp-and-bharat-petroleum-corporation-ltd-join-hands-to-electrify-the-country-19479.html
7,Beetle Bikes Bring a Smile to Children at Angel Home NGO,https://www.newsvoir.com/release/beetle-bikes-bring-a-smile-to-children-at-angel-home-ngo-19471.html
8,"Benling India See EV Uptake Faster than Expected and Repose Confidence in a Strong EV Outlook for 2022 and Beyond - ED and CEO, Mr. Amit Kumar",https://www.newsvoir.com/release/benling-india-see-ev-uptake-faster-than-expected-and-repose-confidence-in-a-strong-ev-outlook-for-2022-and-beyond-ed-and-ceo-mr-amit-kumar-19314.html
9,"TVS Motor Company Records Highest Ever Revenue, EBITDA and Profit in a Quarter",https://www.newsvoir.com/release/tvs-motor-company-records-highest-ever-revenue-ebitda-and-profit-in-a-quarter-19301.html
10,Sundaram Auto Components conferred with TPM Excellence Award for its Mysuru Plant,https://www.newsvoir.com/release/sundaram-auto-components-conferred-with-tpm-excellence-award-for-its-mysuru-plant-19248.html
11,"Post-Union Budget Quote from Mr. Venu Srinivasan, Chairman, TVS Motor Company",https://www.newsvoir.com/release/post-union-budget-quote-from-mr-venu-srinivasan-chairman-tvs-motor-company-19232.html
12,"TVS Motor Company Registers Sales of 266,788 Units in January 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-266-788-units-in-january-2022-19228.html
13,TVS Motor Company Acquires Switzerland's Largest E-bike Player - Swiss E-Mobility Group AG (SEMG),https://www.newsvoir.com/release/tvs-motor-company-acquires-switzerlands-largest-e-bike-player-swiss-e-mobility-group-ag-semg-19173.html
14,"Bounce Share Clocks 3 Crore Plus Rides on its EV Dockless Scooter Sharing Solution
",https://www.newsvoir.com/release/bounce-share-clocks-3-crore-plus-rides-on-its-ev-dockless-scooter-sharing-solution-19114.html
15,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
16,TVS Motor Company Accelerates Electrification in the Commercial Mobility Segment; Signs MoU with Swiggy,https://www.newsvoir.com/release/tvs-motor-company-accelerates-electrification-in-the-commercial-mobility-segment-signs-mou-with-swiggy-19045.html
17,"Shrinithi Capital Pvt. Ltd., An Emerging Chennai based NBFC Bags 300 Crores Co-lending Facility from IndoStar Capital Finance Ltd.",https://www.newsvoir.com/release/shrinithi-capital-pvt-ltd-an-emerging-chennai-based-nbfc-bags-300-crores-co-lending-facility-from-indostar-capital-finance-ltd-19028.html
18,TVS Motor Company Appoints Professor Venkat Viswanathan as Technical Advisor for Electric Mobility ,https://www.newsvoir.com/release/tvs-motor-company-appoints-professor-venkat-viswanathan-as-technical-advisor-for-electric-mobility-18968.html
19,"TVS Motor Company Registers Sales of 250,933 Units in December 2021",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-250-933-units-in-december-2021-18946.html
20,"TVS Motor Company Announces Race Performance Series, Inspired from TVS Racing's Race Machine Lineage ",https://www.newsvoir.com/release/tvs-motor-company-announces-race-performance-series-inspired-from-tvs-racing-s-race-machine-lineage-18850.html
21,TII Announces its Electric Vehicles under Montra Brand,https://www.newsvoir.com/release/tii-announces-its-electric-vehicles-under-montra-brand-18766.html
22,"TVS Motor Company Launches Marvel Spider-Man, and Thor Inspired TVS NTORQ 125 Scooters under the SuperSquad Edition",https://www.newsvoir.com/release/tvs-motor-company-launches-marvel-spider-man-and-thor-inspired-tvs-ntorq-125-scooters-under-the-supersquad-edition-18738.html
23,TVS Motor Company and BMW Motorrad Announce the Expansion of their Cooperation Agreement for Future Technologies and Electric Vehicles,https://www.newsvoir.com/release/tvs-motor-company-and-bmw-motorrad-announce-the-expansion-of-their-cooperation-agreement-for-future-technologies-and-electric-vehicles-18721.html
24,Ultraviolette Raises Series C Investment from TVS Motor Company and Zoho Corporation,https://www.newsvoir.com/release/ultraviolette-raises-series-c-investment-from-tvs-motor-company-and-zoho-corporation-18677.html
25,"One Moto Leads the Race in EV Domination, Outshines Competitors at Bengaluru EV Expo",https://www.newsvoir.com/release/one-moto-leads-the-race-in-ev-domination-outshines-competitors-at-bengaluru-ev-expo-18650.html
26,"Shri Amitabh Kant, CEO, Niti Aayog Virtually Flags Off the Launch of Smart Electric Scooter with Swappable Battery - Bounce Infinity E1

",https://www.newsvoir.com/release/shri-amitabh-kant-ceo-niti-aayog-virtually-flags-off-the-launch-of-smart-electric-scooter-with-swappable-battery-bounce-infinity-e1-18563.html
27,"Bounce Goes Bullish on its Battery Swapping Infra, Partners with Readyassist, Helloworld, Kitchens@ and Goodbox to Make Battery Swapping Accessible",https://www.newsvoir.com/release/bounce-goes-bullish-on-its-battery-swapping-infra-partners-with-readyassist-helloworld-kitchens-and-goodbox-to-make-battery-swapping-accessible-18558.html
28,"TVS Motor Company Registers Sales of 272,693 Units in November 2021",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-272-693-units-in-november-2021-18557.html
29,"The Wait is Finally Over: The Progressive Bounce Infinity will be Officially Launched on 02 December 2021
",https://www.newsvoir.com/release/the-wait-is-finally-over-the-progressive-bounce-infinity-will-be-officially-launched-on-02-december-2021-18487.html
30,TVS Motor Company Signs MOU with Tamil Nadu Government for Investment of Rs. 1200 Crore in Future Technologies and Electric Vehicles,https://www.newsvoir.com/release/tvs-motor-company-signs-mou-with-tamil-nadu-government-for-investment-of-rs-1200-crore-in-future-technologies-and-electric-vehicles-18477.html
31,One Moto's Launch in India Turns out to be Tremendous Success,https://www.newsvoir.com/release/one-moto-apos-s-launch-in-india-turns-out-to-be-tremendous-success-18436.html
32,"World Cycling Alliance (WCA) Elects D V Manohar, Chairman, SmartBike Mobility from India as their First Vice President for a Span of Three Years",https://www.newsvoir.com/release/world-cycling-alliance-wca-elects-d-v-manohar-chairman-smartbike-mobility-from-india-as-their-first-vice-president-for-a-span-of-three-years-18426.html
33,"Korean Consulate, Community and Goodwill Envoy Donates 4,000 Kits to Government Schools",https://www.newsvoir.com/release/korean-consulate-community-and-goodwill-envoy-donates-4-000-kits-to-government-schools-18392.html
34,One Moto Global Set to Launch in India ,https://www.newsvoir.com/release/one-moto-global-set-to-launch-in-india-18369.html
35,TVS Motor Company becomes a Participant in the United Nations Global Compact ,https://www.newsvoir.com/release/tvs-motor-company-becomes-a-participant-in-the-united-nations-global-compact-18358.html
36,Norton Motorcycles Opens New Global Headquarters ,https://www.newsvoir.com/release/norton-motorcycles-opens-new-global-headquarters-18355.html
37,"Venu Srinivasan, Chairman TVS Motor Company, Awarded Padma Bhushan for his Contribution to the Field of Trade and Industry",https://www.newsvoir.com/release/venu-srinivasan-chairman-tvs-motor-company-awarded-padma-bhushan-for-his-contribution-to-the-field-of-trade-and-industry-18311.html
38,OTTOEDGE Conceptualized First Brand Campaign for AMO Electric Mobility,https://www.newsvoir.com/release/ottoedge-conceptualized-first-brand-campaign-for-amo-electric-mobility-18271.html
39,"TVS Motor Company Registers Sales of 355,033 Units in October 2021",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-355-033-units-in-october-2021-18254.html
40,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle in Nepal for the Gen Z ,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-in-nepal-for-the-gen-z-18251.html
41,Brain Health Focus Needs to Shift from Distant Risk Management to Current Benefits says Dr. Vladimir Hachinski at the 41st TS Srinivasan Endowment Oration,https://www.newsvoir.com/release/brain-health-focus-needs-to-shift-from-distant-risk-management-to-current-benefits-says-dr-vladimir-hachinski-at-the-41st-ts-srinivasan-endowment-oration-18242.html
42,TVS Motor Company to Partner with Bahwan International Group to Strengthen its Presence in Iraq,https://www.newsvoir.com/release/tvs-motor-company-to-partner-with-bahwan-international-group-to-strengthen-its-presence-in-iraq-18137.html
43,"TVS Motor Company Reports Highest Ever Revenue and Highest Ever EBITDA in Q2
",https://www.newsvoir.com/release/tvs-motor-company-reports-highest-ever-revenue-and-highest-ever-ebitda-in-q2-18120.html
44,TVS Motor Company Wins India Green Energy Award ,https://www.newsvoir.com/release/tvs-motor-company-wins-india-green-energy-award-18107.html
45,"TVS Motor Company Rolls Out the 100,000 Unit of the BMW 310cc Series Motorcycle from Hosur Facility",https://www.newsvoir.com/release/tvs-motor-company-rolls-out-the-100-000-unit-of-the-bmw-310cc-series-motorcycle-from-hosur-facility-18045.html
46,Serial Investor Mr Karn Nagpal Launches India's Most Disruptive Vehicle Service Aggregator,https://www.newsvoir.com/release/serial-investor-mr-karn-nagpal-launches-india-s-most-disruptive-vehicle-service-aggregator-18020.html
47,TVS Motor Company Launches TVS Jupiter 125 ,https://www.newsvoir.com/release/tvs-motor-company-launches-tvs-jupiter-125-17958.html
48,TVS Motor Company Signs MoU with Tata Power to Collaborate on Electric Two-wheeler Charging Eco-system in India ,https://www.newsvoir.com/release/tvs-motor-company-signs-mou-with-tata-power-to-collaborate-on-electric-two-wheeler-charging-eco-system-in-india-17911.html
49,TVS Motor Company Registers a Sales Growth of 6 percent in September 2021,https://www.newsvoir.com/release/tvs-motor-company-registers-a-sales-growth-of-6-percent-in-september-2021-17891.html
50,"TVS HLX Series Hits Sales Milestone, Crosses 2 Million Units Globally",https://www.newsvoir.com/release/tvs-hlx-series-hits-sales-milestone-crosses-2-million-units-globally-17865.html
51,EV Jagat Launched to Usher in Electric Vehicles Ecosystem in India,https://www.newsvoir.com/release/ev-jagat-launched-to-usher-in-electric-vehicles-ecosystem-in-india-17721.html
52,TVS Motor Company Forays into the Personal e-mobility Business with a Majority Stake in European e-bike Brand EGO Movement,https://www.newsvoir.com/release/tvs-motor-company-forays-into-the-personal-e-mobility-business-with-a-majority-stake-in-european-e-bike-brand-ego-movement-17710.html
53,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle Globally for the Gen Z ,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-globally-for-the-gen-z-17701.html
54,TVS Motor Company Launches the New TVS Apache RTR 200 4V in Nepal,https://www.newsvoir.com/release/tvs-motor-company-launches-the-new-tvs-apache-rtr-200-4v-in-nepal-17642.html
