,title,link
0,Bigbull Dealt India Pvt. Ltd. Presents Fempreneur Conference and Awards 2022 Concludes Successfully,https://www.newsvoir.com/release/bigbull-dealt-india-pvt-ltd-presents-fempreneur-conference-awards-2022-concludes-successfully-19678.html
1,SATYA MicroCapital Ltd. Organizes Second Edition of Vijayalakshmi Das Entrepreneurship Awards on Women's Day,https://www.newsvoir.com/release/satya-microcapital-ltd-organizes-second-edition-of-vijayalakshmi-das-entrepreneurship-awards-on-women-s-day-19651.html
2,"AWIB, An Indian Think Tank is bringing Prosperity among Women Entrepreneurs in India and South East Asia",https://www.newsvoir.com/release/awib-an-indian-think-tank-is-bringing-prosperity-among-women-entrepreneurs-in-india-and-south-east-asia-19659.html
3,Union Minister Smriti Irani Confers 'Vishishta Mahila Ratna Samman' to Entrepreneur Nowhera Shaik,https://www.newsvoir.com/release/union-minister-smriti-irani-confers-vishishta-mahila-ratna-samman-to-entrepreneur-nowhera-shaik-19658.html
4,"KGK Group Chairman, Mr. Navrattan Kothari, got Felicitated with Lifetime Achievement Award at Jewellery World  Awards",https://www.newsvoir.com/release/kgk-group-chairman-mr-navrattan-kothari-got-felicitated-with-lifetime-achievement-award-at-jewellery-world-awards-19644.html
5,Esri India Becomes a Great Place to Work® yet again,https://www.newsvoir.com/release/esri-india-becomes-a-great-place-to-work-yet-again-19639.html
6,IMS Noida Organized a Felicitation Ceremony,https://www.newsvoir.com/release/ims-noida-organized-a-felicitation-ceremony-19633.html
7,Lexar Professional CFexpress Type-B Card Wins Photography News 'Best Memory Card – Editor's Choice' Award,https://www.newsvoir.com/release/lexar-professional-cfexpress-type-b-card-wins-photography-news-best-memory-card-editor-s-choice-award-19629.html
8,KredX Recognised as the 'Best MSME Finance Company of the Year' at the NBFC and FinTech Excellence Awards 2022,https://www.newsvoir.com/release/kredx-recognised-as-the-best-msme-finance-company-of-the-year-at-the-nbfc-and-fintech-excellence-awards-2022-19628.html
9,Drip Capital Named to Y Combinator's Top Companies List,https://www.newsvoir.com/release/drip-capital-named-to-y-combinator-s-top-companies-list-19607.html
10,Y-Combinator Recognises Razorpay as the First Indian Company to Appear in Top 10 Breakthrough Global Companies List,https://www.newsvoir.com/release/y-combinator-recognises-razorpay-as-the-first-indian-company-to-appear-in-top-10-breakthrough-global-companies-list-19583.html
11,Frankfinn Receives the Award for 'Best Air Hostess Training Institute' for 10th Year in a Row at 13th ASSOCHAM International Conference cum Awards,https://www.newsvoir.com/release/frankfinn-receives-the-award-for-apos-best-air-hostess-training-institute-apos-for-10th-year-in-a-row-at-13th-assocham-international-conference-cum-awards-19564.html
12,Aegis Graham Bell Awards Announced it's Winners and Finalists for the 12th Edition,https://www.newsvoir.com/release/aegis-graham-bell-awards-announced-it-s-winners-and-finalists-for-the-12th-edition-19562.html
13,CM Haryana Honored Signature Global Group for Developing Remarkable Real Estate Projects,https://www.newsvoir.com/release/cm-haryana-honored-signature-global-group-for-developing-remarkable-real-estate-projects-19553.html
14,Champions of Change honors the Change Makers of Telangana,https://www.newsvoir.com/release/champions-of-change-honors-the-change-makers-of-telangana-19552.html
15,Union Health Minister Highlights the Contribution of Physicians of Indian Origin,https://www.newsvoir.com/release/union-health-minister-highlights-the-contribution-of-physicians-of-indian-origin-19551.html
16,Vyaapar Jagat Fempreneur Conference and Awards in Association with FICCI FLO - Celebrating Azadi Ka Amrit Mahotsav and Women Entrepreneurs of Aatma Nirbar Bharat ,https://www.newsvoir.com/release/vyaapar-jagat-fempreneur-conference-and-awards-in-association-with-ficci-flo-celebrating-azadi-ka-amrit-mahotsav-and-women-entrepreneurs-of-aatma-nirbar-bharat-19548.html
17,"Sustainability, Impact, and Scalability: Ketto Awards 2021-22 Honoring the Endeavors of Changemakers of India",https://www.newsvoir.com/release/sustainability-impact-and-scalability-ketto-awards-2021-22-honoring-the-endeavors-of-changemakers-of-india-19523.html
18,ImpactGuru Announces its First-ever Impact Guru Excellence in Healthcare Summit and Awards 2022,https://www.newsvoir.com/release/impactguru-announces-its-first-ever-impactguru-excellence-in-healthcare-summit-and-awards-2022-19518.html
19,GAPIO Excellence Awards Announced ,https://www.newsvoir.com/release/gapio-excellence-awards-announced-19506.html
20,Organic India Felicitates the Heroes of Indian Agriculture with Dharti Mitr Award at the Dadasaheb Phalke International Film Festival 2022,https://www.newsvoir.com/release/organic-india-felicitates-the-heroes-of-indian-agriculture-with-dharti-mitr-award-at-the-dadasaheb-phalke-international-film-festival-2022-19474.html
21,"Fired up and Victorious, Chelsea FC are Crowned World Champions",https://www.newsvoir.com/release/fired-up-and-victorious-chelsea-fc-are-crowned-world-champions-19452.html
22,India Book of Records Achieves Better than Ever Before,https://www.newsvoir.com/release/india-book-of-records-achieves-better-than-ever-before-19447.html
23,"Mumbai, Chennai, Panaji Gain Winners from the First Edition of The Good Quiz",https://www.newsvoir.com/release/mumbai-chennai-panaji-gain-winners-from-the-first-edition-of-the-good-quiz-19445.html
24,Best Agrolife Ltd. Bagged the Award for Fastest Growing Company at PMFAI-SML Annual Agchem Awards 2022,https://www.newsvoir.com/release/best-agrolife-ltd-bagged-the-award-for-fastest-growing-company-at-pmfai-sml-annual-agchem-awards-2022-19412.html
25,RDX Digital Solutions Make it Big at AVA Digital Awards,https://www.newsvoir.com/release/rdx-digital-solutions-make-it-big-at-ava-digital-awards-19405.html
26,WAF Stars Shine and Innovations Light up the Way at the 9th WAF Awards,https://www.newsvoir.com/release/waf-stars-shine-and-innovations-light-up-the-way-at-the-9th-waf-awards-19368.html
27,International Day of Women and Girls in Science: Naga Vara Aparna Akula Receives the IET India Young Women Engineer Award 2021,https://www.newsvoir.com/release/international-day-of-women-and-girls-in-science-naga-vara-aparna-akula-receives-the-iet-india-young-women-engineer-award-2021-19365.html
28,"Celebrity Jewellery Trend Prediction for Awards Show Season: Shorter Statement Necklaces Set in Platinum will Remain Popular on the Red Carpet
",https://www.newsvoir.com/release/celebrity-jewellery-trend-prediction-for-awards-show-season-shorter-statement-necklaces-set-in-platinum-will-remain-popular-on-the-red-carpet-19358.html
29,"Gagan Arora, CEO and Founder Vertex Group, Once Again Bags Top 100 by Great Manager Institute and Forbes India",https://www.newsvoir.com/release/gagan-arora-ceo-and-founder-vertex-group-once-again-bags-top-100-by-great-manager-institute-and-forbes-india-19340.html
30,CyberPeace Foundation and Autobot Infosec's eRaksha Competition 2021 and Global CyberPeace Challenge 3.0 Concludes with Award Ceremony on the Safer Internet Day,https://www.newsvoir.com/release/cyberpeace-foundation-and-autobot-infosec-s-eraksha-competition-2021-and-global-cyberpeace-challenge-3-0-concludes-with-award-ceremony-on-the-safer-internet-day-19334.html
31,Second Year in a Row: OctaFX Receives 'Best in Class - Social Copy Trading 2022' Award,https://www.newsvoir.com/release/second-year-in-a-row-octafx-receives-best-in-class-social-copy-trading-2022-award-19335.html
32,Indian Achievers Forum Confers Vikas Chadha Glory of India Year award,https://www.newsvoir.com/release/indian-achievers-forum-confers-vikas-chadha-glory-of-india-year-award-19317.html
33,Great Place to Work® India Annual FOR ALL Summit 2022,https://www.newsvoir.com/release/great-place-to-work-india-annual-for-all-summit-2022-19309.html
34,Blindwink India Icon Awards - 2022 Winners Announced,https://www.newsvoir.com/release/blindwink-india-icon-awards-2022-winners-announced-19298.html
35,CSG Comes Out on Top as Great Place to Work,https://www.newsvoir.com/release/csg-comes-out-on-top-as-great-place-to-work-19281.html
36,XpressBees Announces Winner of Xpressathon 1.0,https://www.newsvoir.com/release/xpressbees-announces-winner-of-xpressathon-1-0-19273.html
37,IMS Noida Organized a Felicitation Ceremony,https://www.newsvoir.com/release/ims-noida-organized-a-felicitation-ceremony-19269.html
38,Arboreal Wins The National Startup Awards 2021 in the Food Processing Category for Accelerating the Transition to the Post Sugar World,https://www.newsvoir.com/release/arboreal-wins-the-national-startup-awards-2021-in-the-food-processing-category-for-accelerating-the-transition-to-the-post-sugar-world-19265.html
39,Satluj Public School Panchkula Ranked No. 1 in Haryana for 4th Consecutive Year by Education Today,https://www.newsvoir.com/release/satluj-public-school-panchkula-ranked-no-1-in-haryana-for-4th-consecutive-year-by-education-today-19243.html
40,"Dangal TV Bags It's Very Own Jewel, YouTube's Diamond Play Button",https://www.newsvoir.com/release/dangal-tv-bags-it-s-very-own-jewel-youtube-s-diamond-play-button-19237.html
41,Sundaram Auto Components conferred with TPM Excellence Award for its Mysuru Plant,https://www.newsvoir.com/release/sundaram-auto-components-conferred-with-tpm-excellence-award-for-its-mysuru-plant-19248.html
42,Great Place to Work® India Announces India's Best Workplaces™ in Manufacturing 2022,https://www.newsvoir.com/release/great-place-to-work-india-announces-indias-best-workplaces-in-manufacturing-2022-19191.html
43,"OLX Autos I Autocar ""Pre-Owned Car Awards 2022"" Winners Announced",https://www.newsvoir.com/release/olx-autos-i-autocar-pre-owned-car-awards-2022-winners-announced-19204.html
44,NIPS School of Hotel Management Awarded as 'Eastern India's No. 1 Hotel Management College' for 8th Consecutive Year,https://www.newsvoir.com/release/nips-school-of-hotel-management-awarded-as-eastern-india-s-no-1-hotel-management-college-for-8th-consecutive-year-19143.html
45,LPU Student Receives Medal during 73rd Republic Day Celebrations in New Delhi,https://www.newsvoir.com/release/lpu-student-receives-medal-during-73rd-republic-day-celebrations-in-new-delhi-19181.html
46,Governance Now to Honour Achievers with Visionary Awards 2021,https://www.newsvoir.com/release/governance-now-to-honour-achievers-with-visionary-awards-2021-19184.html
47,Egis Certified Top Employer 2022 in France and India,https://www.newsvoir.com/release/egis-certified-top-employer-2022-in-france-and-india-19120.html
48,CB Insights Accolades Bertelsmann India Investments as Top Investor,https://www.newsvoir.com/release/cb-insights-accolades-bertelsmann-india-investments-as-top-investor-19141.html
49,Top 100 Great People Managers of India Honoured by Great Manager Institute®,https://www.newsvoir.com/release/top-100-great-people-managers-of-india-honoured-by-great-manager-institute-19129.html
50,Orvi's Supernova Collection Wins Archiproducts Design Awards 2021,https://www.newsvoir.com/release/orvis-supernova-collection-wins-archiproducts-design-awards-2021-19063.html
51,"N. Ranga Rao & Sons Private Limited, Makers of the Fragrance of Prayer and Hope, Certified as Great Place to Work",https://www.newsvoir.com/release/n-ranga-rao-sons-private-limited-makers-of-the-fragrance-of-prayer-and-hope-certified-as-great-place-to-work-19077.html
52,Visionet Systems Wins Big at the Recent IBSi Global FinTech Innovation Awards ,https://www.newsvoir.com/release/visionet-systems-wins-big-at-the-recent-ibsi-global-fintech-innovation-awards-19126.html
53,"OLX Autos in Collaboration with AutoCar India Presents the ""Pre-Owned Car Awards 2022""",https://www.newsvoir.com/release/olx-autos-in-collaboration-with-autocar-india-presents-the-pre-owned-car-awards-2022-19111.html
54,NIVEA India is Certified as a Great Place to Work®,https://www.newsvoir.com/release/nivea-india-is-certified-as-a-great-place-to-work-19079.html
55,"WWL National Consortium Concludes its 1st Edition of ""Women Who Lead National Award 2021"" Supported by Govt of India",https://www.newsvoir.com/release/wwl-national-consortium-concludes-its-1st-edition-of-women-who-lead-national-award-2021-supported-by-govt-of-india-19071.html
56,"Deep Rooted Educationist, Karandeep Singh Bags Golden Glory Award 2021",https://www.newsvoir.com/release/deep-rooted-educationist-karandeep-singh-bags-golden-glory-award-2021-19047.html
57,"Enamor, A Brand Owned by Modenik Lifestyle, Recognized as One of India's Best Brands of 2021",https://www.newsvoir.com/release/enamor-a-brand-owned-by-modenik-lifestyle-recognized-as-one-of-indias-best-brands-of-2021-19038.html
58,Mission Paani Wins the Prestigious National Water Awards 2020,https://www.newsvoir.com/release/mission-paani-wins-the-prestigious-national-water-awards-2020-19015.html
59,Denmark Awarded with Mother Teresa Memorial Award for Social Justice 2021 for Environment Sustainability,https://www.newsvoir.com/release/denmark-awarded-with-mother-teresa-memorial-award-for-social-justice-2021-for-environment-sustainability-18957.html
60,"India Leadership Conclave 2021 Power Brand Awards Conferred to Top Industry Leaders, Social Reformers and Hoteliers",https://www.newsvoir.com/release/india-leadership-conclave-2021-power-brand-awards-conferred-to-top-industry-leaders-social-reformers-and-hoteliers-18949.html
61,A S Mehta and Pawan Agarwal Elected as IPMA Office Bearers; IPMA Awards Announced,https://www.newsvoir.com/release/as-mehta-pawan-agarwal-elected-as-ipma-office-bearers-ipma-awards-announced-18943.html
62,NEWJ Jumps 10 Spots in Top Global Digital First Publishers by Tubular Inc; Now Ranks at the 25th position ,https://www.newsvoir.com/release/newj-jumps-10-spots-in-top-global-digital-first-publishers-by-tubular-inc-now-ranks-at-the-25th-position-18935.html
63,Chitkara University Alumnus Awarded DAAD Prize 2021,https://www.newsvoir.com/release/chitkara-university-alumnus-awarded-daad-prize-2021-18908.html
64,"iEnergizer Awarded for Best Global Business Process Outsourcing Company 2021 by the AsiaPac Insider, London",https://www.newsvoir.com/release/ienergizer-awarded-for-best-global-business-process-outsourcing-company-2021-by-the-asiapac-insider-london-18887.html
65,Manan Kairpal Conferred with Most Dynamic Young Entrepreneur of the Year at Brands Impact - Golden Glory Awards 2021,https://www.newsvoir.com/release/manan-kairpal-conferred-with-most-dynamic-young-entrepreneur-of-the-year-at-brands-impact-golden-glory-awards-2021-18893.html
66,Ravi Jadhwani's edobo Makes a Strong Statement at the Golden Glory Awards 2021 Presented by Brands Impact,https://www.newsvoir.com/release/ravi-jadhwani-s-edobo-makes-a-strong-statement-at-the-golden-glory-awards-2021-presented-by-brands-impact-18896.html
67,Dr. Snehal Adsule Awarded Most Inspiring Weight Loss Coach of the Year at Golden Glory Awards 2021 Presented by Brands Impact,https://www.newsvoir.com/release/dr-snehal-adsule-awarded-most-inspiring-weight-loss-coach-of-the-year-at-golden-glory-awards-2021-presented-by-brands-impact-18888.html
68,Dr. Beerinder Singh Yogi Conferred with Golden Glory Award 2021 Presented by Brands Impact,https://www.newsvoir.com/release/dr-beerinder-singh-yogi-conferred-with-golden-glory-award-2021-presented-by-brands-impact-18886.html
69,Eliza Diamond Bags Golden Glory Award 2021 Presented by Brands Impact,https://www.newsvoir.com/release/eliza-diamond-bags-golden-glory-award-2021-presented-by-brands-impact-18885.html
70,iLEAD Films and Suvendu Raj Ghosh's 'Before You Die…' Scores Big at LIFFT India Awards 2021 with 5 Awards,https://www.newsvoir.com/release/ilead-films-and-suvendu-raj-ghosh-s-before-you-die-scores-big-at-lifft-india-awards-2021-with-5-awards-18883.html
71,"Ashok Maanay Conferred with Most Glorious Fashion Icon of the Year at Brands Impact - Golden Glory Awards 2021
",https://www.newsvoir.com/release/ashok-maanay-conferred-with-most-glorious-fashion-icon-of-the-year-at-brands-impact-golden-glory-awards-2021-18877.html
72,Mrs India One in a Million Season 2 Organised with a Grand Success at Hotel Taj Vivanta Dwarka,https://www.newsvoir.com/release/mrs-india-one-in-a-million-season-2-organised-with-a-grand-success-at-hotel-taj-vivanta-dwarka-18874.html
73,Dr Aishwarya Selvaraj Bags Brands Impact Golden Glory Award - 2021,https://www.newsvoir.com/release/dr-aishwarya-selvaraj-bags-brands-impact-golden-glory-award-2021-18876.html
74,Bella Vita Organic Confers Most Trusted Brand for Natural and Ayurvedic Products at Golden Glory Awards 2021,https://www.newsvoir.com/release/bella-vita-organic-confers-most-trusted-brand-for-natural-and-ayurvedic-products-at-golden-glory-awards-2021-18869.html
75,"Author Sabarna Roy Awarded with ""Critically Acclaimed Best Selling Author of the Year"" at Golden Glory Awards 2021",https://www.newsvoir.com/release/author-sabarna-roy-awarded-with-critically-acclaimed-best-selling-author-of-the-year-at-golden-glory-awards-2021-18868.html
76,Malaika Arora and other B-Town Celebs Add Glamour to Brands Impact's Golden Glory Awards '21,https://www.newsvoir.com/release/malaika-arora-and-other-b-town-celebs-add-glamour-to-brands-impact-apos-s-golden-glory-awards-apos-21-18864.html
77,"Cloud-based Security Service provider InstaSafe Awarded as ""Security Product Company of the Year"" by DSCI 11th Edition",https://www.newsvoir.com/release/cloud-based-security-service-provider-instasafe-awarded-as-quot-security-product-company-of-the-year-quot-by-dsci-11th-edition-18836.html
78,Dr. Sumer Sethi Receives Academic Entrepreneurship Excellence Award by the Indian Medical Association,https://www.newsvoir.com/release/dr-sumer-sethi-receives-academic-entrepreneurship-excellence-award-by-the-indian-medical-association-18844.html
79,Organic India Sets Stage for Dharti Mitr Awards 2021; Receives over 100+ Nominations from Farmers across the Country,https://www.newsvoir.com/release/organic-india-sets-stage-for-dharti-mitr-awards-2021-receives-over-100-nominations-from-farmers-across-the-country-18821.html
80,Fittr Announces Dhyan Suman as the Grand Prize Winner of the Transformation Challenge of 2021,https://www.newsvoir.com/release/fittr-announces-dhyan-suman-as-the-grand-prize-winner-of-the-transformation-challenge-of-2021-18817.html
81,TiE Rajasthan Awarded as 'Best TiE Chapter' Globally,https://www.newsvoir.com/release/tie-rajasthan-awarded-as-best-tie-chapter-globally-18813.html
82,Spray Engineering Devices Limited Bags National Energy Efficiency Innovation Award-2021,https://www.newsvoir.com/release/spray-engineering-devices-limited-bags-national-energy-efficiency-innovation-award-2021-18810.html
83,HDFC Life Wins the 'Best Governed Company Listed Segment: Large Category' at the 21st ICSI National Awards for Excellence in Corporate Governance,https://www.newsvoir.com/release/hdfc-life-wins-the-best-governed-company-listed-segment-large-category-at-the-21st-icsi-national-awards-for-excellence-in-corporate-governance-18798.html
84,SPR City Wins Two FICCI Awards at REISA,https://www.newsvoir.com/release/spr-city-wins-two-ficci-awards-at-reisa-18801.html
85,Vyapaar Jagat Convention and Awards 2021 Closes 3 days Affair with Grand Success and Attended by 15000 plus Business Owners,https://www.newsvoir.com/release/vyapaar-jagat-convention-and-awards-2021-closes-3-days-affair-with-grand-success-and-attended-by-15000-plus-business-owners-18794.html
86,"Vivz Fashion School Presents Visionary and Excellence Awards in Dubai to Celebs from Across the Globe
",https://www.newsvoir.com/release/vivz-fashion-school-presents-visionary-and-excellence-awards-in-dubai-to-celebs-from-across-the-globe-18777.html
87,SpiceHealth Wins the Prestigious CII Industrial Innovation Award 2021,https://www.newsvoir.com/release/spicehealth-wins-the-prestigious-cii-industrial-innovation-award-2021-18782.html
88,A Grand Celebration of Success: 2000+ Degrees Awarded to 2021 Batch of Students at Manav Rachna Educational Institutions,https://www.newsvoir.com/release/a-grand-celebration-of-success-2000-degrees-awarded-to-2021-batch-of-students-at-manav-rachna-educational-institutions-18774.html
89,MRV Student Wins the Esteemed Outstanding Cambridge Learner Award,https://www.newsvoir.com/release/mrv-student-wins-the-esteemed-outstanding-cambridge-learner-award-18767.html
