,title,link
0,Max Life and YES BANK Complete 17 Years of Strategic Bancassurance Partnership; Reaffirm Commitment towards Next-gen Customer Experience,https://www.newsvoir.com/release/max-life-and-yes-bank-complete-17-years-of-strategic-bancassurance-partnership-reaffirm-commitment-towards-next-gen-customer-experience-19692.html
1,3 in 10 Women Consider Buying Insurance as an Important Step towards being Financially Independent - Study Conducted by SBI General Insurance,https://www.newsvoir.com/release/3-in-10-women-consider-buying-insurance-as-an-important-step-towards-being-financially-independent-study-conducted-by-sbi-general-insurance-19676.html
2,SATYA MicroCapital Ltd. Organizes Second Edition of Vijayalakshmi Das Entrepreneurship Awards on Women's Day,https://www.newsvoir.com/release/satya-microcapital-ltd-organizes-second-edition-of-vijayalakshmi-das-entrepreneurship-awards-on-women-s-day-19651.html
3,Aditya Birla Sun Life Insurance and Bharat Co-operative Bank (Mumbai) Ltd. Ink Bancassurance Partnership,https://www.newsvoir.com/release/aditya-birla-sun-life-insurance-and-bharat-co-operative-bank-mumbai-ltd-ink-bancassurance-partnership-19665.html
4,Cuentas Offers App-Based Cross Border Money Transfers Powered by Western Union,https://www.newsvoir.com/release/cuentas-offers-app-based-cross-border-money-transfers-powered-by-western-union-19650.html
5,Bajaj Finance Fixed Deposit can Empower the Women of Tomorrow,https://www.newsvoir.com/release/bajaj-finance-fixed-deposit-can-empower-the-women-of-tomorrow-19645.html
6,KredX Recognised as the 'Best MSME Finance Company of the Year' at the NBFC and FinTech Excellence Awards 2022,https://www.newsvoir.com/release/kredx-recognised-as-the-best-msme-finance-company-of-the-year-at-the-nbfc-and-fintech-excellence-awards-2022-19628.html
7,ETMONEY's Technology-led Approach is Enabling Investors to Generate better Returns Using Passive Funds,https://www.newsvoir.com/release/etmoney-s-technology-led-approach-is-enabling-investors-to-generate-better-returns-using-passive-funds-19606.html
8,Drip Capital Named to Y Combinator's Top Companies List,https://www.newsvoir.com/release/drip-capital-named-to-y-combinator-s-top-companies-list-19607.html
9,How Bajaj Finance Fixed Deposit can Help in Growing your Money,https://www.newsvoir.com/release/how-bajaj-finance-fixed-deposit-can-help-in-growing-your-money-19598.html
10,SATYA MicroCapital to Raise More Funding up to USD 22 Mn for Future Growth,https://www.newsvoir.com/release/satya-microcapital-to-raise-more-funding-up-to-usd-22-mn-for-future-growth-19590.html
11,Y-Combinator Recognises Razorpay as the First Indian Company to Appear in Top 10 Breakthrough Global Companies List,https://www.newsvoir.com/release/y-combinator-recognises-razorpay-as-the-first-indian-company-to-appear-in-top-10-breakthrough-global-companies-list-19583.html
12,"Bharat Petroleum to Invest Rs. 3,972 Crore for Development of City Gas Distribution Network in Aurangabad and Ahmednagar",https://www.newsvoir.com/release/bharat-petroleum-to-invest-rs-3-972-crore-for-development-of-city-gas-distribution-network-in-aurangabad-and-ahmednagar-19572.html
13,"Biz2X Powered Made-in-India Middleware Platform ""Maadhyam"" Launched for Lenders, Aggregators and SMEs",https://www.newsvoir.com/release/biz2x-powered-made-in-india-middleware-platform-maadhyam-launched-for-lenders-aggregators-and-smes-19560.html
14,"Assured Cashback of up to Rs. 5,000 on the Purchase of CELLBELL Chairs from the Bajaj Finserv EMI Store",https://www.newsvoir.com/release/assured-cashback-of-up-to-rs-5-000-on-the-purchase-of-cellbell-chairs-from-the-bajaj-finserv-emi-store-19555.html
15,"Amazing Deals on Aquaguard Water Purifiers at the Bajaj Finserv EMI Store: Cashback of up to Rs. 5,000",https://www.newsvoir.com/release/amazing-deals-on-aquaguard-water-purifiers-at-the-bajaj-finserv-emi-store-cashback-of-up-to-rs-5-000-19549.html
16,"Purchase Sony TV On Bajaj Finserv EMI Store and Avail Cashback Upto Rs. 3,000",https://www.newsvoir.com/release/purchase-sony-tv-on-bajaj-finserv-emi-store-and-avail-cashback-upto-rs-3-000-19544.html
17,Grow your Savings with High FD Rates by Investing in a Bajaj Finance FD,https://www.newsvoir.com/release/grow-your-savings-with-high-fd-rates-by-investing-in-a-bajaj-finance-fd-19534.html
18,"Get an Assured Cashback of Rs. 5,000 on the Purchase of Sony Home Theatre System and Speakers from the Bajaj Finserv EMI Store",https://www.newsvoir.com/release/get-an-assured-cashback-of-rs-5-000-on-the-purchase-of-sony-home-theatre-system-and-speakers-from-the-bajaj-finserv-emi-store-19525.html
