,title,link
0,"BD Life Sciences - Biosciences Conducts a User Group Conference ""Advances in Clinical Flow Cytometry (ACFC) in the Commemoration of World Cancer Day""",https://www.newsvoir.com/release/bd-life-sciences-biosciences-conducts-a-user-group-conference-advances-in-clinical-flow-cytometry-acfc-in-the-commemoration-of-world-cancer-day-19356.html
1,Arihant School of Pharmacy Witnesses 500+ Global Scientists and Pharma Professionals in its Successful Global Healthcare Conference,https://www.newsvoir.com/release/arihant-school-of-pharmacy-witnesses-500-global-scientists-and-pharma-professionals-in-its-successful-global-healthcare-conference-18599.html
2,Clevergene Acquires NovaSeq 6000 DNA Next Gen Sequencer to Widen its Discovery Genomics and Genetic Diagnostics Offerings,https://www.newsvoir.com/release/clevergene-acquires-novaseq-6000-dna-next-gen-sequencer-to-widen-its-discovery-genomics-and-genetic-diagnostics-offerings-17799.html
3,Mestastop Solutions: A Biotechnology Startup Changing the Fight Against 'Cancer Metastasis',https://www.newsvoir.com/release/mestastop-solutions-a-biotechnology-startup-changing-the-fight-against-cancer-metastasis-16425.html
4,OncoStem Diagnostics Wins Aegis Graham Bell Award in the Innovative Diagnostics Category,https://www.newsvoir.com/release/oncostem-diagnostics-wins-aegis-graham-bell-award-in-the-innovative-diagnostics-category-15976.html
5,"Nanosafe all Set to Launch Copper-based Technology that Kills Bacteria, Viruses and Fungi",https://www.newsvoir.com/release/nanosafe-all-set-to-launch-copper-based-technology-that-kills-bacteria-viruses-and-fungi-15862.html
6,Fluidigm's FDA-EUA Authorized Saliva-based SARS-CoV-2 RT-PCR Assay – Now for use in India,https://www.newsvoir.com/release/fluidigm-apos-s-fda-eua-authorized-saliva-based-sars-cov-2-rt-pcr-assay-now-for-use-in-india-15355.html
7,"India, A Prominent Player in the APAC Gene Editing Market",https://www.newsvoir.com/release/india-a-prominent-player-in-the-apac-gene-editing-market-15121.html
8,The Rockefeller Foundation Awards New Grants to Scale up COVID-19 Testing in India,https://www.newsvoir.com/release/the-rockefeller-foundation-awards-new-grants-to-scale-up-covid-19-testing-in-india-14850.html
9,"Baxter Healthcare India Wins at The Global Diversity, Equity and Inclusion (DEI) Summit Awards 2020",https://www.newsvoir.com/release/baxter-healthcare-india-wins-at-the-global-diversity-equity-and-inclusion-dei-summit-awards-2020-14835.html
10,"Biology will Drive the Future of Manufacturing, says Quantumzyme CEO Naveen Kulkarni  
",https://www.newsvoir.com/release/biology-will-drive-the-future-of-manufacturing-says-quantumzyme-ceo-naveen-kulkarni-14747.html
11,Punjab-based SeguraMAX Introduces World's First Plant-based Technology to Contain Surface Transmission of Viruses,https://www.newsvoir.com/release/punjab-based-seguramax-introduces-world-apos-s-first-plant-based-technology-to-contain-surface-transmission-of-viruses-14711.html
12,Dr. Manjiri Bakre Awarded 'Health Tech Innovator of the Year' ,https://www.newsvoir.com/release/dr-manjiri-bakre-awarded-apos-health-tech-innovator-of-the-year-apos-14662.html
13,Atrimed Biotechnology Launch 'Dr. Tapaman'a Non-contact Temperature Measure Device for COVID-19 ,https://www.newsvoir.com/release/atrimed-biotechnology-launch-apos-dr-tapaman-apos-a-non-contact-temperature-measure-device-for-covid-19-14605.html
14,OncoStem Diagnostics Wins CII's Startupreneur Award in Biotech and Pharma Category ,https://www.newsvoir.com/release/oncostem-diagnostics-wins-cii-apos-s-startupreneur-award-in-biotech-and-pharma-category-14518.html
15,AIIMS-IIT Alumni Duo  Invents Novel Technology to Kill Coronavirus with Just Water,https://www.newsvoir.com/release/aiims-iit-alumni-duo-invents-novel-technology-to-kill-coronavirus-with-just-water-14402.html
16,Atrimed Pharmaceuticals Plant Science Receives Breakthrough in Molecule Research for COVID-19 Cure by ICMR Approved Regional Centre for Biotechnology  ,https://www.newsvoir.com/release/atrimed-pharmaceuticals-plant-science-receives-breakthrough-in-molecule-research-for-covid-19-cure-by-icmr-approved-regional-centre-for-biotechnology-14381.html
17,Alliance for Agri Innovation Celebrates 25 Years of Growing GM Crops,https://www.newsvoir.com/release/alliance-for-agri-innovation-celebrates-25-years-of-growing-gm-crops-14251.html
18,NanoChemiqs Launches World's First Hybrid Face Mask for a Responsible Return to Normalcy,https://www.newsvoir.com/release/nanochemiqs-launches-world-apos-s-first-hybrid-face-mask-for-a-responsible-return-to-normalcy-14222.html
19,"Fermenta Biotech Limited & Indchemie Health Specialities Pledge Vitamin D3 to 250,000 Maharashtra Police Personnel for 2 Months",https://www.newsvoir.com/release/fermenta-biotech-limited-indchemie-health-specialities-pledge-vitamin-d3-to-250-000-maharashtra-police-personnel-for-2-months-14025.html
20,Extract 48 COVID RNA Samples in Just 17 Minutes with the Latest Technology from Genolution & Premas Life Sciences,https://www.newsvoir.com/release/extract-48-covid-rna-samples-in-just-17-minutes-with-the-latest-technology-from-genolution-premas-life-sciences-13927.html
21,Codex & Premas Life Sciences Partner to Launch World's First and Only Fully Automated Gene Synthesis Platform in India,https://www.newsvoir.com/release/codex-premas-life-sciences-partner-to-launch-world-apos-s-first-and-only-fully-automated-gene-synthesis-platform-in-india-13869.html
22,"Seeding New Ideas in Life-science, Technology & Social Enterprise through o2h Collaborative Innovation Conference",https://www.newsvoir.com/release/seeding-new-ideas-in-life-science-technology-social-enterprise-through-o2h-collaborative-innovation-conference-13607.html
23,"Allergan, Sightsavers and the IAPB Announce the ‘Keep Sight’ Initiative to Address Glaucoma in Ganjam, Odisha",https://www.newsvoir.com/release/allergan-sightsavers-and-the-iapb-announce-the-keep-sight-initiative-to-address-glaucoma-in-ganjam-odisha-13493.html
24,Dr. Anmol Kapoor Receives Global Icon Award 2019,https://www.newsvoir.com/release/dr-anmol-kapoor-receives-global-icon-award-2019-13311.html
25,"Alde Medi, Leader in the Pharmaceutical Industry is Now in Africa",https://www.newsvoir.com/release/alde-medi-leader-in-the-pharmaceutical-industry-is-now-in-africa-13208.html
26,Registrations for 13th Annual India Chemical Industry Outlook Conference 2020 begins,https://www.newsvoir.com/release/registrations-for-13th-annual-india-chemical-industry-outlook-conference-2020-begins-13190.html
27,SaiShree Hospital First in Maharashtra Successfully Performed Surgery using Butterfly Prosthesis Technique,https://www.newsvoir.com/release/saishree-hospital-first-in-maharashtra-successfully-performed-surgery-using-butterfly-prosthesis-technique-13149.html
28,Second Chance at Life- Apollo Doctor's Expertise in Epilepsy Changing Young Lives,https://www.newsvoir.com/release/second-chance-at-life-apollo-doctor-apos-s-expertise-in-epilepsy-changing-young-lives-13086.html
29,"First in India, an Elderly Person Undergoes Complex Surgery for Acute Type-A & Type-B Aortic Dissection at SIMS Hospital, Chennai",https://www.newsvoir.com/release/first-in-india-an-elderly-person-undergoes-complex-surgery-for-acute-type-a-type-b-aortic-dissection-at-sims-hospital-chennai-13091.html
30,OK Life Care Launches a New Product 'Better U' Cold Cream,https://www.newsvoir.com/release/ok-life-care-launches-a-new-product-apos-better-u-apos-cold-cream-13030.html
31,"Managing Food Wastage through Multidisciplinary Approach - Dr. Shivendra Bajaj, Executive Director, FSII
",https://www.newsvoir.com/release/managing-food-wastage-through-multidisciplinary-approach-dr-shivendra-bajaj-executive-director-fsii-12921.html
32,"VLCC Boosts Commitment to Fit India, Launches Anti-Obesity Campaign",https://www.newsvoir.com/release/vlcc-boosts-commitment-to-fit-india-launches-anti-obesity-campaign-12762.html
33,Cremica Joins Hands with NABI & PGIMER for a New Study on Food Products to Validate their Low Glycemic Index,https://www.newsvoir.com/release/cremica-joins-hands-with-nabi-pgimer-for-a-new-study-on-food-products-to-validate-their-low-glycemic-index-12275.html
34,Yogi Government Sanctions Two Biofuel Projects Worth Rs. 800 Crore,https://www.newsvoir.com/release/yogi-government-sanctions-two-biofuel-projects-worth-rs-800-crore-11328.html
35,Iconic Brand Yakult Promises Intestinal Health and Better Immunity with its Unique Probiotic LcS,https://www.newsvoir.com/release/iconic-brand-yakult-promises-intestinal-health-and-better-immunity-with-its-unique-probiotic-lcs-10472.html
