,title,link
0,"Kalp Vaidya, A Growing Social Media Influencer and Blogger, Shares how the Lockdown helped him Build his Identity Online",https://www.newsvoir.com/release/kalp-vaidya-a-growing-social-media-influencer-and-blogger-shares-how-the-lockdown-helped-him-build-his-identity-online-19257.html
1,FactDr Ventures into Elective Laser Surgeries with their New Vertical - goficure,https://www.newsvoir.com/release/factdr-ventures-into-elective-laser-surgeries-with-their-new-vertical-goficure-19216.html
2,Chingari Leads India's Web3 Revolution with $GARI Social Token,https://www.newsvoir.com/release/chingari-leads-india-s-web3-revolution-with-gari-social-token-19163.html
3,Ikonz Comes Out of Stealth with India's Most Iconic IP Amar Chitra Katha and Tinkle for its NFT and Metaverse Foray,https://www.newsvoir.com/release/ikonz-comes-out-of-stealth-with-india-s-most-iconic-ip-amar-chitra-katha-and-tinkle-for-its-nft-and-metaverse-foray-18625.html
4,BigMuscles Nutrition Launches New Campaign 'PerformanceHiPehchaan' with Brand Ambassador Ranveer Singh,https://www.newsvoir.com/release/bigmuscles-nutrition-launches-new-campaign-apos-performancehipehchaan-apos-with-brand-ambassador-ranveer-singh-18597.html
5,India's T-Series becomes First Channel Globally to Surpasses 200 Million Subscribers on YouTube ,https://www.newsvoir.com/release/india-s-t-series-becomes-first-channel-globally-to-surpasses-200-million-subscribers-on-youtube-18596.html
6,Social Networking Startup CiSApp Raised Capital via Equity Crowdfunding to Launch Next-Gen Social Network,https://www.newsvoir.com/release/social-networking-startup-cisapp-raised-capital-via-equity-crowdfunding-to-launch-next-gen-social-network-18340.html
7,fbb Launches India's First Interactive Insta-stories - Pujo Love Stories Season 2,https://www.newsvoir.com/release/fbb-launches-india-s-first-interactive-insta-stories-pujo-love-stories-season-2-17821.html
8,Librari Launches Mobile App to Elevate Learning Experience,https://www.newsvoir.com/release/librari-launches-mobile-app-to-elevate-learning-experience-17636.html
9,"Celebfie Launches 'Cruise with the Stars', Luxury Seacation with India's Hottest Superstars

",https://www.newsvoir.com/release/celebfie-launches-cruise-with-the-stars-luxury-seacation-with-india-s-hottest-superstars-17650.html
10,"TFoE, India's First Teenage Think Tank, Provides a Unique Platform to Help Students in Research Projects",https://www.newsvoir.com/release/tfoe-india-s-first-teenage-think-tank-provides-a-unique-platform-to-help-students-in-research-projects-17553.html
11,"Bloggers Alliance Launches ""Student Wing"" on its Second Anniversary",https://www.newsvoir.com/release/bloggers-alliance-launches-student-wing-on-its-second-anniversary-17336.html
12,"A Brand, a Distribution Platform and Creators Collab to Make the Biggest Platform for Upcoming YouTube Streamers",https://www.newsvoir.com/release/a-brand-a-distribution-platform-and-creators-collab-to-make-the-biggest-platform-for-upcoming-youtube-streamers-17271.html
13,Yes!poho Celebrates National Handloom Day with its #KnowYourWeave Campaign and a 10-day Virtual Exhibition,https://www.newsvoir.com/release/yes-poho-celebrates-national-handloom-day-with-its-knowyourweave-campaign-and-a-10-day-virtual-exhibition-17229.html
14,"Tamannaah Shares Co-star Sathyaraj's Video, Says ""Everyone Needs a Kattappa in their Life""",https://www.newsvoir.com/release/tamannaah-shares-co-star-sathyaraj-s-video-says-everyone-needs-a-kattappa-in-their-life-17122.html
15,DocsCampus by HealWell24 Launched by Actress Gul Panag in Presence of Eminent Doctors,https://www.newsvoir.com/release/docscampus-by-healwell24-launched-by-actress-gul-panag-in-presence-of-eminent-doctors-17051.html
16,Razorpay Powers 1.5 Million MSMEs in 2020; Launches Campaign to Celebrate Small Businesses for World MSME Day,https://www.newsvoir.com/release/razorpay-powers-1-5-million-msmes-in-2020-launches-campaign-to-celebrate-small-businesses-for-world-msme-day-16880.html
17,"India's Leading Dating App ""Woo"" Launches Vaccination Badge for its 10 Million User Base",https://www.newsvoir.com/release/india-s-leading-dating-app-woo-launches-vaccination-badge-for-its-10-million-user-base-16783.html
18,Perfluence Releases Algorithms to Drive Business Results from Influencer Marketing ,https://www.newsvoir.com/release/perfluence-releases-algorithms-to-drive-business-results-from-influencer-marketing-16770.html
19,Meet7 Revolutionizes the Virtual Dating Space in India,https://www.newsvoir.com/release/meet7-revolutionizes-the-virtual-dating-space-in-india-16735.html
20,"Forpose, an Indian Privacy-driven Social Media App - Instant Hit in Southern States Among Millennials and Gen Z",https://www.newsvoir.com/release/forpose-an-indian-privacy-driven-social-media-app-instant-hit-in-southern-states-among-millennials-gen-z-16614.html
21,"Fun2App Brings Joy to its Patrons with a Special Campaign Video Song

",https://www.newsvoir.com/release/fun2app-brings-joy-to-its-patrons-with-a-special-campaign-video-song-16602.html
22,Bajaj Finserv is Back with its Cricket Themed Campaign Titled 'EMI Network Powerplay',https://www.newsvoir.com/release/bajaj-finserv-is-back-with-its-cricket-themed-campaign-titled-emi-network-powerplay-16506.html
23,National Hemophilia Management Summit Adapting to Change – Disability to Ability in Changing World,https://www.newsvoir.com/release/national-hemophilia-management-summit-adapting-to-change-disability-to-ability-in-changing-world-16292.html
24,"Araichimani, a Free Web/Mobile App to Crowdsource Public Support for Solving Social and Civic Problems, Launched ",https://www.newsvoir.com/release/araichimani-a-free-web-mobile-app-to-crowdsource-public-support-for-solving-social-and-civic-problems-launched-16265.html
25,"Make Videos the Desi Way on the New Indian Social Media App ""TToko""",https://www.newsvoir.com/release/make-videos-the-desi-way-on-the-new-indian-social-media-app-quot-ttoko-quot-16222.html
26,Korikart Unveils its Video Commerce Channel: Korikart TV Home Shopping,https://www.newsvoir.com/release/korikart-unveils-its-video-commerce-channel-korikart-tv-home-shopping-16178.html
27,Social Media is Biggest Market of Today's Business: Media Hindustan Founder Sagar Joshi says,https://www.newsvoir.com/release/social-media-is-biggest-market-of-today-apos-s-business-media-hindustan-founder-sagar-joshi-says-16061.html
28,Apeksha Films & Music's 'Main Sharabi' Garners Over 100 Million Views,https://www.newsvoir.com/release/apeksha-films-music-apos-s-apos-main-sharabi-apos-garners-over-100-million-views-15985.html
29,Atrangz Throws a Retro Themed Valentine's Day Party in Association with Glance,https://www.newsvoir.com/release/atrangz-throws-a-retro-themed-valentine-apos-s-day-party-in-association-with-glance-15750.html
30,T-Series and RED FM Launches Indie Hain Hum Season 2 with Tulsi Kumar,https://www.newsvoir.com/release/t-series-and-red-fm-launches-indie-hain-hum-season-2-with-tulsi-kumar-15632.html
31,"Omkar Rai Tops Global IoT Influencer in Nov 2020, Reports Global Magazine Verdict",https://www.newsvoir.com/release/omkar-rai-tops-global-iot-influencer-in-nov-2020-reports-global-magazine-verdict-15421.html
32,Delhi Based Automobile Studio's Instagram Account Hacked,https://www.newsvoir.com/release/delhi-based-automobile-studio-apos-s-instagram-account-hacked-15357.html
33,YOLO & Social Media Matters Release a Report on Youth Internet Usage and the Privacy and Security Concerns Associated with It,https://www.newsvoir.com/release/yolo-social-media-matters-release-a-report-on-youth-internet-usage-and-the-privacy-and-security-concerns-associated-with-it-15244.html
34,Discover the Joy of Giving with Jacqueline Way on Moonshot Conversations ,https://www.newsvoir.com/release/discover-the-joy-of-giving-with-jacqueline-way-on-moonshot-conversations-15126.html
35,Sesame Street's Global Edutainment Content Now Streaming in Hindi & Telugu on Sesame Workshop - India's YouTube Channels,https://www.newsvoir.com/release/sesame-street-apos-s-global-edutainment-content-now-streaming-in-hindi-telugu-on-sesame-workshop-india-apos-s-youtube-channels-15110.html
36,Young Gamer Ujjwal Chaurasia Crosses Over 10 Million Youtube Subscribers in Just Three Years,https://www.newsvoir.com/release/young-gamer-ujjwal-chaurasia-crosses-over-10-million-youtube-subscribers-in-just-three-years-15065.html
37,Renowned Author of IKIGAI – Hector Garcia Makes an Appearance on Moonshot Conversations,https://www.newsvoir.com/release/renowned-author-of-ikigai-hector-garcia-makes-an-appearance-on-moonshot-conversations-15052.html
38,Moonshot Conversation Invites Another Global Guest - Andrew Newman,https://www.newsvoir.com/release/moonshot-conversation-invites-another-global-guest-andrew-newman-14888.html
39,"Moshi Moshi Reaches 350 Million+ People, Marking India's Largest Video Blogging Competition ",https://www.newsvoir.com/release/moshi-moshi-reaches-350-million-people-marking-india-apos-s-largest-video-blogging-competition-14821.html
40,Reliance Jio Partners with USP Studios Strengthening its Kids Content Play,https://www.newsvoir.com/release/reliance-jio-partners-with-usp-studios-strengthening-its-kids-content-play-14763.html
41,"Super Star E Awards, A New Normal Biggest Digital Award Show  for the COVID Warrior and Social Media Entertainers During this Pandemic Time",https://www.newsvoir.com/release/super-star-e-awards-a-new-normal-biggest-digital-award-show-for-the-covid-warrior-and-social-media-entertainers-during-this-pandemic-time-14745.html
42,YOLO Concluded #SafetySeptember Campaign to Raise Awareness Around Cyber Security and Online Frauds,https://www.newsvoir.com/release/yolo-concluded-safetyseptember-campaign-to-raise-awareness-around-cyber-security-and-online-frauds-14732.html
43,Akash Ahuja's New Song 'Nini' Becomes Most Memed Indian Music Video of 2020,https://www.newsvoir.com/release/akash-ahuja-apos-s-new-song-apos-nini-apos-becomes-most-memed-indian-music-video-of-2020-14670.html
44,Manipadma Foundation Launches 'BIG ME - Lab of Transformation' ,https://www.newsvoir.com/release/manipadma-foundation-launches-apos-big-me-lab-of-transformation-apos-14579.html
45,Korroboree Introduces 'Moonshot Conversations' to Help Children Grow into the Best Versions of Themselves,https://www.newsvoir.com/release/korroboree-introduces-apos-moonshot-conversations-apos-to-help-children-grow-into-the-best-versions-of-themselves-14556.html
46,BigMuscles Nutrition Launches New Campaign #FitnessRefreshed with Brand Ambassador Ranveer Singh,https://www.newsvoir.com/release/bigmuscles-nutrition-launches-new-campaign-fitnessrefreshed-with-brand-ambassador-ranveer-singh-14454.html
47,"Butt out the Cigarette Butts with Let's Do It India's ""Fugitive"" this World Cleanup Day",https://www.newsvoir.com/release/butt-out-the-cigarette-butts-with-let-apos-s-do-it-india-apos-s-quot-fugitive-quot-this-world-cleanup-day-14343.html
