,title,link
0,"'WeToo' Campaign Launches its First eBook on IWD 2022, Co-authored by 50 Global Corporate Women Leaders",https://www.newsvoir.com/release/wetoo-campaign-launches-its-first-ebook-on-iwd-2022-co-authored-by-50-global-corporate-women-leaders-19664.html
1,India Turned COVID-19 Crisis into an Opportunity of Growth - Priyam Gandhi-Mody,https://www.newsvoir.com/release/india-turned-covid-19-crisis-into-an-opportunity-of-growth-priyam-gandhi-mody-19546.html
2,India Book of Records Achieves Better than Ever Before,https://www.newsvoir.com/release/india-book-of-records-achieves-better-than-ever-before-19447.html
3,"""India 2022"" a Ready Reckoner on Current Affairs for Aspirants of Civil Services and Other Competitive Examinations",https://www.newsvoir.com/release/india-2022-a-ready-reckoner-on-current-affairs-for-aspirants-of-civil-services-and-other-competitive-examinations-19391.html
4,Booklet on Cancer and its Treatment Released on World Cancer Day at Dr. Kamakshi Memorial Hospital,https://www.newsvoir.com/release/booklet-on-cancer-and-its-treatment-released-on-world-cancer-day-at-dr-kamakshi-memorial-hospital-19398.html
5,A Step Towards an Inward Journey with - I Wanna Grow Up Once Again,https://www.newsvoir.com/release/a-step-towards-an-inward-journey-with-i-wanna-grow-up-once-again-19341.html
6,"Author Anubhav Kandpal Launches his Debut Book, 'We Get to Live' that Takes You on a Journey of Wonder",https://www.newsvoir.com/release/author-anubhav-kandpal-launches-his-debut-book-we-get-to-live-that-takes-you-on-a-journey-of-wonder-19245.html
7,"""What I am Today is because of Random Acts of Kindness from Strangers,"" says Best Selling Author Abbas Kazerooni
",https://www.newsvoir.com/release/what-i-am-today-is-because-of-random-acts-of-kindness-from-strangers-says-best-selling-author-abbas-kazerooni-19240.html
8,"India's 1st Season Style Book 'The Class of 2006: Sneak Peek into the Misadventures of the Great Indian Engineering Life', Written by Mr. Akash Kansal, Launched by R. Madhavan",https://www.newsvoir.com/release/india-s-1st-season-style-book-the-class-of-2006-sneak-peek-into-the-misadventures-of-the-great-indian-engineering-life-written-by-mr-akash-kansal-launched-by-r-madhavan-19219.html
9,"Sentinels of the Soil is a Storybook of Courage, Determination and Growing Human Compassion",https://www.newsvoir.com/release/sentinels-of-the-soil-is-a-storybook-of-courage-determination-and-growing-human-compassion-19159.html
