,title,link
0,"Alpino Health Foods, a Shark Tank Brand, Raises Funds through Revenue Based Financing before its Seed Round",https://www.newsvoir.com/release/alpino-health-foods-a-shark-tank-brand-raises-funds-through-revenue-based-financing-before-its-seed-round-19697.html
1,"A&W Capital Acts as the Exclusive Financial Advisor to KukuFM for its Series B Fund Raise of USD 19.5 Million Led by Krafton
",https://www.newsvoir.com/release/a-w-capital-acts-as-the-exclusive-financial-advisor-to-kukufm-for-its-series-b-fund-raise-of-usd-19-5-million-led-by-krafton-19688.html
2,Nexdigm Expands its Geographical Presence with New Office in Illinois,https://www.newsvoir.com/release/nexdigm-expands-its-geographical-presence-with-new-office-in-illinois-19679.html
3,Socomec India Unveils New Website to Mark its 100th Anniversary,https://www.newsvoir.com/release/socomec-india-unveils-new-website-to-mark-its-100th-anniversary-19671.html
4,Cuentas Offers App-Based Cross Border Money Transfers Powered by Western Union,https://www.newsvoir.com/release/cuentas-offers-app-based-cross-border-money-transfers-powered-by-western-union-19650.html
5,Announcing Colive Venus2022 with Rs. 25 Lakhs of Stay Scholarships for Female Students and Women Entrepreneurs,https://www.newsvoir.com/release/announcing-colive-venus2022-with-rs-25-lakhs-of-stay-scholarships-for-female-students-and-women-entrepreneurs-19652.html
6,Sodexo Intensifies Ground Actions to Improve Women Participation in Frontline Roles,https://www.newsvoir.com/release/sodexo-intensifies-ground-actions-to-improve-women-participation-in-frontline-roles-19655.html
7,PreludeSys is All Set to Welcome their Employees Back to Work,https://www.newsvoir.com/release/preludesys-is-all-set-to-welcome-their-employees-back-to-work-19641.html
8,Esri India Becomes a Great Place to Work® yet again,https://www.newsvoir.com/release/esri-india-becomes-a-great-place-to-work-yet-again-19639.html
9,Truecaller Encourages Women to CallItOut with ItsNotOk Campaign,https://www.newsvoir.com/release/truecaller-encourages-women-to-callitout-with-itsnotokay-campaign-19635.html
10,"Techlutions is Delighted to Announce the Launch of ""SCORE""",https://www.newsvoir.com/release/techlutions-is-delighted-to-announce-the-launch-of-quot-score-quot-19619.html
11,Rise Infraventures Targets 300 Crore of Sales with Delhi Office,https://www.newsvoir.com/release/rise-infraventures-targets-300-crore-of-sales-with-delhi-office-19630.html
12,"NTT DATA and NLB Services Announce, 'Bridge The Gap' Hackathon for Women IT Professionals",https://www.newsvoir.com/release/ntt-data-and-nlb-services-announce-bridge-the-gap-hackathon-for-women-it-professionals-19624.html
13,Cooperative Sector Key to Aatmanirbhar Bharat,https://www.newsvoir.com/release/cooperative-sector-key-to-aatmanirbhar-bharat-19615.html
14,"PRAMA's First Brand Store in India Opens in Bhavnagar, Gujarat",https://www.newsvoir.com/release/pramas-first-brand-store-in-india-opens-in-bhavnagar-gujarat-19616.html
15,"GreenCell Mobility Kicks off 51st National Safety Week, Reinforces Workplace Safety, Health, and Environment Practices",https://www.newsvoir.com/release/greencell-mobility-kicks-off-51st-national-safety-week-reinforces-workplace-safety-health-and-environment-practices-19604.html
16,ETMONEY's Technology-led Approach is Enabling Investors to Generate better Returns Using Passive Funds,https://www.newsvoir.com/release/etmoney-s-technology-led-approach-is-enabling-investors-to-generate-better-returns-using-passive-funds-19606.html
17,CoSoSys Launches Advanced Content Detection and Integrations with the Release of Endpoint Protector 5.5.0.0 in India,https://www.newsvoir.com/release/cososys-launches-advanced-content-detection-and-integrations-with-the-release-of-endpoint-protector-5-5-0-0-in-india-19603.html
18,Drip Capital Named to Y Combinator's Top Companies List,https://www.newsvoir.com/release/drip-capital-named-to-y-combinator-s-top-companies-list-19607.html
