,title,link
0,COVIDActionCollab and USAID Provide Critical COVID-19 Services to 10 Million,https://www.newsvoir.com/release/covidactioncollab-and-usaid-provide-critical-covid-19-services-to-10-million-19700.html
1,AXA in India Boosts Telemedicine Helpline with Free Specialist Teleconsultation Feature,https://www.newsvoir.com/release/axa-in-india-boosts-telemedicine-helpline-with-free-specialist-teleconsultation-feature-19682.html
2,Legrand Organizes India's First Electrician Job Fair in Udaipur,https://www.newsvoir.com/release/legrand-organizes-indias-first-electrician-job-fair-in-udaipur-19669.html
3,40 Women Survivors of Acid Attacks Seek Support to Battle Stigma and Reclaim their Lives,https://www.newsvoir.com/release/40-women-survivors-of-acid-attacks-seek-support-to-battle-stigma-and-reclaim-their-lives-19672.html
4,OrgFarm - Empowering Rural Women Drive Economic Growth,https://www.newsvoir.com/release/orgfarm-empowering-rural-women-drive-economic-growth-19660.html
5,"Sonalika Publications Launches ""Tales of Different Tails"" Book Series; Celebrates the Fun-filled Way of Learning and Living with a Splash of 'Monkeyness'",https://www.newsvoir.com/release/sonalika-publications-launches-tales-of-different-tails-book-series-celebrates-the-fun-filled-way-of-learning-and-living-with-a-splash-of-monkeyness-19634.html
6,"Max Life Insurance Donates 8500 COVID Care Kits to Gurugram Police Department, Ensures Frontline Protection for the Entire Police Workforce in the City",https://www.newsvoir.com/release/max-life-insurance-donates-8500-covid-care-kits-to-gurugram-police-department-ensures-frontline-protection-for-the-entire-police-workforce-in-the-city-19617.html
7,"Encouraging more STEM Education for Girls, Olay Funds Scholarships with India EdTech Unicorn LEAD to 'STEM The Gap'",https://www.newsvoir.com/release/encouraging-more-stem-education-for-girls-olay-funds-scholarships-with-india-edtech-unicorn-lead-to-stem-the-gap-19483.html
8,Beetle Bikes Bring a Smile to Children at Angel Home NGO,https://www.newsvoir.com/release/beetle-bikes-bring-a-smile-to-children-at-angel-home-ngo-19471.html
9,Need to Address Micronutrient Deficiency and Severe Acute Malnutrition on Priority,https://www.newsvoir.com/release/need-to-address-micronutrient-deficiency-and-severe-acute-malnutrition-on-priority-19352.html
10,CRC Group Launches 'Spirit of Noida' Initiative,https://www.newsvoir.com/release/crc-group-launches-spirit-of-noida-initiative-19303.html
11,"10Impact, A Brand New Arm Launched by Innovative Financial Advisors Pvt. Ltd.",https://www.newsvoir.com/release/10impact-a-brand-new-arm-launched-by-innovative-financial-advisors-pvt-ltd-19277.html
12,"Global Leaders Unite to Pledge Commitments to Ending Neglected Tropical Diseases By 2030
",https://www.newsvoir.com/release/global-leaders-unite-to-pledge-commitments-to-ending-neglected-tropical-diseases-by-2030-19242.html
13,"Alstom in Collaboration with its NGO Partner United Way Bengaluru Supports Integrated Rural Development at Selakarachal Gram Panchayat, Sultanpet Block in Coimbatore",https://www.newsvoir.com/release/alstom-in-collaboration-with-its-ngo-partner-united-way-bengaluru-supports-integrated-rural-development-at-selakarachal-gram-panchayat-sultanpet-block-in-coimbatore-19094.html
14,GiveIndia's 'Gold Standard' Work Culture Recognised for a Second Consecutive Year,https://www.newsvoir.com/release/giveindias-gold-standard-work-culture-recognised-for-a-second-consecutive-year-19062.html
15,In surge of 3rd Wave Crypto Relief Activates 1000 Beds across Major Affected Areas,https://www.newsvoir.com/release/in-surge-of-3rd-wave-crypto-relief-activates-1000-beds-across-major-affected-areas-19034.html
16,USAID Partners with Local Governments and the Private Sector to Launch 90+ Mobile Units to Drive COVID-19 Vaccination uptake Amongst Rural Communities,https://www.newsvoir.com/release/usaid-partners-with-local-governments-and-the-private-sector-to-launch-90-mobile-units-to-drive-covid-19-vaccination-uptake-amongst-rural-communities-19026.html
17,Investors Clinic Honours COVID Warriors by Awarding a Flat,https://www.newsvoir.com/release/investors-clinic-honours-covid-warriors-by-awarding-a-flat-18971.html
18,"M3M Foundation Begins 'Share for Care' 2022 Initiative to Distribute over 10k Blankets, Jackets to Construction Workers",https://www.newsvoir.com/release/m3m-foundation-begins-apos-share-for-care-apos-2022-initiative-to-distribute-over-10k-blankets-jackets-to-construction-workers-18950.html
19,Milaap Thanks all Donors who Helped to Restore Faith in Humanity in 2021: The Year of Generosity,https://www.newsvoir.com/release/milaap-thanks-all-donors-who-helped-to-restore-faith-in-humanity-in-2021-the-year-of-generosity-18849.html
20,O2 Cure Launches Awareness Campaign BreatheSafewithO2Cure,https://www.newsvoir.com/release/o2-cure-launches-awareness-campaign-breathesafewitho2cure-18891.html
21,"Delivering Oxygen to India's Remotest Parts, The Story of Absstem",https://www.newsvoir.com/release/delivering-oxygen-to-indias-remotest-parts-the-story-of-absstem-18859.html
22,The Forecast for 2022 is Bright Skies as AkzoNobel Springs a Colourful Surprise for Over 1300 School Children in New Delhi,https://www.newsvoir.com/release/the-forecast-for-2022-is-bright-skies-as-akzonobel-springs-a-colourful-surprise-for-over-1300-school-children-in-new-delhi-18790.html
23,Muskaan's Fresh Approach to Promote India's Literary and Cultural Heritage Among Students,https://www.newsvoir.com/release/muskaan-s-fresh-approach-to-promote-india-s-literary-and-cultural-heritage-among-students-18759.html
24,"Phoenix Marketcity Pune Organizes the Biggest Community Toy Donation Drive in the Country

",https://www.newsvoir.com/release/phoenix-marketcity-pune-organizes-the-biggest-toy-donation-drive-in-the-country-18679.html
