,title,link
0,"Following the Digital Dream: AgFarm, A Dubai Based Agrochemical Company, Launched in India",https://www.newsvoir.com/release/following-the-digital-dream-agfarm-a-dubai-based-agrochemical-company-launched-in-india-19695.html
1,Best Agrolife Ltd. Starts Production in its Subsidiary Unit Seedling India Pvt. Ltd.,https://www.newsvoir.com/release/best-agrolife-ltd-starts-production-in-its-subsidiary-unit-seedling-india-pvt-ltd-19294.html
2,Peptech Biosciences Ltd. Receives Grant of Registration for Paclobutrazole Technical 95 percent w/w,https://www.newsvoir.com/release/peptech-biosciences-ltd-receives-grant-of-registration-for-paclobutrazole-technical-95-percent-w-w-19061.html
3,"Agra Nagar Nigam Joins Hands with TARA, the Alliance to End Plastic Waste and GoMassive to Fight Plastic Waste",https://www.newsvoir.com/release/agra-nagar-nigam-joins-hands-with-tara-the-alliance-to-end-plastic-waste-and-gomassive-to-fight-plastic-waste-18867.html
4,Krishna Kunj Production's Founder Vatsal Joshi Completes Beach Cleaning Drive with DPIFF in Mumbai,https://www.newsvoir.com/release/krishna-kunj-productions-founder-vatsal-joshi-completes-beach-cleaning-drive-with-dpiff-in-mumbai-18851.html
5,"Palram Industries Acquires Tuflite Polymers, India ",https://www.newsvoir.com/release/palram-industries-acquires-tuflite-polymers-india-18723.html
6,Rajasthan to Offer Big-bang Investment Opportunities in Petrochemicals and Fintech Sectors at EXPO2020 India Pavilion  ,https://www.newsvoir.com/release/rajasthan-to-offer-big-bang-investment-opportunities-in-petrochemicals-and-fintech-sectors-at-expo2020-india-pavilion-18354.html
7,Chemco Becomes First Company to get BIS Certification for its Baby Feeding Bottle Nipples/Teats,https://www.newsvoir.com/release/chemco-becomes-first-company-to-get-bis-certification-for-its-baby-feeding-bottle-nipples-teats-18029.html
8,Ricron Panels from India Receives the Nestle Creating Shared Value Prize,https://www.newsvoir.com/release/ricron-panels-from-india-receives-the-nestle-creating-shared-value-prize-17149.html
9,This Indian Sodamaker Brand is Doing its bit to Reduce Plastic Pollution using Reusable Bottles,https://www.newsvoir.com/release/this-indian-sodamaker-brand-is-doing-its-bit-to-reduce-plastic-pollution-using-reusable-bottles-17088.html
10,TCG Group and Haldia Petrochemical Limited Appoint B. Anand as CEO for their Greenfield Polymer Business and ESG Initiatives,https://www.newsvoir.com/release/tcg-group-and-haldia-petrochemical-limited-appoint-b-anand-as-ceo-for-their-greenfield-polymer-business-and-esg-initiatives-17071.html
11,Vectus Rewards its Channel Partners with an Exclusive Membership,https://www.newsvoir.com/release/vectus-rewards-its-channel-partners-with-an-exclusive-membership-16967.html
12,"Hindcon Chemicals Limited Shines Yet Again, Made its Way to the Main Board of NSE",https://www.newsvoir.com/release/hindcon-chemicals-limited-shines-yet-again-made-its-way-to-the-main-board-of-nse-16966.html
13,Tech Plaastic Industrie Launches its Redesigned Website,https://www.newsvoir.com/release/tech-plaastic-industrie-launches-its-redesigned-website-16834.html
14,"Yasho Industries Expands Capacity from 9,200 MTPA to 11,000 MTPA",https://www.newsvoir.com/release/yasho-industries-expands-capacity-from-9-200-mtpa-to-11-000-mtpa-16824.html
15,EPL Joins Hands with GSK Consumer Healthcare for a Sustainable Future,https://www.newsvoir.com/release/epl-joins-hands-with-gsk-consumer-healthcare-for-a-sustainable-future-16573.html
16,"Forum for Sustainable Enterprises Inks MoU with Ocean Recovery Alliance for Plastic Disclosure Project

",https://www.newsvoir.com/release/forum-for-sustainable-enterprises-inks-mou-with-ocean-recovery-alliance-for-plastic-disclosure-project-16540.html
17,India's First Plastic Credit Certificate Trading Platform Ecoex Completes Online Transaction of 5000 MTs of Plastic Waste ,https://www.newsvoir.com/release/india-s-first-plastic-credit-certificate-trading-platform-ecoex-completes-online-transaction-of-5000-mts-of-plastic-waste-16436.html
18,A Story of 70 Years: Atul is Serving Diverse Industries and Touching Lives with Quality Products and Services,https://www.newsvoir.com/release/a-story-of-70-years-atul-is-serving-diverse-industries-and-touching-lives-with-quality-products-and-services-16115.html
19,Atotech Inaugurates its R&D and TechCenter in India,https://www.newsvoir.com/release/atotech-inaugurates-its-r-d-and-techcenter-in-india-16020.html
20,"REHAU Appoints Mrs. Bhavana Bindra as Managing Director, South Asia",https://www.newsvoir.com/release/rehau-appoints-mrs-bhavana-bindra-as-managing-director-south-asia-15993.html
21,TCG Funds Fund 1 Picks up Stake in G G Engineering Ltd.,https://www.newsvoir.com/release/tcg-funds-fund-1-picks-up-stake-in-g-g-engineering-ltd-15895.html
22,"Cyient, EDF Energy, and Uniper Discuss How Technology Holds the Key to Decarbonization and a Sustainable Future",https://www.newsvoir.com/release/cyient-edf-energy-and-uniper-discuss-how-technology-holds-the-key-to-decarbonization-and-a-sustainable-future-15785.html
23,"Evonik India to Showcase its Advanced Product for Biogas Purification, at the Indian Biogas Association's Virtual Event ""E Bioenergy 2021""",https://www.newsvoir.com/release/evonik-india-to-showcase-its-advanced-product-for-biogas-purification-at-the-indian-biogas-association-apos-s-virtual-event-quot-e-bioenergy-2021-quot-15746.html
24,Green India Polymers - 4 Million USD Turn-over - Waste Management to Wealth Management ,https://www.newsvoir.com/release/green-india-polymers-4-million-usd-turn-over-waste-management-to-wealth-management-15561.html
25,Vikas EcoTech Ltd. Board to Consider Rights Issue and Corporate Debt Reduction,https://www.newsvoir.com/release/vikas-ecotech-ltd-board-to-consider-rights-issue-and-corporate-debt-reduction-15496.html
26,"CHD Chemicals Announces Q3 Results; Net Profit Rises 262%, EPS Almost Quadruples",https://www.newsvoir.com/release/chd-chemicals-announces-q3-results-net-profit-rises-262-eps-almost-quadruples-15443.html
