,title,link
0,Afcons Creates Milestone in J&K by Excavating 7.32 km of 12.75 km-long Tunnel; Connects Country's Longest Rail Tunnel under Extreme Conditions,https://www.newsvoir.com/release/afcons-creates-milestone-in-j-k-by-excavating-7-32-km-of-12-75-km-long-tunnel-connects-country-s-longest-rail-tunnel-under-extreme-conditions-19463.html
1,Assetz Launches New Towers in its 26-acre Sustainable Township,https://www.newsvoir.com/release/assetz-launches-new-towers-in-its-26-acre-sustainable-township-19360.html
2,'M3M Capital' Luxury Golf Residential Project near Aerocity Clocks Rs. 800 Crore Booking in First 3-days,https://www.newsvoir.com/release/m3m-capital-luxury-golf-residential-project-near-aerocity-clocks-rs-800-crore-booking-in-first-3-days-19344.html
3,"US-based DHR Holdings Leases 35,000 Square Feet of Commercial Space with The Phoenix Mills Ltd.",https://www.newsvoir.com/release/us-based-dhr-holdings-leases-35-000-square-feet-of-commercial-space-with-the-phoenix-mills-ltd-19329.html
4,SoftTech's BIM-based Construction Permit Platform has Helped Municipal Corporation of Greater Mumbai Boost Ease of Doing Business Ranking,https://www.newsvoir.com/release/softtech-s-bim-based-construction-permit-platform-has-helped-municipal-corporation-of-greater-mumbai-boost-ease-of-doing-business-ranking-19258.html
5,Farmhouses see Jump in Demand after New CLU Policy,https://www.newsvoir.com/release/farmhouses-see-jump-in-demand-after-new-clu-policy-19190.html
6,Real Estate Sector Looks Forward to Promising 2022,https://www.newsvoir.com/release/real-estate-sector-looks-forward-to-promising-2022-18939.html
7,8 Most Liked Projects of 2021,https://www.newsvoir.com/release/8-most-liked-projects-of-2021-18933.html
8,Krisumi Waterfall Residences Enters the 100 Crores League in Q3,https://www.newsvoir.com/release/krisumi-waterfall-residences-enters-the-100-crores-league-in-q3-18914.html
9,Sahyadri Industries Ltd. Appoints New Independent Director,https://www.newsvoir.com/release/sahyadri-industries-ltd-appoints-new-independent-director-18842.html
10,"Zion Exhibition Unveils its Biggest Clutter-breaking Platform, D-Arc Build",https://www.newsvoir.com/release/zion-exhibition-unveils-its-biggest-clutter-breaking-platform-d-arc-build-18717.html
11,"Egis Fastest Growing in the Market, Bags 65 Projects Amidst COVID-19",https://www.newsvoir.com/release/egis-fastest-growing-in-the-market-bags-65-projects-amidst-covid-19-18325.html
12,Elan Group Partners with BL Kashyap and Sons Ltd. for the Construction of its Project Elan Paradise,https://www.newsvoir.com/release/elan-group-partners-with-bl-kashyap-and-sons-ltd-for-the-construction-of-its-project-elan-paradise-18178.html
13,Pharande Spaces Announces Festive Launch of Vaanya - Woodsville Phase 4,https://www.newsvoir.com/release/pharande-spaces-announces-festive-launch-of-vaanya-woodsville-phase-4-18038.html
14,Shyam Steel to Expand its Retail Presence Pan India,https://www.newsvoir.com/release/shyam-steel-to-expand-its-retail-presence-pan-india-17841.html
15,"Weekend Homes are the New Holiday Destination, ARCLAIN Brings a Fresh Perspective to Holiday Homes",https://www.newsvoir.com/release/weekend-homes-are-the-new-holiday-destination-arclain-brings-a-fresh-perspective-to-holiday-homes-17836.html
16,NRIDA to Explore Smart Solutions to Improve the Pace of Rural Road Construction and Up-keep,https://www.newsvoir.com/release/nrida-to-explore-smart-solutions-to-improve-the-pace-of-rural-road-construction-and-up-keep-17679.html
17,Gulshan Announces Possession of Over 1888 Units,https://www.newsvoir.com/release/gulshan-announces-possession-of-over-1888-units-17670.html
18,ANAROCK Launches Smart Community Management Proptech Platform ANACITY for Middle East and Africa,https://www.newsvoir.com/release/anarock-launches-smart-community-management-proptech-platform-anacity-for-middle-east-and-africa-17665.html
19,Viridian RED Puts Faridabad on the Global Map with the Launch of WTC Faridabad at RPS Infinia,https://www.newsvoir.com/release/viridian-red-puts-faridabad-on-the-global-map-with-the-launch-of-wtc-faridabad-at-rps-infinia-17647.html
20,CodeName 1873: The Crowning Glory of Mahalunge,https://www.newsvoir.com/release/codename-1873-the-crowning-glory-of-mahalunge-17550.html
21,Hafele's Extensive SLIDO Wall Range - The Palace 110  ,https://www.newsvoir.com/release/hafele-s-extensive-slido-wall-range-the-palace-110-17342.html
22,Ajeenkya D Y Patil Healthcare Awards an Approximate 100 Mn USD Construction Contract to Ashoka Buildcon Ltd.,https://www.newsvoir.com/release/ajeenkya-d-y-patil-healthcare-awards-an-approximate-100-mn-usd-construction-contract-to-ashoka-buildcon-ltd-17228.html
23,"Come 2022, Pedestrian-only Chandni Chowk to have its Multi-level Parking",https://www.newsvoir.com/release/come-2022-pedestrian-only-chandni-chowk-to-have-its-multi-level-parking-17067.html
24,"eGov Foundation and The Town and Country Planning Department, Govt. of Puducherry, Celebrate the Inauguration of the eDCR",https://www.newsvoir.com/release/egov-foundation-and-the-town-and-country-planning-department-govt-of-puducherry-celebrate-the-inauguration-of-the-edcr-16929.html
25,"Startup UNI Brings Architects, Consumers on Single Platform for Custom-built Home Designs",https://www.newsvoir.com/release/startup-uni-brings-architects-consumers-on-single-platform-for-custom-built-home-designs-16860.html
26,Trimble helps Remove 7 Million Metric Tons of Greenhouse Gas Emissions Annually ,https://www.newsvoir.com/release/trimble-helps-remove-7-million-metric-tons-of-greenhouse-gas-emissions-annually-16842.html
27,"Maccaferri Successfully Completes Landslide Mitigation Works in the Hilly Terrains of Lambagarh, Uttarakhand",https://www.newsvoir.com/release/maccaferri-successfully-completes-landslide-mitigation-works-in-the-hilly-terrains-of-lambagarh-uttarakhand-16721.html
28,"Upgradation of Financing Mediums to Activate Growth in Solar Rooftop Market

",https://www.newsvoir.com/release/upgradation-of-financing-mediums-to-activate-growth-in-solar-rooftop-market-16394.html
29,One-of-its-kind Webinar Hosted by Krisumi Corporation Witnesses Record Registration of Over 5000 Delegates,https://www.newsvoir.com/release/one-of-its-kind-webinar-hosted-by-krisumi-corporation-witnesses-record-registration-of-over-5000-delegates-16206.html
30,Shrachi's BTL EPC Ltd. Bags Order Worth Rs. 170 Cr from Bharat Heavy Electricals Limited,https://www.newsvoir.com/release/shrachi-apos-s-btl-epc-ltd-bags-order-worth-rs-170-cr-from-bharat-heavy-electricals-limited-16177.html
31,Krisumi Corporation to Launch an Immersive 360 Degree Walkthrough of 'Krisumi Waterfall Residences' ,https://www.newsvoir.com/release/krisumi-corporation-to-launch-an-immersive-360-degree-walkthrough-of-apos-krisumi-waterfall-residences-apos-16169.html
32,"Bhutani: Revolutionizing the Commercial Realty
",https://www.newsvoir.com/release/bhutani-revolutionizing-the-commercial-realty-16119.html
33,RR Parkon Installs Multi-level Car Parking System in Delhi's Lajpat Nagar,https://www.newsvoir.com/release/rr-parkon-installs-multi-level-car-parking-system-in-delhi-apos-s-lajpat-nagar-15935.html
34,Egis has Ambitious Plans for India and is Looking to Contribute to India's Dynamic Growth Story,https://www.newsvoir.com/release/egis-has-ambitious-plans-for-india-and-is-looking-to-contribute-to-india-apos-s-dynamic-growth-story-15822.html
35,Tekla Software Helps Eversendai Complete Statue of Unity's Construction Two Months Ahead of Schedule,https://www.newsvoir.com/release/tekla-software-helps-eversendai-complete-statue-of-unity-apos-s-construction-two-months-ahead-of-schedule-15799.html
36,Generic Engineering Construction and Projects Limited now Listed on NSE; Aims to Double Turnover and PAT,https://www.newsvoir.com/release/generic-engineering-construction-and-projects-limited-now-listed-on-nse-aims-to-double-turnover-and-pat-15757.html
37,"CII-ANAROCK COVID-19 Sentiment Survey - 43% Homebuyers Now Prefer Peripheral Areas, Millennial Buyers Up 31%",https://www.newsvoir.com/release/cii-anarock-covid-19-sentiment-survey-43-homebuyers-now-prefer-peripheral-areas-millennial-buyers-up-31-15744.html
38,Bigbloc Construction Ltd. Plant at Full Capacity; Infra Sector Gets Massive Budget Boost,https://www.newsvoir.com/release/bigbloc-construction-ltd-plant-at-full-capacity-infra-sector-gets-massive-budget-boost-15717.html
39,ANAROCK Seals Another Major Deal for 20 Acres of Land in Kolkata,https://www.newsvoir.com/release/anarock-seals-another-major-deal-for-20-acres-of-land-in-kolkata-15689.html
40,India's Largest Panoramic Mural Created at Chennai's Indira Nagar Railway Station ,https://www.newsvoir.com/release/india-apos-s-largest-panoramic-mural-created-at-chennai-apos-s-indira-nagar-railway-station-15676.html
41,Shree Cement CSR Support for Senior Citizens Project Pronam gets a Boost,https://www.newsvoir.com/release/shree-cement-csr-support-for-senior-citizens-project-pronam-gets-a-boost-15624.html
42,Installation of Modular Steel Structure begins at Omaxe Chowk,https://www.newsvoir.com/release/installation-of-modular-steel-structure-begins-at-omaxe-chowk-15461.html
43,LIC Raises Stake to 5.27% in IRB Infrastructure Developers Ltd.,https://www.newsvoir.com/release/lic-raises-stake-to-5-27-in-irb-infrastructure-developers-ltd-14885.html
44,"As Part of it's Customer-first Approach, Design Cafe Launches Fully Integrated Home-tech Platform for Customers ",https://www.newsvoir.com/release/as-part-of-it-apos-s-customer-first-approach-design-cafe-launches-fully-integrated-home-tech-platform-for-customers-14871.html
45,M3M Records 500 Crores of Sales within 14 Days of the Launch of 'Port Your Property' Campaign,https://www.newsvoir.com/release/m3m-records-500-crores-of-sales-within-14-days-of-the-launch-of-apos-port-your-property-apos-campaign-14862.html
46,Raheja Developers Adjudged 'Best Employer' in the Real Estate Category by IBRF,https://www.newsvoir.com/release/raheja-developers-adjudged-apos-best-employer-apos-in-the-real-estate-category-by-ibrf-14852.html
47,Trimble Hosts its First-ever Virtual Tekla User Days (TUD) Event in India ,https://www.newsvoir.com/release/trimble-hosts-its-first-ever-virtual-tekla-user-days-tud-event-in-india-14817.html
48,"Atal Realtech Ltd. Launches IPO, to Close on 7th October",https://www.newsvoir.com/release/atal-realtech-ltd-launches-ipo-to-close-on-7th-october-14727.html
49,"For the 1st Time in Real Estate, Bhutani Group Offers an Advance Return Offer",https://www.newsvoir.com/release/for-the-1st-time-in-real-estate-bhutani-group-offers-an-advance-return-offer-14675.html
50,"Omaxe Chowk Having Wholesale, Retail Stores, Food Court to Comes up at Chandni Chowk",https://www.newsvoir.com/release/omaxe-chowk-having-wholesale-retail-stores-food-court-to-comes-up-at-chandni-chowk-14607.html
51,Generic Engineering Bags Orders Worth Rs. 101.95 Crore,https://www.newsvoir.com/release/generic-engineering-bags-orders-worth-rs-101-95-crore-14473.html
52,"ANAROCK Retail Partners with UAE's Vindico for Post-COVID-19 Store Designs, Integrated Leasing and Tenant Coordination",https://www.newsvoir.com/release/anarock-retail-partners-with-uae-apos-s-vindico-for-post-covid-19-store-designs-integrated-leasing-and-tenant-coordination-14345.html
53,Omaxe Chowk will Set an Example for Other Projects: North DMC Mayor,https://www.newsvoir.com/release/omaxe-chowk-will-set-an-example-for-other-projects-north-dmc-mayor-14246.html
54,Mace-ANAROCK Collaboration to Deliver Tech-driven Construction Solutions to Indian Real Estate,https://www.newsvoir.com/release/mace-anarock-collaboration-to-deliver-tech-driven-construction-solutions-to-indian-real-estate-14193.html
55,Mangal Keshav Securities Limited gives Buy Call on Generic Engineering Constructions and Projects Ltd.,https://www.newsvoir.com/release/mangal-keshav-securities-limited-gives-buy-call-on-generic-engineering-constructions-and-projects-ltd-14178.html
56,"IRB Infra Bags Rs. 2,193 Crore Project in West Bengal; March 2020 Order Book Stands Updated at Rs. 14,600 Crores",https://www.newsvoir.com/release/irb-infra-bags-rs-2-193-crore-project-in-west-bengal-march-2020-order-book-stands-updated-at-rs-14-600-crores-14176.html
57,Commercial Realty will Leap Back to Normal by Q4: Experts,https://www.newsvoir.com/release/commercial-realty-will-leap-back-to-normal-by-q4-experts-14086.html
58,WTC Gift City Gears up to Accelerate the State's Economy,https://www.newsvoir.com/release/wtc-gift-city-gears-up-to-accelerate-the-state-apos-s-economy-14087.html
59,CLSA Gives a Buy Call on IRB Infrastructure Developers with a Target of Rs. 166,https://www.newsvoir.com/release/clsa-gives-a-buy-call-on-irb-infrastructure-developers-with-a-target-of-rs-166-14082.html
60,Shree Cement Recognised Among India's Top 100 Best Places to Work and Best in Cement & Building Materials for 2020,https://www.newsvoir.com/release/shree-cement-recognised-among-india-apos-s-top-100-best-places-to-work-and-best-in-cement-building-materials-for-2020-14075.html
61,HDFC Securities Gives a Buy Call on IRB Infrastructure Developers with a Target of Rs. 142,https://www.newsvoir.com/release/hdfc-securities-gives-a-buy-call-on-irb-infrastructure-developers-with-a-target-of-rs-142-14067.html
