,title,link
0,Zamil Steel Buildings India Pvt. Ltd. Partners with Trimble to Transform Steel Fabrication around the World,https://www.newsvoir.com/release/zamil-steel-buildings-india-pvt-ltd-partners-with-trimble-to-transform-steel-fabrication-around-the-world-19470.html
1,SoftTech's BIM-based Construction Permit Platform has Helped Municipal Corporation of Greater Mumbai Boost Ease of Doing Business Ranking,https://www.newsvoir.com/release/softtech-s-bim-based-construction-permit-platform-has-helped-municipal-corporation-of-greater-mumbai-boost-ease-of-doing-business-ranking-19258.html
2,JK Lakshmi Cement Posted Net Profit Rs. 59.84 Cr. in Oct-Dec 21,https://www.newsvoir.com/release/jk-lakshmi-cement-posted-net-profit-rs-59-84-cr-in-oct-dec-21-19254.html
3,The Eponymous Web-series 'Asian Paints Where The Heart Is' is back with Beautiful Celebrity Homes that tell Unique Stories in Season 5,https://www.newsvoir.com/release/the-eponymous-web-series-asian-paints-where-the-heart-is-is-back-with-beautiful-celebrity-homes-that-tell-unique-stories-in-season-5-19197.html
4,Sany India Delivers India's Largest Crawler Crane for Wind Mill Application,https://www.newsvoir.com/release/sany-india-delivers-india-s-largest-crawler-crane-for-wind-mill-application-19180.html
5,Hafele Argento Kitchen Sinks,https://www.newsvoir.com/release/hafele-argento-kitchen-sinks-19164.html
6,Pearl Precision Rebrands itself as Sparsh Pearl,https://www.newsvoir.com/release/pearl-precision-rebrands-itself-as-sparsh-pearl-19149.html
7,Orvi's Supernova Collection Wins Archiproducts Design Awards 2021,https://www.newsvoir.com/release/orvis-supernova-collection-wins-archiproducts-design-awards-2021-19063.html
8,Kitchen Chores Made Efficient with Hafele's Pluma Deck Mounted Cold Faucet,https://www.newsvoir.com/release/kitchen-chores-made-efficient-with-hafele-s-pluma-deck-mounted-cold-faucet-18954.html
9,Asian Granito India Ltd. Plans One of World's Largest Tiles Showroom in Gujarat,https://www.newsvoir.com/release/asian-granito-india-ltd-plans-one-of-worlds-largest-tiles-showroom-in-gujarat-18875.html
10,Simpolo Vitrified Strengthens its Presence in Virar,https://www.newsvoir.com/release/simpolo-vitrified-strengthens-its-presence-in-virar-18854.html
11,Sahyadri Industries Ltd. Appoints New Independent Director,https://www.newsvoir.com/release/sahyadri-industries-ltd-appoints-new-independent-director-18842.html
12,The Quarry Unveils the Exclusive Laas Authentico from Italy,https://www.newsvoir.com/release/the-quarry-unveils-the-exclusive-laas-authentico-from-italy-18731.html
13,JEE-O Slimline Bath Series by Hafele,https://www.newsvoir.com/release/jee-o-slimline-bath-series-by-hafele-18706.html
14,Sany India Expands Dealer Footprint in Jammu and Kashmir,https://www.newsvoir.com/release/sany-india-expands-dealer-footprint-in-jammu-and-kashmir-18611.html
15,"MB Power, ACC, Join Hands to Transport Fly Ash using Indian Railways in Madhya Pradesh


",https://www.newsvoir.com/release/mb-power-acc-join-hands-to-transport-fly-ash-using-indian-railways-in-madhya-pradesh-18493.html
16,CERA Sanitaryware Announces Q2 FY22 Results; Sees 43 percent Rise in EBITDA,https://www.newsvoir.com/release/cera-sanitaryware-announces-q2-fy22-results-sees-43-percent-rise-in-ebitda-18209.html
17,Bring Italy to Your Home as Sirca Empower You to Create 'Your Italian Autograph',https://www.newsvoir.com/release/bring-italy-to-your-home-as-sirca-empower-you-to-create-your-italian-autograph-18179.html
18,Sany India Strengthens and Consolidates Presence in Tamil Nadu,https://www.newsvoir.com/release/sany-india-strengthens-and-consolidates-presence-in-tamil-nadu-18142.html
19,fischer India Launches All-in-one Solutions for Facade Systems,https://www.newsvoir.com/release/fischer-india-launches-all-in-one-solutions-for-facade-systems-18158.html
20,Sany India Strengthens Ties with Durga Infra Mining Pvt. Ltd.,https://www.newsvoir.com/release/sany-india-strengthens-ties-with-durga-infra-mining-pvt-ltd-17839.html
21,Shyam Steel to Expand its Retail Presence Pan India,https://www.newsvoir.com/release/shyam-steel-to-expand-its-retail-presence-pan-india-17841.html
22,"Asian Granito India Ltd. Inaugurates 10,000 sq. feet Luxurious Tiles, Marble, Quartz and Bathware Display Centre in City Kochi, Kerala ",https://www.newsvoir.com/release/asian-granito-india-ltd-inaugurates-10-000-sq-feet-luxurious-tiles-marble-quartz-and-bathware-display-centre-in-city-kochi-kerala-17767.html
