,title,link
0,"Following the Digital Dream: AgFarm, A Dubai Based Agrochemical Company, Launched in India",https://www.newsvoir.com/release/following-the-digital-dream-agfarm-a-dubai-based-agrochemical-company-launched-in-india-19695.html
1,Max Life and YES BANK Complete 17 Years of Strategic Bancassurance Partnership; Reaffirm Commitment towards Next-gen Customer Experience,https://www.newsvoir.com/release/max-life-and-yes-bank-complete-17-years-of-strategic-bancassurance-partnership-reaffirm-commitment-towards-next-gen-customer-experience-19692.html
2,"Kaiser Hair, the Official Hair Extensions Partner of Miss Universe 2021, Joins Hands with India-based Luxury Salon Bblunt",https://www.newsvoir.com/release/kaiser-hair-the-official-hair-extensions-partner-of-miss-universe-2021-joins-hands-with-india-based-luxury-salon-bblunt-19693.html
3,CII Karnataka Elects Arjun Ranga as Chairman for 2022-23,https://www.newsvoir.com/release/cii-karnataka-elects-arjun-ranga-as-chairman-for-2022-23-19683.html
4,Nexdigm Expands its Geographical Presence with New Office in Illinois,https://www.newsvoir.com/release/nexdigm-expands-its-geographical-presence-with-new-office-in-illinois-19679.html
5,SIA-India Pitches for Balanced Approach for Allocation of the Spectrum for IMT and Satellite,https://www.newsvoir.com/release/sia-india-pitches-for-balanced-approach-for-allocation-of-the-spectrum-for-imt-and-satellite-19675.html
6,MoU Exchange between Jawaharlal Nehru Technological University Hyderabad (JNTUH) and mUni Campus Pvt. Ltd. for Centralized Campus Recruitment,https://www.newsvoir.com/release/mou-exchange-between-jawaharlal-nehru-technological-university-hyderabad-jntuh-and-muni-campus-pvt-ltd-for-centralized-campus-recruitment-19673.html
7,Soothe Healthcare Cracking New Grounds After Six Months of Raising Funds; Clocks 2X Growth,https://www.newsvoir.com/release/soothe-healthcare-cracking-new-grounds-after-six-months-of-raising-funds-clocks-2x-growth-19662.html
8,"'WeToo' Campaign Launches its First eBook on IWD 2022, Co-authored by 50 Global Corporate Women Leaders",https://www.newsvoir.com/release/wetoo-campaign-launches-its-first-ebook-on-iwd-2022-co-authored-by-50-global-corporate-women-leaders-19664.html
9,PreludeSys is All Set to Welcome their Employees Back to Work,https://www.newsvoir.com/release/preludesys-is-all-set-to-welcome-their-employees-back-to-work-19641.html
10,Esri India Becomes a Great Place to Work® yet again,https://www.newsvoir.com/release/esri-india-becomes-a-great-place-to-work-yet-again-19639.html
11,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Bangladesh,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-bangladesh-19636.html
