,title,link
0,"Cyber Criminals Target Internet Users with ""Amazon International Women's Day 2022 Giveaway"" Scam",https://www.newsvoir.com/release/cyber-criminals-target-internet-users-with-amazon-international-women-s-day-2022-giveaway-scam-19653.html
1,Truecaller Partners with CyberPeace Foundation to Launch Online Safety Program - TrueCyberSafe,https://www.newsvoir.com/release/truecaller-partners-with-cyberpeace-foundation-to-launch-online-safety-program-truecybersafe-19457.html
2,Be Internet Insured and Stay Protected from Cyber Frauds with HDFC ERGO Cyber Sachet Insurance,https://www.newsvoir.com/release/be-internet-insured-and-stay-protected-from-cyber-frauds-with-hdfc-ergo-cyber-sachet-insurance-19310.html
3,WhizHack Technologies and IIT Jodhpur TISC Launch India's 1st Multi-tiered Cyber Security Certified Training for School Going Teenagers,https://www.newsvoir.com/release/whizhack-technologies-and-iit-jodhpur-tisc-launch-indias-1st-multi-tiered-cyber-security-certified-training-for-school-going-teenagers-19239.html
4,"NCW Launches an Online Knowledge Repository for Women in Collaboration with Meta, CyberPeace Foundation and Autobot Infosec",https://www.newsvoir.com/release/ncw-launches-an-online-knowledge-repository-for-women-in-collaboration-with-meta-cyberpeace-foundation-and-autobot-infosec-18972.html
5,MeitY and NCIIPC Supports the Third Edition of the Global CyberPeace Challenge 3.0,https://www.newsvoir.com/release/meity-and-nciipc-supports-the-third-edition-of-the-global-cyberpeace-challenge-3-0-18920.html
6,"JuicyScore Shares 4 Tips to Protect your Online Business from Fraud, This Holiday Shopping Season",https://www.newsvoir.com/release/juicyscore-shares-4-tips-to-protect-your-online-business-from-fraud-this-holiday-shopping-season-18680.html
7,CyberPeace Foundation and Responsible Netism Launches Campaign India Fights Cyber Violence against Women and Children,https://www.newsvoir.com/release/cyberpeace-foundation-and-responsible-netism-launches-campaign-india-fights-cyber-violence-against-women-and-children-18351.html
8,This Cyber Security Month Team Business Beginners Presents OfficeProtect,https://www.newsvoir.com/release/this-cyber-security-month-team-business-beginners-presents-officeprotect-18139.html
9,Bajaj Finance Urges Customers to Stay Safe Against Online Frauds on Electronic Platform During Festive Season,https://www.newsvoir.com/release/bajaj-finance-urges-customers-to-stay-safe-against-online-frauds-on-electronic-platform-during-festive-season-18141.html
10,Cyber Criminals Target Internet Users by Luring them with Tata Group and Amul Anniversary Celebration Gift Scams,https://www.newsvoir.com/release/cyber-criminals-target-internet-users-by-luring-them-with-tata-group-and-amul-anniversary-celebration-gift-scams-18114.html
11,"Cyber Criminals Target Internet Users with ""Maruti Suzuki 40th Anniversary Celebration"" Free Gift Scam",https://www.newsvoir.com/release/cyber-criminals-target-internet-users-with-maruti-suzuki-40th-anniversary-celebration-free-gift-scam-17502.html
12,SafeHouse Technologies Continues to Raise Awareness on Cyber Security ,https://www.newsvoir.com/release/safehouse-technologies-continues-to-raise-awareness-on-cyber-security-17118.html
13,"Cyber Criminals Target Indian Users with a Fake COVID Subsidy of INR 50,000",https://www.newsvoir.com/release/cyber-criminals-target-indian-users-with-a-fake-covid-subsidy-of-inr-50-000-16801.html
14,RED FM Launches Hidden Files Season 3,https://www.newsvoir.com/release/red-fm-launches-hidden-files-season-3-16762.html
15,EfficientIP and IDC Announces Results of its 2021 Global DNS Threat Report,https://www.newsvoir.com/release/efficientip-and-idc-announces-results-of-its-2021-global-dns-threat-report-16685.html
16,Ramanuj Mukherjee Creates Voluntary Lawyers Group to Fight COVID Scams,https://www.newsvoir.com/release/ramanuj-mukherjee-creates-voluntary-lawyers-group-to-fight-covid-scams-16460.html
17,"Bajaj Finserv Launches 'Savdhan Rahein, Safe Rahein', a Public Awareness Campaign on Financial Fraud Risks",https://www.newsvoir.com/release/bajaj-finserv-launches-savdhan-rahein-safe-rahein-a-public-awareness-campaign-on-financial-fraud-risks-16455.html
18,"NSE Subsidiary, Aujas Cybersecurity Unveils its Next-Gen Cyber Defense Center",https://www.newsvoir.com/release/nse-subsidiary-aujas-cybersecurity-unveils-its-next-gen-cyber-defense-center-16101.html
19,Versatile ZServiceDesk IT GRC at Affordable Cost Launched in India,https://www.newsvoir.com/release/versatile-zservicedesk-it-grc-at-affordable-cost-launched-in-india-15847.html
20,Veteran Police Officers Launch Trident Consultants,https://www.newsvoir.com/release/veteran-police-officers-launch-trident-consultants-15795.html
21,"IITJ Technology Innovation and Start-up Centre (""IITJ TISC"") & WhizHack Technologies Launch India's 1st Dual Certificate in Cyber Defense",https://www.newsvoir.com/release/iitj-technology-innovation-and-start-up-centre-quot-iitj-tisc-quot-whizhack-technologies-launch-india-apos-s-1st-dual-certificate-in-cyber-defense-15748.html
22,"CyberPeace Foundation Concludes Global CyberPeace Challenge and eRaksha on the Occasion of Safer Internet Day 2021
",https://www.newsvoir.com/release/cyberpeace-foundation-concludes-global-cyberpeace-challenge-and-eraksha-on-the-occasion-of-safer-internet-day-2021-15684.html
23,Delhi Based Automobile Studio's Instagram Account Hacked,https://www.newsvoir.com/release/delhi-based-automobile-studio-apos-s-instagram-account-hacked-15357.html
24,21K Skills Brings Global Talent Development and Training Leader Galvanize to India ,https://www.newsvoir.com/release/21k-skills-brings-global-talent-development-and-training-leader-galvanize-to-india-15334.html
25,IIT Jodhpur Inks MoU with WhizHack Technologies for Setting up Centre of Excellence in Cyber Security and AI,https://www.newsvoir.com/release/iit-jodhpur-inks-mou-with-whizhack-technologies-for-setting-up-centre-of-excellence-in-cyber-security-and-ai-15327.html
26,Inspira Enterprise Emerges among the Top 3 Indian Companies Globally for Managed Security Services as per the Annual Top 250 MSSPs List 2020 ,https://www.newsvoir.com/release/inspira-enterprise-emerges-among-the-top-3-indian-companies-globally-for-managed-security-services-as-per-the-annual-top-250-mssps-list-2020-15311.html
27,Two Sisters Launch Anti-bullying Campaign 'Stop The B' to Raise Awareness Among People  ,https://www.newsvoir.com/release/two-sisters-launch-anti-bullying-campaign-apos-stop-the-b-apos-to-raise-awareness-among-people-15278.html
28,Akash Ahuja Responds to Cyber Bully Memer's by Funding their Computer Education,https://www.newsvoir.com/release/akash-ahuja-responds-to-cyber-bully-memer-apos-s-by-funding-their-computer-education-14988.html
29,YOLO Concluded #SafetySeptember Campaign to Raise Awareness Around Cyber Security and Online Frauds,https://www.newsvoir.com/release/yolo-concluded-safetyseptember-campaign-to-raise-awareness-around-cyber-security-and-online-frauds-14732.html
