,title,link
0,"Contributing to Metaverse Revolution in India, Leading Extended Reality Innovator, AjnaLens, Raises Rs 12 Crore",https://www.newsvoir.com/release/contributing-to-metaverse-revolution-in-india-leading-extended-reality-innovator-ajnalens-raises-rs-12-crore-19595.html
1,DefExpo 2022: Crown Group Defence to Showcase their Capabilities in MRO and Indigenous Manufacturing for Indian Defence Services,https://www.newsvoir.com/release/defexpo-2022-crown-group-defence-to-showcase-their-capabilities-in-mro-and-indigenous-manufacturing-for-indian-defence-services-19582.html
2,PNB Pays Tribute to the Martyrs of Coonoor Helicopter Crash ,https://www.newsvoir.com/release/pnb-pays-tribute-to-the-martyrs-of-coonoor-helicopter-crash-2-18792.html
3,PRAMA shines at IFSEC India 2021,https://www.newsvoir.com/release/prama-shines-at-ifsec-india-2021-18714.html
4,UP Invites Investments in Defence Corridor at EXPO2020 ,https://www.newsvoir.com/release/up-invites-investments-in-defence-corridor-at-expo2020-18674.html
5,Technological Breakthroughs to Mark the Return of IFSEC India,https://www.newsvoir.com/release/technological-breakthroughs-to-mark-the-return-of-ifsec-india-18632.html
6,Navy Week 2021: Crown Group Reaffirms its Commitment Towards 'Atmanirbhar Bharat' for Indian Navy ,https://www.newsvoir.com/release/navy-week-2021-crown-group-reaffirms-its-commitment-towards-atmanirbhar-bharat-for-indian-navy-18578.html
7,Paras Aerospace India Launches Universal UTM from High Lander Israel Enabling BVLOS Missions in India,https://www.newsvoir.com/release/paras-aerospace-india-launches-universal-utm-from-high-lander-israel-enabling-bvlos-missions-in-india-18429.html
8,SIA-India Pitchs for Equal Opportunity for Space Sector in Defence Offset and PLI,https://www.newsvoir.com/release/sia-india-pitchs-for-equal-opportunity-for-space-sector-in-defence-offset-and-pli-17729.html
9,Certified Drone Parachutes Launched in India,https://www.newsvoir.com/release/certified-drone-parachutes-launched-in-india-17618.html
10,"Homegrown DefTech Startup, Big Bang Boom Solutions Showcases State-of-the-art, Indigenous Anti Drone System",https://www.newsvoir.com/release/homegrown-deftech-startup-big-bang-boom-solutions-showcases-state-of-the-art-indigenous-anti-drone-system-17193.html
11,"Honorable Raksha Rajya Mantri, Shri Shripadji Naik Lauds udChalo for Commendable Service to the Defence Fraternity",https://www.newsvoir.com/release/honorable-raksha-rajya-mantri-shri-shripadji-naik-lauds-udchalo-for-commendable-service-to-the-defence-fraternity-16962.html
12,udChalo launches 'Utkarsh-Unnati ki Udaan' - a Back to Work Program for Women on Mother's Day,https://www.newsvoir.com/release/udchalo-launches-utkarsh-unnati-ki-udaan-a-back-to-work-program-for-women-on-mother-s-day-16461.html
13,Aartech Bags Supply Order to Deliver Ultracapacitor based Systems to Indian Army,https://www.newsvoir.com/release/aartech-bags-supply-order-to-deliver-ultracapacitor-based-systems-to-indian-army-16352.html
14,RCC DIVA Foundation Celebrates International Women's Day 2021 Honoring the Defense Spouses,https://www.newsvoir.com/release/rcc-diva-foundation-celebrates-international-women-apos-s-day-2021-honoring-the-defense-spouses-15963.html
15,Marine Electricals (India) Ltd. Receives Massive Defense Sector Orders of Rs. 81.18 Crore from GRSE,https://www.newsvoir.com/release/marine-electricals-india-ltd-receives-massive-defense-sector-orders-of-rs-81-18-crore-from-grse-15939.html
16,Veteran Police Officers Launch Trident Consultants,https://www.newsvoir.com/release/veteran-police-officers-launch-trident-consultants-15795.html
17,Samsung and udChalo have Joined Hands to Launch an Exciting Defence Purchase Program for the Indian Armed Forces Personnel ,https://www.newsvoir.com/release/samsung-and-udchalo-have-joined-hands-to-launch-an-exciting-defence-purchase-program-for-the-indian-armed-forces-personnel-15645.html
18,Crown Group Takes A leap Towards 'Atmanirbhar' in Defence Sector,https://www.newsvoir.com/release/crown-group-takes-a-leap-towards-apos-atmanirbhar-apos-in-defence-sector-15605.html
19,AI-based Tech Firm CronJ Completes Security Project for Saudi Arabia Coast Guard,https://www.newsvoir.com/release/ai-based-tech-firm-cronj-completes-security-project-for-saudi-arabia-coast-guard-15358.html
20,"Defsys Solutions Honoured with Two Prestigious ELCINA Awards for Excellence in Exports, Research & Development ",https://www.newsvoir.com/release/defsys-solutions-honoured-with-two-prestigious-elcina-awards-for-excellence-in-exports-research-development-15252.html
21,Indian Navy Releases Schedule for Virtual Tours of INS Vikramaditya & INS Mysore to Mark Navy Day,https://www.newsvoir.com/release/indian-navy-releases-schedule-for-virtual-tours-of-ins-vikramaditya-ins-mysore-to-mark-navy-day-15138.html
22,udChalo Empowers Bhaarat ka Bharat on his Solo Cycling Record Breaking Expeditions,https://www.newsvoir.com/release/udchalo-empowers-bhaarat-ka-bharat-on-his-solo-cycling-record-breaking-expeditions-14903.html
23,Psychological Synergy to Navigate the COVID-19 Pandemic,https://www.newsvoir.com/release/psychological-synergy-to-navigate-the-covid-19-pandemic-14904.html
24,Insmart Systems Wins FICCI National Award,https://www.newsvoir.com/release/insmart-systems-wins-ficci-national-award-14897.html
25,Upcurve Business Services Pvt. Ltd. Announces Restructuring of its Senior Management Roles,https://www.newsvoir.com/release/upcurve-business-services-pvt-ltd-announces-restructuring-of-its-senior-management-roles-14656.html
26,"CARACAL International Refocuses Commitment in line with 'Make in India' Initiative 
",https://www.newsvoir.com/release/caracal-international-refocuses-commitment-in-line-with-apos-make-in-india-apos-initiative-14632.html
27,"Shaurya Chakra Recipient Major Pradeep Arya Distributes Ration Kits in Ladakh, Jammu and Kashmir",https://www.newsvoir.com/release/shaurya-chakra-recipient-major-pradeep-arya-distributes-ration-kits-in-ladakh-jammu-and-kashmir-14094.html
28,MKU - Enhancing Capability with Indigenous Technology,https://www.newsvoir.com/release/mku-enhancing-capability-with-indigenous-technology-13546.html
29,Indian Territorial Army to Celebrate Ganga Yodha Mahotsav 2020,https://www.newsvoir.com/release/indian-territorial-army-to-celebrate-ganga-yodha-mahotsav-2020-13467.html
30,"Digital Jalebi Partners with Defence Organisations to Showcase India’s Defence Capabilities at Defence Expo 2020, Lucknow",https://www.newsvoir.com/release/digital-jalebi-partners-with-defence-organisations-to-showcase-india-s-defence-capabilities-at-defence-expo-2020-lucknow-13420.html
31,UK-India Sign MoU to Strengthen Defence Collaboration,https://www.newsvoir.com/release/uk-india-sign-mou-to-strengthen-defence-collaboration-13382.html
32,Big Bang Boom Solutions Wins Prestigious SKOCH Award,https://www.newsvoir.com/release/big-bang-boom-solutions-wins-prestigious-skoch-award-13364.html
33,Lohia Group - Taking India to New Frontiers of Aerospace Excellence ,https://www.newsvoir.com/release/lohia-group-taking-india-to-new-frontiers-of-aerospace-excellence-13359.html
34,MKU’s Netro Range of Electro-optic Devices on Display During the DefExpo,https://www.newsvoir.com/release/mku-s-netro-range-of-electro-optic-devices-on-display-during-the-defexpo-13350.html
35,"TARGE Launches First-of-its-kind Lift and Shift, Bullet Resistance Security Cabins",https://www.newsvoir.com/release/targe-launches-first-of-its-kind-lift-and-shift-bullet-resistance-security-cabins-13331.html
36,Defsys Solutions Named Best SEZ MSME in Engineering Category at EPCES Export Awards,https://www.newsvoir.com/release/defsys-solutions-named-best-sez-msme-in-engineering-category-at-epces-export-awards-13255.html
37,UK India Business Council Launches Defence Vertical,https://www.newsvoir.com/release/uk-india-business-council-launches-defence-vertical-12945.html
38,"Mohamed bin Zayed Inaugurates EDGE, An Advanced Technology Conglomerate, Poised to Transform Defence Industrial Capabilities ",https://www.newsvoir.com/release/mohamed-bin-zayed-inaugurates-edge-an-advanced-technology-conglomerate-poised-to-transform-defence-industrial-capabilities-12778.html
39,Daryanani Trust Becomes the Largest Donor to the Armed Forces,https://www.newsvoir.com/release/daryanani-trust-becomes-the-largest-donor-to-the-armed-forces-12442.html
40,"udChalo Forays into the Hotel Segment by Partnering with Oyo and Fab Hotels
",https://www.newsvoir.com/release/udchalo-forays-into-the-hotel-segment-by-partnering-with-oyo-and-fab-hotels-12281.html
41,Dr. Vinayak S Hiremath Becomes the Youngest Doctor to be Felicitated by “Pride of Nation Award”,https://www.newsvoir.com/release/dr-vinayak-s-hiremath-becomes-the-youngest-doctor-to-be-felicitated-by-pride-of-nation-award--12192.html
