,title,link
0,British Safety Council Membership gets Attractive Discount for National Safety Week,https://www.newsvoir.com/release/british-safety-council-membership-gets-attractive-discount-for-national-safety-week-19605.html
1,"Assured Cashback of up to Rs. 5,000 on the Purchase of CELLBELL Chairs from the Bajaj Finserv EMI Store",https://www.newsvoir.com/release/assured-cashback-of-up-to-rs-5-000-on-the-purchase-of-cellbell-chairs-from-the-bajaj-finserv-emi-store-19555.html
2,"Purchase Sony TV On Bajaj Finserv EMI Store and Avail Cashback Upto Rs. 3,000",https://www.newsvoir.com/release/purchase-sony-tv-on-bajaj-finserv-emi-store-and-avail-cashback-upto-rs-3-000-19544.html
3,"Get an Assured Cashback of Rs. 5,000 on the Purchase of Sony Home Theatre System and Speakers from the Bajaj Finserv EMI Store",https://www.newsvoir.com/release/get-an-assured-cashback-of-rs-5-000-on-the-purchase-of-sony-home-theatre-system-and-speakers-from-the-bajaj-finserv-emi-store-19525.html
4,"Get Exclusive Cashback up to Rs. 3,000 on Whirlpool Refrigerators on the Bajaj Finserv EMI Store ",https://www.newsvoir.com/release/get-exclusive-cashback-up-to-rs-3-000-on-whirlpool-refrigerators-on-the-bajaj-finserv-emi-store-19526.html
5,Sodexo prepares Premier Education Institutes across 15 States and 20 Cities for Safe Return of Students on Campus,https://www.newsvoir.com/release/sodexo-prepares-premier-education-institutes-across-15-states-and-20-cities-for-safe-return-of-students-on-campus-19511.html
6,"Raise your Comfort with Centuary Mattress: Save up to Rs. 3,000 on the Bajaj Finserv EMI Store",https://www.newsvoir.com/release/raise-your-comfort-with-centuary-mattress-save-up-to-rs-3-000-on-the-bajaj-finserv-emi-store-19505.html
7,Brand Factory Announced its 'India's First Ever Mega Xchange' Mela,https://www.newsvoir.com/release/brand-factory-announced-its-indias-first-ever-mega-xchange-mela-19500.html
8,"Avail a Flat Rs. 3,000 Cashback on the purchase of GOQii Fitness Smartwatches from Bajaj Finserv EMI Store",https://www.newsvoir.com/release/avail-flat-rs-3-000-cashback-on-goqii-fitness-smartwatches-from-bajaj-finserv-emi-store-19485.html
9,"Bajaj Finserv EMI Store Offers Biggest Cashback Deal up to Rs. 3,000 on Whirlpool Washing Machines",https://www.newsvoir.com/release/bajaj-finserv-emi-store-offers-biggest-cashback-deal-up-to-rs-3-000-on-whirlpool-washing-machines-19484.html
