,title,link
0,Veddis Foundation and J-PAL South Asia Set up ASPIRE to Accelerate Evidence-based Policymaking,https://www.newsvoir.com/release/veddis-foundation-and-j-pal-south-asia-set-up-aspire-to-accelerate-evidence-based-policymaking-19586.html
1,Pepper Content in Collaboration with Classplus Empowers a USD 150 Million a Year Creator Economy with a 20 Lakh Grant,https://www.newsvoir.com/release/pepper-content-in-collaboration-with-classplus-empowers-a-usd-150-million-a-year-creator-economy-with-a-20-lakh-grant-19541.html
2,Andhra Pradesh Eyes Investment Opportunities from India Pavilion,https://www.newsvoir.com/release/andhra-pradesh-eyes-investment-opportunities-from-india-pavilion-19370.html
3,"Budget 2022 Focusses on Digitalization, Set to Provide Definite Boost for Start-Ups in India",https://www.newsvoir.com/release/budget-2022-focusses-on-digitalization-set-to-provide-definite-boost-for-start-ups-in-india-19302.html
4,Industry Hails Growth-oriented Budget ,https://www.newsvoir.com/release/industry-hails-growth-oriented-budget-19251.html
5,Realtors' Relying on Budget's Infra Focus to Open New Avenues,https://www.newsvoir.com/release/realtors-relying-on-budgets-infra-focus-to-open-new-avenues-19253.html
6,Union Budget 2022 will Pay Off on Long Term as per Industry Honchos of India,https://www.newsvoir.com/release/union-budget-2022-will-pay-off-on-long-term-as-per-industry-honchos-of-india-19234.html
7,"Post-Union Budget Quote from Mr. Venu Srinivasan, Chairman, TVS Motor Company",https://www.newsvoir.com/release/post-union-budget-quote-from-mr-venu-srinivasan-chairman-tvs-motor-company-19232.html
8,Pre-budget Expectations and Recommendation for Education Sector by Motion Education,https://www.newsvoir.com/release/pre-budget-expectations-and-recommendation-for-education-sector-by-motion-education-19201.html
9,"Budget 2022: Expectations from the Government for a Strong Realty Growth

",https://www.newsvoir.com/release/budget-2022-expectations-from-the-government-for-a-strong-realty-growth-19188.html
10,"S V Sastry, DMD at SBI, Advocates Faster Integration of ESG Friendly Models for Long-term Sustainable Economic Growth",https://www.newsvoir.com/release/s-v-sastry-dmd-at-sbi-advocates-faster-integration-of-esg-friendly-models-for-long-term-sustainable-economic-growth-18953.html
11,SRAM & MRAM Group Remains Bullish about the Malaysian Market,https://www.newsvoir.com/release/sram-mram-group-remains-bullish-about-the-malaysian-market-18895.html
12,Grameen Foundation India Signs Six MoUs Under the Flagship Financial Inclusion Project,https://www.newsvoir.com/release/grameen-foundation-india-signs-six-mous-under-the-flagship-financial-inclusion-project-18783.html
