,title,link
0,"Femina Miss India 2020 Runner-up Maanya Singh at INIFD Kothrud, Pune for Annual Convocation",https://www.newsvoir.com/release/femina-miss-india-2020-runner-up-maanya-singh-at-inifd-kothrud-pune-for-annual-convocation-19686.html
1,Oakridge Junior Codefest 2022 Introduces a Brilliant League of Smart New Coders,https://www.newsvoir.com/release/oakridge-junior-codefest-2022-introduces-a-brilliant-league-of-smart-new-coders-19685.html
2,MoU Exchange between Jawaharlal Nehru Technological University Hyderabad (JNTUH) and mUni Campus Pvt. Ltd. for Centralized Campus Recruitment,https://www.newsvoir.com/release/mou-exchange-between-jawaharlal-nehru-technological-university-hyderabad-jntuh-and-muni-campus-pvt-ltd-for-centralized-campus-recruitment-19673.html
3,Talking About Kidney Health in the Language of the World,https://www.newsvoir.com/release/talking-about-kidney-health-in-the-language-of-the-world-19670.html
4,Announcing Colive Venus2022 with Rs. 25 Lakhs of Stay Scholarships for Female Students and Women Entrepreneurs,https://www.newsvoir.com/release/announcing-colive-venus2022-with-rs-25-lakhs-of-stay-scholarships-for-female-students-and-women-entrepreneurs-19652.html
5,IMS Noida Organized a Felicitation Ceremony,https://www.newsvoir.com/release/ims-noida-organized-a-felicitation-ceremony-19633.html
6,"Sonalika Publications Launches ""Tales of Different Tails"" Book Series; Celebrates the Fun-filled Way of Learning and Living with a Splash of 'Monkeyness'",https://www.newsvoir.com/release/sonalika-publications-launches-tales-of-different-tails-book-series-celebrates-the-fun-filled-way-of-learning-and-living-with-a-splash-of-monkeyness-19634.html
7,Chitkara University Secures Approval of PFAS Project from Government,https://www.newsvoir.com/release/chitkara-university-secures-approval-of-pfas-project-from-government-19623.html
8,Hyderabad's Hotel Management Students Get a Robust Start with Lucrative Job Placements in Leading Star Properties,https://www.newsvoir.com/release/hyderabads-hotel-management-students-get-a-robust-start-with-lucrative-job-placements-in-leading-star-properties-19625.html
9,"Ayurvedic Medicine more Effective in Diabetes Management, Reveals Study by Chitkara University",https://www.newsvoir.com/release/ayurvedic-medicine-more-effective-in-diabetes-management-reveals-study-by-chitkara-university-19622.html
10,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
11,Teach For India Fellowship: A Chance to Make an Impact on the Future by Educating the Underserved Children,https://www.newsvoir.com/release/teach-for-india-fellowship-a-chance-to-make-an-impact-on-the-future-by-educating-the-underserved-children-19614.html
12,Elpro International School Keeps the Inspiration Flowing with TEDx,https://www.newsvoir.com/release/elpro-international-school-keeps-the-inspiration-flowing-with-tedx-19585.html
13,MAXHUB Instates Hybrid Learning Solutions in Educational Institutes Across India,https://www.newsvoir.com/release/maxhub-instates-hybrid-learning-solutions-in-educational-institutes-across-india-19588.html
14,TreeHouse Education Addressing the Post-pandemic Learning Gaps through Special Modules,https://www.newsvoir.com/release/treehouse-education-addressing-the-post-pandemic-learning-gaps-through-special-modules-19571.html
15,ASU Thunderbird School of Global Management Rolls Out Mumbai Global Initiative to Educate 100 Million Learners by 2030,https://www.newsvoir.com/release/asu-thunderbird-school-of-global-management-rolls-out-mumbai-global-initiative-to-educate-100-million-learners-by-2030-19577.html
16,National Science Day: IET India Announces Winners of 5th Scholarship Award for Engineering Students,https://www.newsvoir.com/release/national-science-day-iet-india-announces-winners-of-5th-scholarship-award-for-engineering-students-19574.html
17,International Village School Celebrates International Week 2022,https://www.newsvoir.com/release/international-village-school-celebrates-international-week-2022-19543.html
18,Babaji Vidhyashram Resumes NCC Activities for Students,https://www.newsvoir.com/release/babaji-vidhyashram-resumes-ncc-activities-for-students-19542.html
19,Aegis Graham Bell Awards Announced it's Winners and Finalists for the 12th Edition,https://www.newsvoir.com/release/aegis-graham-bell-awards-announced-it-s-winners-and-finalists-for-the-12th-edition-19562.html
20,SRM University-AP Launches Aadigyan: To Promote India's Cultural Knowledge Tradition,https://www.newsvoir.com/release/srm-university-ap-launches-aadigyan-to-promote-indias-cultural-knowledge-tradition-19550.html
21,Devendra Jaiswal Welcomes Dhiraj Singh; Duo to take KidsChaupal to Greater Heights,https://www.newsvoir.com/release/devendra-jaiswal-welcomes-dhiraj-singh-duo-to-take-kidschaupal-to-greater-heights-19533.html
