,title,link
0,10 Nahi 40 to have a Direct OTT Release,https://www.newsvoir.com/release/10-nahi-40-to-have-a-direct-ott-release-19689.html
1,Kolaj - the First Bengali Film Festival will be held in Bengaluru from April 8 to 10,https://www.newsvoir.com/release/kolaj-the-first-bengali-film-festival-will-be-held-in-bengaluru-from-april-8-to-10-19687.html
2,MVM London Welcomes Divine for a Very First Time in the UK for a Magical Musical Night,https://www.newsvoir.com/release/mvm-london-welcomes-divine-for-a-very-first-time-in-the-uk-for-a-magical-musical-night-19681.html
3,Bollyboom in Association with SteppinOut by Dineout Announces the 'Farhan Live India Tour 2022' with Farhan Akhtar,https://www.newsvoir.com/release/bollyboom-in-association-with-steppinout-by-dineout-announces-the-farhan-live-india-tour-2022-with-farhan-akhtar-19640.html
4,K Sera Sera Partners with Mahesh Bhatt and Vikram Bhatt to Create India's First Virtual Production Studio,https://www.newsvoir.com/release/k-sera-sera-partners-with-mahesh-bhatt-and-vikram-bhatt-to-create-india-s-first-virtual-production-studio-19593.html
5,"EventScape Announces India's First Community For Independent Filmmakers to Host, Ticket, Stream and Engage their Audiences
",https://www.newsvoir.com/release/eventscape-announces-india-s-first-community-for-independent-filmmakers-to-host-ticket-stream-and-engage-their-audiences-19581.html
6,Millennial Star Mithila Palkar Emerges as a Clear Advertiser's Favourite as she Signs Two New Brand Endorsements in Just One Month,https://www.newsvoir.com/release/millennial-star-mithila-palkar-emerges-as-a-clear-advertiser-s-favourite-as-she-signs-two-new-brand-endorsements-in-just-one-month-19537.html
7,"T8iana, A Proud Transgender Girl Making News Worldwide with her Music
",https://www.newsvoir.com/release/t8iana-a-proud-transgender-girl-making-news-worldwide-with-her-music-19540.html
8,"Avitesh Shrivastava All Set for Bollywood Debut with Sirf Ek Friday, begins Shooting on his Birthday",https://www.newsvoir.com/release/avitesh-shrivastava-all-set-for-bollywood-debut-with-sirf-ek-friday-begins-shooting-on-his-birthday-19524.html
9,"After Daler Mehendi's Concert, PartyNite Metaverse Platform to Celebrate 'Singles' Nite",https://www.newsvoir.com/release/after-daler-mehendi-s-concert-partynite-metaverse-platform-to-celebrate-singles-nite-19510.html
10,Dangal TV Originals Hitting High on Prime Time Slots Across HSM GEC's,https://www.newsvoir.com/release/dangal-tv-originals-hitting-high-on-prime-time-slots-across-hsm-gecs-19507.html
11,FanAnywhere Announces Partnerships with Renowned Names in the Indian Entertainment Industry for NFT Releases,https://www.newsvoir.com/release/fananywhere-announces-partnerships-with-renowned-names-in-the-indian-entertainment-industry-for-nft-releases-19482.html
12,"RED FM Launches New Podcast 'Decoding Unicorns'
",https://www.newsvoir.com/release/red-fm-launches-new-podcast-apos-decoding-unicorns-apos-19477.html
13,Five Must Watch Films to Stream at the Japanese Film Festival 2022,https://www.newsvoir.com/release/five-must-watch-films-to-stream-at-the-japanese-film-festival-2022-19476.html
14,The Trailer of '10 Nahi 40' Takes us on a Fun Ride,https://www.newsvoir.com/release/the-trailer-of-10-nahi-40-takes-us-on-a-fun-ride-19475.html
15,'Chausar - The Power Games': Punjab's Hottest Political Drama Series Releases on PTC Play App,https://www.newsvoir.com/release/chausar-the-power-games-punjabs-hottest-political-drama-series-releases-on-ptc-play-app-19448.html
16,On Valentine's Day Mansi Bagla of Mini Films Brings Love Back on Screen,https://www.newsvoir.com/release/on-valentine-s-day-mansi-bagla-of-mini-films-brings-love-back-on-screen-19381.html
17,Phoenix Marketcity Pune Introduces 'Fun Life Packages' for its Customers,https://www.newsvoir.com/release/phoenix-marketcity-pune-introduces-fun-life-packages-for-its-customers-19318.html
18,"Bharatanatyam Danseuse Savitha Sastry and AK Srikanth, Writer and Director Mark a Decade of their Bharatanatyam Dance Productions with Beyond the Rains",https://www.newsvoir.com/release/bharatanatyam-danseuse-savitha-sastry-and-ak-srikanth-writer-and-director-mark-a-decade-of-their-bharatanatyam-dance-productions-with-beyond-the-rains-19279.html
