,title,link
0,Bigbull Dealt India Pvt. Ltd. Presents Fempreneur Conference and Awards 2022 Concludes Successfully,https://www.newsvoir.com/release/bigbull-dealt-india-pvt-ltd-presents-fempreneur-conference-awards-2022-concludes-successfully-19678.html
1,SATYA MicroCapital Ltd. Organizes Second Edition of Vijayalakshmi Das Entrepreneurship Awards on Women's Day,https://www.newsvoir.com/release/satya-microcapital-ltd-organizes-second-edition-of-vijayalakshmi-das-entrepreneurship-awards-on-women-s-day-19651.html
2,"AWIB, An Indian Think Tank is bringing Prosperity among Women Entrepreneurs in India and South East Asia",https://www.newsvoir.com/release/awib-an-indian-think-tank-is-bringing-prosperity-among-women-entrepreneurs-in-india-and-south-east-asia-19659.html
3,Announcing Colive Venus2022 with Rs. 25 Lakhs of Stay Scholarships for Female Students and Women Entrepreneurs,https://www.newsvoir.com/release/announcing-colive-venus2022-with-rs-25-lakhs-of-stay-scholarships-for-female-students-and-women-entrepreneurs-19652.html
4,Airbnb Celebrates its Community of Women Hosts in India Ahead of International Women's Day ,https://www.newsvoir.com/release/airbnb-celebrates-its-community-of-women-hosts-in-india-ahead-of-international-women-s-day-19599.html
5,TECHIN's Global Sanitation Center of Excellence to be Launched at IIT Palakkad,https://www.newsvoir.com/release/techin-s-global-sanitation-center-of-excellence-to-be-launched-at-iit-palakkad-19284.html
6,Hey Homie: India's First WhatsApp Conversational Commerce Platform gets Launched for Passionate Home Entrepreneurs,https://www.newsvoir.com/release/hey-homie-indias-first-whatsapp-conversational-commerce-platform-gets-launched-for-passionate-home-entrepreneurs-19230.html
7,"WWL National Consortium Concludes its 1st Edition of ""Women Who Lead National Award 2021"" Supported by Govt of India",https://www.newsvoir.com/release/wwl-national-consortium-concludes-its-1st-edition-of-women-who-lead-national-award-2021-supported-by-govt-of-india-19071.html
8,Esri India Partners with AGNIi (Invest India) to Roll-out 'GeoInnovation',https://www.newsvoir.com/release/esri-india-partners-with-agnii-invest-india-to-roll-out-geoinnovation-19068.html
9,"Female Founders Month, 'SheRoars: Say it Loud' is Launched by Marwari Catalysts to Celebrate the Entrepreneurial Spirit of Women",https://www.newsvoir.com/release/female-founders-month-sheroars-say-it-loud-is-launched-by-marwari-catalysts-to-celebrate-the-entrepreneurial-spirit-of-women-18964.html
10,"Serial Entrepreneur, Ex Hair Originals Co-founder Ashish Tiwari Launches - Hair Forever, a Hair Extension Manufacturing Startup",https://www.newsvoir.com/release/serial-entrepreneur-ex-hair-originals-co-founder-ashish-tiwari-launches-hair-forever-a-hair-extension-manufacturing-startup-18926.html
11,Manan Kairpal Conferred with Most Dynamic Young Entrepreneur of the Year at Brands Impact - Golden Glory Awards 2021,https://www.newsvoir.com/release/manan-kairpal-conferred-with-most-dynamic-young-entrepreneur-of-the-year-at-brands-impact-golden-glory-awards-2021-18893.html
12,India to Add 1000s of Homepreneurs Starting January 2022 with Soon-to-be Launched Hey Homie,https://www.newsvoir.com/release/india-to-add-1000s-of-homepreneurs-starting-january-2022-with-soon-to-be-launched-hey-homie-18857.html
13,TiE Rajasthan Awarded as 'Best TiE Chapter' Globally,https://www.newsvoir.com/release/tie-rajasthan-awarded-as-best-tie-chapter-globally-18813.html
14,Vyapaar Jagat Convention and Awards 2021 Closes 3 days Affair with Grand Success and Attended by 15000 plus Business Owners,https://www.newsvoir.com/release/vyapaar-jagat-convention-and-awards-2021-closes-3-days-affair-with-grand-success-and-attended-by-15000-plus-business-owners-18794.html
15,"Swarrnim Startup and Innovation University Rated as One of the Top Universities Fostering Innovation and Entrepreneurship, in the Annual Performance Report of IIC",https://www.newsvoir.com/release/swarrnim-startup-and-innovation-university-rated-as-one-of-the-top-universities-fostering-innovation-and-entrepreneurship-in-the-annual-performance-report-of-iic-18735.html
16,Global Healthcare Entrepreneurs from Key BRICS Nations Call for Technology Enablement to Boost Women Entrepreneurship,https://www.newsvoir.com/release/global-healthcare-entrepreneurs-from-key-brics-nations-call-for-technology-enablement-to-boost-women-entrepreneurship-18733.html
17,"Marwari Catalysts in Association with ACIC Vivekananda Global University Invites Applications for its Accelerator Cohort Program, Exclusively for AgriTech Startups",https://www.newsvoir.com/release/marwari-catalysts-in-association-with-acic-vivekananda-global-university-invites-applications-for-its-accelerator-cohort-program-exclusively-for-agritech-startups-18704.html
18,Arishfa Khan Turns Entrepreneur; Launches Mishy Me,https://www.newsvoir.com/release/arishfa-khan-turns-entrepreneur-launches-mishy-me-18669.html
19,"Loop Health Joins Hands with Marathwada Mitra Mandal's IMERT, Pune to Provide Health Insurance to Entrepreneurs",https://www.newsvoir.com/release/loop-health-joins-hands-with-marathwada-mitra-mandal-s-imert-pune-to-provide-health-insurance-to-entrepreneurs-18656.html
20,"Antano and Harini Successfully Conducted the Flagship ""Close the Deal"" Event",https://www.newsvoir.com/release/antano-and-harini-successfully-conducted-the-flagship-close-the-deal-event-18630.html
21,Sixth Edition of ASCENT eConclave Concludes Successfully,https://www.newsvoir.com/release/sixth-edition-of-ascent-econclave-concludes-successfully-18523.html
22,ASCENT Foundation Announces the Line-up of High-profile Speakers for Sixth Edition of its Flagship Event - 'ASCENT eConclave 2021',https://www.newsvoir.com/release/ascent-foundation-announces-the-line-up-of-high-profile-speakers-for-sixth-edition-of-its-flagship-event-ascent-econclave-2021-18460.html
23,Swarrnim University Empowers its Students Entrepreneurs with the Support of Gujarat CM Shri Bhupendra Patel and the State Govt.,https://www.newsvoir.com/release/swarrnim-university-empowers-its-students-entrepreneurs-with-the-support-of-gujarat-cm-shri-bhupendra-patel-and-the-state-govt-18448.html
24,"Chitkara University Himachal Pradesh Unveils its Entrepreneurship Cell ""JAZBA"" ",https://www.newsvoir.com/release/chitkara-university-himachal-pradesh-unveils-its-entrepreneurship-cell-jazba-18445.html
25,Marwari Catalysts - a 100 Co-founders Club is Setting up the New Spirit of Entrepreneurship in India,https://www.newsvoir.com/release/marwari-catalysts-a-100-co-founders-club-is-setting-up-the-new-spirit-of-entrepreneurship-in-india-18428.html
26,Sri Aurobindo Institute of Technology Joins Hands with Indore Smart Seed Incubation Centre to Improve Entrepreneurship Ecosystem,https://www.newsvoir.com/release/sri-aurobindo-institute-of-technology-joins-hands-with-indore-smart-seed-incubation-centre-to-improve-entrepreneurship-ecosystem-18353.html
27,Telangana to Showcase Startups and Women Entrepreneurs at EXPO2020 India Pavilion,https://www.newsvoir.com/release/telangana-to-showcase-startups-and-women-entrepreneurs-at-expo2020-india-pavilion-18308.html
28,"WTFL Provides Free access to its Dealflow Tool to Innovators from the Indian Subcontinent to Overcome Challenges in Travel, Tourism, Hospitality Industry",https://www.newsvoir.com/release/wtfl-provides-free-access-to-its-dealflow-tool-to-innovators-from-the-indian-subcontinent-to-overcome-challenges-in-travel-tourism-hospitality-industry-18261.html
29,"A Huge Content Marketing Opportunity is Available for Creators, say Experts",https://www.newsvoir.com/release/a-huge-content-marketing-opportunity-is-available-for-creators-say-experts-18163.html
30,Meerut's Successful Woman Entrepreneur Parul Shukla Honored under Mission Shakti,https://www.newsvoir.com/release/meerut-s-successful-woman-entrepreneur-parul-shukla-honored-under-mission-shakti-17998.html
31,"13th Edition of Sankalp Global Summit 2021 to be Held Virtually between October 12-14, 2021",https://www.newsvoir.com/release/13th-edition-of-sankalp-global-summit-2021-to-be-held-virtually-between-october-12-14-2021-17986.html
32,"Sumit Arora, Pratap Singh Rathi, Som Mandal and Ajit Gupta bag Times Excellence Awards 2021 ",https://www.newsvoir.com/release/sumit-arora-pratap-singh-rathi-som-mandal-and-ajit-gupta-bag-times-excellence-awards-2021-17864.html
33,ASCENT Foundation All Set to Roll Out the Sixth Edition of its Flagship Event - 'ASCENT eConclave 2021',https://www.newsvoir.com/release/ascent-foundation-all-set-to-roll-out-the-sixth-edition-of-its-flagship-event-ascent-econclave-2021-17796.html
34,Youth Ideathon for Students of Classes 6-12 to be held from Sept. 21-13th Nov,https://www.newsvoir.com/release/youth-ideathon-for-students-of-classes-6-12-to-be-held-from-sept-21-13th-nov-17759.html
35,Young Entrepreneur Saumitra Singh's 'The Tigress Resort and Spa' Carves a Niche for Wildlife Lovers in Ranthambore,https://www.newsvoir.com/release/young-entrepreneur-saumitra-singh-s-the-tigress-resort-and-spa-carves-a-niche-for-wildlife-lovers-in-ranthambore-17720.html
36,"""Law of Attraction Coaches"" - Indu and Mitesh Khatri Complete Training 1 Million Audiences",https://www.newsvoir.com/release/law-of-attraction-coaches-indu-and-mitesh-khatri-complete-training-1-million-audiences-17705.html
37,Wrong Decisions are Better than No Decisions: S. D. Shibulal to Young Social Entrepreneurs,https://www.newsvoir.com/release/wrong-decisions-are-better-than-no-decisions-s-d-shibulal-to-young-social-entrepreneurs-17685.html
38,"14-Year-Old Builds Personalised News App, Becomes Co-founder of Cloud Computing Firm",https://www.newsvoir.com/release/14-year-old-builds-personalised-news-app-becomes-co-founder-of-cloud-computing-firm-17637.html
39,Brainwonders Opens it's Regional Centre in Haryana-Panipat,https://www.newsvoir.com/release/brainwonders-opens-it-s-regional-centre-in-haryana-panipat-17537.html
40,Rodic Consultants Awarded with the Iconic Times Excellence Awards 2021,https://www.newsvoir.com/release/rodic-consultants-awarded-with-the-iconic-times-excellence-awards-2021-17543.html
41,"GUS Education India Managing Director, Shashi Jaligama Honoured with Times Excellence Award 2021
",https://www.newsvoir.com/release/gus-education-india-managing-director-shashi-jaligama-honoured-with-times-excellence-award-2021-17531.html
42,AICL CEO Vijay Arora Bags Times Excellence Award 2021,https://www.newsvoir.com/release/aicl-ceo-vijay-arora-bags-times-excellence-award-2021-17523.html
43,Sarbajit Das Gets Rewarded with the Prestigious Times Excellence Award 2021,https://www.newsvoir.com/release/sarbajit-das-gets-rewarded-with-the-prestigious-times-excellence-award-2021-17518.html
44,Gauahar Khan Launches Akash Kumar's New Start-up Ventures on his Birthday,https://www.newsvoir.com/release/gauahar-khan-launches-akash-kumar-s-new-start-up-ventures-on-his-birthday-17426.html
45,Anthill Ventures Announces Eight Start-ups for Indus X - India's First Global Smart City Scaling Program,https://www.newsvoir.com/release/anthill-ventures-announces-eight-start-ups-for-indus-x-india-first-global-smart-city-scaling-program-17378.html
46,"Homegrown DefTech Startup, Big Bang Boom Solutions Showcases State-of-the-art, Indigenous Anti Drone System",https://www.newsvoir.com/release/homegrown-deftech-startup-big-bang-boom-solutions-showcases-state-of-the-art-indigenous-anti-drone-system-17193.html
47,"""Women Who Lead"" National Awards 2021 Announced its First Look
",https://www.newsvoir.com/release/women-who-lead-national-awards-2021-announced-its-first-look-17136.html
48,DS Enhances Skills of the Rubber Tappers of Tripura for a Sustainable Livelihood,https://www.newsvoir.com/release/ds-enhances-skills-of-the-rubber-tappers-of-tripura-for-a-sustainable-livelihood-17044.html
49,Rhiti Group and Kanodia Group Join Hands to Launch 'Deep Pockets Capital Venture LLP',https://www.newsvoir.com/release/rhiti-group-and-kanodia-group-join-hands-to-launch-deep-pockets-capital-venture-llp-16992.html
50,"Rama Shankar Pandey Wins Asia Pacific Enterprise Awards 2021
",https://www.newsvoir.com/release/rama-shankar-pandey-wins-asia-pacific-enterprise-awards-2021-16970.html
51,"Jimmy Mistry Launches World's First Business Platform, Della Leaders Club (DLC) to Create Global Community of Entrepreneurs, Professionals and Young Leaders",https://www.newsvoir.com/release/jimmy-mistry-launches-world-apos-s-first-business-platform-della-leaders-club-dlc-to-create-global-community-of-entrepreneurs-professionals-and-young-leaders-16894.html
52,The Steely Resolve of India's MSMEs,https://www.newsvoir.com/release/the-steely-resolve-of-india-s-msmes-16886.html
53,"Entrepreneur Parminder Brar Launched ""NRI Guardian"" to Address the Problems of Indians Living Overseas",https://www.newsvoir.com/release/entrepreneur-parminder-brar-launched-nri-guardian-to-address-the-problems-of-indians-living-overseas-16874.html
54,"An Enterprising Attitude Meets Philanthropy, Chetna Jhamb",https://www.newsvoir.com/release/an-enterprising-attitude-meets-philanthropy-chetna-jhamb-16712.html
55,Chitkara University's Dr. Charu Khosla Wins Greenpreneur Award 2021 ,https://www.newsvoir.com/release/chitkara-university-s-dr-charu-khosla-wins-greenpreneur-award-2021-16703.html
56,"Toastmasters of District 98 and 92 Host Crucible, an Event Exclusively for Entrepreneurs",https://www.newsvoir.com/release/toastmasters-of-district-98-and-92-host-crucible-an-event-exclusively-for-entrepreneurs-16672.html
57,London Emerging as Top Choice of Entrepreneur's for Business Expansion,https://www.newsvoir.com/release/london-emerging-as-top-choice-of-entrepreneur-apos-s-for-business-expansion-16666.html
58,"Shri Bajrang Alliance Limited Director and CFO Archit Goel Gets Featured in ""Times 40 Under 40"" List of Entrepreneurs
",https://www.newsvoir.com/release/shri-bajrang-alliance-limited-director-and-cfo-archit-goel-gets-featured-in-times-40-under-40-list-of-entrepreneurs-16633.html
59,Dr. Leena S. Makes it to the Coveted Times 40 Under 40 List of Achievers,https://www.newsvoir.com/release/dr-leena-s-makes-it-to-the-coveted-times-40-under-40-list-of-achievers-16619.html
60,"Abhishek Sinha Gets Featured in ""Times 40 Under 40"" List of Entrepreneurs",https://www.newsvoir.com/release/abhishek-sinha-gets-featured-in-times-40-under-40-list-of-entrepreneurs-16620.html
61,"Dr. Aparna Hegde, Founder of NGO ARMMAN Features at Number 15 on Fortune's List of World's 50 Greatest Leaders

",https://www.newsvoir.com/release/dr-aparna-hegde-founder-of-ngo-armman-features-at-number-15-on-fortune-s-list-of-world-s-50-greatest-leaders-16569.html
62,Jaipur-based Startup Chaupal® Helps Startups Nationwide through Virtual Incubation Program,https://www.newsvoir.com/release/jaipur-based-startup-chaupal-helps-startups-nationwide-through-virtual-incubation-program-16547.html
63,Ramanuj Mukherjee Creates Voluntary Lawyers Group to Fight COVID Scams,https://www.newsvoir.com/release/ramanuj-mukherjee-creates-voluntary-lawyers-group-to-fight-covid-scams-16460.html
64,Meet the Differently abled Female Entrepreneur Who is Positively Impacting Mental Health with Her Startup Yearbook Canvas,https://www.newsvoir.com/release/meet-the-differently-abled-female-entrepreneur-who-is-positively-impacting-mental-health-with-her-startup-yearbook-canvas-16392.html
65,This Women Entrepreneur Takes the Big Leap with DressBio,https://www.newsvoir.com/release/this-women-entrepreneur-takes-the-big-leap-with-dressbio-16298.html
66,DOT School of Design Organises 'Aala' - An Interactive Design Convention Sheds Light on Prospects for Students,https://www.newsvoir.com/release/dot-school-of-design-organises-apos-aala-apos-an-interactive-design-convention-sheds-light-on-prospects-for-students-16246.html
67,"Founders Club Organises 8-week Masterclass Series for Early-stage Start-ups, In partnership with the Embassy of Israel ",https://www.newsvoir.com/release/founders-club-organises-8-week-masterclass-series-for-early-stage-start-ups-in-partnership-with-the-embassy-of-israel-16228.html
68,"IMS Noida Organized an Academic Summit 2021 on Entrepreneurship and Innovation 
",https://www.newsvoir.com/release/ims-noida-organized-an-academic-summit-2021-on-entrepreneurship-and-innovation-16111.html
69,"CityTadka: Platform to Explore the Unexplored of the City by Young Entrepreneurs Vishvesh Sanghavi and Shaival Desai
",https://www.newsvoir.com/release/citytadka-platform-to-explore-the-unexplored-of-the-city-by-young-entrepreneurs-vishvesh-sanghavi-and-shaival-desai-16077.html
70,IIT Gold-Medalist's Ed-Tech Organization Wins the Young Social Entrepreneurs Global Award in Singapore,https://www.newsvoir.com/release/iit-gold-medalist-apos-s-ed-tech-organization-wins-the-young-social-entrepreneurs-global-award-in-singapore-16069.html
71,Dr. Nitesh Kumar Recognized for Entrepreneurial Success and Commitment to Business and Community,https://www.newsvoir.com/release/dr-nitesh-kumar-recognized-for-entrepreneurial-success-and-commitment-to-business-and-community-16009.html
72,An Evening Dedicated to the Aspiring Women Achievers of India,https://www.newsvoir.com/release/an-evening-dedicated-to-the-aspiring-women-achievers-of-india-15988.html
73,Rural entrepreneurs Usha Chaumar and Asha Jha Felicitated with BRICS CCI WE Rural Women Empowerment Awards,https://www.newsvoir.com/release/rural-entrepreneurs-usha-chaumar-and-asha-jha-felicitated-with-brics-cci-we-rural-women-empowerment-awards-15984.html
74,French Firm GeneStore's Indian Founder Introduced Affordable COVID-19 RT-PCR in Indian Market,https://www.newsvoir.com/release/french-firm-genestore-apos-s-indian-founder-introduced-affordable-covid-19-rt-pcr-in-indian-market-15960.html
75, SATYA MicroCapital Ltd. Hosts Vijayalakshmi Das Entrepreneurship Awards 2021 ,https://www.newsvoir.com/release/satya-microcapital-ltd-hosts-vijayalakshmi-das-entrepreneurship-awards-2021-15958.html
76,"Women Achievers Award ""Her Ka Hunar"" Organized by Rinna Agarrwal",https://www.newsvoir.com/release/women-achievers-award-quot-her-ka-hunar-quot-organized-by-rinna-agarrwal-15911.html
77,"WSquare becomes First Team from TN to be Selected for Enpact's Program Designers' Lab
",https://www.newsvoir.com/release/wsquare-becomes-first-team-from-tn-to-be-selected-for-enpact-apos-s-program-designers-apos-lab-15909.html
78,Suchita Oswal Jain Bestowed with the Outstanding Women Leader Award at 8th World Women Leadership Congress & Awards,https://www.newsvoir.com/release/suchita-oswal-jain-bestowed-with-the-outstanding-women-leader-award-at-8th-world-women-leadership-congress-awards-15881.html
79,Scaler Earmarks INR 1 Crore to Empower and Upskill Women in Tech,https://www.newsvoir.com/release/scaler-earmarks-inr-1-crore-to-empower-and-upskill-women-in-tech-15890.html
80,"Kuberan's House Onboards Mr. Sanjay Mehta, Ms. Ankita Vashistha, and Dr. Apoorva Ranjan Sharma as Kuberas (Investors) for its Entrepreneurship Themed Reality Show

",https://www.newsvoir.com/release/kuberan-apos-s-house-onboards-mr-sanjay-mehta-ms-ankita-vashistha-and-dr-apoorva-ranjan-sharma-as-kuberas-investors-for-its-entrepreneurship-themed-reality-show-15874.html
81,"Shaping the Indian Beauty Market, Tressmart Records Meteoric Rise in the Pandemic Year to Present",https://www.newsvoir.com/release/shaping-the-indian-beauty-market-tressmart-records-meteoric-rise-in-the-pandemic-year-to-present-15821.html
82,NSRCEL Organises Discussion on 'Budget and Beyond' for Start-ups,https://www.newsvoir.com/release/nsrcel-organises-discussion-on-apos-budget-and-beyond-apos-for-start-ups-15733.html
83,"Power2SME Signs MoU with Directorate of MSME, Government of Haryana",https://www.newsvoir.com/release/power2sme-signs-mou-with-directorate-of-msme-government-of-haryana-15703.html
84,Mahaveer Pratap Sharma and Girish Shivani Onboarded as Investors for Entrepreneurship-based Reality Show by Kuberan's House ,https://www.newsvoir.com/release/mahaveer-pratap-sharma-and-girish-shivani-onboarded-as-investors-for-entrepreneurship-based-reality-show-by-kuberan-apos-s-house-15698.html
