,title,link
0,"India to Become Fastest-Growing Green Economy of the World: Piyush Goyal, Commerce and Industry Minister",https://www.newsvoir.com/release/india-to-become-fastest-growing-green-economy-of-the-world-piyush-goyal-commerce-and-industry-minister-19646.html
1,Chitkara University Secures Approval of PFAS Project from Government,https://www.newsvoir.com/release/chitkara-university-secures-approval-of-pfas-project-from-government-19623.html
2,BML Munjal University Hosts Successful Second Season of Leadership Summit 2022,https://www.newsvoir.com/release/bml-munjal-university-hosts-successful-second-season-of-leadership-summit-2022-19528.html
3,MAK Lubricants - 'Lubricating the Future of Mobility',https://www.newsvoir.com/release/mak-lubricants-lubricating-the-future-of-mobility-19521.html
4,India Showcases Digital Agriculture Ecosystem at EXPO2020,https://www.newsvoir.com/release/india-showcases-digital-agriculture-ecosystem-at-expo2020-19504.html
5,"The Era of Isolationism is Long Over: Mr. Abdulla Shahid, President of the 76th Session of the UN General Assembly and the Foreign Minister of Maldives at the World Sustainable Development Summit",https://www.newsvoir.com/release/the-era-of-isolationism-is-long-over-mr-abdulla-shahid-president-of-the-76th-session-of-the-un-general-assembly-and-the-foreign-minister-of-maldives-at-the-world-sustainable-development-summit-19440.html
6,State Government Ministers Moot the Idea of an Environment Council to Effectively Implement Climate Action at All Levels,https://www.newsvoir.com/release/state-government-ministers-moot-the-idea-of-an-environment-council-to-effectively-implement-climate-action-at-all-levels-19437.html
7,Glasgow to Sharm el-Sheikh: Bridging the Gap between Mitigation and Adaptation Finance at COP 27,https://www.newsvoir.com/release/glasgow-to-sharm-el-sheikh-bridging-the-gap-between-mitigation-and-adaptation-finance-at-cop-27-19426.html
8,"Bharat Petroleum Launches EV Fast-Charging Corridor on Chennai - Trichy - Madurai Highway
",https://www.newsvoir.com/release/bharat-petroleum-launches-ev-fast-charging-corridor-on-chennai-trichy-madurai-highway-19416.html
9,Mr. John Kerry and Six World Leaders Call for Green Shift in Consumption and Production Systems,https://www.newsvoir.com/release/mr-john-kerry-and-six-world-leaders-call-for-green-shift-in-consumption-and-production-systems-19417.html
10,PM Narendra Modi Calls for Global Alliances to Tackle Climate Change at the World Sustainable Development Summit ,https://www.newsvoir.com/release/pm-narendra-modi-calls-for-global-alliances-to-tackle-climate-change-at-the-world-sustainable-development-summit-19410.html
