,title,link
0,COVIDActionCollab and USAID Provide Critical COVID-19 Services to 10 Million,https://www.newsvoir.com/release/covidactioncollab-and-usaid-provide-critical-covid-19-services-to-10-million-19700.html
1,New Techniques Hold Much Promise in Treatment of Brain and Spinal Tumours: RGCIRC,https://www.newsvoir.com/release/new-techniques-hold-much-promise-in-treatment-of-brain-and-spinal-tumours-rgcirc-19696.html
2,GROHE and Hurun India Launch 'Builders of Tomorrow',https://www.newsvoir.com/release/grohe-and-hurun-india-launch-builders-of-tomorrow-19690.html
3,Kolaj - the First Bengali Film Festival will be held in Bengaluru from April 8 to 10,https://www.newsvoir.com/release/kolaj-the-first-bengali-film-festival-will-be-held-in-bengaluru-from-april-8-to-10-19687.html
4,"Femina Miss India 2020 Runner-up Maanya Singh at INIFD Kothrud, Pune for Annual Convocation",https://www.newsvoir.com/release/femina-miss-india-2020-runner-up-maanya-singh-at-inifd-kothrud-pune-for-annual-convocation-19686.html
5,Oakridge Junior Codefest 2022 Introduces a Brilliant League of Smart New Coders,https://www.newsvoir.com/release/oakridge-junior-codefest-2022-introduces-a-brilliant-league-of-smart-new-coders-19685.html
6,MVM London Welcomes Divine for a Very First Time in the UK for a Magical Musical Night,https://www.newsvoir.com/release/mvm-london-welcomes-divine-for-a-very-first-time-in-the-uk-for-a-magical-musical-night-19681.html
7,USAID's CoVLEx Initiative Brings Private Sector Learnings to the Global South,https://www.newsvoir.com/release/usaids-covlex-initiative-brings-private-sector-learnings-to-the-global-south-19677.html
8,Bigbull Dealt India Pvt. Ltd. Presents Fempreneur Conference and Awards 2022 Concludes Successfully,https://www.newsvoir.com/release/bigbull-dealt-india-pvt-ltd-presents-fempreneur-conference-awards-2022-concludes-successfully-19678.html
9,Period-holiday and 'No Personal Questions' Policy During Interviews for Women Workforce: KelpHR,https://www.newsvoir.com/release/period-holiday-and-no-personal-questions-policy-during-interviews-for-women-workforce-kelphr-19674.html
10,SATYA MicroCapital Ltd. Organizes Second Edition of Vijayalakshmi Das Entrepreneurship Awards on Women's Day,https://www.newsvoir.com/release/satya-microcapital-ltd-organizes-second-edition-of-vijayalakshmi-das-entrepreneurship-awards-on-women-s-day-19651.html
11,Bollyboom in Association with SteppinOut by Dineout Announces the 'Farhan Live India Tour 2022' with Farhan Akhtar,https://www.newsvoir.com/release/bollyboom-in-association-with-steppinout-by-dineout-announces-the-farhan-live-india-tour-2022-with-farhan-akhtar-19640.html
12,"AWIB, An Indian Think Tank is bringing Prosperity among Women Entrepreneurs in India and South East Asia",https://www.newsvoir.com/release/awib-an-indian-think-tank-is-bringing-prosperity-among-women-entrepreneurs-in-india-and-south-east-asia-19659.html
13,OYO's Women-only Hackathon 'WomenInCtrl' to Improve Gender Diversity in Tech,https://www.newsvoir.com/release/oyos-women-only-hackathon-apos-womeninctrl-apos-to-improve-gender-diversity-in-tech-19654.html
14,"KGK Group Chairman, Mr. Navrattan Kothari, got Felicitated with Lifetime Achievement Award at Jewellery World  Awards",https://www.newsvoir.com/release/kgk-group-chairman-mr-navrattan-kothari-got-felicitated-with-lifetime-achievement-award-at-jewellery-world-awards-19644.html
15,"India to Become Fastest-Growing Green Economy of the World: Piyush Goyal, Commerce and Industry Minister",https://www.newsvoir.com/release/india-to-become-fastest-growing-green-economy-of-the-world-piyush-goyal-commerce-and-industry-minister-19646.html
16,IMS Noida Organized a Felicitation Ceremony,https://www.newsvoir.com/release/ims-noida-organized-a-felicitation-ceremony-19633.html
17,Wave City in Association with Dainik Jagran Group Organizes Ghaziabad Half Marathon on the Occasion of International Women's Day ,https://www.newsvoir.com/release/wave-city-in-association-with-dainik-jagran-group-organizes-ghaziabad-half-marathon-on-the-occasion-of-international-women-s-day-19631.html
18,"Techlutions is Delighted to Announce the Launch of ""SCORE""",https://www.newsvoir.com/release/techlutions-is-delighted-to-announce-the-launch-of-quot-score-quot-19619.html
19,"NTT DATA and NLB Services Announce, 'Bridge The Gap' Hackathon for Women IT Professionals",https://www.newsvoir.com/release/ntt-data-and-nlb-services-announce-bridge-the-gap-hackathon-for-women-it-professionals-19624.html
20,Cooperative Sector Key to Aatmanirbhar Bharat,https://www.newsvoir.com/release/cooperative-sector-key-to-aatmanirbhar-bharat-19615.html
21,"PRAMA's First Brand Store in India Opens in Bhavnagar, Gujarat",https://www.newsvoir.com/release/pramas-first-brand-store-in-india-opens-in-bhavnagar-gujarat-19616.html
22,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
23,"Mobis India Participates in ""Nurture Young Minds, Develop Safety Culture"" an Initiative on National Safety Day from March 4-10' 2022",https://www.newsvoir.com/release/mobis-india-participates-in-nurture-young-minds-develop-safety-culture-an-initiative-on-national-safety-day-from-march-4-10-2022-19612.html
24,"GreenCell Mobility Kicks off 51st National Safety Week, Reinforces Workplace Safety, Health, and Environment Practices",https://www.newsvoir.com/release/greencell-mobility-kicks-off-51st-national-safety-week-reinforces-workplace-safety-health-and-environment-practices-19604.html
25,India's Agriculture and Allied Sector Demonstrates its Prowess at EXPO2020 Dubai,https://www.newsvoir.com/release/india-s-agriculture-and-allied-sector-demonstrates-its-prowess-at-expo2020-dubai-19611.html
26,British Safety Council Membership gets Attractive Discount for National Safety Week,https://www.newsvoir.com/release/british-safety-council-membership-gets-attractive-discount-for-national-safety-week-19605.html
27,Airbnb Celebrates its Community of Women Hosts in India Ahead of International Women's Day ,https://www.newsvoir.com/release/airbnb-celebrates-its-community-of-women-hosts-in-india-ahead-of-international-women-s-day-19599.html
28,K Sera Sera Partners with Mahesh Bhatt and Vikram Bhatt to Create India's First Virtual Production Studio,https://www.newsvoir.com/release/k-sera-sera-partners-with-mahesh-bhatt-and-vikram-bhatt-to-create-india-s-first-virtual-production-studio-19593.html
29,Prayers for World Peace held at The Art of Living International Center as part of Maha Shivratri,https://www.newsvoir.com/release/prayers-for-world-peace-held-at-the-art-of-living-international-centre-as-part-of-maha-shivratri-19589.html
30,Elpro International School Keeps the Inspiration Flowing with TEDx,https://www.newsvoir.com/release/elpro-international-school-keeps-the-inspiration-flowing-with-tedx-19585.html
31,DefExpo 2022: Crown Group Defence to Showcase their Capabilities in MRO and Indigenous Manufacturing for Indian Defence Services,https://www.newsvoir.com/release/defexpo-2022-crown-group-defence-to-showcase-their-capabilities-in-mro-and-indigenous-manufacturing-for-indian-defence-services-19582.html
32,35th International VLSI and Embedded Systems Conference Inaugurated by Rajeev Chandrasekhar,https://www.newsvoir.com/release/35th-international-vlsi-and-embedded-systems-conference-inaugurated-by-rajeev-chandrasekhar-19569.html
33,Frankfinn Receives the Award for 'Best Air Hostess Training Institute' for 10th Year in a Row at 13th ASSOCHAM International Conference cum Awards,https://www.newsvoir.com/release/frankfinn-receives-the-award-for-apos-best-air-hostess-training-institute-apos-for-10th-year-in-a-row-at-13th-assocham-international-conference-cum-awards-19564.html
34,"Urban Development Needs to Align itself with NUDM to Improve Ease of Living for Citizens, says Raman Aggarwal",https://www.newsvoir.com/release/urban-development-needs-to-align-itself-with-nudm-to-improve-ease-of-living-for-citizens-says-raman-aggarwal-19561.html
35,CM Haryana Honored Signature Global Group for Developing Remarkable Real Estate Projects,https://www.newsvoir.com/release/cm-haryana-honored-signature-global-group-for-developing-remarkable-real-estate-projects-19553.html
36,Champions of Change honors the Change Makers of Telangana,https://www.newsvoir.com/release/champions-of-change-honors-the-change-makers-of-telangana-19552.html
37,Union Health Minister Highlights the Contribution of Physicians of Indian Origin,https://www.newsvoir.com/release/union-health-minister-highlights-the-contribution-of-physicians-of-indian-origin-19551.html
38,SRM University-AP Launches Aadigyan: To Promote India's Cultural Knowledge Tradition,https://www.newsvoir.com/release/srm-university-ap-launches-aadigyan-to-promote-indias-cultural-knowledge-tradition-19550.html
39,India Turned COVID-19 Crisis into an Opportunity of Growth - Priyam Gandhi-Mody,https://www.newsvoir.com/release/india-turned-covid-19-crisis-into-an-opportunity-of-growth-priyam-gandhi-mody-19546.html
40,Vyaapar Jagat Fempreneur Conference and Awards in Association with FICCI FLO - Celebrating Azadi Ka Amrit Mahotsav and Women Entrepreneurs of Aatma Nirbar Bharat ,https://www.newsvoir.com/release/vyaapar-jagat-fempreneur-conference-and-awards-in-association-with-ficci-flo-celebrating-azadi-ka-amrit-mahotsav-and-women-entrepreneurs-of-aatma-nirbar-bharat-19548.html
41,India Pavilion Symbolises Country's Innovative Prowess: Lok Sabha Speaker Shri Om Birla,https://www.newsvoir.com/release/india-pavilion-symbolises-country-s-innovative-prowess-lok-sabha-speaker-shri-om-birla-19538.html
42,BML Munjal University Hosts Successful Second Season of Leadership Summit 2022,https://www.newsvoir.com/release/bml-munjal-university-hosts-successful-second-season-of-leadership-summit-2022-19528.html
43,Jagran Lakecity University Announces Launch of Central India's Groundbreaking Football Talent Development Programme,https://www.newsvoir.com/release/jagran-lakecity-university-announces-launch-of-central-india-s-groundbreaking-football-talent-development-programme-19519.html
44,MAK Lubricants - 'Lubricating the Future of Mobility',https://www.newsvoir.com/release/mak-lubricants-lubricating-the-future-of-mobility-19521.html
45,Technicolor Creative Studios Co-powers VFX and More Summit to Empower India's Animation and VFX Industry,https://www.newsvoir.com/release/technicolor-creative-studios-co-powers-vfx-and-more-summit-to-empower-india-s-animation-and-vfx-industry-19494.html
46,"After Daler Mehendi's Concert, PartyNite Metaverse Platform to Celebrate 'Singles' Nite",https://www.newsvoir.com/release/after-daler-mehendi-s-concert-partynite-metaverse-platform-to-celebrate-singles-nite-19510.html
47,India Showcases Digital Agriculture Ecosystem at EXPO2020,https://www.newsvoir.com/release/india-showcases-digital-agriculture-ecosystem-at-expo2020-19504.html
48,Five Must Watch Films to Stream at the Japanese Film Festival 2022,https://www.newsvoir.com/release/five-must-watch-films-to-stream-at-the-japanese-film-festival-2022-19476.html
49,Organic India Felicitates the Heroes of Indian Agriculture with Dharti Mitr Award at the Dadasaheb Phalke International Film Festival 2022,https://www.newsvoir.com/release/organic-india-felicitates-the-heroes-of-indian-agriculture-with-dharti-mitr-award-at-the-dadasaheb-phalke-international-film-festival-2022-19474.html
50,India Book of Records Achieves Better than Ever Before,https://www.newsvoir.com/release/india-book-of-records-achieves-better-than-ever-before-19447.html
51,India Pavilion at EXPO2020 Celebrates India-UAE CEPA Signing,https://www.newsvoir.com/release/india-pavilion-at-expo2020-celebrates-india-uae-cepa-signing-19446.html
52,M3M Foundation's Khushiyon Ka Mela Brings Smile Back on Underprivileged Children's Faces in Sec-67 Gurugram,https://www.newsvoir.com/release/m3m-foundation-s-khushiyon-ka-mela-brings-smile-back-on-underprivileged-children-s-faces-in-sec-67-gurugram-19442.html
53,"The Era of Isolationism is Long Over: Mr. Abdulla Shahid, President of the 76th Session of the UN General Assembly and the Foreign Minister of Maldives at the World Sustainable Development Summit",https://www.newsvoir.com/release/the-era-of-isolationism-is-long-over-mr-abdulla-shahid-president-of-the-76th-session-of-the-un-general-assembly-and-the-foreign-minister-of-maldives-at-the-world-sustainable-development-summit-19440.html
54,Alkaline Movement Starts in Hospitality Industry of India and Asia from ACOHI,https://www.newsvoir.com/release/alkaline-movement-starts-in-hospitality-industry-of-india-and-asia-from-acohi-19436.html
55,State Government Ministers Moot the Idea of an Environment Council to Effectively Implement Climate Action at All Levels,https://www.newsvoir.com/release/state-government-ministers-moot-the-idea-of-an-environment-council-to-effectively-implement-climate-action-at-all-levels-19437.html
56,"5th Global Bhagavad Gita Convention based on the Theme of Mental Harmony to be Inaugurated by Hon'ble Vice President of India, Shri M. Venkaiah Naidu",https://www.newsvoir.com/release/5th-global-bhagavad-gita-convention-based-on-the-theme-of-mental-harmony-to-be-inaugurated-by-hon-apos-ble-vice-president-of-india-shri-m-venkaiah-naidu-19428.html
57,Glasgow to Sharm el-Sheikh: Bridging the Gap between Mitigation and Adaptation Finance at COP 27,https://www.newsvoir.com/release/glasgow-to-sharm-el-sheikh-bridging-the-gap-between-mitigation-and-adaptation-finance-at-cop-27-19426.html
58,"Bharat Petroleum Launches EV Fast-Charging Corridor on Chennai - Trichy - Madurai Highway
",https://www.newsvoir.com/release/bharat-petroleum-launches-ev-fast-charging-corridor-on-chennai-trichy-madurai-highway-19416.html
59,Mr. John Kerry and Six World Leaders Call for Green Shift in Consumption and Production Systems,https://www.newsvoir.com/release/mr-john-kerry-and-six-world-leaders-call-for-green-shift-in-consumption-and-production-systems-19417.html
60,Best Agrolife Ltd. Bagged the Award for Fastest Growing Company at PMFAI-SML Annual Agchem Awards 2022,https://www.newsvoir.com/release/best-agrolife-ltd-bagged-the-award-for-fastest-growing-company-at-pmfai-sml-annual-agchem-awards-2022-19412.html
