,title,link
0,She’s Mercedes - Celebrating and Inspiring Women,https://www.newsvoir.com/release/she-s-mercedes---celebrating-and-inspiring-women-10477.html
1,"Cambodia, The Home of Angkor Vat, has Potential to be the Fifth Hindu 'Dhaam'",https://www.newsvoir.com/release/cambodia-the-home-of-angkor-vat-has-potential-to-be-the-fifth-hindu-apos-dhaam-apos-10281.html
2,Soha Ali Khan Flags off “JEE Se JEEt Tak” Campaign by RadhaSai – IIT in Mumbai ,https://www.newsvoir.com/release/soha-ali-khan-flags-off-jee-se-jeet-tak-campaign-by-radhasai-iit-in-mumbai--10250.html
3,Designer Kshitij Choudhary Packs a Punch With His ‘The Army Of Glam’ Collection at India Beach Fashion Week,https://www.newsvoir.com/release/designer-kshitij-choudhary-packs-a-punch-with-his-the-army-of-glam-collection-at-india-beach-fashion-week-9410.html
4,John Stamos Proposes with a Platinum Engagement Ring,https://www.newsvoir.com/release/john-stamos-proposes-with-a-platinum-engagement-ring-9406.html
5,Mercedes-Benz India Along with Daimler Financial Services India Expands its offering by Launching an Innovative Extended Warranty Product - ‘Advanced Assurance Programme’ ,https://www.newsvoir.com/release/mercedes-benz-india-along-with-daimler-financial-services-india-expands-its-offering-by-launching-an-innovative-extended-warranty-product---advanced-assurance-programme--8693.html
6,New Year Jam at Phoenix Marketcity,https://www.newsvoir.com/release/new-year-jam-at-phoenix-marketcity-8022.html
7,"Celebrate the Glow of Lights, the Wonder of winter and the Arrival of Santa Claus at Phoenix Marketcity",https://www.newsvoir.com/release/celebrate-the-glow-of-lights-the-wonder-of-winter-and-the-arrival-of-santa-claus-at-phoenix-marketcity-7975.html
8,"Vishnuraj S. Menon, Bengaluru Declared `Peter England Mr. India 2016’",https://www.newsvoir.com/release/vishnuraj-s-menon-bengaluru-declared-peter-england-mr-india-2016--7848.html
9,"Prominent Royal Families Came Together for the ""Royal Feast"" by Harper's Bazaar Bride",https://www.newsvoir.com/release/prominent-royal-families-came-together-for-the-royal-feast-by-harper-s-bazaar-bride-7836.html
10,"Peter England Announces `Peter England Mr. India 2016’, India’s Leading Male Beauty Pageant",https://www.newsvoir.com/release/peter-england-announces-peter-england-mr-india-2016-india-s-leading-male-beauty-pageant-7811.html
11,Express Your Emotions Better with n-gage this Festive Season,https://www.newsvoir.com/release/express-your-emotions-better-with-n-gage-this-festive-season-7741.html
12,Check Out: Exclusive Behind-the-Scenes Video of ‘PregaNews’ Featuring Kareena Kapoor,https://www.newsvoir.com/release/check-out-exclusive-behind-the-scenes-video-of-preganews-featuring-kareena-kapoor-7510.html
13,Style Icon Gauri Khan to Grace the Enthralling Mercedes-Benz ‘Luxe Drive’ Gurgaon ,https://www.newsvoir.com/release/style-icon-gauri-khan-to-grace-the-enthralling-mercedes-benz-luxe-drive-gurgaon--7329.html
14,"Interdisciplinary Art Workshop ‘A Dialogue Between Easel and Chisel’ Curated by Neena Naishadh to Preview on August 19, 2016",https://www.newsvoir.com/release/interdisciplinary-art-workshop-a-dialogue-between-easel-and-chisel-curated-by-neena-naishadh-to-preview-on-august-19-2016-7307.html
15,Inshorts Partners with 30+ Content Publishers and 5 E-commerce Players to Boost Content Discovery,https://www.newsvoir.com/release/inshorts-partners-with-30-content-publishers-and-5-e-commerce-players-to-boost-content-discovery-6588.html
16,"ICICI Bank Announces Winners of ‘ICICI Appathon’, its Mobile App Development Challenge",https://www.newsvoir.com/release/icici-bank-announces-winners-of-icici-appathon-its-mobile-app-development-challenge-6578.html
17,Nokia Powers Idea Cellular Networks in India with4G LTE Deployment,https://www.newsvoir.com/release/nokia-powers-idea-cellular-networks-in-india-with4g-lte-deployment-6526.html
18,Idea Cellular Completes Fastest 4G LTE Roll-Out in 100 Days ,https://www.newsvoir.com/release/idea-cellular-completes-fastest-4g-lte-roll-out-in-100-days-6476.html
19,Busy Infotech Announces the Launch of BUSY 16,https://www.newsvoir.com/release/busy-infotech-announces-the-launch-of-busy-16-6398.html
20,Idea Covers 10 Telecom Circles with its World Class 4G LTE Services,https://www.newsvoir.com/release/idea-covers-10-telecom-circles-with-its-world-class-4g-lte-services-6392.html
21,"Eros International Films Continue their Magic Run at Film Awards, Clean Sweep Once Again at the Zee Cine Awards",https://www.newsvoir.com/release/eros-international-films-continue-their-magic-run-at-film-awards-clean-sweep-once-again-at-the-zee-cine-awards-6208.html
22,Express your True Feelings through n-gage this Valentine’s Day,https://www.newsvoir.com/release/express-your-true-feelings-through-n-gage-this-valentine-s-day-6146.html
23,"6Degree, India’s Quintessential Fashion Platform, Brings Together New Talented Designers from Across the Country and Abroad in Mumbai",https://www.newsvoir.com/release/6degree-india-s-quintessential-fashion-platform-brings-together-new-talented-designers-from-across-the-country-and-abroad-in-mumbai-6134.html
24,Mahindra & Mahindra Showcases the Future of Mobility to India’s Decision Makers,https://www.newsvoir.com/release/mahindra-mahindra-showcases-the-future-of-mobility-to-india-s-decision-makers-6126.html
25,Celebrate the Season of Love this Year with Candere,https://www.newsvoir.com/release/celebrate-the-season-of-love-this-year-with-candere-6097.html
