,title,link
0,10 Nahi 40 to have a Direct OTT Release,https://www.newsvoir.com/release/10-nahi-40-to-have-a-direct-ott-release-19689.html
1,Kolaj - the First Bengali Film Festival will be held in Bengaluru from April 8 to 10,https://www.newsvoir.com/release/kolaj-the-first-bengali-film-festival-will-be-held-in-bengaluru-from-april-8-to-10-19687.html
2,K Sera Sera Partners with Mahesh Bhatt and Vikram Bhatt to Create India's First Virtual Production Studio,https://www.newsvoir.com/release/k-sera-sera-partners-with-mahesh-bhatt-and-vikram-bhatt-to-create-india-s-first-virtual-production-studio-19593.html
3,"EventScape Announces India's First Community For Independent Filmmakers to Host, Ticket, Stream and Engage their Audiences
",https://www.newsvoir.com/release/eventscape-announces-india-s-first-community-for-independent-filmmakers-to-host-ticket-stream-and-engage-their-audiences-19581.html
4,"Avitesh Shrivastava All Set for Bollywood Debut with Sirf Ek Friday, begins Shooting on his Birthday",https://www.newsvoir.com/release/avitesh-shrivastava-all-set-for-bollywood-debut-with-sirf-ek-friday-begins-shooting-on-his-birthday-19524.html
5,Technicolor Creative Studios Co-powers VFX and More Summit to Empower India's Animation and VFX Industry,https://www.newsvoir.com/release/technicolor-creative-studios-co-powers-vfx-and-more-summit-to-empower-india-s-animation-and-vfx-industry-19494.html
6,Five Must Watch Films to Stream at the Japanese Film Festival 2022,https://www.newsvoir.com/release/five-must-watch-films-to-stream-at-the-japanese-film-festival-2022-19476.html
7,The Trailer of '10 Nahi 40' Takes us on a Fun Ride,https://www.newsvoir.com/release/the-trailer-of-10-nahi-40-takes-us-on-a-fun-ride-19475.html
8,Carnival Cinemas and 8secondz to Launch One of the India's Biggest Short Film Festival in a Bid to Discover the Nation's Next Movie Stars,https://www.newsvoir.com/release/carnival-cinemas-and-8secondz-to-launch-one-of-the-india-s-biggest-short-film-festival-in-a-bid-to-discover-the-nation-s-next-movie-stars-19185.html
9,iLEAD Films and Suvendu Raj Ghosh's 'Before You Die…' to Launch its Trailer the Unique Way,https://www.newsvoir.com/release/ilead-films-and-suvendu-raj-ghosh-s-before-you-die-to-launch-its-trailer-the-unique-way-19172.html
10,"Images International Signs Paranormal Investigator Jay Alani for Psychological Thriller
",https://www.newsvoir.com/release/images-international-signs-paranormal-investigator-jay-alani-for-psychological-thriller-19090.html
11,BollyCoin's Dabangg NFT Collection is Now Live,https://www.newsvoir.com/release/bollycoins-dabangg-nft-collection-is-now-live-18951.html
12,ADYP Healthcare Conducts Private Screening of 83 with Kapil Dev,https://www.newsvoir.com/release/adyp-healthcare-conducts-private-screening-of-83-with-kapil-dev-18915.html
13,iLEAD Films and Suvendu Raj Ghosh's 'Before You Die…' Scores Big at LIFFT India Awards 2021 with 5 Awards,https://www.newsvoir.com/release/ilead-films-and-suvendu-raj-ghosh-s-before-you-die-scores-big-at-lifft-india-awards-2021-with-5-awards-18883.html
14,"iLEAD Introduces a Fresh Voice, Deepika Samanta a Hidden Talent Discovered by Pradip Chopra and Suvendu Raj Ghosh",https://www.newsvoir.com/release/ilead-introduces-a-fresh-voice-deepika-samanta-a-hidden-talent-discovered-by-pradip-chopra-and-suvendu-raj-ghosh-18602.html
15,"An Eclectic Blend of Fashion, Films, Art, Music, and the Human Spirit at CFBP Consumer Film Festival 2021",https://www.newsvoir.com/release/an-eclectic-blend-of-fashion-films-art-music-and-the-human-spirit-at-cfbp-consumer-film-festival-2021-18592.html
16,"CFBP Consumer Film Festival 2021 Jury Chooses Talented Mix of Students, Professionals and Filmmakers as Winners",https://www.newsvoir.com/release/cfbp-consumer-film-festival-2021-jury-chooses-talented-mix-of-students-professionals-and-filmmakers-as-winners-18465.html
17,Dulquer Salmaan Starrer Kurup to Open Across 1500+ Screens Worldwide Tomorrow,https://www.newsvoir.com/release/dulquer-salmaan-starrer-kurup-to-open-across-1500-screens-worldwide-tomorrow-18350.html
18,"Suvendu Raj Ghosh and iLEAD's Next 'Before You Die…' to Release on 4th February, 2022",https://www.newsvoir.com/release/suvendu-raj-ghosh-and-ilead-s-next-before-you-die-to-release-on-4th-february-2022-18332.html
