,title,link
0,"TVS Motor Company Registers Sales of 281,714 Units in February 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-281-714-units-in-february-2022-19579.html
1,"Hafele Group Showing Significant Growth in Spite of the Pandemic Superb Financial Report for 2021: Revenue Increases 22 percent
",https://www.newsvoir.com/release/hafele-group-showing-significant-growth-in-spite-of-the-pandemic-superb-financial-report-for-2021-revenue-increases-22-percent-19527.html
2,Tilaknagar Industries Q3 Net Revenue Up 23 Per cent at Rs. 206 Crore; Net Profit at Rs. 10 Crore,https://www.newsvoir.com/release/tilaknagar-industries-q3-net-revenue-up-23-per-cent-at-rs-206-crore-net-profit-at-rs-10-crore-19363.html
3,"TVS Motor Company Records Highest Ever Revenue, EBITDA and Profit in a Quarter",https://www.newsvoir.com/release/tvs-motor-company-records-highest-ever-revenue-ebitda-and-profit-in-a-quarter-19301.html
4,JK Lakshmi Cement Posted Net Profit Rs. 59.84 Cr. in Oct-Dec 21,https://www.newsvoir.com/release/jk-lakshmi-cement-posted-net-profit-rs-59-84-cr-in-oct-dec-21-19254.html
5,Industry Hails Growth-oriented Budget ,https://www.newsvoir.com/release/industry-hails-growth-oriented-budget-19251.html
6,"""Union Budget 2022-23 Positive and Growth Oriented"", Chairman, TEXPROCIL",https://www.newsvoir.com/release/union-budget-2022-23-positive-and-growth-oriented-chairman-texprocil-19249.html
7,"Migsun Achieves Rs. 550 Crore Sales in Q3, Targets another Rs. 700 Crore by Q4 FY 21-22",https://www.newsvoir.com/release/migsun-achieves-rs-550-crore-sales-in-q3-targets-another-rs-700-crore-by-q4-fy-21-22-19233.html
8,"R Narayan Founder & CEO Power2SME, President FICCI-CMSME Hails the Capital Infusions for the MSME Sector in New Budget",https://www.newsvoir.com/release/r-narayan-founder-ceo-power2sme-president-ficci-cmsme-hails-the-capital-infusions-for-the-msme-sector-in-new-budget-19231.html
9,"TVS Motor Company Registers Sales of 266,788 Units in January 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-266-788-units-in-january-2022-19228.html
10,"Yasho Industries Limited 9MFY22 Highlights - Robust Performance Continues, Led by Good Demand in Domestic and Export Markets",https://www.newsvoir.com/release/yasho-industries-limited-9mfy22-highlights-robust-performance-continues-led-by-good-demand-in-domestic-and-export-markets-19222.html
11,"Max Financial Services 9MFY22 Consolidated Revenue^ Rises 21 percent to Rs. 14,160 Cr.",https://www.newsvoir.com/release/max-financial-services-9mfy22-consolidated-revenue-rises-21-percent-to-rs-14-160-cr-19192.html
12,Revenue Growth of 25 Percent to Rs. 43 Cr. in Q3FY22 EBITDA Loss Reduced By 83 Percent in Q3FY22,https://www.newsvoir.com/release/revenue-growth-of-25-percent-to-rs-43-cr-in-q3fy22-ebitda-loss-reduced-by-83-percent-in-q3fy22-19175.html
13,BAL Reports Consolidated Q3 Revenue of Rs. 232.5 Cr. a YOY Growth of 310 Percent and PAT at Rs. 15.5 Cr. a YOY Growth at 465 Percent,https://www.newsvoir.com/release/bal-reports-consolidated-q3-revenue-of-rs-232-5-cr-a-yoy-growth-of-310-percent-and-pat-at-rs-15-5-cr-a-yoy-growth-at-465-percent-19150.html
14,Radio City Maintains Leadership Position with a Strong Profit Growth,https://www.newsvoir.com/release/radio-city-maintains-leadership-position-with-a-strong-profit-growth-19135.html
15,"18 Billion USD Japanese Low-cost Bullet Train Finance, without the FX Risk",https://www.newsvoir.com/release/18-billion-usd-japanese-low-cost-bullet-train-finance-without-the-fx-risk-18948.html
16,"TVS Motor Company Registers Sales of 250,933 Units in December 2021",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-250-933-units-in-december-2021-18946.html
17,SATYA MicroCapital Reaches Rs. 2000 Cr. Assets under Management,https://www.newsvoir.com/release/satya-microcapital-reaches-rs-2000-cr-assets-under-management-18945.html
18,"AdPushup Clocks 97 percent ARR Growth in 2021, Hits a New Milestone",https://www.newsvoir.com/release/adpushup-clocks-97-percent-arr-growth-in-2021-hits-a-new-milestone-18843.html
19,ZinQ Technologies Set to Clock Over INR 75 Cr in Revenue this Fiscal Year,https://www.newsvoir.com/release/zinq-technologies-set-to-clock-over-inr-75-cr-in-revenue-this-fiscal-year-18807.html
20,New Perspectives in Crypto Amid the BTC Bull Market According to OctaFX,https://www.newsvoir.com/release/new-perspectives-in-crypto-amid-the-btc-bull-market-according-to-octafx-18743.html
