,title,link
0,"Alpino Health Foods, a Shark Tank Brand, Raises Funds through Revenue Based Financing before its Seed Round",https://www.newsvoir.com/release/alpino-health-foods-a-shark-tank-brand-raises-funds-through-revenue-based-financing-before-its-seed-round-19697.html
1,Get Naturally High this Holi with Refreshing Healthy Smoothies by Drunken Monkey,https://www.newsvoir.com/release/get-naturally-high-this-holi-with-refreshing-healthy-smoothies-by-drunken-monkey-19647.html
2,Women's Day 2022: Here's How California Walnuts May Help you Achieve your Health Goals,https://www.newsvoir.com/release/womens-day-2022-heres-how-california-walnuts-may-help-you-achieve-your-health-goals-19638.html
3,Iconic Red Gold Tomatoes from Europe Launches its Promotional Campaign in India,https://www.newsvoir.com/release/iconic-red-gold-tomatoes-from-europe-launches-its-promotional-campaign-in-india-19613.html
4,"California Walnuts Launches Global ""Power of 3"" Campaign to Address Importance of Omega-3 Consumption",https://www.newsvoir.com/release/california-walnuts-launches-global-quot-power-of-3-quot-campaign-to-address-importance-of-omega-3-consumption-19608.html
5,"Ginglani Distillers raises Rs. 6.6 Crores in its Pre-Series-A Round led by Supermorpheus, Eagle10 Ventures and Grand Anicut Angel Fund",https://www.newsvoir.com/release/ginglani-distillers-raises-rs-6-6-crores-in-its-pre-series-a-round-led-by-supermorpheus-eagle10-ventures-and-grand-anicut-angel-fund-19600.html
6,Crack Open Goodness with California Pistachios on World Pistachio Day,https://www.newsvoir.com/release/crack-open-goodness-with-california-pistachios-on-world-pistachio-day-19573.html
7,Chennai Based Food Startup BVK Biryani Launches 99-Minute Delivery in Re-usable Tin Containers,https://www.newsvoir.com/release/chennai-based-food-startup-bvk-biryani-launches-99-minute-delivery-in-re-usable-tin-containers-19508.html
8,Chai Chun Launches its Store at Kolkata International Airport,https://www.newsvoir.com/release/chai-chun-launches-its-store-at-kolkata-international-airport-19497.html
9,Alkaline Movement Starts in Hospitality Industry of India and Asia from ACOHI,https://www.newsvoir.com/release/alkaline-movement-starts-in-hospitality-industry-of-india-and-asia-from-acohi-19436.html
10,Your Guide to Eating Plant-Based Food,https://www.newsvoir.com/release/your-guide-to-eating-plant-based-food-19422.html
11,Pernod Ricard India Accelerates its Focus on Diversity and Inclusion,https://www.newsvoir.com/release/pernod-ricard-india-accelerates-its-focus-on-diversity-and-inclusion-19419.html
12,India Pavilion to Exhibit Global Investment Opportunities in Agriculture and Allied Sectors at EXPO2020,https://www.newsvoir.com/release/india-pavilion-to-exhibit-global-investment-opportunities-in-agriculture-and-allied-sectors-at-expo2020-19409.html
13,OneRare Joins Forces with Massive Restaurants to Redefine the Landscape of Blockchain Industry in India,https://www.newsvoir.com/release/onerare-joins-forces-with-massive-restaurants-to-redefine-the-landscape-of-blockchain-industry-in-india-19392.html
14,"Fast&Up Fizztival Run is Back with its Third Edition, Remote 5K Run",https://www.newsvoir.com/release/fast-up-fizztival-run-is-back-with-its-third-edition-remote-5k-run-19385.html
15,Somarka brings to India the Secret to Total Body Revitalization through Coherent Water,https://www.newsvoir.com/release/somarka-brings-to-india-the-secret-to-total-body-revitalization-through-coherent-water-19379.html
16,Tilaknagar Industries Q3 Net Revenue Up 23 Per cent at Rs. 206 Crore; Net Profit at Rs. 10 Crore,https://www.newsvoir.com/release/tilaknagar-industries-q3-net-revenue-up-23-per-cent-at-rs-206-crore-net-profit-at-rs-10-crore-19363.html
17,Seagram's Royal Stag Proudly Sponsors the West Indies Cricket Team for their Tour of India-2022,https://www.newsvoir.com/release/seagram-s-royal-stag-proudly-sponsors-the-west-indies-cricket-team-for-their-tour-of-india-2022-19354.html
18,Wow! Momo Launches its New Brand Wow! Chicken,https://www.newsvoir.com/release/wow-momo-launches-its-new-brand-wow-chicken-19337.html
