,title,link
0,"Fired up and Victorious, Chelsea FC are Crowned World Champions",https://www.newsvoir.com/release/fired-up-and-victorious-chelsea-fc-are-crowned-world-champions-19452.html
1,OneRare Joins Forces with Massive Restaurants to Redefine the Landscape of Blockchain Industry in India,https://www.newsvoir.com/release/onerare-joins-forces-with-massive-restaurants-to-redefine-the-landscape-of-blockchain-industry-in-india-19392.html
2,"Fintech Startup Krazzy Fin Pvt. Ltd. Launches a Unique Stock Market Gaming App - Bullspree
",https://www.newsvoir.com/release/fintech-startup-krazzy-fin-pvt-ltd-launches-a-unique-stock-market-gaming-app-bullspree-19338.html
3,Fastrack and Irony Esports Join Hands to Encourage Long-term Healthy Habits for Esports Athletes and Streamers,https://www.newsvoir.com/release/fastrack-and-irony-esports-join-hands-to-encourage-long-term-healthy-habits-for-esports-athletes-and-streamers-19308.html
4,OneRare to Introduce Urban Platter as the First Brand of Ingredients in its Foodverse,https://www.newsvoir.com/release/onerare-to-introduce-urban-platter-as-the-first-brand-of-ingredients-in-its-foodverse-19287.html
5,Taniya Bhatia Joins Hand with Real11 as their Brand Ambassador,https://www.newsvoir.com/release/taniya-bhatia-joins-hand-with-real11-as-their-brand-ambassador-19160.html
6,Cheems Inu - MemeTools and Metaverse Gaming in Development,https://www.newsvoir.com/release/cheems-inu-memetools-and-metaverse-gaming-in-development-18991.html
7,StarMon - The First Metaverse Game to be Launched in 2022,https://www.newsvoir.com/release/starmon-the-first-metaverse-game-to-be-launched-in-2022-18905.html
8,"Real11 Introduces Kabaddi on their Platform, Ravinder Pahal as Brand Ambassador",https://www.newsvoir.com/release/real11-introduces-kabaddi-on-their-platform-ravinder-pahal-as-brand-ambassador-18812.html
9,Social Gaming Startup Eloelo Crosses 2 Million Users in 1 year,https://www.newsvoir.com/release/social-gaming-startup-eloelo-crosses-2-million-users-in-1-year-18666.html
10,"Crypto Bill Awaited, World's First AI Digital Asset Trading Platform 'Bibox' Enters India ",https://www.newsvoir.com/release/crypto-bill-awaited-world-s-first-ai-digital-asset-trading-platform-bibox-enters-india-18577.html
11,"Top Celebrity Chefs Joins OneRare, the World's First Food Metaverse",https://www.newsvoir.com/release/top-celebrity-chefs-joins-onerare-the-world-s-first-food-metaverse-18474.html
12,PlayerzPot Launches Mega Quiz with Bumper Prizes on SonyLIV's KBC Play Along,https://www.newsvoir.com/release/playerzpot-launches-mega-quiz-with-bumper-prizes-on-sonyliv-apos-s-kbc-play-along-18471.html
13,Eximius Ventures Announces the Most Happening Gaming Event in India: The Gaming Lounge 2021,https://www.newsvoir.com/release/eximius-ventures-announces-the-most-happening-gaming-event-in-india-the-gaming-lounge-2021-18454.html
