,title,link
0,USAID's CoVLEx Initiative Brings Private Sector Learnings to the Global South,https://www.newsvoir.com/release/usaids-covlex-initiative-brings-private-sector-learnings-to-the-global-south-19677.html
1,Veddis Foundation and J-PAL South Asia Set up ASPIRE to Accelerate Evidence-based Policymaking,https://www.newsvoir.com/release/veddis-foundation-and-j-pal-south-asia-set-up-aspire-to-accelerate-evidence-based-policymaking-19586.html
2,India Showcases Digital Agriculture Ecosystem at EXPO2020,https://www.newsvoir.com/release/india-showcases-digital-agriculture-ecosystem-at-expo2020-19504.html
3,"The Era of Isolationism is Long Over: Mr. Abdulla Shahid, President of the 76th Session of the UN General Assembly and the Foreign Minister of Maldives at the World Sustainable Development Summit",https://www.newsvoir.com/release/the-era-of-isolationism-is-long-over-mr-abdulla-shahid-president-of-the-76th-session-of-the-un-general-assembly-and-the-foreign-minister-of-maldives-at-the-world-sustainable-development-summit-19440.html
4,State Government Ministers Moot the Idea of an Environment Council to Effectively Implement Climate Action at All Levels,https://www.newsvoir.com/release/state-government-ministers-moot-the-idea-of-an-environment-council-to-effectively-implement-climate-action-at-all-levels-19437.html
5,India Pavilion Records 1 Million Visitors at EXPO2020,https://www.newsvoir.com/release/india-pavilion-records-1-million-visitors-at-expo2020-19383.html
6,Need to Address Micronutrient Deficiency and Severe Acute Malnutrition on Priority,https://www.newsvoir.com/release/need-to-address-micronutrient-deficiency-and-severe-acute-malnutrition-on-priority-19352.html
7,Smart Healthcare Ecosystem for India Launched by Government of India,https://www.newsvoir.com/release/smart-healthcare-ecosystem-for-india-launched-by-government-of-india-19350.html
8,Governance Now to Honour Achievers with Visionary Awards 2021,https://www.newsvoir.com/release/governance-now-to-honour-achievers-with-visionary-awards-2021-19184.html
9,"Need to Replace Sputum Smear Testing to Identify ""Missing Millions"" TB Suspects",https://www.newsvoir.com/release/need-to-replace-sputum-smear-testing-to-identify-missing-millions-tb-suspects-19075.html
10,Goa Eyes Investment Opportunities from India Pavilion ,https://www.newsvoir.com/release/goa-eyes-investment-opportunities-from-india-pavilion-19057.html
11,Jammu & Kashmir Inks 6 Investment Agreements with Global Investors at EXPO2020,https://www.newsvoir.com/release/jammu-kashmir-inks-6-investment-agreements-with-global-investors-at-expo2020-18997.html
12,"Health Facilities of Small Villages Upgraded to Combat COVID by a Joint Team of Army Officers, District Administration, and NGOs",https://www.newsvoir.com/release/health-facilities-of-small-villages-upgraded-to-combat-covid-by-a-joint-team-of-army-officers-district-administration-and-ngos-18985.html
13,India Pavilion Rings in 2022 with 7 Lakh Visitors,https://www.newsvoir.com/release/india-pavilion-rings-in-2022-with-7-lakh-visitors-18962.html
14,India to Announce New Policy to Strengthen Tourism Sector,https://www.newsvoir.com/release/india-to-announce-new-policy-to-strengthen-tourism-sector-18958.html
15,MeitY and NCIIPC Supports the Third Edition of the Global CyberPeace Challenge 3.0,https://www.newsvoir.com/release/meity-and-nciipc-supports-the-third-edition-of-the-global-cyberpeace-challenge-3-0-18920.html
16,India Pavilion Calls for Collective Action on Safeguarding Environment,https://www.newsvoir.com/release/india-pavilion-calls-for-collective-action-on-safeguarding-environment-18879.html
17,UP Pitches Investor-friendly Policy Regime to Global Investors ,https://www.newsvoir.com/release/up-pitches-investor-friendly-policy-regime-to-global-investors-18866.html
18,6 Lakh Visitors at India Pavilion in 83 days,https://www.newsvoir.com/release/6-lakh-visitors-at-india-pavilion-in-83-days-18846.html
19,"""Tech Should Enable India to Achieve its Vision of Holistic Rejuvenation"": Hon'ble Governor of Tamil Nadu, Thiru R.N. Ravi at Sangam 2021",https://www.newsvoir.com/release/tech-should-enable-india-to-achieve-its-vision-of-holistic-rejuvenation-hon-ble-governor-of-tamil-nadu-thiru-r-n-ravi-at-sangam-2021-18832.html
20,Protean eGov Technologies (Formerly NSDL e-Governance Infrastructure) Joins Hands with Indian Academy of Pediatrics to Transform Last-mile Healthcare,https://www.newsvoir.com/release/protean-egov-technologies-formerly-nsdl-e-governance-infrastructure-joins-hands-with-indian-academy-of-pediatrics-to-transform-last-mile-healthcare-18816.html
21,iCreate Facilitates USD 300 Million worth MoU between Gujarat Government and CHARGE+ZONE,https://www.newsvoir.com/release/icreate-facilitates-usd-300-million-worth-mou-between-gujarat-government-and-charge-zone-18796.html
22,"More than 50 percent of FPOs are Potentially Viable and Efficient: MD, SFAC",https://www.newsvoir.com/release/more-than-50-percent-of-fpos-are-potentially-viable-and-efficient-md-sfac-18727.html
23,"SABGROUP Governance Now - 75 Episodes of ""Visionary Talk Series"" with Eminent Personalities",https://www.newsvoir.com/release/sabgroup-governance-now-75-episodes-of-visionary-talk-series-with-eminent-personalities-18705.html
24,India needs Multi-pronged Approach to Internationalise Education: Amitabh Kant,https://www.newsvoir.com/release/india-needs-multi-pronged-approach-to-internationalise-education-amitabh-kant-18709.html
25,India-UAE Relations Set to Witness Exceptional Strengthening: Foreign Secretary,https://www.newsvoir.com/release/india-uae-relations-set-to-witness-exceptional-strengthening-foreign-secretary-18697.html
26,Tech-driven Road Safety 2.0 Launched under World Economic Forum Initiative,https://www.newsvoir.com/release/tech-driven-road-safety-2-0-launched-under-world-economic-forum-initiative-18681.html
27,UP Invites Investments in Defence Corridor at EXPO2020 ,https://www.newsvoir.com/release/up-invites-investments-in-defence-corridor-at-expo2020-18674.html
28,"Uttar Pradesh Floor Inauguration at the India Pavilion, 10 December 2021 EXPO2020 Dubai",https://www.newsvoir.com/release/uttar-pradesh-floor-inauguration-at-the-india-pavilion-10-december-2021-expo2020-dubai-18670.html
29,"5 Lakh Visitors in 70 Days, IndiaAtDubaiExpo Stands Tall",https://www.newsvoir.com/release/5-lakh-visitors-in-70-days-indiaatdubaiexpo-stands-tall-18663.html
30,Maharashtra to Play a Significant Role in India's Growth Story: Subhash Desai,https://www.newsvoir.com/release/maharashtra-to-play-a-significant-role-in-india-apos-s-growth-story-subhash-desai-18451.html
31,Harpic Mission Paani Launches India's First-ever Preamble for Sustainable Sanitation on World Toilet Day ,https://www.newsvoir.com/release/harpic-mission-paani-launches-india-s-first-ever-preamble-for-sustainable-sanitation-on-world-toilet-day-18444.html
32,Chairman of the PM's EAC Speaks on the Importance of Investing in Adolescents,https://www.newsvoir.com/release/chairman-of-the-pm-s-eac-speaks-on-the-importance-of-investing-in-adolescents-18382.html
33,"3 Lakh Visitors in 43 Days, India Pavilion Among Most-visited at EXPO2020",https://www.newsvoir.com/release/3-lakh-visitors-in-43-days-india-pavilion-among-most-visited-at-expo2020-18368.html
34,India Invites GCC Nations to Invest in Sustainable Energy Sectors,https://www.newsvoir.com/release/india-invites-gcc-nations-to-invest-in-sustainable-energy-sectors-18321.html
35,Sapio and Quantum Join Hands to Launch Primary Healthcare Guidance Centres Across India,https://www.newsvoir.com/release/sapio-and-quantum-join-hands-to-launch-primary-healthcare-guidance-centres-across-india-18299.html
36,"India-UAE Enjoy Long-standing Bilateral Ties: Minister of State, External Affairs, India",https://www.newsvoir.com/release/india-uae-enjoy-long-standing-bilateral-ties-minister-of-state-external-affairs-india-18201.html
37,India-UAE-Israel Explore Joint Business Opportunities,https://www.newsvoir.com/release/india-uae-israel-explore-joint-business-opportunities-18147.html
38,One Billion Vaccination Certificates Issued Via DIVOC on the CoWIN Platform in India,https://www.newsvoir.com/release/one-billion-vaccination-certificates-issued-via-divoc-on-the-cowin-platform-in-india-18127.html
39,"India Gearing up to Launch Industry-led Policies in the Space Sector: ISRO Chief, Dr. Sivan",https://www.newsvoir.com/release/india-gearing-up-to-launch-industry-led-policies-in-the-space-sector-isro-chief-dr-sivan-18060.html
40,Urgent Need for Policy Makers and Industry to Collaborate for Addressing Severe Malnutrition,https://www.newsvoir.com/release/urgent-need-for-policy-makers-and-industry-to-collaborate-for-addressing-severe-malnutrition-18049.html
41,The Indo-French Chamber of Commerce and Industry (IFCCI) and MIDC Sign Agreement to Encourage Investments in the State of Maharashtra,https://www.newsvoir.com/release/the-indo-french-chamber-of-commerce-and-industry-ifcci-and-midc-sign-agreement-to-encourage-investments-in-the-state-of-maharashtra-17876.html
42,Noted Public Relations and International Relations Expert Rahul Kashyap Bags India Policy Foundation's Lodha Fellowship for Public Policy,https://www.newsvoir.com/release/noted-public-relations-and-international-relations-expert-rahul-kashyap-bags-india-policy-foundation-s-lodha-fellowship-for-public-policy-17886.html
43,Government's Artificially Intelligent Career Guide for Blue-collared Workers Invites Recruiters,https://www.newsvoir.com/release/government-s-artificially-intelligent-career-guide-for-blue-collared-workers-invites-recruiters-17741.html
44,NRIDA to Explore Smart Solutions to Improve the Pace of Rural Road Construction and Up-keep,https://www.newsvoir.com/release/nrida-to-explore-smart-solutions-to-improve-the-pace-of-rural-road-construction-and-up-keep-17679.html
45,"U.S. Department of Energy, India's Ministry of Petroleum and Natural Gas, and US-India Strategic Partnership Forum Launch the India-US Task Force on Biofuels",https://www.newsvoir.com/release/u-s-department-of-energy-india-s-ministry-of-petroleum-and-natural-gas-and-us-india-strategic-partnership-forum-launch-the-india-us-task-force-on-biofuels-17651.html
46,Rachit Poddar and Rajesh Gupta make Strategic Investment in AI Government Advisory Firm Sapio Analytics,https://www.newsvoir.com/release/rachit-poddar-and-rajesh-gupta-make-strategic-investment-in-ai-government-advisory-firm-sapio-analytics-17569.html
47,Experts Underline the Importance of Community based Approach in Addressing SAM,https://www.newsvoir.com/release/experts-underline-the-importance-of-community-based-approach-in-addressing-sam-17558.html
48,SBI General Insurance to Service Ayushman Bharat Sarbat Sehat Bima Yojana in the State of Punjab,https://www.newsvoir.com/release/sbi-general-insurance-to-service-ayushman-bharat-sarbat-sehat-bima-yojana-in-the-state-of-punjab-17457.html
49,A Multidisciplinary Approach can Make Chennai's 3rd Master Plan Sustainable,https://www.newsvoir.com/release/a-multidisciplinary-approach-can-make-chennai-s-3rd-master-plan-sustainable-17455.html
50,Investment and Business Opportunities in Uganda for Indians,https://www.newsvoir.com/release/investment-and-business-opportunities-in-uganda-for-indians-17328.html
51,"Government Advisory Firm Forms Sahyog Committee for Saksham, Invites Social Organizations across India",https://www.newsvoir.com/release/government-advisory-firm-forms-sahyog-committee-for-saksham-invites-social-organizations-across-india-17341.html
52,India to Play a Major Role in Promoting Sustainable Palm Oil: Industry Experts,https://www.newsvoir.com/release/india-to-play-a-major-role-in-promoting-sustainable-palm-oil-industry-experts-17334.html
