,title,link
0,Loop and HROne Join Hands to Revolutionize HR Solutions ,https://www.newsvoir.com/release/loop-and-hrone-join-hands-to-revolutionize-hr-solutions-19680.html
1,Period-holiday and 'No Personal Questions' Policy During Interviews for Women Workforce: KelpHR,https://www.newsvoir.com/release/period-holiday-and-no-personal-questions-policy-during-interviews-for-women-workforce-kelphr-19674.html
2,Legrand Organizes India's First Electrician Job Fair in Udaipur,https://www.newsvoir.com/release/legrand-organizes-indias-first-electrician-job-fair-in-udaipur-19669.html
3,Sodexo Intensifies Ground Actions to Improve Women Participation in Frontline Roles,https://www.newsvoir.com/release/sodexo-intensifies-ground-actions-to-improve-women-participation-in-frontline-roles-19655.html
4,PreludeSys is All Set to Welcome their Employees Back to Work,https://www.newsvoir.com/release/preludesys-is-all-set-to-welcome-their-employees-back-to-work-19641.html
5,Women at workplace Champion Kunal Chowdhry Invests in RushOwl - AI-based Public Transport Service,https://www.newsvoir.com/release/women-at-workplace-champion-kunal-chowdhry-invests-in-rushowl-ai-based-public-transport-service-19627.html
6,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
7,British Safety Council Membership gets Attractive Discount for National Safety Week,https://www.newsvoir.com/release/british-safety-council-membership-gets-attractive-discount-for-national-safety-week-19605.html
8,43 percent Employees say Remote Work Boosts Overall Productivity: Barco ClickShare Global Hybrid Meeting Survey,https://www.newsvoir.com/release/43-percent-employees-say-remote-work-boosts-overall-productivity-barco-clickshare-global-hybrid-meeting-survey-19596.html
9,Frankfinn Receives the Award for 'Best Air Hostess Training Institute' for 10th Year in a Row at 13th ASSOCHAM International Conference cum Awards,https://www.newsvoir.com/release/frankfinn-receives-the-award-for-apos-best-air-hostess-training-institute-apos-for-10th-year-in-a-row-at-13th-assocham-international-conference-cum-awards-19564.html
10,"ERGO Group AG Launches 3rd Tech Hub of ERGO Technology and Services Management in Mumbai, India",https://www.newsvoir.com/release/ergo-group-ag-launches-3rd-tech-hub-of-ergo-technology-and-services-management-in-mumbai-india-19559.html
11,CodeQuotient Placed over 150 SuperCoders in 2021,https://www.newsvoir.com/release/codequotient-placed-over-150-supercoders-in-2021-19455.html
12,We-Ace and PayU Come Together to Launch an Exclusive Returnee Women Program,https://www.newsvoir.com/release/we-ace-and-payu-come-together-to-launch-an-exclusive-returnee-women-program-19396.html
13,NHRDN and Great Manager Institute® Announces Joint Certification and Recognition Programs,https://www.newsvoir.com/release/nhrdn-and-great-manager-institute-announces-joint-certification-and-recognition-programs-19388.html
14,WhizHack Technologies and IIT Jodhpur TISC Launch India's 1st Multi-tiered Cyber Security Certified Training for School Going Teenagers,https://www.newsvoir.com/release/whizhack-technologies-and-iit-jodhpur-tisc-launch-indias-1st-multi-tiered-cyber-security-certified-training-for-school-going-teenagers-19239.html
15,Egis Certified Top Employer 2022 in France and India,https://www.newsvoir.com/release/egis-certified-top-employer-2022-in-france-and-india-19120.html
16,"Turing Launches a Global, Career-Centric Community for Developers",https://www.newsvoir.com/release/turing-launches-a-global-career-centric-community-for-developers-19176.html
17,"Galgotias University Launches India's First Judicial Training Programme under the Mentorship of Justice Midha, Former Judge, Delhi High Court",https://www.newsvoir.com/release/galgotias-university-launches-indias-first-judicial-training-programme-under-the-mentorship-of-justice-midha-former-judge-delhi-high-court-19115.html
18,GiveIndia's 'Gold Standard' Work Culture Recognised for a Second Consecutive Year,https://www.newsvoir.com/release/giveindias-gold-standard-work-culture-recognised-for-a-second-consecutive-year-19062.html
19,"Maharashtra's Yewale Group Creates Jobs for Over 5000 People Across India
",https://www.newsvoir.com/release/maharashtras-yewale-group-creates-jobs-for-over-5000-people-across-india-19041.html
20,"Coming Soon, Data Loss Prevention Capability in Employee Monitoring Software",https://www.newsvoir.com/release/coming-soon-data-loss-prevention-capability-in-employee-monitoring-software-19003.html
21,"FlowTrack Develops Employee Monitoring Software for Linux, Stealth Mode",https://www.newsvoir.com/release/flowtrack-develops-employee-monitoring-software-for-linux-stealth-mode-19001.html
22,"UP, Haryana and Punjab Account for 56 percent of New Hiring in Omaxe in 2021",https://www.newsvoir.com/release/up-haryana-and-punjab-account-for-56-percent-of-new-hiring-in-omaxe-in-2021-18983.html
23,"Axis Bank's Young Banker Program Start Admissions for February 2022 Batch
",https://www.newsvoir.com/release/axis-banks-young-banker-program-start-admissions-for-february-2022-batch-18872.html
24,Bangalore based Siply to Double its Head Count in 2022,https://www.newsvoir.com/release/bangalore-based-siply-to-double-its-head-count-in-2022-18833.html
25,"The Flagship Annual Management Conclave 'Sapience 2021' Organized by the Great Lakes Institute of Management, Gurgaon",https://www.newsvoir.com/release/the-flagship-annual-management-conclave-sapience-2021-organized-by-the-great-lakes-institute-of-management-gurgaon-18788.html
26,"Inauguration of mUni Seagull Platform for Guru Gobind Singh Indraprastha University, New Delhi",https://www.newsvoir.com/release/inauguration-of-muni-seagull-platform-for-guru-gobind-singh-indraprastha-university-new-delhi-18688.html
27,Keka HR Raises USD 1.6MN through Trading Subscriptions on Recur Club,https://www.newsvoir.com/release/keka-hr-raises-usd-1-6mn-through-trading-subscriptions-on-recur-club-18641.html
28,"Volvo, Uber, Titan, Tata Power, Shoppers Stop, ITC Infotech and DBS Bank Among top 25 PoSH Compliant Workplaces in India",https://www.newsvoir.com/release/volvo-uber-titan-tata-power-shoppers-stop-itc-infotech-and-dbs-bank-among-top-25-posh-compliant-workplaces-in-india-18628.html
29,Monster.com in Association with Microsoft Launches 'Velocity': Virtual Career Fair for Microsoft Certified Cloud Professionals,https://www.newsvoir.com/release/monster-com-in-association-with-microsoft-launches-velocity-virtual-career-fair-for-microsoft-certified-cloud-professionals-18620.html
30,"""Transformational HR - Beyond Processes 2.0"" Book Launched",https://www.newsvoir.com/release/transformational-hr-beyond-processes-2-0-book-launched-18622.html
31,"Coworking Market Size to Double Over Next 5 Years at 15 percent CAGR - CII-ANAROCK Report
",https://www.newsvoir.com/release/coworking-market-size-to-double-over-next-5-years-at-15-percent-cagr-cii-anarock-report-18564.html
32,Avtar and NHRDN Announce Diversity Champions Awards,https://www.newsvoir.com/release/avtar-and-nhrdn-announce-diversity-champions-awards-18559.html
33,Great Place to Work® India and Monster.com - A Partnership that will Determine the Future of Workplace Culture in India,https://www.newsvoir.com/release/great-place-to-work-india-and-monster-com-a-partnership-that-will-determine-the-future-of-workplace-culture-in-india-18486.html
34,"'Pandemic has Galvanized Hiring Trends in the BFSI Sector', says Visionet Systems India's MD Alok Bansal",https://www.newsvoir.com/release/pandemic-has-galvanized-hiring-trends-in-the-bfsi-sector-says-visionet-systems-india-apos-s-md-alok-bansal-18485.html
35,"One of Asia's Leading Virtual Career Fair for Women 'Ignite 2021' by WiT-ACE Draws Over 29000 Participants, holds Over 800 Job Interviews in a Day",https://www.newsvoir.com/release/one-of-asia-apos-s-leading-virtual-career-fair-for-women-apos-ignite-2021-apos-by-wit-ace-draws-over-29000-participants-holds-over-800-job-interviews-in-a-day-18387.html
36,British Safety Council Invites Applications to Prestigious International Safety Awards for 2022,https://www.newsvoir.com/release/british-safety-council-invites-applications-to-prestigious-international-safety-awards-for-2022-18388.html
37,Top B2B Lead Generation Company Beyond Codes Inc. Announce Opening of 2 International Offices,https://www.newsvoir.com/release/top-b2b-lead-generation-company-beyond-codes-inc-announce-opening-of-2-international-offices-18183.html
38,Loop Health Hosted an Industry Discussion on Creating a Culture of Employee Well-being,https://www.newsvoir.com/release/loop-health-hosted-an-industry-discussion-on-creating-a-culture-of-employee-well-being-18362.html
39,"Admissions Open for NMIMS School of Business Management's 2-year MBA in HR, Ranked among the Top MBA-HR Programs",https://www.newsvoir.com/release/admissions-open-for-nmims-school-of-business-management-apos-s-2-year-mba-in-hr-ranked-among-the-top-mba-hr-programs-18352.html
40,TalSuccess Launches Richardson Sales Performance Training Programs in India,https://www.newsvoir.com/release/talsuccess-launches-richardson-sales-performance-training-programs-in-india-18348.html
41,"Saeloun Technologies Expands in India, Announces A New Hiring Drive for this Quarter ",https://www.newsvoir.com/release/saeloun-technologies-expands-in-india-announces-a-new-hiring-drive-for-this-quarter-18326.html
42,"Skillskonnect Launched, India's First Digital Retail Network of Training Institutes, Colleges and Job Consultancies Providing Blue and Grey Collar Jobs",https://www.newsvoir.com/release/skillskonnect-launched-india-s-first-digital-retail-network-of-training-institutes-colleges-and-job-consultancies-providing-blue-and-grey-collar-jobs-18309.html
43,"WiT-ACE to Host 2nd Edition of Ignite 2021 - A Virtual Career Fair for Women in November Offering 1000+ Jobs
",https://www.newsvoir.com/release/wit-ace-to-host-2nd-edition-of-ignite-2021-a-virtual-career-fair-for-women-in-november-offering-1000-jobs-18207.html
44,Nova Benefits Partners with Zyla Health to Offer a Full Stack Wellness Program with Personalised Care to Employees,https://www.newsvoir.com/release/nova-benefits-partners-with-zyla-health-to-offer-a-full-stack-wellness-program-with-personalised-care-to-employees-18187.html
45,Monster.com Launches Aspire Platform: A Recruiting Solution Comprising of Proprietary Assessment Tests and Virtual Career Fairs ,https://www.newsvoir.com/release/monster-com-launches-aspire-platform-a-recruiting-solution-comprising-of-proprietary-assessment-tests-and-virtual-career-fairs-18166.html
46,Study Abroad Platform Leap Launches 'LevelUp H1B' Job Portal for International Students,https://www.newsvoir.com/release/study-abroad-platform-leap-launches-levelup-h1b-job-portal-for-international-students-18110.html
47,ProTeen Revolutionises Digital Career Counselling in India,https://www.newsvoir.com/release/proteen-revolutionises-digital-career-counselling-in-india-18063.html
48,The Whiteboard Announces Partnership with Oviya MedSafe for Pharmacovigilance Training and Internship,https://www.newsvoir.com/release/the-whiteboard-announces-partnership-with-oviya-medsafe-for-pharmacovigilance-training-and-internship-17988.html
49,Focus Edumatics to Create Opportunity for 5000 Online Tutors Over the Next Year,https://www.newsvoir.com/release/focus-edumatics-to-create-opportunity-for-5000-online-tutors-over-the-next-year-17920.html
50,FieldAssist is Now 'Great Place to Work' Certified™,https://www.newsvoir.com/release/fieldassist-is-now-great-place-to-work-certified-17851.html
51,Employee Wellness Platform Nova Benefits Appoints Ankit Pandey as Head of Customer Success and Operations,https://www.newsvoir.com/release/employee-wellness-platform-nova-benefits-appoints-ankit-pandey-as-head-of-customer-success-and-operations-17846.html
52,Great Place to Work® India Announces India's Best Workplaces™ for Women 2021 - The Largest Study in India that Assesses Gender Parity,https://www.newsvoir.com/release/great-place-to-work-india-announces-india-s-best-workplaces-for-women-2021-the-largest-study-in-india-that-assesses-gender-parity-17807.html
53,"Trust is the New Management Mantra in the Hybrid Workplaces, Affirm HR Leaders",https://www.newsvoir.com/release/trust-is-the-new-management-mantra-in-the-hybrid-workplaces-affirm-hr-leaders-17707.html
54,"Bajaj Finserv Unveils 'BEYOND', a New Brand Identity for its Flagship Employability Initiative",https://www.newsvoir.com/release/bajaj-finserv-unveils-beyond-a-new-brand-identity-for-its-flagship-employability-initiative-17696.html
55,Ecom Express Launches Delivery Partner Program Empowering Gig Workforce,https://www.newsvoir.com/release/ecom-express-launches-delivery-partner-program-empowering-gig-workforce-17689.html
56,"GI Outsourcing Expands India Presence: Opens an Office in Ahmedabad, Gujarat ",https://www.newsvoir.com/release/gi-outsourcing-expands-india-presence-opens-an-office-in-ahmedabad-gujarat-17599.html
57,312 Profiles Shortlisted for 130 Plus Tech Job Roles on Offer in CareerNet's 'Women in Tech' Virtual Career Fair,https://www.newsvoir.com/release/312-profiles-shortlisted-for-130-plus-tech-job-roles-on-offer-in-careernet-s-women-in-tech-virtual-career-fair-17596.html
58,Brainwonders Opens it's Regional Centre in Haryana-Panipat,https://www.newsvoir.com/release/brainwonders-opens-it-s-regional-centre-in-haryana-panipat-17537.html
59,Skill based Hiring and Pre-employment Testing Solutions Startup Mytat Announces Plans to Reach out to Over 1.5 lakh Aspirants by December 2021,https://www.newsvoir.com/release/skill-based-hiring-and-pre-employment-testing-solutions-startup-mytat-announces-plans-to-reach-out-to-over-1-5-lakh-aspirants-by-december-2021-17532.html
60,Online Mode has become the Preferred Way of Learning Digital Marketing Post-COVID,https://www.newsvoir.com/release/online-mode-has-become-the-preferred-way-of-learning-digital-marketing-post-covid-17475.html
61,Board Infinity to Hire 2000 Employees in Next Six Months,https://www.newsvoir.com/release/board-infinity-to-hire-2000-employees-in-next-six-months-17446.html
62,Teerthanker Mahaveer University and Edu Brain Overseas UAE Join Hands to Empower Students through International Internship Opportunities,https://www.newsvoir.com/release/teerthanker-mahaveer-university-and-edu-brain-overseas-uae-join-hands-to-empower-students-through-international-internship-opportunities-17438.html
63,Hindustan Institute of Technology and Science Partners with Digital Asia Summit to Make their Students Future-ready,https://www.newsvoir.com/release/hindustan-institute-of-technology-and-science-partners-with-digital-asia-summit-to-make-their-students-future-ready-17273.html
64,"AFour Technologies Completes 14 Years of Operations in India, Onboarded Over 340 Employees",https://www.newsvoir.com/release/afour-technologies-completes-14-years-of-operations-in-india-onboarded-over-340-employees-17131.html
65,"Aptech Aviation Academy Inaugurates a New Centre in Vastrapur, Ahmedabad ",https://www.newsvoir.com/release/aptech-aviation-academy-inaugurates-a-new-centre-in-vastrapur-ahmedabad-17135.html
66,"Paisabazaar Aims to Enable Financial Inclusion through Multi-city Recruitment Drive, Tech-driven Platform ",https://www.newsvoir.com/release/paisabazaar-aims-to-enable-financial-inclusion-through-multi-city-recruitment-drive-tech-driven-platform-17113.html
67,Over 250 Participants from Across India Attended Kalorex Group's Virtual National Conclave,https://www.newsvoir.com/release/over-250-participants-from-across-india-attended-kalorex-group-apos-s-virtual-national-conclave-16975.html
68,"Employers, HR Experts Discuss How to Save Jobs and Livelihoods After the Pandemic",https://www.newsvoir.com/release/employers-hr-experts-discuss-how-to-save-jobs-and-livelihoods-after-the-pandemic-16959.html
69,TalSuccess Launches TalentSmartEQ's Premier Emotional Intelligence based Assessment and Training Programmes in India,https://www.newsvoir.com/release/talsuccess-launches-talentsmarteq-s-premier-emotional-intelligence-based-assessment-and-training-programmes-in-india-16944.html
70,Succeeding at CEO Succession in India: Insights from Leading Practitioners,https://www.newsvoir.com/release/succeeding-at-ceo-succession-in-india-insights-from-leading-practitioners-16914.html
71,Monster.com Launches T.R.I.U.M.P.H: India's Largest Diversity and Inclusion Campaign and Recruitment Drive,https://www.newsvoir.com/release/monster-com-launches-t-r-i-u-m-p-h-india-s-largest-diversity-and-inclusion-campaign-and-recruitment-drive-16902.html
72,Techfetch Announces the Launch of their RPO Services,https://www.newsvoir.com/release/techfetch-announces-the-launch-of-their-rpo-services-16833.html
73,Incentivize Employees with Vantage Fit to Keep themselves Fit and Healthy,https://www.newsvoir.com/release/incentivize-employees-with-vantage-fit-to-keep-themselves-fit-and-healthy-16838.html
74,Max Life Insurance Ranks 18th Amongst 'India's Best Companies to Work For' in 2021,https://www.newsvoir.com/release/max-life-insurance-ranks-18th-amongst-india-s-best-companies-to-work-for-in-2021-16816.html
75,British Safety Council Offers Free E-learning Courses to Manage Mental Health when Working from Home ,https://www.newsvoir.com/release/british-safety-council-offers-free-e-learning-courses-to-manage-mental-health-when-working-from-home-16655.html
76,"SRM University-AP Placements 2021: Students from First Batch of CSE gets 100 Percent Placements, Highest Offered Salary is Rs. 29.5 LPA",https://www.newsvoir.com/release/srm-university-ap-placements-2021-students-from-first-batch-of-cse-gets-100-percent-placements-highest-offered-salary-is-rs-29-5-lpa-16628.html
77,Multidisciplinary Leaders Join the Advisory Board of Great Manager Institute,https://www.newsvoir.com/release/multidisciplinary-leaders-join-the-advisory-board-of-great-manager-institute-16568.html
78,Jaipur-based Startup Chaupal® Helps Startups Nationwide through Virtual Incubation Program,https://www.newsvoir.com/release/jaipur-based-startup-chaupal-helps-startups-nationwide-through-virtual-incubation-program-16547.html
79,Panacea Infosec Announces Salary Hike upto 40 Percent for FY 2021-22,https://www.newsvoir.com/release/panacea-infosec-announces-salary-hike-upto-40-percent-for-fy-2021-22-16552.html
80,EnableX.io Empowers New Age Recruiters to Win the Talent War with an AI-powered Solution,https://www.newsvoir.com/release/enablex-io-empowers-new-age-recruiters-to-win-the-talent-war-with-an-ai-powered-solution-16544.html
