,title,link
0,New Techniques Hold Much Promise in Treatment of Brain and Spinal Tumours: RGCIRC,https://www.newsvoir.com/release/new-techniques-hold-much-promise-in-treatment-of-brain-and-spinal-tumours-rgcirc-19696.html
1,AXA in India Boosts Telemedicine Helpline with Free Specialist Teleconsultation Feature,https://www.newsvoir.com/release/axa-in-india-boosts-telemedicine-helpline-with-free-specialist-teleconsultation-feature-19682.html
2,Loop and HROne Join Hands to Revolutionize HR Solutions ,https://www.newsvoir.com/release/loop-and-hrone-join-hands-to-revolutionize-hr-solutions-19680.html
3,Talking About Kidney Health in the Language of the World,https://www.newsvoir.com/release/talking-about-kidney-health-in-the-language-of-the-world-19670.html
4,Soothe Healthcare Cracking New Grounds After Six Months of Raising Funds; Clocks 2X Growth,https://www.newsvoir.com/release/soothe-healthcare-cracking-new-grounds-after-six-months-of-raising-funds-clocks-2x-growth-19662.html
5,Anand Hearing Sound Center; a Professionally Managed Healthcare Clinic for Hearing Impaired Inaugurated at Delhi,https://www.newsvoir.com/release/anand-hearing-sound-center-a-professionally-managed-healthcare-clinic-for-hearing-impaired-inaugurated-at-delhi-19621.html
6,Loop Rebrands with a New Ad Campaign Featuring Kunal Kapoor,https://www.newsvoir.com/release/loop-rebrands-with-a-new-ad-campaign-featuring-kunal-kapoor-19602.html
7,Raksha4U brings the Boon of 'JugJugJiyo' with its New Campaign,https://www.newsvoir.com/release/raksha4u-brings-the-boon-of-apos-jugjugjiyo-apos-with-its-new-campaign-19570.html
8,Coronary Laser Angioplasty Saves Life of a 58 Year Aged Man at Kauvery Hospital,https://www.newsvoir.com/release/coronary-laser-angioplasty-saves-life-of-a-58-year-aged-man-at-kauvery-hospital-19591.html
9,Brinton Cracks Strategic Alliance with Scholl Wellness Company,https://www.newsvoir.com/release/brinton-cracks-strategic-alliance-with-scholl-wellness-company-19578.html
10,12 Lakh+ Donors Contributed Over INR 125 Cr for Rare Disease Patients on ImpactGuru: Report,https://www.newsvoir.com/release/12-lakh-donors-contributed-over-inr-125-cr-for-rare-disease-patients-on-impactguru-report-19558.html
11,Union Health Minister Highlights the Contribution of Physicians of Indian Origin,https://www.newsvoir.com/release/union-health-minister-highlights-the-contribution-of-physicians-of-indian-origin-19551.html
12,Catalysing Digital Healthcare: NASSCOM CoE - IoT and AI Launches Healthcare Innovation Challenge 3,https://www.newsvoir.com/release/catalysing-digital-healthcare-nasscom-coe-iot-and-ai-launches-healthcare-innovation-challenge-3-19539.html
13,Kumaran Medical Centre Doctors Advise How to Relieve your Low Back Pain Once for All,https://www.newsvoir.com/release/kumaran-medical-centre-doctors-advise-how-to-relieve-your-low-back-pain-once-for-all-19531.html
