,title,link
0,Afcons Creates Milestone in J&K by Excavating 7.32 km of 12.75 km-long Tunnel; Connects Country's Longest Rail Tunnel under Extreme Conditions,https://www.newsvoir.com/release/afcons-creates-milestone-in-j-k-by-excavating-7-32-km-of-12-75-km-long-tunnel-connects-country-s-longest-rail-tunnel-under-extreme-conditions-19463.html
1,West Partners with IIT Palakkad's TECHIN to Build a MedTech Research Center of Excellence ,https://www.newsvoir.com/release/west-partners-with-iit-palakkads-techin-to-build-a-medtech-research-center-of-excellence-19320.html
2,Satluj Public School Panchkula Ranked No. 1 in Haryana for 4th Consecutive Year by Education Today,https://www.newsvoir.com/release/satluj-public-school-panchkula-ranked-no-1-in-haryana-for-4th-consecutive-year-by-education-today-19243.html
3,DE-CIX and Lightstorm Partner to Accelerate Access to DE-CIX Internet Exchange Platform ,https://www.newsvoir.com/release/de-cix-and-lightstorm-partner-to-accelerate-access-to-de-cix-internet-exchange-platform-19152.html
4,AI to Benefit Customers and Developers in Real Estate,https://www.newsvoir.com/release/ai-to-benefit-customers-and-developers-in-real-estate-19018.html
5,"Lord's Mark Industries Enters Medtech with Distribution Partnerships, Launches Health Kiosks to Boost Public Healthcare Infrastructure ",https://www.newsvoir.com/release/lord-s-mark-industries-enters-medtech-with-distribution-partnerships-launches-health-kiosks-to-boost-public-healthcare-infrastructure-18882.html
6,Rise Infraventures Hails Infrastructural Developments in Haryana by the Government,https://www.newsvoir.com/release/rise-infraventures-hails-infrastructural-developments-in-haryana-by-the-government-18751.html
7,Now Resolve Wellbeing Issues with Tech-Based Data Analytics,https://www.newsvoir.com/release/now-resolve-wellbeing-issues-with-tech-based-data-analytics-18502.html
8,Achieve More Efficiency from Your Data Center with Air Flow Management - NetRack,https://www.newsvoir.com/release/achieve-more-efficiency-from-your-data-center-with-air-flow-management-netrack-18437.html
9,"Rejove Announces USD 1 Million, First-round Funding; Inaugurates State-of-the-Art Skin, Hair and Dental Aesthetic Clinique",https://www.newsvoir.com/release/rejove-announces-usd-1-million-first-round-funding-inaugurates-state-of-the-art-skin-hair-and-dental-aesthetic-clinique-18268.html
10,LetsVenture's New Business Entity trica Raises USD 3 M Seed,https://www.newsvoir.com/release/letsventure-apos-s-new-business-entity-trica-raises-usd-3-m-seed-17947.html
11,"Sapio Analytics, Prime International Joint Venture Launches AI Surveillance for Critical Infrastructure ",https://www.newsvoir.com/release/sapio-analytics-prime-international-joint-venture-launches-ai-surveillance-for-critical-infrastructure-17850.html
12,Gurugram Developers to Push for Technology to Meet Global Standards,https://www.newsvoir.com/release/gurugram-developers-to-push-for-technology-to-meet-global-standards-17485.html
13,CMS IT Services Releases White Paper on Cyber Security ,https://www.newsvoir.com/release/cms-it-services-releases-white-paper-on-cyber-security-17297.html
14,Legrand Group India Receives Prestigious GEEIS-SDG Trophy Awarded by ARBORUS,https://www.newsvoir.com/release/legrand-group-india-receives-prestigious-geeis-sdg-trophy-awarded-by-arborus-17287.html
15,Core Mall Ghaziabad Set to Emerge as Epicenter of Modern Retail Activities,https://www.newsvoir.com/release/core-mall-ghaziabad-set-to-emerge-as-epicenter-of-modern-retail-activities-17225.html
16,Zion Exhibitions Live Talk Show: Let's Talk - The Webinar Series 3,https://www.newsvoir.com/release/zion-exhibitions-live-talk-show-let-s-talk-the-webinar-series-3-17195.html
17,TO THE NEW becomes a Partner of Google Cloud Platform,https://www.newsvoir.com/release/to-the-new-becomes-a-partner-of-google-cloud-platform-17057.html
18,RR Parkon's One-of-a-kind Tower Parking System Installed in Pune,https://www.newsvoir.com/release/rr-parkon-s-one-of-a-kind-tower-parking-system-installed-in-pune-16720.html
19,Karnal Goes the Smart Way in its Fight Against COVID-19 ,https://www.newsvoir.com/release/karnal-goes-the-smart-way-in-its-fight-against-covid-19-16607.html
20,"Anthill Ventures Announces Indus X, India's First Global Smart City Scaling Program",https://www.newsvoir.com/release/anthill-ventures-announces-indus-x-india-apos-s-first-global-smart-city-scaling-program-16494.html
21,"Emerging Tech Summit held on Day 2 at the 28th Convergence India and the 6th Smart Cities India Expo 2021 at Pragati Maidan, New Delhi",https://www.newsvoir.com/release/emerging-tech-summit-held-on-day-2-at-the-28th-convergence-india-and-the-6th-smart-cities-india-expo-2021-at-pragati-maidan-new-delhi-16114.html
22,FinTech Summit held at the 28th Convergence India and 6th Smart Cities India 2021 Expo Features Industry Experts and Cutting-Edge Knowledge Transfers,https://www.newsvoir.com/release/fintech-summit-held-at-the-28th-convergence-india-and-6th-smart-cities-india-2021-expo-features-industry-experts-and-cutting-edge-knowledge-transfers-16105.html
23,"Transform your Living Space Every Day, with Furniture Fittings from Häfele",https://www.newsvoir.com/release/transform-your-living-space-every-day-with-furniture-fittings-from-hfele-16084.html
24,IRCON CMD Wins 'Industry Doyen' Award at 12th CIDC Vishwakarma Awards 2021,https://www.newsvoir.com/release/ircon-cmd-wins-apos-industry-doyen-apos-award-at-12th-cidc-vishwakarma-awards-2021-15970.html
25,Entrances Made Easier with Hafele's Range of Sliding Systems Under SLIDO,https://www.newsvoir.com/release/entrances-made-easier-with-hafele-apos-s-range-of-sliding-systems-under-slido-15875.html
26,Egis has Ambitious Plans for India and is Looking to Contribute to India's Dynamic Growth Story,https://www.newsvoir.com/release/egis-has-ambitious-plans-for-india-and-is-looking-to-contribute-to-india-apos-s-dynamic-growth-story-15822.html
27,Tekla Software Helps Eversendai Complete Statue of Unity's Construction Two Months Ahead of Schedule,https://www.newsvoir.com/release/tekla-software-helps-eversendai-complete-statue-of-unity-apos-s-construction-two-months-ahead-of-schedule-15799.html
28,Socomec Announces the Launch of New SIRCOVER for On-load Changeover Needs in Critical Infrastructure Applications,https://www.newsvoir.com/release/socomec-announces-the-launch-of-new-sircover-for-on-load-changeover-needs-in-critical-infrastructure-applications-15749.html
29,Legrand India Launches Myrius Next Gen,https://www.newsvoir.com/release/legrand-india-launches-myrius-next-gen-15737.html
30,Selection of the Right Rack for Data-centre Industry Important: Netrack,https://www.newsvoir.com/release/selection-of-the-right-rack-for-data-centre-industry-important-netrack-15715.html
31,Installation of Modular Steel Structure begins at Omaxe Chowk,https://www.newsvoir.com/release/installation-of-modular-steel-structure-begins-at-omaxe-chowk-15461.html
32,"Satellite-based Narrowband-IoT Now a Reality in India

",https://www.newsvoir.com/release/satellite-based-narrowband-iot-now-a-reality-in-india-15225.html
33,LIC Raises Stake to 5.27% in IRB Infrastructure Developers Ltd.,https://www.newsvoir.com/release/lic-raises-stake-to-5-27-in-irb-infrastructure-developers-ltd-14885.html
34,Variable Messaging Display Goes Live at Karnal Smart City,https://www.newsvoir.com/release/variable-messaging-display-goes-live-at-karnal-smart-city-14749.html
35,"M3M Unlocks Gurugram, Clocking 1150 Crores in Sales in July-August",https://www.newsvoir.com/release/m3m-unlocks-gurugram-clocking-1150-crores-in-sales-in-july-august-14526.html
36,Vevra Launches a State-of-the-Art Hospital Pods to Fight COVID-19 ,https://www.newsvoir.com/release/vevra-launches-a-state-of-the-art-hospital-pods-to-fight-covid-19-14423.html
37,Mangaluru Smart City Command Control Centre Project has Gone Live,https://www.newsvoir.com/release/mangaluru-smart-city-command-control-centre-project-has-gone-live-14413.html
38,Karnal Smart City Projects in Full Swing ,https://www.newsvoir.com/release/karnal-smart-city-projects-in-full-swing-14331.html
39,"REPL Announces Annual Results, Net Profit Jumps 41.41% YoY",https://www.newsvoir.com/release/repl-announces-annual-results-net-profit-jumps-41-41-yoy-14203.html
40,"IRB Infra Bags Rs. 2,193 Crore Project in West Bengal; March 2020 Order Book Stands Updated at Rs. 14,600 Crores",https://www.newsvoir.com/release/irb-infra-bags-rs-2-193-crore-project-in-west-bengal-march-2020-order-book-stands-updated-at-rs-14-600-crores-14176.html
41,Indus Towers - VMC Enabled Fibre Network and Smart Poles Provide Enhanced Connectivity During COVID-19 Times,https://www.newsvoir.com/release/indus-towers-vmc-enabled-fibre-network-and-smart-poles-provide-enhanced-connectivity-during-covid-19-times-14134.html
42,WTC Gift City Gears up to Accelerate the State's Economy,https://www.newsvoir.com/release/wtc-gift-city-gears-up-to-accelerate-the-state-apos-s-economy-14087.html
43,CLSA Gives a Buy Call on IRB Infrastructure Developers with a Target of Rs. 166,https://www.newsvoir.com/release/clsa-gives-a-buy-call-on-irb-infrastructure-developers-with-a-target-of-rs-166-14082.html
44,HDFC Securities Gives a Buy Call on IRB Infrastructure Developers with a Target of Rs. 142,https://www.newsvoir.com/release/hdfc-securities-gives-a-buy-call-on-irb-infrastructure-developers-with-a-target-of-rs-142-14067.html
45,Sany Donates 1 Lakh N95 Masks & 5 Lakh 3 Ply Masks to Govt of Maharashtra through MIDC ,https://www.newsvoir.com/release/sany-donates-1-lakh-n95-masks-5-lakh-3-ply-masks-to-govt-of-maharashtra-through-midc-13880.html
46,IETE Inaugurates Centre of Excellence for Cyber Security ,https://www.newsvoir.com/release/iete-inaugurates-centre-of-excellence-for-cyber-security-13868.html
47,HomeLane Partners with Schneider Electric to Offer Easy Homes Solutions,https://www.newsvoir.com/release/homelane-partners-with-schneider-electric-to-offer-easy-homes-solutions-13580.html
48,BBG India's Growth Story with a Vision to Achieve One Million Happy families by the Year 2030,https://www.newsvoir.com/release/bbg-india-apos-s-growth-story-with-a-vision-to-achieve-one-million-happy-families-by-the-year-2030-13468.html
49,"IRB Infra’s SPV, IRB Westcoast Tollway Ltd. Achieves COD for its Goa/Karnataka Border - Kundapur Four Laning Highway Project",https://www.newsvoir.com/release/irb-infra-s-spv-irb-westcoast-tollway-ltd-achieves-cod-for-its-goa-karnataka-border-kundapur-four-laning-highway-project-13424.html
50,World Bazaar to Highlight Outdoor Furniture Brand Skyline Design During India Design Show,https://www.newsvoir.com/release/world-bazaar-to-highlight-outdoor-furniture-brand-skyline-design-during-india-design-show-13338.html
51,"Spaceler, Proliferating Rapidly in Commercial Interior Designing Industry of Bangalore",https://www.newsvoir.com/release/spaceler-proliferating-rapidly-in-commercial-interior-designing-industry-of-bangalore-13305.html
52,Milind Soman Takes a Luxury Escape at Experion Windchants,https://www.newsvoir.com/release/milind-soman-takes-a-luxury-escape-at-experion-windchants-13194.html
53,Shortage of 12 Lakh Skilled Welding Professionals May Derail India's Infrastructure Growth Story,https://www.newsvoir.com/release/shortage-of-12-lakh-skilled-welding-professionals-may-derail-india-apos-s-infrastructure-growth-story-13163.html
54,"Mahagun India Leading the Pace in NCR Realty; Set to Deliver Over 3500 Flats in 2020
 
",https://www.newsvoir.com/release/mahagun-india-leading-the-pace-in-ncr-realty-set-to-deliver-over-3500-flats-in-2020-13165.html
55,Corona Group Offers Lucrative Investment Options in Gurugram,https://www.newsvoir.com/release/corona-group-offers-lucrative-investment-options-in-gurugram-13152.html
56,JLL Facilitates Sale of Prime 8 Acre Land in Pune to Singapore Based Mapletree,https://www.newsvoir.com/release/jll-facilitates-sale-of-prime-8-acre-land-in-pune-to-singapore-based-mapletree-13116.html
57,"Technology will Bring Multi-fold Efficiency in Real Estate: Pradeep Misra, CMD, REPL",https://www.newsvoir.com/release/technology-will-bring-multi-fold-efficiency-in-real-estate-pradeep-misra-cmd-repl-13084.html
58,Colive Signature Towers Witnesses Huge Demand from Millennials and DINK Couples,https://www.newsvoir.com/release/colive-signature-towers-witnesses-huge-demand-from-millennials-and-dink-couples-12885.html
59,Tyco Holds First Regional Strategic Partners Meet ,https://www.newsvoir.com/release/tyco-holds-first-regional-strategic-partners-meet-12824.html
60,"Sussanne Khan Receives Recognition on an International Platform as Asia’s Most Influential Designer Award
",https://www.newsvoir.com/release/sussanne-khan-receives-recognition-on-an-international-platform-as-asia-s-most-influential-designer-award--12805.html
61,CULT 2019 Creates a Cult Following at their Latest Fest,https://www.newsvoir.com/release/cult-2019-creates-a-cult-following-at-their-latest-fest-12715.html
62,"St+art India and India Design Forum Present Artist Daku’s Installation ‘Why’ on Pollution Caused by Single Use Plastics

",https://www.newsvoir.com/release/start-india-and-india-design-forum-present-artist-dakus-installation-why-on-pollution-caused-by-single-use-plastics--12664.html
63,Singh & Associates on a Strategic Expansion; Moves to New Office in Bengaluru,https://www.newsvoir.com/release/singh-associates-on-a-strategic-expansion-moves-to-new-office-in-bengaluru-12260.html
64,Tyco Awards Top Partners at APAC Partner Conference 2019,https://www.newsvoir.com/release/tyco-awards-top-partners-at-apac-partner-conference-2019-12102.html
65,Greenply Industries Launches Wood Crrests Premium Veneers and Rewards Architects to Travel for a Futuristic Design Rendezvous at “Design Shanghai Show”,https://www.newsvoir.com/release/greenply-industries-launches-wood-crrests-premium-veneers-and-rewards-architects-to-travel-for-a-futuristic-design-rendezvous-at-design-shanghai-show--12062.html
66,"IRB Infra’s FY19 Consolidated Income up 18% to Rs. 6,903 Crs; Q4 Consolidated Income up 40% to Rs.1,999 Crs ",https://www.newsvoir.com/release/irb-infra-s-fy19-consolidated-income-up-18-to-rs-6-903-crs-q4-consolidated-income-up-40-to-rs-1-999-crs--11897.html
67,"The 5th Smart Cities India Expo Attracts Large Participation, Ends on a High Note",https://www.newsvoir.com/release/the-5th-smart-cities-india-expo-attracts-large-participation-ends-on-a-high-note-11884.html
68,Fiinovation Impact Assessment for a Dairy based CSR Intervention in Rajasthan,https://www.newsvoir.com/release/fiinovation-impact-assessment-for-a-dairy-based-csr-intervention-in-rajasthan-11543.html
69,IRB Infra’s SPV Commissions Yedeshi – Aurangabad Highway ,https://www.newsvoir.com/release/irb-infra-s-spv-commissions-yedeshi-aurangabad-highway--11530.html
70,IRB Infra’s SPV HAM Project Commences Soon; NHAI Allots Appointed Date,https://www.newsvoir.com/release/irb-infra-s-spv-ham-project-commences-soon-nhai-allots-appointed-date-11232.html
71,IndiGrid Q3 FY19 EBIDTA Up by 32% at INR 1553 Million,https://www.newsvoir.com/release/indigrid-q3-fy19-ebidta-up-by-32-at-inr-1553-million-11221.html
72,Ventura International Celebrates 25 Years of Excellence in Premium Architectural Surfaces Business,https://www.newsvoir.com/release/ventura-international-celebrates-25-years-of-excellence-in-premium-architectural-surfaces-business-11171.html
73,"Sowparnika Announces Positive Homes at Coimbatore, Revolutionizing the Realty Market",https://www.newsvoir.com/release/sowparnika-announces-positive-homes-at-coimbatore-revolutionizing-the-realty-market-11123.html
74,Tyco Security Hosts its Second Annual Partner Meet,https://www.newsvoir.com/release/tyco-security-hosts-its-second-annual-partner-meet-10911.html
75,Gemalto Updates H1 2018 Breach Level Index Report,https://www.newsvoir.com/release/gemalto-updates-h1-2018-breach-level-index-report-10853.html
76,IndiGrid Delivers Another Robust Quarter with EBITDA Up by 24%,https://www.newsvoir.com/release/indigrid-delivers-another-robust-quarter-with-ebitda-up-by-24-10848.html
77,Oakridge International School Students' Creation to Help Tackle Space Issues in Urban Homes,https://www.newsvoir.com/release/oakridge-international-school-students-creation-to-help-tackle-space-issues-in-urban-homes-10768.html
78,IRB Infra Achieves Another Financial Closure through its SPV Ties up Finances for Second HAM Project on Successive Day,https://www.newsvoir.com/release/irb-infra-achieves-another-financial-closure-through-its-spv-ties-up-finances-for-second-ham-project-on-successive-day-10748.html
79,STT GDC India Expands its Operations by Developing a New Data Centre in Bengaluru ,https://www.newsvoir.com/release/stt-gdc-india-expands-its-operations-by-developing-a-new-data-centre-in-bengaluru-10266.html
80,REHAU Strengthens India Commitment ,https://www.newsvoir.com/release/rehau-strengthens-india-commitment-10196.html
81,"IndiGrid Q4FY18 Revenue up 16.8%  to 1,480 Million",https://www.newsvoir.com/release/indigrid-q4fy18-revenue-up-16-8-to-1-480-million-10120.html
82,DLF Announces Hand over of Gurgaon-based Luxury Project ‘The Skycourt’,https://www.newsvoir.com/release/dlf-announces-hand-over-of-gurgaon-based-luxury-project-the-skycourt--10071.html
83,"KNOCKONWOOD Wins IIID National Design Excellence Award 2017-18, in the Product Design Category",https://www.newsvoir.com/release/knockonwood-wins-iiid-national-design-excellence-award-2017-18-in-the-product-design-category-9991.html
84,"Budget for All: Focus on Agriculture, Rural Economy, Inclusive Health, Infrastructure and MSMEs Encouraging: PHD Chamber",https://www.newsvoir.com/release/budget-for-all-focus-on-agriculture-rural-economy-inclusive-health-infrastructure-and-msmes-encouraging-phd-chamber-9779.html
85,HTL Aircon Poised to Reach Rs. 200 Crs till Year 2020,https://www.newsvoir.com/release/htl-aircon-poised-to-reach-rs-200-crs-till-year-2020-9673.html
86,Ex-Miss World Diana Hayden Signed up as the Brand Ambassador for ‘Mini Homes’,https://www.newsvoir.com/release/ex-miss-world-diana-hayden-signed-up-as-the-brand-ambassador-for-mini-homes--9638.html
87,Ajax Fiori Announces Expansion of Bangalore Operations with an Investment Outlay of INR 1000 Million,https://www.newsvoir.com/release/ajax-fiori-announces-expansion-of-bangalore-operations-with-an-investment-outlay-of-inr-1000-million-9597.html
88,Vishvaraj Infrastructure CMD Arun Lakhani Voted as “Most Promising Business Leader of Asia”,https://www.newsvoir.com/release/vishvaraj-infrastructure-cmd-arun-lakhani-voted-as-most-promising-business-leader-of-asia--9580.html
89,Fine Grace Bags the SME Channels Summit & Awards 2017 for the Best Furniture Category,https://www.newsvoir.com/release/fine-grace-bags-the-sme-channels-summit-awards-2017-for-the-best-furniture-category-9537.html
90,"Gurgaon to soon have a State-of-the-art Commercial Complex MGR 412
",https://www.newsvoir.com/release/gurgaon-to-soon-have-a-state-of-the-art-commercial-complex-mgr-412-9494.html
91,Casa Deluxe Opens its Display Centre Offering Interior & Exterior Solutions,https://www.newsvoir.com/release/casa-deluxe-opens-its-display-centre-offering-interior-exterior-solutions-9448.html
92,"Home Credit India Completes Second Two-wheeler Loan Securitisation, Raises INR 453 Million",https://www.newsvoir.com/release/home-credit-india-completes-second-two-wheeler-loan-securitisation-raises-inr-453-million-9436.html
93,profine India Introduces Aluminium Profile System AluPure in the Market,https://www.newsvoir.com/release/profine-india-introduces-aluminium-profile-system-alupure-in-the-market-9337.html
94,Sophus Elevators Aim to Solve City Parking Issues,https://www.newsvoir.com/release/sophus-elevators-aim-to-solve-city-parking-issues-9298.html
95,Nitesh Kumar Promoted to CEO of TDI Infracorp Ltd.,https://www.newsvoir.com/release/nitesh-kumar-promoted-to-ceo-of-tdi-infracorp-ltd-9253.html
96,16th International Blockchain Conference Arrives at India Blockchain Week,https://www.newsvoir.com/release/16th-international-blockchain-conference-arrives-at-india-blockchain-week-9236.html
97,Avaali Solutions Launches Avaali Academy to Tackle the Widening Digital Gap in the Industry,https://www.newsvoir.com/release/avaali-solutions-launches-avaali-academy-to-tackle-the-widening-digital-gap-in-the-industry-9231.html
98,"TWB_ Announces Automationshift_, India’s First CXO Conference on Automation and Artificial Intelligence",https://www.newsvoir.com/release/twb-announces-automationshift-india-s-first-cxo-conference-on-automation-and-artificial-intelligence-9195.html
99,Manav Infra Projects Limited to Enter Capital Market,https://www.newsvoir.com/release/manav-infra-projects-limited-to-enter-capital-market-9168.html
100,"Development Organizations, Universities Tie-up with RSDC for Skilling Edge",https://www.newsvoir.com/release/development-organizations-universities-tie-up-with-rsdc-for-skilling-edge-9145.html
101,RMV IT Ventures into Media and Entertainment Equipment Rental Segment,https://www.newsvoir.com/release/rmv-it-ventures-into-media-and-entertainment-equipment-rental-segment-9139.html
102,Citizens are the Most Important Part of the Smart City Ecosystem,https://www.newsvoir.com/release/citizens-are-the-most-important-part-of-the-smart-city-ecosystem-9112.html
103,"Excelity Global Launches Wi-Fi Timesheet, an Innovation Aimed at Simplifying Employee Experience",https://www.newsvoir.com/release/excelity-global-launches-wi-fi-timesheet-an-innovation-aimed-at-simplifying-employee-experience-9068.html
104,Ved Infratech Launches One More Budget Housing in Mulund,https://www.newsvoir.com/release/ved-infratech-launches-one-more-budget-housing-in-mulund-9019.html
105,"SRM Partners with UC Berkeley College of Engineering for Design, Innovation and Entrepreneurship ",https://www.newsvoir.com/release/srm-partners-with-uc-berkeley-college-of-engineering-for-design-innovation-and-entrepreneurship-9016.html
106,"AXELOS Launches PRINCE2® 2017, World’s Most Widely Used Project Management Methodology in India",https://www.newsvoir.com/release/axelos-launches-prince2-2017-world-s-most-widely-used-project-management-methodology-in-india-9012.html
