,title,link
0,SIA-India Pitches for Balanced Approach for Allocation of the Spectrum for IMT and Satellite,https://www.newsvoir.com/release/sia-india-pitches-for-balanced-approach-for-allocation-of-the-spectrum-for-imt-and-satellite-19675.html
1,"Cyber Criminals Target Internet Users with ""Amazon International Women's Day 2022 Giveaway"" Scam",https://www.newsvoir.com/release/cyber-criminals-target-internet-users-with-amazon-international-women-s-day-2022-giveaway-scam-19653.html
2,"NTT DATA and NLB Services Announce, 'Bridge The Gap' Hackathon for Women IT Professionals",https://www.newsvoir.com/release/ntt-data-and-nlb-services-announce-bridge-the-gap-hackathon-for-women-it-professionals-19624.html
3,"The First Edition of Murugappa Group's 'The Good Quiz' on Saturday, February 19th",https://www.newsvoir.com/release/the-first-edition-of-murugappa-groups-the-good-quiz-on-saturday-february-19th-19404.html
4,MetroMedi.com - Online Pharmacy Startup Reshaping as Aggregator for Organic Stores to Serve Customers Better,https://www.newsvoir.com/release/metromedi-com-online-pharmacy-startup-reshaping-as-aggregator-for-organic-stores-to-serve-customers-better-19325.html
5,Internet Radio of Dr. MGR Janaki College Streams Programs Exclusively for Campuses Across Tamil Nadu ,https://www.newsvoir.com/release/internet-radio-of-dr-mgr-janaki-college-streams-programs-exclusively-for-campuses-across-tamil-nadu-19300.html
6,India Cannot have Aatman Nirbhar Bharat without Aatman Nirbhar Women and Girls: Lakshmi M Puri,https://www.newsvoir.com/release/india-cannot-have-aatman-nirbhar-bharat-without-aatman-nirbhar-women-and-girls-lakshmi-m-puri-19289.html
7,Governance Now to Honour Achievers with Visionary Awards 2021,https://www.newsvoir.com/release/governance-now-to-honour-achievers-with-visionary-awards-2021-19184.html
8,DE-CIX and Lightstorm Partner to Accelerate Access to DE-CIX Internet Exchange Platform ,https://www.newsvoir.com/release/de-cix-and-lightstorm-partner-to-accelerate-access-to-de-cix-internet-exchange-platform-19152.html
9,"Edtech Firm 'SpeEdLabs' to Expand its Presence to 800 Cities with its AI-Enabled Personalised Learning Platform in K12 and Test Prep Space
",https://www.newsvoir.com/release/edtech-firm-speedlabs-to-expand-its-presence-to-800-cities-with-its-ai-enabled-personalised-learning-platform-in-k12-and-test-prep-space-19051.html
10,MetroMedi Adopts Latest Web Technologies to Launch Relief Program for Online Counselling and Nutraceuticals' Products,https://www.newsvoir.com/release/metromedi-adopts-latest-web-technologies-to-launch-relief-program-for-online-counselling-and-nutraceuticals-products-19009.html
11,"NCW Launches an Online Knowledge Repository for Women in Collaboration with Meta, CyberPeace Foundation and Autobot Infosec",https://www.newsvoir.com/release/ncw-launches-an-online-knowledge-repository-for-women-in-collaboration-with-meta-cyberpeace-foundation-and-autobot-infosec-18972.html
12,Mastercard and Google Pay Come together to Facilitate Tokenization for Card-based Payments across India ,https://www.newsvoir.com/release/mastercard-and-google-pay-come-together-to-facilitate-tokenization-for-card-based-payments-across-india-18808.html
13,Taking the Concept of Formal Schooling to the Online Portal,https://www.newsvoir.com/release/taking-the-concept-of-formal-schooling-to-the-online-portal-18779.html
14,The Biryani House Aims to Open 50 District Master Franchises Across India by the End of 2022,https://www.newsvoir.com/release/the-biryani-house-aims-to-open-50-district-master-franchises-across-india-by-the-end-of-2022-18776.html
15,"XpressBees Launches ""Xpressathon"" Innovation Challenge",https://www.newsvoir.com/release/xpressbees-launches-xpressathon-innovation-challenge-18749.html
16,K8 School Announces Admission Open for the Year 2022–23; Introduces Nursery and Foundation Programs,https://www.newsvoir.com/release/k8-school-announces-admission-open-for-the-year-2022-23-introduces-nursery-and-foundation-programs-18693.html
17,"Inauguration of mUni Seagull Platform for Guru Gobind Singh Indraprastha University, New Delhi",https://www.newsvoir.com/release/inauguration-of-muni-seagull-platform-for-guru-gobind-singh-indraprastha-university-new-delhi-18688.html
18,"JuicyScore Shares 4 Tips to Protect your Online Business from Fraud, This Holiday Shopping Season",https://www.newsvoir.com/release/juicyscore-shares-4-tips-to-protect-your-online-business-from-fraud-this-holiday-shopping-season-18680.html
