,title,link
0,Smartr Logistics Offers Same-day Interstate Express Delivery: A First in India's Express Logistics Industry,https://www.newsvoir.com/release/smartr-logistics-offers-same-day-interstate-express-delivery-a-first-in-india-s-express-logistics-industry-19495.html
1,XpressBees Announces Winner of Xpressathon 1.0,https://www.newsvoir.com/release/xpressbees-announces-winner-of-xpressathon-1-0-19273.html
2,How Leo Packers is Tackling the Issue of Fraud Imposters to Protect Clients,https://www.newsvoir.com/release/how-leo-packers-is-tackling-the-issue-of-fraud-imposters-to-protect-clients-19200.html
3,Invoice Payments via ODeX Platform for all MSC Import Customers in India at no Extra Cost,https://www.newsvoir.com/release/invoice-payments-via-odex-platform-for-all-msc-import-customers-in-india-at-no-extra-cost-19167.html
4,E-vehicles will be a Game-changer for the Courier and Logistics Sector,https://www.newsvoir.com/release/e-vehicles-will-be-a-game-changer-for-the-courier-and-logistics-sector-18923.html
5,Jet Freight Migrates from NSE-Emerge Platform to NSE and BSE Main Board,https://www.newsvoir.com/release/jet-freight-migrates-from-nse-emerge-platform-to-nse-and-bse-main-board-18809.html
6,"ANSCER Robotics Optimizes Internal Logistics; Launches Next-Gen AMRs at India Warehousing Show, New Delhi",https://www.newsvoir.com/release/anscer-robotics-optimizes-internal-logistics-launches-next-gen-amrs-at-india-warehousing-show-new-delhi-18775.html
7,"XpressBees Launches ""Xpressathon"" Innovation Challenge",https://www.newsvoir.com/release/xpressbees-launches-xpressathon-innovation-challenge-18749.html
8,Smartr Logistics Plans to Double Operations to 100 Cities in 2022 ,https://www.newsvoir.com/release/smartr-logistics-plans-to-double-operations-to-100-cities-in-2022-18747.html
9,Plaxonic Launches Hyperlocal Super App Evobee to Revolutionize Local Logistics Space,https://www.newsvoir.com/release/plaxonic-launches-hyperlocal-super-app-evobee-to-revolutionize-local-logistics-space-18730.html
10,Enmovil Solutions Raises INR 10 Cr in Pre-Series A Round Led by Anicut Angel Fund,https://www.newsvoir.com/release/enmovil-solutions-raises-inr-10-cr-in-pre-series-a-round-led-by-anicut-angel-fund-18732.html
11,Wherehouse Launches 12-hour Fulfilment Services for D2C Brands; Goes Live with 25 Brands in Delhi-NCR,https://www.newsvoir.com/release/wherehouse-launches-12-hour-fulfilment-services-for-d2c-brands-goes-live-with-25-brands-in-delhi-ncr-18726.html
12,UPS begins First Direct Flight from India to Europe,https://www.newsvoir.com/release/ups-begins-first-direct-flight-from-india-to-europe-18310.html
13,"Grevol Receives 5,000 Units Requirement from E-commerce and Logistics Players for EV Cargo Vehicles",https://www.newsvoir.com/release/grevol-receives-5-000-units-requirement-from-e-commerce-and-logistics-players-for-ev-cargo-vehicles-18094.html
14,Ecom Express Expands Processing Capacity to Over 3 Million Parcels Per Day,https://www.newsvoir.com/release/ecom-express-expands-processing-capacity-to-over-3-million-parcels-per-day-18013.html
15,NimbusPost Enables Seamless Shipment of Goods for E-commerce Sellers,https://www.newsvoir.com/release/nimbuspost-enables-seamless-shipment-of-goods-for-e-commerce-sellers-17903.html
16,NITIE's Centre of Excellence in Logistics and Supply Chain Management to Buttress India's Vision for Economic Growth,https://www.newsvoir.com/release/nitie-apos-s-centre-of-excellence-in-logistics-and-supply-chain-management-to-buttress-india-s-vision-for-economic-growth-17902.html
17,Bahrain Launches the Fastest Global Sea-to-Air Logistics Hub in the Region,https://www.newsvoir.com/release/bahrain-launches-the-fastest-global-sea-to-air-logistics-hub-in-the-region-17847.html
18,TVS Motor Company Expands and Strengthens its Presence in South Africa,https://www.newsvoir.com/release/tvs-motor-company-expands-and-strengthens-its-presence-in-south-africa-17597.html
19,ODeX Associates with USoft Multitech LLP,https://www.newsvoir.com/release/odex-associates-with-usoft-multitech-llp-17362.html
20,Shree Maruti Courier Launches a Unique Bouquet of Services for this Rakshabandhan,https://www.newsvoir.com/release/shree-maruti-courier-launches-a-unique-bouquet-of-services-for-this-rakshabandhan-17258.html
21,Spoton Logistics Eliminates Operational Inefficiencies and Increases Monthly Sales Turnover by Over 3X for Auto Components Giant in India,https://www.newsvoir.com/release/spoton-logistics-eliminates-operational-inefficiencies-and-increases-monthly-sales-turnover-by-over-3x-for-auto-components-giant-in-india-17114.html
22,Om Logistics Partners with Democracy People Foundation for Mission Oxygen Initiative,https://www.newsvoir.com/release/om-logistics-partners-with-democracy-people-foundation-for-mission-oxygen-initiative-16745.html
23,Shadowfax to Enable Delivery of Oxygen Concentrators to 100 Cities in India,https://www.newsvoir.com/release/shadowfax-to-enable-delivery-of-oxygen-concentrators-to-100-cities-in-india-16725.html
24,HumSafer and Uplift Mutual's COVID Kavach to Protect 10k HAZ Drivers,https://www.newsvoir.com/release/humsafer-and-uplift-mutual-apos-s-covid-kavach-to-protect-10k-haz-drivers-16637.html
25,"Maheshwari Logistics Executes Export Order of 1040 MTs, Earlier Executed Export Order of 650.567 MTs",https://www.newsvoir.com/release/maheshwari-logistics-executes-export-order-of-1040-mts-earlier-executed-export-order-of-650-567-mts-16572.html
26,Spoton Logistics Strives to Eliminate Gender Disparity in the Logistics Sector,https://www.newsvoir.com/release/spoton-logistics-strives-to-eliminate-gender-disparity-in-the-logistics-sector-15929.html
27,VTL Logistics Celebrates India's First Digital Pongal,https://www.newsvoir.com/release/vtl-logistics-celebrates-india-apos-s-first-digital-pongal-15474.html
28,"13SQFT - India's First B2B Platform in the Warehousing, Logistics & Industrial Sector Makes its Debut with 100+ Brands Onboard",https://www.newsvoir.com/release/13sqft-india-apos-s-first-b2b-platform-in-the-warehousing-logistics-industrial-sector-makes-its-debut-with-100-brands-onboard-15329.html
29,Eshopbox Revolutionizes the Modern E-commerce Ecosystem,https://www.newsvoir.com/release/eshopbox-revolutionizes-the-modern-e-commerce-ecosystem-14971.html
30,Karaikal Port - Handles   Fertilizer Cargo with High Average Discharge Rate per Day,https://www.newsvoir.com/release/karaikal-port-handles-fertilizer-cargo-with-high-average-discharge-rate-per-day-14465.html
31,Serial Entrepreneur Praveen Sinha Backs Online Cargo Management Company iKargos.com,https://www.newsvoir.com/release/serial-entrepreneur-praveen-sinha-backs-online-cargo-management-company-ikargos-com-14288.html
32,Acko Partners with Shadowfax to Introduce Accident and Medical Insurance for Delivery Partners,https://www.newsvoir.com/release/acko-partners-with-shadowfax-to-introduce-accident-and-medical-insurance-for-delivery-partners-14003.html
33,"AITWA Appeals to Gadkari for Ministry's Directives to Ground Level Authorities to Restore Supply Chain
",https://www.newsvoir.com/release/aitwa-appeals-to-gadkari-for-ministry-apos-s-directives-to-ground-level-authorities-to-restore-supply-chain-13802.html
34,UPS Adds Over 200 Flights in April to Support Project Airbridge Coronavirus Relief Efforts,https://www.newsvoir.com/release/ups-adds-over-200-flights-in-april-to-support-project-airbridge-coronavirus-relief-efforts-13784.html
