,title,link
0,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Bangladesh,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-bangladesh-19636.html
1,"PRAMA's First Brand Store in India Opens in Bhavnagar, Gujarat",https://www.newsvoir.com/release/pramas-first-brand-store-in-india-opens-in-bhavnagar-gujarat-19616.html
2,GoGoA1 EV Training College Module attracts Bharti Vidyapeeth Engineering Students,https://www.newsvoir.com/release/gogoa1-ev-training-college-module-attracts-bharti-vidyapeeth-engineering-students-19620.html
3,"Mobis India Participates in ""Nurture Young Minds, Develop Safety Culture"" an Initiative on National Safety Day from March 4-10' 2022",https://www.newsvoir.com/release/mobis-india-participates-in-nurture-young-minds-develop-safety-culture-an-initiative-on-national-safety-day-from-march-4-10-2022-19612.html
4,TVS Motor Company Launches Naked Street Design 'TVS Raider' Motorcycle for Gen Z in Latin America,https://www.newsvoir.com/release/tvs-motor-company-launches-naked-street-design-tvs-raider-motorcycle-for-gen-z-in-latin-america-19587.html
5,DefExpo 2022: Crown Group Defence to Showcase their Capabilities in MRO and Indigenous Manufacturing for Indian Defence Services,https://www.newsvoir.com/release/defexpo-2022-crown-group-defence-to-showcase-their-capabilities-in-mro-and-indigenous-manufacturing-for-indian-defence-services-19582.html
6,"TVS Motor Company Registers Sales of 281,714 Units in February 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-281-714-units-in-february-2022-19579.html
7,TVS Motor Company Clocks 1 Million Two-wheeler Export Milestone in FY 21-22,https://www.newsvoir.com/release/tvs-motor-company-clocks-1-million-two-wheeler-export-milestone-in-fy-21-22-19491.html
8,Hero MotoCorp and Bharat Petroleum Corporation Ltd. Join Hands to Electrify the Country,https://www.newsvoir.com/release/hero-motocorp-and-bharat-petroleum-corporation-ltd-join-hands-to-electrify-the-country-19479.html
9,"Arbro Pharmaceuticals Introduces Ningen, its Japanese and Flora Inspired Cosmetics and Nutraceutical Line",https://www.newsvoir.com/release/arbro-pharmaceuticals-introduces-ningen-its-japanese-and-flora-inspired-cosmetics-and-nutraceutical-line-19478.html
10,Zamil Steel Buildings India Pvt. Ltd. Partners with Trimble to Transform Steel Fabrication around the World,https://www.newsvoir.com/release/zamil-steel-buildings-india-pvt-ltd-partners-with-trimble-to-transform-steel-fabrication-around-the-world-19470.html
11,Secure Connection Announces a Complete Range of Honeywell Audio Products,https://www.newsvoir.com/release/secure-connection-announces-a-complete-range-of-honeywell-audio-products-19434.html
12,Imaginarium Partners with Global 3D Printing Giant Ultimaker to Fuel Make in India,https://www.newsvoir.com/release/imaginarium-partners-with-global-3d-printing-giant-ultimaker-to-fuel-make-in-india-19431.html
13,Daikin Launches New Range of Split Room ACs in Chennai,https://www.newsvoir.com/release/daikin-launches-new-range-of-split-room-acs-in-chennai-19424.html
14,Tilaknagar Industries Q3 Net Revenue Up 23 Per cent at Rs. 206 Crore; Net Profit at Rs. 10 Crore,https://www.newsvoir.com/release/tilaknagar-industries-q3-net-revenue-up-23-per-cent-at-rs-206-crore-net-profit-at-rs-10-crore-19363.html
15,Best Agrolife Limited to be the First Agrochemical Company in India to Manufacture Spiromesifen Technical,https://www.newsvoir.com/release/best-agrolife-limited-to-be-the-first-agrochemical-company-in-india-to-manufacture-spiromesifen-technical-19359.html
16,"K. Gopala Desikan Appointed as Director and Group CFO in the Rank of Whole-Time Director of Sundaram-Clayton Limited
",https://www.newsvoir.com/release/k-gopala-desikan-appointed-as-director-and-group-cfo-in-the-rank-of-whole-time-director-of-sundaram-clayton-limited-19339.html
17,An Insight into Himalaya Machinery and its Role as a Leader of the Growing Indian Heavy Machinery Industry,https://www.newsvoir.com/release/an-insight-into-himalaya-machinery-and-its-role-as-a-leader-of-the-growing-indian-heavy-machinery-industry-19332.html
18,"Benling India See EV Uptake Faster than Expected and Repose Confidence in a Strong EV Outlook for 2022 and Beyond - ED and CEO, Mr. Amit Kumar",https://www.newsvoir.com/release/benling-india-see-ev-uptake-faster-than-expected-and-repose-confidence-in-a-strong-ev-outlook-for-2022-and-beyond-ed-and-ceo-mr-amit-kumar-19314.html
19,ConnectedCooking by RATIONAL: This is how Professional Kitchens Develop their Full Potential,https://www.newsvoir.com/release/connectedcooking-by-rational-this-is-how-professional-kitchens-develop-their-full-potential-19311.html
20,Truecaller Partners with Multiple World Leading Android Smartphone Manufacturers; Targets 100 Million Device Integrations over the Next Two Years,https://www.newsvoir.com/release/truecaller-partners-with-multiple-world-leading-android-smartphone-manufacturers-targets-100-million-device-integrations-over-the-next-two-years-19305.html
21,"TVS Motor Company Records Highest Ever Revenue, EBITDA and Profit in a Quarter",https://www.newsvoir.com/release/tvs-motor-company-records-highest-ever-revenue-ebitda-and-profit-in-a-quarter-19301.html
22,Best Agrolife Ltd. Starts Production in its Subsidiary Unit Seedling India Pvt. Ltd.,https://www.newsvoir.com/release/best-agrolife-ltd-starts-production-in-its-subsidiary-unit-seedling-india-pvt-ltd-19294.html
23,Arboreal Wins The National Startup Awards 2021 in the Food Processing Category for Accelerating the Transition to the Post Sugar World,https://www.newsvoir.com/release/arboreal-wins-the-national-startup-awards-2021-in-the-food-processing-category-for-accelerating-the-transition-to-the-post-sugar-world-19265.html
24,Sundaram Auto Components conferred with TPM Excellence Award for its Mysuru Plant,https://www.newsvoir.com/release/sundaram-auto-components-conferred-with-tpm-excellence-award-for-its-mysuru-plant-19248.html
25,Embrace IRack and IRack Block Designed by NetRack to Achieve Cooling Efficiency for Single or Smaller Deployments,https://www.newsvoir.com/release/embrace-irack-and-irack-block-designed-by-netrack-to-achieve-cooling-efficiency-for-single-or-smaller-deployments-19211.html
26,"TVS Motor Company Registers Sales of 266,788 Units in January 2022",https://www.newsvoir.com/release/tvs-motor-company-registers-sales-of-266-788-units-in-january-2022-19228.html
27,"Yasho Industries Limited 9MFY22 Highlights - Robust Performance Continues, Led by Good Demand in Domestic and Export Markets",https://www.newsvoir.com/release/yasho-industries-limited-9mfy22-highlights-robust-performance-continues-led-by-good-demand-in-domestic-and-export-markets-19222.html
28,Great Place to Work® India Announces India's Best Workplaces™ in Manufacturing 2022,https://www.newsvoir.com/release/great-place-to-work-india-announces-indias-best-workplaces-in-manufacturing-2022-19191.html
29,SRAM & MRAM Group to Participate in the 2022 Edition of the International Production and Processing Expo (IPPE) in the USA,https://www.newsvoir.com/release/sram-mram-group-to-participate-in-the-2022-edition-of-the-international-production-and-processing-expo-ippe-in-the-usa-19138.html
30,"10,000 Machines Produced by Biesse in India, Annual Production Reaches 2000",https://www.newsvoir.com/release/10-000-machines-produced-by-biesse-in-india-annual-production-reaches-2000-19103.html
