,title,link
0,10 Nahi 40 to have a Direct OTT Release,https://www.newsvoir.com/release/10-nahi-40-to-have-a-direct-ott-release-19689.html
1,Dia Mirza Graces iDiva's March Cover,https://www.newsvoir.com/release/dia-mirza-graces-idivas-march-cover-19684.html
2,Newsblare Launches First Magazine on COVID-19 Pandemic,https://www.newsvoir.com/release/newsblare-launches-first-magazine-on-covid-19-pandemic-19610.html
3,Dangal TV becomes No. 4 Channel in India Across GECs,https://www.newsvoir.com/release/dangal-tv-becomes-no-4-channel-in-india-across-gecs-19601.html
4,"Muthoot Finance Launches Sunheri Soch Season-2, Only on RED FM 93.5",https://www.newsvoir.com/release/muthoot-finance-launches-sunheri-soch-season-2-only-on-red-fm-93-5-19496.html
5,'Chausar - The Power Games': Punjab's Hottest Political Drama Series Releases on PTC Play App,https://www.newsvoir.com/release/chausar-the-power-games-punjabs-hottest-political-drama-series-releases-on-ptc-play-app-19448.html
6,"Rashtra News, a Online News and Media Website Emerging as a Primary Online Newspaper and Publication",https://www.newsvoir.com/release/rashtra-news-a-online-news-and-media-website-emerging-as-a-primary-online-newspaper-and-publication-19331.html
7,"PVR Signs Agreement with M3M India in their Largest Delivered Retail Project in Gurugram
",https://www.newsvoir.com/release/pvr-signs-agreement-with-m3m-india-in-their-largest-delivered-retail-project-in-gurugram-19272.html
8,iLEAD Films and Suvendu Raj Ghosh's 'Before You Die…' to Launch its Trailer the Unique Way,https://www.newsvoir.com/release/ilead-films-and-suvendu-raj-ghosh-s-before-you-die-to-launch-its-trailer-the-unique-way-19172.html
9,Radio City Maintains Leadership Position with a Strong Profit Growth,https://www.newsvoir.com/release/radio-city-maintains-leadership-position-with-a-strong-profit-growth-19135.html
10,T-Series and HEFTY Entertainment a Division of Hungama Digital Media Announce their Foray into the Metaverse with soon to be Launched NFTs,https://www.newsvoir.com/release/t-series-and-hefty-entertainment-a-division-of-hungama-digital-media-announce-their-foray-into-the-metaverse-with-soon-to-be-launched-nfts-19124.html
11,"VYRE Network Partners with DK Films India to Expand Bollywood Content on its ""Vasool TV"" Channel",https://www.newsvoir.com/release/vyre-network-partners-with-dk-films-india-to-expand-bollywood-content-on-its-quot-vasool-tv-quot-channel-19092.html
12,"Optoma Kick Starts 2022 with the Launch of UHZ50, a 4K Laser High Performance Projector for Home Entertainment and Beyond",https://www.newsvoir.com/release/optoma-kick-starts-2022-with-the-launch-of-uhz50-a-4k-laser-high-performance-projector-for-home-entertainment-and-beyond-19072.html
13,Mission Paani Wins the Prestigious National Water Awards 2020,https://www.newsvoir.com/release/mission-paani-wins-the-prestigious-national-water-awards-2020-19015.html
14,Ashok Shivpuri Joins ST Digital as Head of Content Acquisition,https://www.newsvoir.com/release/ashok-shivpuri-joins-st-digital-as-head-of-content-acquisition-19002.html
15,Urvashi Rautela: The Global Citizen on FACE Magazine's Cover,https://www.newsvoir.com/release/urvashi-rautela-the-global-citizen-on-face-magazine-s-cover-18973.html
16,PTC Network's PTC Play App is Set to Telecast Gurbani in Full HD,https://www.newsvoir.com/release/ptc-networks-ptc-play-app-is-set-to-telecast-gurbani-in-full-hd-18936.html
17,NEWJ Jumps 10 Spots in Top Global Digital First Publishers by Tubular Inc; Now Ranks at the 25th position ,https://www.newsvoir.com/release/newj-jumps-10-spots-in-top-global-digital-first-publishers-by-tubular-inc-now-ranks-at-the-25th-position-18935.html
18,Joint Fashion Week Hosted by A&A Media and Modazzy was a Breath of Fresh Air as DRW 2021,https://www.newsvoir.com/release/joint-fashion-week-hosted-by-a-a-media-and-modazzy-was-a-breath-of-fresh-air-as-drw-2021-18916.html
19,iLEAD Films and Suvendu Raj Ghosh's 'Before You Die…' Scores Big at LIFFT India Awards 2021 with 5 Awards,https://www.newsvoir.com/release/ilead-films-and-suvendu-raj-ghosh-s-before-you-die-scores-big-at-lifft-india-awards-2021-with-5-awards-18883.html
20,"SpiceJet Flyers can Now Enjoy a Dolby Atmos Experience 38,000 ft. up in the Sky",https://www.newsvoir.com/release/spicejet-flyers-can-now-enjoy-a-dolby-atmos-experience-38-000-ft-up-in-the-sky-18830.html
21,India's Favourite Music Destinations Radio City and JioSaavn Come Together for a Brand New Weekly Show ,https://www.newsvoir.com/release/indias-favourite-music-destinations-radio-city-and-jiosaavn-come-together-for-a-brand-new-weekly-show-18742.html
22,"SABGROUP Governance Now - 75 Episodes of ""Visionary Talk Series"" with Eminent Personalities",https://www.newsvoir.com/release/sabgroup-governance-now-75-episodes-of-visionary-talk-series-with-eminent-personalities-18705.html
23,Pawan Pandit to Launch Rashtra News Mobile App on Swadeshi Abhiyan Program,https://www.newsvoir.com/release/pawan-pandit-to-launch-rashtra-news-mobile-app-on-swadeshi-abhiyan-program-18659.html
24,"iLEAD Introduces a Fresh Voice, Deepika Samanta a Hidden Talent Discovered by Pradip Chopra and Suvendu Raj Ghosh",https://www.newsvoir.com/release/ilead-introduces-a-fresh-voice-deepika-samanta-a-hidden-talent-discovered-by-pradip-chopra-and-suvendu-raj-ghosh-18602.html
