,title,link
0,Zamil Steel Buildings India Pvt. Ltd. Partners with Trimble to Transform Steel Fabrication around the World,https://www.newsvoir.com/release/zamil-steel-buildings-india-pvt-ltd-partners-with-trimble-to-transform-steel-fabrication-around-the-world-19470.html
1,"Malabar Gold and Diamonds Makes a Magnificent Beginning in the New Year, to open 22 Showrooms in January 2022
",https://www.newsvoir.com/release/malabar-gold-and-diamonds-makes-a-magnificent-beginning-in-the-new-year-to-open-22-showrooms-in-january-2022-18963.html
2,Vedanta Aluminium Launches High-Speed Billets for Extrusion Industry,https://www.newsvoir.com/release/vedanta-aluminium-launches-high-speed-billets-for-extrusion-industry-18784.html
3,MMTC-PAMP Makes a Strong Debut in Top 100 of the Fortune 500 India List,https://www.newsvoir.com/release/mmtc-pamp-makes-a-strong-debut-in-top-100-of-the-fortune-500-india-list-18765.html
4,Nupur Recyclers IPO Closes Day 3 with Over 41.37X Subscription ,https://www.newsvoir.com/release/nupur-recyclers-ipo-closes-day-3-with-over-41-37x-subscription-18728.html
5,Vedanta Aluminium Unveils Sustainable Development Report for FY21,https://www.newsvoir.com/release/vedanta-aluminium-unveils-sustainable-development-report-for-fy21-18716.html
6,"Vedanta Aluminium Invites Partners for Aluminium Park at Odisha
",https://www.newsvoir.com/release/vedanta-aluminium-invites-partners-for-aluminium-park-at-odisha-18612.html
7,MB Power to Restore Abandoned Mine Void with Fly Ash,https://www.newsvoir.com/release/mb-power-to-restore-abandoned-mine-void-with-fly-ash-18547.html
8,Kundan Gold Refinery Bags ''Leading Bullion Refiner'' Title at IGC 2021 for 5th Time in a Row,https://www.newsvoir.com/release/kundan-gold-refinery-bags-leading-bullion-refiner-title-at-igc-2021-for-5th-time-in-a-row-18457.html
9,Gemfields Launches Sapphire - Completing the 'Big Three' Trilogy,https://www.newsvoir.com/release/gemfields-launches-sapphire-completing-the-big-three-trilogy-17699.html
10,Vedanta Aluminium becomes India's Largest Green Power Purchaser,https://www.newsvoir.com/release/vedanta-aluminium-becomes-india-s-largest-green-power-purchaser-17222.html
11,Kundan Group Launches 'MyGoldKart' Digital Gold Investment Platform,https://www.newsvoir.com/release/kundan-group-launches-mygoldkart-digital-gold-investment-platform-17196.html
12,"Radhamadhav Marbles, India, Signs Six Exclusive Mining Agreements in Europe",https://www.newsvoir.com/release/radhamadhav-marbles-india-signs-six-exclusive-mining-agreements-in-europe-16901.html
