,title,link
0,Cuentas Offers App-Based Cross Border Money Transfers Powered by Western Union,https://www.newsvoir.com/release/cuentas-offers-app-based-cross-border-money-transfers-powered-by-western-union-19650.html
1,Molitics Infomedia Raised Funding from SAAMAG Group,https://www.newsvoir.com/release/molitics-infomedia-raised-funding-from-saamag-group-19648.html
2,Truecaller Encourages Women to CallItOut with ItsNotOk Campaign,https://www.newsvoir.com/release/truecaller-encourages-women-to-callitout-with-itsnotokay-campaign-19635.html
3,Women at workplace Champion Kunal Chowdhry Invests in RushOwl - AI-based Public Transport Service,https://www.newsvoir.com/release/women-at-workplace-champion-kunal-chowdhry-invests-in-rushowl-ai-based-public-transport-service-19627.html
4,Raksha4U brings the Boon of 'JugJugJiyo' with its New Campaign,https://www.newsvoir.com/release/raksha4u-brings-the-boon-of-apos-jugjugjiyo-apos-with-its-new-campaign-19570.html
5,Truecaller Partners with Tanla to Improve Efficiency for Business Messaging,https://www.newsvoir.com/release/truecaller-partners-with-tanla-to-improve-efficiency-for-business-messaging-19575.html
6,Fortis National Mental Health Program Reaches 139 Million on Josh through Association with MASH,https://www.newsvoir.com/release/fortis-national-mental-health-program-reaches-139-million-on-josh-through-association-with-mash-19499.html
7,"XSEED Education Helps Over 20,000 Teachers Cross the Digital Divide",https://www.newsvoir.com/release/xseed-education-helps-over-20-000-teachers-cross-the-digital-divide-19490.html
8,Carnival Group and 8secondz Short Video App Launch 8coin to Reward Popular Creators,https://www.newsvoir.com/release/carnival-group-and-8secondz-short-video-app-launch-8coin-to-reward-popular-creators-19423.html
9,Truecaller Partners with CyberPeace Foundation to Launch Online Safety Program - TrueCyberSafe,https://www.newsvoir.com/release/truecaller-partners-with-cyberpeace-foundation-to-launch-online-safety-program-truecybersafe-19457.html
10,'Chausar - The Power Games': Punjab's Hottest Political Drama Series Releases on PTC Play App,https://www.newsvoir.com/release/chausar-the-power-games-punjabs-hottest-political-drama-series-releases-on-ptc-play-app-19448.html
11,StoreHippo Launches Next-Gen Solutions for Brands Planning to Win the Quick Commerce Battle,https://www.newsvoir.com/release/storehippo-launches-next-gen-solutions-for-brands-planning-to-win-the-quick-commerce-battle-19435.html
12,'Devnagri' Presented Machine Translation Engine that Translates Instantly with more than 85 percent Contextual Results,https://www.newsvoir.com/release/devnagri-presented-machine-translation-engine-that-translates-instantly-with-more-than-85-percent-contextual-results-19369.html
13,MetroMedi.com - Online Pharmacy Startup Reshaping as Aggregator for Organic Stores to Serve Customers Better,https://www.newsvoir.com/release/metromedi-com-online-pharmacy-startup-reshaping-as-aggregator-for-organic-stores-to-serve-customers-better-19325.html
14,"Truecaller Launches Chhota SMS Campaign Featuring ""Jordindians""",https://www.newsvoir.com/release/truecaller-launches-chhota-sms-campaign-featuring-jordindians-19313.html
15,Hitachi Cooling and Heating Offering Real-time Solutions to Customers in Chennai,https://www.newsvoir.com/release/hitachi-cooling-and-heating-offering-real-time-solutions-to-customers-in-chennai-19285.html
16,Truecaller Partners with Multiple World Leading Android Smartphone Manufacturers; Targets 100 Million Device Integrations over the Next Two Years,https://www.newsvoir.com/release/truecaller-partners-with-multiple-world-leading-android-smartphone-manufacturers-targets-100-million-device-integrations-over-the-next-two-years-19305.html
17,Internet Radio of Dr. MGR Janaki College Streams Programs Exclusively for Campuses Across Tamil Nadu ,https://www.newsvoir.com/release/internet-radio-of-dr-mgr-janaki-college-streams-programs-exclusively-for-campuses-across-tamil-nadu-19300.html
18,"CHP Finance Launches 1 Click Sal, Aims to Help Companies in Providing Timely Salary",https://www.newsvoir.com/release/chp-finance-launches-1-click-sal-aims-to-help-companies-in-providing-timely-salary-19288.html
19,Hey Homie: India's First WhatsApp Conversational Commerce Platform gets Launched for Passionate Home Entrepreneurs,https://www.newsvoir.com/release/hey-homie-indias-first-whatsapp-conversational-commerce-platform-gets-launched-for-passionate-home-entrepreneurs-19230.html
20,Startup Comes with a Solution for a Hike in Petrol-Diesel Price in a Market,https://www.newsvoir.com/release/startup-comes-with-a-solution-for-a-hike-in-petrol-diesel-price-in-a-market-19198.html
21,"VR Films Launches ""VROTT""- A Global ka Local App",https://www.newsvoir.com/release/vr-films-launches-vrott-a-global-ka-local-app-19199.html
22,Goldsetu Launches First-of-its-kind Mobile-First Fintech and Commerce SaaS Platform for Jewellery Retailers,https://www.newsvoir.com/release/goldsetu-launches-first-of-its-kind-mobile-first-fintech-and-commerce-saas-platform-for-jewellery-retailers-19186.html
23,"Kinara Capital Introduces Collateral-Free Short-Term Working Capital Loan
",https://www.newsvoir.com/release/kinara-capital-introduces-collateral-free-short-term-working-capital-loan-19168.html
24,Chingari Leads India's Web3 Revolution with $GARI Social Token,https://www.newsvoir.com/release/chingari-leads-india-s-web3-revolution-with-gari-social-token-19163.html
25,OctaFX Copytrading Redesigns its Copying Settings,https://www.newsvoir.com/release/octafx-copytrading-redesigns-its-copying-settings-19030.html
26,Edukit: Catering the Demand of Enterprise Level LMS Solutions,https://www.newsvoir.com/release/edukit-catering-the-demand-of-enterprise-level-lms-solutions-19058.html
27,CardByte Launches Contact Management and Business Networking App to Revolutionize Businesses,https://www.newsvoir.com/release/cardbyte-launches-contact-management-and-business-networking-app-to-revolutionize-businesses-19060.html
28,Truecaller to Acquire Israeli App CallHero,https://www.newsvoir.com/release/truecaller-to-acquire-israeli-app-callhero-19053.html
29,"Crib Raises USD 400,000 in its Pre-seed Round to Build the Super Co-living App",https://www.newsvoir.com/release/crib-raises-usd-400-000-in-its-pre-seed-round-to-build-the-super-co-living-app-19023.html
30,"India's First Passive Crypto Investment App Flint money, Opens its Waitlist for High Returns on Crypto without any Lock-ins",https://www.newsvoir.com/release/indias-first-passive-crypto-investment-app-flint-money-opens-its-waitlist-for-high-returns-on-crypto-without-any-lock-ins-19017.html
31,"Meet Natasha Health, India's First AI Fitness Trainer with a Human Touch",https://www.newsvoir.com/release/meet-natasha-health-indias-first-ai-fitness-trainer-with-a-human-touch-19016.html
32,"Coming Soon, Data Loss Prevention Capability in Employee Monitoring Software",https://www.newsvoir.com/release/coming-soon-data-loss-prevention-capability-in-employee-monitoring-software-19003.html
33,BabyChakra's Change Makers 2021 - From Moms to Super Moms,https://www.newsvoir.com/release/babychakra-s-change-makers-2021-from-moms-to-super-moms-18901.html
34,India to Add 1000s of Homepreneurs Starting January 2022 with Soon-to-be Launched Hey Homie,https://www.newsvoir.com/release/india-to-add-1000s-of-homepreneurs-starting-january-2022-with-soon-to-be-launched-hey-homie-18857.html
35,"ACE Engineering Rebrands Online Platform to ACE Online, Launches Dedicated Android, Desktop and iOS App",https://www.newsvoir.com/release/ace-engineering-rebrands-online-platform-to-ace-online-launches-dedicated-android-desktop-and-ios-app-18858.html
36,OctaFX Enters 2022 Summarising its Successful Year,https://www.newsvoir.com/release/octafx-enters-2022-summarising-its-successful-year-18845.html
37,Dr. Sumer Sethi Receives Academic Entrepreneurship Excellence Award by the Indian Medical Association,https://www.newsvoir.com/release/dr-sumer-sethi-receives-academic-entrepreneurship-excellence-award-by-the-indian-medical-association-18844.html
38,"Real11 Introduces Kabaddi on their Platform, Ravinder Pahal as Brand Ambassador",https://www.newsvoir.com/release/real11-introduces-kabaddi-on-their-platform-ravinder-pahal-as-brand-ambassador-18812.html
39,Mastercard and Google Pay Come together to Facilitate Tokenization for Card-based Payments across India ,https://www.newsvoir.com/release/mastercard-and-google-pay-come-together-to-facilitate-tokenization-for-card-based-payments-across-india-18808.html
40,Kolkata Pharmacy Launched KP Online Healthcare App to Deliver Medicines to Doorstep,https://www.newsvoir.com/release/kolkata-pharmacy-launched-kp-online-healthcare-app-to-deliver-medicines-to-doorstep-18789.html
41,Truecaller's Global Spam Report 2021 says India Received 202 Million Calls from a Single Spammer,https://www.newsvoir.com/release/truecaller-apos-s-global-spam-report-2021-says-india-received-202-million-calls-from-a-single-spammer-18752.html
42,Plaxonic Launches Hyperlocal Super App Evobee to Revolutionize Local Logistics Space,https://www.newsvoir.com/release/plaxonic-launches-hyperlocal-super-app-evobee-to-revolutionize-local-logistics-space-18730.html
43,Neobank Aeldra Announces Cash Gift Envelope Equivalent Feature 'Aeldra Pay',https://www.newsvoir.com/release/neobank-aeldra-announces-cash-gift-envelope-equivalent-feature-apos-aeldra-pay-apos-18720.html
44,"Bounce Accelerates its Promise to Enable Battery Swapping Infrastructure for a Million plus Scooters in India; 
Partners with NoBroker",https://www.newsvoir.com/release/bounce-accelerates-its-promise-to-enable-battery-swapping-infrastructure-for-a-million-plus-scooters-in-india-partners-with-nobroker-18668.html
45,Pawan Pandit to Launch Rashtra News Mobile App on Swadeshi Abhiyan Program,https://www.newsvoir.com/release/pawan-pandit-to-launch-rashtra-news-mobile-app-on-swadeshi-abhiyan-program-18659.html
46,SpiceJet Receives 2021 'APEX Newcomer of the Year' Award for Cabin Crew App ,https://www.newsvoir.com/release/spicejet-receives-2021-apex-newcomer-of-the-year-award-for-cabin-crew-app-18644.html
47,PeLocal One - Step Payment Platform Launched ,https://www.newsvoir.com/release/pelocal-one-step-payment-platform-launched-18633.html
48,Influencer Marketing App Freeskout Achieves INR 1 Crore MRR Milestone,https://www.newsvoir.com/release/influencer-marketing-app-freeskout-achieves-inr-1-crore-mrr-milestone-18607.html
49,"Travel, Recommend and Earn with Goibibo",https://www.newsvoir.com/release/travel-recommend-and-earn-with-goibibo-18586.html
50,Trell Co-Presents 1st Edition of Women Who Lead National Awards 2021,https://www.newsvoir.com/release/trell-co-presents-1st-edition-of-women-who-lead-national-awards-2021-18552.html
51,"Travel Innovations by MakeMyTrip that Promise to Make Travelling Safe, Convenient, Flexible and Hassle-free ",https://www.newsvoir.com/release/travel-innovations-by-makemytrip-that-promise-to-make-travelling-safe-convenient-flexible-and-hassle-free-18535.html
52,The Fuel Delivery Disrupting the Fuel Distribution Landscape through an App-based IoT Solution,https://www.newsvoir.com/release/the-fuel-delivery-disrupting-the-fuel-distribution-landscape-through-an-app-based-iot-solution-18534.html
53,Kinara Capital Launches myKinara Mobile App for MSME Collateral-free Loans,https://www.newsvoir.com/release/kinara-capital-launches-mykinara-mobile-app-for-msme-collateral-free-loans-18509.html
54,VideoMeet: Intelligent Video-conferencing Providing Enterprises with Glitch-free Virtual Meeting Ecosystem,https://www.newsvoir.com/release/videomeet-intelligent-video-conferencing-providing-enterprises-with-glitch-free-virtual-meeting-ecosystem-18507.html
55,Truecaller Announces the Launch of Version 12 with Several Exciting New Features,https://www.newsvoir.com/release/truecaller-announces-the-launch-of-version-12-with-several-exciting-new-features-18505.html
56,Creative Galileo Partners with Periwinkle,https://www.newsvoir.com/release/creative-galileo-partners-with-periwinkle-18501.html
57,"Alice Blue Updates its ANT App with New Customized Features, Security and much more",https://www.newsvoir.com/release/alice-blue-updates-its-ant-app-with-new-customized-features-security-and-much-more-18482.html
58,"300 Million and Counting, Truecaller Users are Taking the Right Call",https://www.newsvoir.com/release/300-million-and-counting-truecaller-users-are-taking-the-right-call-18463.html
59,HPCL and IDFC FIRST Bank Partner to Enable Fuel Payments Using FASTag,https://www.newsvoir.com/release/hpcl-and-idfc-first-bank-partner-to-enable-fuel-payments-using-fastag-18433.html
60,"World Cycling Alliance (WCA) Elects D V Manohar, Chairman, SmartBike Mobility from India as their First Vice President for a Span of Three Years",https://www.newsvoir.com/release/world-cycling-alliance-wca-elects-d-v-manohar-chairman-smartbike-mobility-from-india-as-their-first-vice-president-for-a-span-of-three-years-18426.html
61,The 'Andaman Boys' Who Bring their Dream and Passion to Delhi through Grubsoul.com,https://www.newsvoir.com/release/the-andaman-boys-who-bring-their-dream-and-passion-to-delhi-through-grubsoul-com-18396.html
62,Vande Bharatam-Nritya Utsav - Dance and Win your Way to Perform at the Republic Day Parade 2022,https://www.newsvoir.com/release/vande-bharatam-nritya-utsav-dance-and-win-your-way-to-perform-at-the-republic-day-parade-2022-18395.html
63,MobiKwik Launches 'MobiKwik RuPay Card' in Association with NPCI and Axis Bank,https://www.newsvoir.com/release/mobikwik-launches-mobikwik-rupay-card-in-association-with-npci-and-axis-bank-18361.html
64,"Asiasoft, 'Audition IP' Enters Indian Market for the First Time",https://www.newsvoir.com/release/asiasoft-audition-ip-enters-indian-market-for-the-first-time-2-18343.html
65,"Girish Pathak, 19-Year-Old Founder of Koinbee, an Innovative Crypto Trading App Launching in 2022",https://www.newsvoir.com/release/girish-pathak-19-year-old-founder-of-koinbee-an-innovative-crypto-trading-app-launching-in-2022-18323.html
66,Australian Short Video App 8secondz Partners with Carnival Group to Discover Local Talent Across India,https://www.newsvoir.com/release/australian-short-video-app-8secondz-partners-with-carnival-group-to-discover-local-talent-across-india-18264.html
67,The Quintessential Phoenix Digital Experience Expands Across India,https://www.newsvoir.com/release/the-quintessential-phoenix-digital-experience-expands-across-india-18246.html
68,"Polygon Launches a USD 100,000 Hackathon that Invites Indian Developers to Launch Decentralized Apps",https://www.newsvoir.com/release/polygon-launches-a-usd-100-000-hackathon-that-invites-indian-developers-to-lunch-decentralized-apps-18229.html
69,U2opia Mobile Partners Indosat Ooredoo to Launch IM Gaming - An Industry Pioneering Multi-genre Gaming Platform,https://www.newsvoir.com/release/u2opia-mobile-partners-indosat-ooredoo-to-launch-im-gaming-an-industry-pioneering-multi-genre-gaming-platform-18193.html
70,Alniche Lifesciences Innovating Cross Functional Digital Initiatives,https://www.newsvoir.com/release/alniche-lifesciences-innovating-cross-functional-digital-initiatives-18200.html
71,Zavron Finserv Introduces Instant Personal Loan Application - ZinCash,https://www.newsvoir.com/release/zavron-finserv-introduces-instant-personal-loan-application-zincash-18070.html
