,title,link
0,Cooperative Sector Key to Aatmanirbhar Bharat,https://www.newsvoir.com/release/cooperative-sector-key-to-aatmanirbhar-bharat-19615.html
1,SRM University-AP Launches Aadigyan: To Promote India's Cultural Knowledge Tradition,https://www.newsvoir.com/release/srm-university-ap-launches-aadigyan-to-promote-indias-cultural-knowledge-tradition-19550.html
2,Renowned Speakers from All Over World to Attend JKYog Bhagavad Gita Summit,https://www.newsvoir.com/release/renowned-speakers-from-all-over-world-to-attend-jkyog-bhagavad-gita-summit-18658.html
3,"Celebration of 100th Birth Anniversary of Dr. Verghese Kurien at the Institute of Rural Management Anand (IRMA)
",https://www.newsvoir.com/release/celebration-of-100th-birth-anniversary-of-dr-verghese-kurien-at-the-institute-of-rural-management-anand-irma-18593.html
4,India Looks Forward to Strengthening Bilateral Relations with the UAE on its 50th National Day,https://www.newsvoir.com/release/india-looks-forward-to-strengthening-bilateral-relations-with-the-uae-on-its-50th-national-day-18570.html
5,Konnichiwa Pune To Celebrate Indo-Japan Relation,https://www.newsvoir.com/release/konnichiwa-pune-to-celebrate-indo-japan-relation-18453.html
6,"3 Lakh Visitors in 43 Days, India Pavilion Among Most-visited at EXPO2020",https://www.newsvoir.com/release/3-lakh-visitors-in-43-days-india-pavilion-among-most-visited-at-expo2020-18368.html
7,1.5 Lakh Visit India Pavilion in 28 Days ,https://www.newsvoir.com/release/1-5-lakh-visit-india-pavilion-in-28-days-18232.html
8,"Cycle Invites Women to Bring Kumkum Bindi Back in Vogue with 'KumkumBindiChallenge'
",https://www.newsvoir.com/release/cycle-invites-women-to-bring-kumkum-bindi-back-in-vogue-with-kumkumbindichallenge-17970.html
9,Cycle Pure Agarbathies' New Campaign Celebrates Mother's Prayers,https://www.newsvoir.com/release/cycle-pure-agarbathies-new-campaign-celebrates-mother-s-prayers-17952.html
10,"Dubai Expo to Present Ancient Culture of India, Attract Global Investors",https://www.newsvoir.com/release/dubai-expo-to-present-ancient-culture-of-india-attract-global-investors-17944.html
11,K-pop Star Studded 2021 MOKKOJI KOREA to Hold Special India Week,https://www.newsvoir.com/release/k-pop-star-studded-2021-mokkoji-korea-to-hold-special-india-week-17907.html
12,2021 MOKKOJI KOREA to Hold Special India Week with K-pop Stars,https://www.newsvoir.com/release/2021-mokkoji-korea-to-hold-special-india-week-with-k-pop-stars-17743.html
13,Earliest Surviving Hindu Paintings Preserved for Eternity at Arctic World Archive,https://www.newsvoir.com/release/earliest-surviving-hindu-paintings-preserved-for-eternity-at-arctic-world-archive-17787.html
