,title,link
0,40 Women Survivors of Acid Attacks Seek Support to Battle Stigma and Reclaim their Lives,https://www.newsvoir.com/release/40-women-survivors-of-acid-attacks-seek-support-to-battle-stigma-and-reclaim-their-lives-19672.html
1,Union Minister Smriti Irani Confers 'Vishishta Mahila Ratna Samman' to Entrepreneur Nowhera Shaik,https://www.newsvoir.com/release/union-minister-smriti-irani-confers-vishishta-mahila-ratna-samman-to-entrepreneur-nowhera-shaik-19658.html
2,"Cyber Criminals Target Internet Users with ""Amazon International Women's Day 2022 Giveaway"" Scam",https://www.newsvoir.com/release/cyber-criminals-target-internet-users-with-amazon-international-women-s-day-2022-giveaway-scam-19653.html
3,Veddis Foundation and J-PAL South Asia Set up ASPIRE to Accelerate Evidence-based Policymaking,https://www.newsvoir.com/release/veddis-foundation-and-j-pal-south-asia-set-up-aspire-to-accelerate-evidence-based-policymaking-19586.html
4,12 Lakh+ Donors Contributed Over INR 125 Cr for Rare Disease Patients on ImpactGuru: Report,https://www.newsvoir.com/release/12-lakh-donors-contributed-over-inr-125-cr-for-rare-disease-patients-on-impactguru-report-19558.html
5,"Joti Foundation Initiated One of the Biggest Donation Drives ""Redistributing Happiness""",https://www.newsvoir.com/release/joti-foundation-initiated-one-of-the-biggest-donation-drives-redistributing-happiness-19535.html
6,Union Health Minister Highlights the Contribution of Physicians of Indian Origin,https://www.newsvoir.com/release/union-health-minister-highlights-the-contribution-of-physicians-of-indian-origin-19551.html
7,"Sustainability, Impact, and Scalability: Ketto Awards 2021-22 Honoring the Endeavors of Changemakers of India",https://www.newsvoir.com/release/sustainability-impact-and-scalability-ketto-awards-2021-22-honoring-the-endeavors-of-changemakers-of-india-19523.html
8,Beetle Bikes Bring a Smile to Children at Angel Home NGO,https://www.newsvoir.com/release/beetle-bikes-bring-a-smile-to-children-at-angel-home-ngo-19471.html
9,Truecaller Partners with CyberPeace Foundation to Launch Online Safety Program - TrueCyberSafe,https://www.newsvoir.com/release/truecaller-partners-with-cyberpeace-foundation-to-launch-online-safety-program-truecybersafe-19457.html
10,M3M Foundation's Khushiyon Ka Mela Brings Smile Back on Underprivileged Children's Faces in Sec-67 Gurugram,https://www.newsvoir.com/release/m3m-foundation-s-khushiyon-ka-mela-brings-smile-back-on-underprivileged-children-s-faces-in-sec-67-gurugram-19442.html
11,Mr. John Kerry and Six World Leaders Call for Green Shift in Consumption and Production Systems,https://www.newsvoir.com/release/mr-john-kerry-and-six-world-leaders-call-for-green-shift-in-consumption-and-production-systems-19417.html
12,"STARSEEDS, Mission and Manifestation Project Launched by Siddha Cosmic Enlightenment International",https://www.newsvoir.com/release/starseeds-mission-and-manifestation-project-launched-by-siddha-cosmic-enlightenment-international-19364.html
13,Miss Universe Harnaaz Sandhu Supports Smile Train 'Zor Se Bolo' Awareness Campaign for Cleft Lip and Palate,https://www.newsvoir.com/release/miss-universe-harnaaz-sandhu-supports-smile-train-zor-se-bolo-awareness-campaign-for-cleft-lip-and-palate-19304.html
14,India Cannot have Aatman Nirbhar Bharat without Aatman Nirbhar Women and Girls: Lakshmi M Puri,https://www.newsvoir.com/release/india-cannot-have-aatman-nirbhar-bharat-without-aatman-nirbhar-women-and-girls-lakshmi-m-puri-19289.html
15,GiveIndia Fundraising Challenge: Rs. 4 crore in Rewards for NGOs,https://www.newsvoir.com/release/giveindia-fundraising-challenge-rs-4-crore-in-rewards-for-ngos-19255.html
16,"""What I am Today is because of Random Acts of Kindness from Strangers,"" says Best Selling Author Abbas Kazerooni
",https://www.newsvoir.com/release/what-i-am-today-is-because-of-random-acts-of-kindness-from-strangers-says-best-selling-author-abbas-kazerooni-19240.html
17,"Students of Oakridge International School, Gachibowli Celebrate ""Joy of Giving""

",https://www.newsvoir.com/release/students-of-oakridge-international-school-gachibowli-celebrate-joy-of-giving-19229.html
18,"Children from Omaxe Foundation Hoist Tricolour on 73rd Republic Day at Omaxe World Street, Faridabad",https://www.newsvoir.com/release/children-from-omaxe-foundation-hoist-tricolour-on-73rd-republic-day-at-omaxe-world-street-faridabad-19182.html
19,Ketto Testing Waters for Web3 Native Healthcare Ecosystem; Crowdsourcing Ideas to Develop a Tokenized Community,https://www.newsvoir.com/release/ketto-testing-waters-for-web3-native-healthcare-ecosystem-crowdsourcing-ideas-to-develop-a-tokenized-community-19106.html
20,"Alstom in Collaboration with its NGO Partner United Way Bengaluru Supports Integrated Rural Development at Selakarachal Gram Panchayat, Sultanpet Block in Coimbatore",https://www.newsvoir.com/release/alstom-in-collaboration-with-its-ngo-partner-united-way-bengaluru-supports-integrated-rural-development-at-selakarachal-gram-panchayat-sultanpet-block-in-coimbatore-19094.html
21,Indus International School Students Crowdfund on Ketto to Improve Menstrual Hygiene Among Adolescent Girls,https://www.newsvoir.com/release/indus-international-school-students-crowdfund-on-ketto-to-improve-menstrual-hygiene-among-adolescent-girls-19076.html
22,GiveIndia's 'Gold Standard' Work Culture Recognised for a Second Consecutive Year,https://www.newsvoir.com/release/giveindias-gold-standard-work-culture-recognised-for-a-second-consecutive-year-19062.html
23,Denmark Awarded with Mother Teresa Memorial Award for Social Justice 2021 for Environment Sustainability,https://www.newsvoir.com/release/denmark-awarded-with-mother-teresa-memorial-award-for-social-justice-2021-for-environment-sustainability-18957.html
24,JMS Foundation Organizes Blanket Seva for the Widows & Mothers in Need ,https://www.newsvoir.com/release/jms-foundation-organizes-blanket-seva-for-the-widows-mothers-18938.html
25,Bank of Maharashtra turns Secret Santa for NGO Kids on Christmas,https://www.newsvoir.com/release/bank-of-maharashtra-turns-secret-santa-for-ngo-kids-on-christmas-18870.html
26,"SBI Foundation, Social Alpha Launch a Challenge to Support Assistive Technology Start-ups",https://www.newsvoir.com/release/sbi-foundation-social-alpha-launch-a-challenge-to-support-assistive-technology-start-ups-18825.html
27,Grameen Foundation India Signs Six MoUs Under the Flagship Financial Inclusion Project,https://www.newsvoir.com/release/grameen-foundation-india-signs-six-mous-under-the-flagship-financial-inclusion-project-18783.html
28,Muskaan's Fresh Approach to Promote India's Literary and Cultural Heritage Among Students,https://www.newsvoir.com/release/muskaan-s-fresh-approach-to-promote-india-s-literary-and-cultural-heritage-among-students-18759.html
29,Announcing the Winners of the PHC Tech Challenge - A Global Hunt for Innovations to Address Primary Health Care Challenges in India ,https://www.newsvoir.com/release/announcing-the-winners-of-the-phc-tech-challenge-a-global-hunt-for-innovations-to-address-primary-health-care-challenges-in-india-18712.html
30,SABERA 2021 Highlight ESG and SDG Best Practices in India,https://www.newsvoir.com/release/sabera-2021-highlight-esg-and-sdg-best-practices-in-india-18636.html
31,Ketto.org Collaborates with Practo for the Social Impact Plan's Reward Program,https://www.newsvoir.com/release/ketto-org-collaborates-with-practo-for-the-social-impact-plan-s-reward-program-18623.html
32,"First Humanity Foundation, Organised an Event Felicitating Honourable Dr. Bu Abdullah",https://www.newsvoir.com/release/first-humanity-foundation-organised-an-event-felicitating-honourable-dr-bu-abdullah-18617.html
33,Tribute to Sidharth Shukla: Bhamla Foundation Crowdfunding on Ketto.org to Commemorate Sidharth Shukla by bringing his Dream to Fruition,https://www.newsvoir.com/release/tribute-to-sidharth-shukla-bhamla-foundation-crowdfunding-on-ketto-org-to-commemorate-sidharth-shukla-by-bringing-his-dream-to-fruition-18583.html
34,"Restored and Rejuvenated, the Nandi Lake Now Brims with Water",https://www.newsvoir.com/release/restored-and-rejuvenated-the-nandi-lake-now-brims-with-water-18542.html
35,Konnichiwa Pune To Celebrate Indo-Japan Relation,https://www.newsvoir.com/release/konnichiwa-pune-to-celebrate-indo-japan-relation-18453.html
36,Habitat for Humanity India Hosts the 8th Edition of India Housing Forum Aimed at Inclusive Growth through Housing to Empower Vulnerable Communities,https://www.newsvoir.com/release/habitat-for-humanity-india-hosts-the-8th-edition-of-india-housing-forum-aimed-at-inclusive-growth-through-housing-to-empower-vulnerable-communities-18441.html
37,The Indian Performing Right Society Limited (IPRS) Ranked as the 6th Largest Society by Revenues in Asia-Pacific Region,https://www.newsvoir.com/release/the-indian-performing-right-society-limited-iprs-ranked-as-the-6th-largest-society-by-revenues-in-asia-pacific-region-18397.html
38,Mumbai and Delhi Teenagers Rank the Highest in Supporting the Underprivileged During COVID-19: Report,https://www.newsvoir.com/release/mumbai-and-delhi-teenagers-rank-the-highest-in-supporting-the-underprivileged-during-covid-19-report-18373.html
39,LIVA Miss Diva Universe 2021 Harnaaz Sandhu Inaugurates Surgical and Diagnostic Facilities at Smile Train's Cleft Leadership Centre in Bengaluru,https://www.newsvoir.com/release/liva-miss-diva-universe-2021-harnaaz-sandhu-inaugurates-surgical-and-diagnostic-facilities-at-smile-train-s-cleft-leadership-centre-in-bengaluru-18371.html
40,CyberPeace Foundation and Responsible Netism Launches Campaign India Fights Cyber Violence against Women and Children,https://www.newsvoir.com/release/cyberpeace-foundation-and-responsible-netism-launches-campaign-india-fights-cyber-violence-against-women-and-children-18351.html
41,ARMMAN's Founder Dr. Aparna Hegde Wins Prestigious Elevate Prize by MIT ,https://www.newsvoir.com/release/armman-s-founder-dr-aparna-hegde-wins-prestigious-elevate-prize-by-mit-18331.html
42,"Suvendu Raj Ghosh and iLEAD's Next 'Before You Die…' to Release on 4th February, 2022",https://www.newsvoir.com/release/suvendu-raj-ghosh-and-ilead-s-next-before-you-die-to-release-on-4th-february-2022-18332.html
43,MOEFCC Secretary Launches COP26 Charter of Actions Prepared by TERI in Glasgow ,https://www.newsvoir.com/release/moefcc-secretary-launches-cop26-charter-of-actions-prepared-by-teri-in-glasgow-18302.html
44,"Leadership, Action and Champions are Essential for Improving Handwashing Practices",https://www.newsvoir.com/release/leadership-action-and-champions-are-essential-for-improving-handwashing-practices-18203.html
45,PHFI Awarded the Clarivate India Research Excellence - Citation Award 2021 in the Medical and Health Sciences Category,https://www.newsvoir.com/release/phfi-awarded-the-clarivate-india-research-excellence-citation-award-2021-in-the-medical-and-health-sciences-category-18204.html
46,JKYog to Host 48 Hours Diwali Akhand Kirtan,https://www.newsvoir.com/release/jkyog-to-host-48-hours-diwali-akhand-kirtan-18173.html
47,"Grassroots Football, more Young Women Playing Football: Goal Goa, the Film, Looks to the Future
",https://www.newsvoir.com/release/grassroots-football-more-young-women-playing-football-goal-goa-the-film-looks-to-the-future-18152.html
48,3-yr Old Armaan Raheja Holds Solo Art Exhibition,https://www.newsvoir.com/release/3-yr-old-armaan-raheja-holds-solo-art-exhibition-18067.html
49,Urgent Need for Policy Makers and Industry to Collaborate for Addressing Severe Malnutrition,https://www.newsvoir.com/release/urgent-need-for-policy-makers-and-industry-to-collaborate-for-addressing-severe-malnutrition-18049.html
50,Room to Read Celebrates International Day of the Girl Child ,https://www.newsvoir.com/release/room-to-read-celebrates-international-day-of-the-girl-child-18031.html
51,TERI Organizes the National Conference on the COP26 Charter of Actions,https://www.newsvoir.com/release/teri-organizes-the-national-conference-on-the-cop26-charter-of-actions-18025.html
52,Mr. Ashwini Kakkar Becomes International President of Action Against Hunger Network,https://www.newsvoir.com/release/mr-ashwini-kakkar-becomes-international-president-of-action-against-hunger-network-18022.html
53,Visamo Kids Foundation Helps Realise Underprivileged Girl's Dream of Pursuing Medical Education,https://www.newsvoir.com/release/visamo-kids-foundation-helps-realise-underprivileged-girl-s-dream-of-pursuing-medical-education-18005.html
54,"Young Makers from Gajera Group of Schools in Association with Sunita's Makerspace, Honour Mother Nature for Maker's Day",https://www.newsvoir.com/release/young-makers-from-gajera-group-of-schools-in-association-with-sunita-s-makerspace-honour-mother-nature-for-maker-s-day-17987.html
