,title,link
0,"Bharat Petroleum to Invest Rs. 3,972 Crore for Development of City Gas Distribution Network in Aurangabad and Ahmednagar",https://www.newsvoir.com/release/bharat-petroleum-to-invest-rs-3-972-crore-for-development-of-city-gas-distribution-network-in-aurangabad-and-ahmednagar-19572.html
1,MAK Lubricants - 'Lubricating the Future of Mobility',https://www.newsvoir.com/release/mak-lubricants-lubricating-the-future-of-mobility-19521.html
2,"Shri Sanjay Khanna Takes Over as Director Refineries, BPCL",https://www.newsvoir.com/release/shri-sanjay-khanna-takes-over-as-director-refineries-bpcl-19501.html
3,Hero MotoCorp and Bharat Petroleum Corporation Ltd. Join Hands to Electrify the Country,https://www.newsvoir.com/release/hero-motocorp-and-bharat-petroleum-corporation-ltd-join-hands-to-electrify-the-country-19479.html
4,"Bharat Petroleum Launches EV Fast-Charging Corridor on Chennai - Trichy - Madurai Highway
",https://www.newsvoir.com/release/bharat-petroleum-launches-ev-fast-charging-corridor-on-chennai-trichy-madurai-highway-19416.html
5,Startup Comes with a Solution for a Hike in Petrol-Diesel Price in a Market,https://www.newsvoir.com/release/startup-comes-with-a-solution-for-a-hike-in-petrol-diesel-price-in-a-market-19198.html
6,Australian-Indian Joint Venture to Supply Hydrogen Powered Products and Vehicles,https://www.newsvoir.com/release/australian-indian-joint-venture-to-supply-hydrogen-powered-products-and-vehicles-19088.html
7,Vedanta Aluminium Unveils Sustainable Development Report for FY21,https://www.newsvoir.com/release/vedanta-aluminium-unveils-sustainable-development-report-for-fy21-18716.html
8,Bharat Petroleum Corporation Limited Announces Appointment of Five Independent Directors on Board,https://www.newsvoir.com/release/bharat-petroleum-corporation-limited-announces-appointment-of-five-independent-directors-on-board-18560.html
9,Uranus Collects Over 2.5 Tons of Used Cooking Oil from Hotels in Chennai to Turn it into Biodiesel ,https://www.newsvoir.com/release/uranus-collects-over-2-5-tons-of-used-cooking-oil-from-hotels-in-chennai-to-turn-it-into-biodiesel-18522.html
10,India's Transition from Fossil-fuel to Green-energy on Track: Hardeep Singh Puri,https://www.newsvoir.com/release/india-s-transition-from-fossil-fuel-to-green-energy-on-track-hardeep-singh-puri-18412.html
11,India to Pitch for Global Investments in Oil and Gas Value Chain at EXPO2020,https://www.newsvoir.com/release/india-to-pitch-for-global-investments-in-oil-gas-value-chain-at-expo2020-18381.html
12,Bharat Petroleum Bets Big on EV Charging Infrastructure,https://www.newsvoir.com/release/bharat-petroleum-bets-big-on-ev-charging-infrastructure-18289.html
13,"Bharat Petroleum Corporation Limited Inaugurates Vigilance Awareness Week, 2021",https://www.newsvoir.com/release/bharat-petroleum-corporation-limited-inaugurates-vigilance-awareness-week-2021-18174.html
14,SemaConnect Partners with Gilbarco Veeder-Root,https://www.newsvoir.com/release/semaconnect-partners-with-gilbarco-veeder-root-18017.html
15,"With Rs. 1 Lakh Crore Investment, BPCL Accelerates Focus in New Segments for Sustainable Growth",https://www.newsvoir.com/release/with-rs-1-lakh-crore-investment-bpcl-accelerates-focus-in-new-segments-for-sustainable-growth-17822.html
16,Bharat Petroleum Wins 15 Awards at the Global Communication Conclave Hosted by Public Relations Council of India,https://www.newsvoir.com/release/bharat-petroleum-wins-15-awards-at-the-global-communication-conclave-hosted-by-public-relations-council-of-india-17763.html
17,"A Step towards Solving the Oxygen Crisis in Country, Albot Technologies Inaugurates O2 Plant in Pune",https://www.newsvoir.com/release/a-step-towards-solving-the-oxygen-crisis-in-country-albot-technologies-inaugurates-o2-plant-in-pune-17722.html
18,"U.S. Department of Energy, India's Ministry of Petroleum and Natural Gas, and US-India Strategic Partnership Forum Launch the India-US Task Force on Biofuels",https://www.newsvoir.com/release/u-s-department-of-energy-india-s-ministry-of-petroleum-and-natural-gas-and-us-india-strategic-partnership-forum-launch-the-india-us-task-force-on-biofuels-17651.html
19,"Shri Ramesh Subramanian takes over as Managing Director of Bharat PetroResources Limited
",https://www.newsvoir.com/release/shri-ramesh-subramanian-takes-over-as-managing-director-of-bharat-petroresources-limited-17619.html
20,Shri Arun Kumar Singh has taken charge as Chairman and Managing Director of Bharat Petroleum,https://www.newsvoir.com/release/shri-arun-kumar-singh-has-taken-charge-as-chairman-and-managing-director-of-bharat-petroleum-17600.html
21,"Shri Vetsa Ramakrishna Gupta Takes over as Director Finance of Bharat Petroleum
",https://www.newsvoir.com/release/shri-vetsa-ramakrishna-gupta-takes-over-as-director-finance-of-bharat-petroleum-17601.html
22,BPCL's AI Enabled Chatbot 'Urja' Enhances Digital Experience of Customers,https://www.newsvoir.com/release/bpcl-s-ai-enabled-chatbot-urja-enhances-digital-experience-of-customers-17564.html
23,Best Power Equipments Successfully Completed 21 Years of Journey,https://www.newsvoir.com/release/best-power-equipments-successfully-completed-21-years-of-journey-17460.html
24,Echo Fuels Dedicates 6 Mobile Petrol Pumps to Fuel the Northeastern Towns of India,https://www.newsvoir.com/release/echo-fuels-dedicates-6-mobile-petrol-pumps-to-fuel-the-northeastern-towns-of-india-17386.html
25,India to Play a Major Role in Promoting Sustainable Palm Oil: Industry Experts,https://www.newsvoir.com/release/india-to-play-a-major-role-in-promoting-sustainable-palm-oil-industry-experts-17334.html
26,App-based Service 'The Fuel Delivery' Launches Operations in Bengaluru,https://www.newsvoir.com/release/app-based-service-the-fuel-delivery-launches-operations-in-bengaluru-17294.html
27,Vedanta Aluminium becomes India's Largest Green Power Purchaser,https://www.newsvoir.com/release/vedanta-aluminium-becomes-india-s-largest-green-power-purchaser-17222.html
28,CPOPC Holds a Writing Competition on Smallholders Topic,https://www.newsvoir.com/release/cpopc-holds-a-writing-competition-on-smallholders-topic-16732.html
29,"CitSpray Aroma Sciences Leads Growth in Indian Essential Oil Market with Reliable, Quality Products",https://www.newsvoir.com/release/citspray-aroma-sciences-leads-growth-in-indian-essential-oil-market-with-reliable-quality-products-16701.html
30,Wärtsilä and LUT University Joint Study Emphasises Investments in Flexible Generation Technologies for India's Energy Transition Towards 100% Renewables by 2050,https://www.newsvoir.com/release/wrtsil-and-lut-university-joint-study-emphasises-investments-in-flexible-generation-technologies-for-india-apos-s-energy-transition-towards-100-renewables-by-2050-15966.html
31,"Evonik India to Showcase its Advanced Product for Biogas Purification, at the Indian Biogas Association's Virtual Event ""E Bioenergy 2021""",https://www.newsvoir.com/release/evonik-india-to-showcase-its-advanced-product-for-biogas-purification-at-the-indian-biogas-association-apos-s-virtual-event-quot-e-bioenergy-2021-quot-15746.html
32,Nexgen Energia Ltd. to Start 1000 CNG (CBG) Production Units in India,https://www.newsvoir.com/release/nexgen-energia-ltd-to-start-1000-cng-cbg-production-units-in-india-15726.html
33,Vedanta Launches Aluminium Cylinder Head Alloy at ACMA 2021,https://www.newsvoir.com/release/vedanta-launches-aluminium-cylinder-head-alloy-at-acma-2021-15695.html
34,"HPCL Launches 'poWer 99', India's Highest Rated Octane Fuel, in TN ",https://www.newsvoir.com/release/hpcl-launches-apos-power-99-apos-india-apos-s-highest-rated-octane-fuel-in-tn-15064.html
35,LivNSense Technologies and ARITAR Launches Center of Excellence in India to Accelerate AI/ML Innovation for Petrochemical Industry,https://www.newsvoir.com/release/livnsense-technologies-and-aritar-launches-center-of-excellence-in-india-to-accelerate-ai-ml-innovation-for-petrochemical-industry-15028.html
36,FuelBuddy Appoints Industry Veteran Mr. Sajjan Kumar Ahlawat as President,https://www.newsvoir.com/release/fuelbuddy-appoints-industry-veteran-mr-sajjan-kumar-ahlawat-as-president-15010.html
37,"Arun Singh Director (M) Takes Additional Charge of Director (Refineries), BPCL",https://www.newsvoir.com/release/arun-singh-director-m-takes-additional-charge-of-director-refineries-bpcl-14643.html
38,"K. Padmakar Director (HR) Takes Additional Charge as CMD, BPCL

",https://www.newsvoir.com/release/k-padmakar-director-hr-takes-additional-charge-as-cmd-bpcl-14644.html
39,NTPC Tamil Nadu Energy Company Limited Wins the AIMA Chanakya NMG 2020 National Championship,https://www.newsvoir.com/release/ntpc-tamil-nadu-energy-company-limited-wins-the-aima-chanakya-nmg-2020-national-championship-14539.html
40,Industrial Piping Major CPP Bags Large Orders worth Rs. 300 Million ,https://www.newsvoir.com/release/industrial-piping-major-cpp-bags-large-orders-worth-rs-300-million-14375.html
41,Carpathy Launches Protect+ Car Revival and Sanitization Program in Partnership with Gulf Oil,https://www.newsvoir.com/release/carpathy-launches-protect-car-revival-and-sanitization-program-in-partnership-with-gulf-oil-13884.html
42,"As India Goes Indoors, BPCL Warriors are on Street Serving the Nation",https://www.newsvoir.com/release/as-india-goes-indoors-bpcl-warriors-are-on-street-serving-the-nation-13682.html
43,Almost 97% Households Now have Access to LPG Cylinders through PMUY: MoPNG,https://www.newsvoir.com/release/almost-97-households-now-have-access-to-lpg-cylinders-through-pmuy-mopng-13570.html
44,BPCL Launches Startup Grand Slam with Mega Prize Money,https://www.newsvoir.com/release/bpcl-launches-startup-grand-slam-with-mega-prize-money-13265.html
45,Vedanta Chairman says India Emerging Preferred Destination for FDI,https://www.newsvoir.com/release/vedanta-chairman-says-india-emerging-preferred-destination-for-fdi-13117.html
46,"Good, but not Good Enough: Solar Energy Growth in Light of the Paris Agreement
",https://www.newsvoir.com/release/good-but-not-good-enough-solar-energy-growth-in-light-of-the-paris-agreement-13026.html
47,Food Products Grown in a Polluted Environment may Affect Health,https://www.newsvoir.com/release/food-products-grown-in-a-polluted-environment-may-affect-health-12978.html
48,KOEL Awarded CII EXIM Bank Award for Business Excellence 2019,https://www.newsvoir.com/release/koel-awarded-cii-exim-bank-award-for-business-excellence-2019-12942.html
49,Gates will be Launching New Products at Excon 2019,https://www.newsvoir.com/release/gates-will-be-launching-new-products-at-excon-2019-12902.html
50,WOG Group Successfully Exits Patong Reuse Water Treatment Plant,https://www.newsvoir.com/release/wog-group-successfully-exits-patong-reuse-water-treatment-plant-12768.html
