,title,link
0,Dia Mirza Graces iDiva's March Cover,https://www.newsvoir.com/release/dia-mirza-graces-idivas-march-cover-19684.html
1,Bollyboom in Association with SteppinOut by Dineout Announces the 'Farhan Live India Tour 2022' with Farhan Akhtar,https://www.newsvoir.com/release/bollyboom-in-association-with-steppinout-by-dineout-announces-the-farhan-live-india-tour-2022-with-farhan-akhtar-19640.html
2,Celebrities Dazzle in Platinum Jewellery at the 28th Annual Screen Actors Guild Awards ,https://www.newsvoir.com/release/celebrities-dazzle-in-platinum-jewellery-at-the-28th-annual-screen-actors-guild-awards-19618.html
3,Airbnb Celebrates its Community of Women Hosts in India Ahead of International Women's Day ,https://www.newsvoir.com/release/airbnb-celebrates-its-community-of-women-hosts-in-india-ahead-of-international-women-s-day-19599.html
4,Loop Rebrands with a New Ad Campaign Featuring Kunal Kapoor,https://www.newsvoir.com/release/loop-rebrands-with-a-new-ad-campaign-featuring-kunal-kapoor-19602.html
5,Krystle D'Souza Redefines 'Stay at Home' Fashion with Clovia's Trendy Nightwear Collection,https://www.newsvoir.com/release/krystle-dsouza-redefines-stay-at-home-fashion-with-clovias-trendy-nightwear-collection-19594.html
6,Crack Open Goodness with California Pistachios on World Pistachio Day,https://www.newsvoir.com/release/crack-open-goodness-with-california-pistachios-on-world-pistachio-day-19573.html
7,Champions of Change honors the Change Makers of Telangana,https://www.newsvoir.com/release/champions-of-change-honors-the-change-makers-of-telangana-19552.html
8,Millennial Star Mithila Palkar Emerges as a Clear Advertiser's Favourite as she Signs Two New Brand Endorsements in Just One Month,https://www.newsvoir.com/release/millennial-star-mithila-palkar-emerges-as-a-clear-advertiser-s-favourite-as-she-signs-two-new-brand-endorsements-in-just-one-month-19537.html
9,SRM University-AP Launches Aadigyan: To Promote India's Cultural Knowledge Tradition,https://www.newsvoir.com/release/srm-university-ap-launches-aadigyan-to-promote-indias-cultural-knowledge-tradition-19550.html
10,"After Daler Mehendi's Concert, PartyNite Metaverse Platform to Celebrate 'Singles' Nite",https://www.newsvoir.com/release/after-daler-mehendi-s-concert-partynite-metaverse-platform-to-celebrate-singles-nite-19510.html
11,Tollywood Star Nivetha Pethuraj Features in skinnsi's Latest Campaign for At-home Laser Hair Reduction,https://www.newsvoir.com/release/tollywood-star-nivetha-pethuraj-features-in-skinnsi-s-latest-campaign-for-at-home-laser-hair-reduction-19443.html
12,Ishqbaaaz Fame Surbhi Chandna Flaunts Clovia's Dazzling Bralette Collection,https://www.newsvoir.com/release/ishqbaaaz-fame-surbhi-chandna-flaunts-clovias-dazzling-bralette-collection-19438.html
13,Glasgow to Sharm el-Sheikh: Bridging the Gap between Mitigation and Adaptation Finance at COP 27,https://www.newsvoir.com/release/glasgow-to-sharm-el-sheikh-bridging-the-gap-between-mitigation-and-adaptation-finance-at-cop-27-19426.html
14,"At Home Introduces Arias, A Premium Home Decor Collection by Lara Dutta",https://www.newsvoir.com/release/at-home-introduces-arias-a-premium-home-decor-collection-by-lara-dutta-19420.html
15,PM Narendra Modi Calls for Global Alliances to Tackle Climate Change at the World Sustainable Development Summit ,https://www.newsvoir.com/release/pm-narendra-modi-calls-for-global-alliances-to-tackle-climate-change-at-the-world-sustainable-development-summit-19410.html
16,VEGA to Educate Consumers on At-home Styling and DIY Solutions,https://www.newsvoir.com/release/vega-to-educate-consumers-on-at-home-styling-and-diy-solutions-19390.html
17,"""When Men can Share the Load with Other Men, Why not with their Wives"" Asks Genelia",https://www.newsvoir.com/release/when-men-can-share-the-load-with-other-men-why-not-with-their-wives-asks-genelia-19382.html
18,"Celebrity Jewellery Trend Prediction for Awards Show Season: Shorter Statement Necklaces Set in Platinum will Remain Popular on the Red Carpet
",https://www.newsvoir.com/release/celebrity-jewellery-trend-prediction-for-awards-show-season-shorter-statement-necklaces-set-in-platinum-will-remain-popular-on-the-red-carpet-19358.html
