,title,link
0,"Infallible Pharma Bullish on Indian Market, Targets Rs. 1000 Crore Revenue in Next Five Years",https://www.newsvoir.com/release/infallible-pharma-bullish-on-indian-market-targets-rs-1000-crore-revenue-in-next-five-years-19642.html
1,"Ayurvedic Medicine more Effective in Diabetes Management, Reveals Study by Chitkara University",https://www.newsvoir.com/release/ayurvedic-medicine-more-effective-in-diabetes-management-reveals-study-by-chitkara-university-19622.html
2,Coronary Laser Angioplasty Saves Life of a 58 Year Aged Man at Kauvery Hospital,https://www.newsvoir.com/release/coronary-laser-angioplasty-saves-life-of-a-58-year-aged-man-at-kauvery-hospital-19591.html
3,Brinton Cracks Strategic Alliance with Scholl Wellness Company,https://www.newsvoir.com/release/brinton-cracks-strategic-alliance-with-scholl-wellness-company-19578.html
4,Union Health Minister Highlights the Contribution of Physicians of Indian Origin,https://www.newsvoir.com/release/union-health-minister-highlights-the-contribution-of-physicians-of-indian-origin-19551.html
5,"Arbro Pharmaceuticals Introduces Ningen, its Japanese and Flora Inspired Cosmetics and Nutraceutical Line",https://www.newsvoir.com/release/arbro-pharmaceuticals-introduces-ningen-its-japanese-and-flora-inspired-cosmetics-and-nutraceutical-line-19478.html
6,Ravikrishna Chebolu Joins West as General Manager of India,https://www.newsvoir.com/release/ravikrishna-chebolu-joins-west-as-general-manager-of-india-19473.html
7,Funds Advised by Convergent Finance LLP to Acquire a Controlling Stake in Jagsonpal Pharmaceuticals Limited,https://www.newsvoir.com/release/funds-advised-by-convergent-finance-llp-to-acquire-a-controlling-stake-in-jagsonpal-pharmaceuticals-limited-19459.html
8,MetroMedi.com - Online Pharmacy Startup Reshaping as Aggregator for Organic Stores to Serve Customers Better,https://www.newsvoir.com/release/metromedi-com-online-pharmacy-startup-reshaping-as-aggregator-for-organic-stores-to-serve-customers-better-19325.html
9,West Partners with IIT Palakkad's TECHIN to Build a MedTech Research Center of Excellence ,https://www.newsvoir.com/release/west-partners-with-iit-palakkads-techin-to-build-a-medtech-research-center-of-excellence-19320.html
10,"IISc-incubated Startup Azooka Labs Launches mWRAPR, India's First Indegenous Bio-sample Collection kit ",https://www.newsvoir.com/release/iisc-incubated-startup-azooka-labs-launches-mwrapr-india-s-first-indegenous-bio-sample-collection-kit-19262.html
11,Proteon Pharmaceuticals Appoints Paolo Doncecchi as Global Sales Director,https://www.newsvoir.com/release/proteon-pharmaceuticals-appoints-paolo-doncecchi-as-global-sales-director-19210.html
12,Glowderma Introduces World-class Sanosan Baby Skin Care Range in India,https://www.newsvoir.com/release/glowderma-introduces-world-class-sanosan-baby-skin-care-range-in-india-19064.html
13,Atrimed Pharmaceuticals Introduce - Vyvuz: A Capsule that can Inhibit Viral Replication,https://www.newsvoir.com/release/atrimed-pharmaceuticals-introduce-vyvuz-a-capsule-that-can-inhibit-viral-replication-19049.html
14,Wellness Diagnostics Automates its Central Lab with Mindray's SAL 9000 Modular System,https://www.newsvoir.com/release/wellness-diagnostics-automates-its-central-lab-with-mindray-s-sal-9000-modular-system-19037.html
15,Yogic Secrets Launches a Range of Nutraceuticals to Improve Quality of Life and Longevity,https://www.newsvoir.com/release/yogic-secrets-launches-a-range-of-nutraceuticals-to-improve-quality-of-life-and-longevity-19024.html
16,MetroMedi Adopts Latest Web Technologies to Launch Relief Program for Online Counselling and Nutraceuticals' Products,https://www.newsvoir.com/release/metromedi-adopts-latest-web-technologies-to-launch-relief-program-for-online-counselling-and-nutraceuticals-products-19009.html
17,Kolkata Pharmacy Launched KP Online Healthcare App to Deliver Medicines to Doorstep,https://www.newsvoir.com/release/kolkata-pharmacy-launched-kp-online-healthcare-app-to-deliver-medicines-to-doorstep-18789.html
18,Kenko Health Integrates Financing and Seamless Delivery of Medicines to its Platform,https://www.newsvoir.com/release/kenko-health-integrates-financing-and-seamless-delivery-of-medicines-to-its-platform-18691.html
19,Arihant School of Pharmacy Witnesses 500+ Global Scientists and Pharma Professionals in its Successful Global Healthcare Conference,https://www.newsvoir.com/release/arihant-school-of-pharmacy-witnesses-500-global-scientists-and-pharma-professionals-in-its-successful-global-healthcare-conference-18599.html
20,Brinton Pharma Gets Top Award for Pioneering an Impact on Indian Industry - Healthcare,https://www.newsvoir.com/release/brinton-pharma-gets-top-award-for-pioneering-an-impact-on-indian-industry-healthcare-18568.html
21,Largest IVD Kit Manufacturer Genes2Me Redefines the RTPCR Testing Kits Domain with 40 Mins Extraction Free RT-PCR Testing Kit,https://www.newsvoir.com/release/largest-ivd-kit-manufacturer-genes2me-redefines-the-rtpcr-testing-kits-domain-with-40-mins-extraction-free-rt-pcr-testing-kit-18347.html
22,NMIMS's Pharmacy Professors Featured in Stanford's List of Top 2 percent Scientists,https://www.newsvoir.com/release/nmims-apos-s-pharmacy-professors-featured-in-stanford-apos-s-list-of-top-2-percent-scientists-18284.html
23,Optimus becomes the First Company to Conclude Study of Molnupiravir Phase 3 Clinical Trial with Promising Results,https://www.newsvoir.com/release/optimus-becomes-the-first-company-to-conclude-study-of-molnupiravir-phase-3-clinical-trial-with-promising-results-18222.html
24,Alniche Lifesciences Innovating Cross Functional Digital Initiatives,https://www.newsvoir.com/release/alniche-lifesciences-innovating-cross-functional-digital-initiatives-18200.html
