,title,link
0,SRAM & MRAM Group to Participate in the 2022 Edition of the International Production and Processing Expo (IPPE) in the USA,https://www.newsvoir.com/release/sram-mram-group-to-participate-in-the-2022-edition-of-the-international-production-and-processing-expo-ippe-in-the-usa-19138.html
1,Chemco Becomes First Company to get BIS Certification for its Baby Feeding Bottle Nipples/Teats,https://www.newsvoir.com/release/chemco-becomes-first-company-to-get-bis-certification-for-its-baby-feeding-bottle-nipples-teats-18029.html
2,Ajit Industries Unveils a Wide Range of Green Packaging Products in a Glittering Event,https://www.newsvoir.com/release/ajit-industries-unveils-a-wide-range-of-green-packaging-products-in-a-glittering-event-18008.html
3,EPL Limited Partners with Colgate-Palmolive (India) Limited for Creation of First-ever Recyclable Toothpaste Tubes,https://www.newsvoir.com/release/epl-limited-partners-with-colgate-palmolive-india-limited-for-creation-of-first-ever-recyclable-toothpaste-tubes-17528.html
4,Cosmo Films Beats its Own Best Results Once Again in Q1 FY2022,https://www.newsvoir.com/release/cosmo-films-beats-its-own-best-results-once-again-in-q1-fy2022-17272.html
5,"Rust-X Shows 70 Percent Hike in Demand as India becomes the Preferred Destination for Global Car Manufacturers
",https://www.newsvoir.com/release/rust-x-shows-70-percent-hike-in-demand-as-india-becomes-the-preferred-destination-for-global-car-manufacturers-16613.html
6,EPL Joins Hands with GSK Consumer Healthcare for a Sustainable Future,https://www.newsvoir.com/release/epl-joins-hands-with-gsk-consumer-healthcare-for-a-sustainable-future-16573.html
7,Yet Another Record Performance by Cosmo Films Ltd.,https://www.newsvoir.com/release/yet-another-record-performance-by-cosmo-films-ltd-16561.html
8,Corrugated Box Industry Urges Government to Ban Exports of Kraft Paper ,https://www.newsvoir.com/release/corrugated-box-industry-urges-government-to-ban-exports-of-kraft-paper-15974.html
9,Responsible Whatr Offers Indian Consumers Spring Water in Infinitely Recyclable Aluminum Cans ,https://www.newsvoir.com/release/responsible-whatr-offers-indian-consumers-spring-water-in-infinitely-recyclable-aluminum-cans-15690.html
10,Halonix becomes First Lighting Company to Ensure Protection Against COVID-19 through UV Light Sanitization of its Packaging,https://www.newsvoir.com/release/halonix-becomes-first-lighting-company-to-ensure-protection-against-covid-19-through-uv-light-sanitization-of-its-packaging-13936.html
11,Madras Security Printers Provides IoT-based COVID War Room for Mangaluru Smart City,https://www.newsvoir.com/release/madras-security-printers-provides-iot-based-covid-war-room-for-mangaluru-smart-city-13877.html
12,West Names Stewart Campbell Vice President & General Manager for Asia Pacific Region,https://www.newsvoir.com/release/west-names-stewart-campbell-vice-president-general-manager-for-asia-pacific-region-13735.html
13,ISBT Announces BevTech India with a Major Regional 2020 Meeting,https://www.newsvoir.com/release/isbt-announces-bevtech-india-with-a-major-regional-2020-meeting-13383.html
14,‘Daily Excelsior’ Biggest  English Newspaper of Jammu & Kashmir Bags Honour at 4th Worldwide Impact Awards - 2019,https://www.newsvoir.com/release/-daily-excelsior-biggest-english-newspaper-of-jammu-kashmir-bags-honour-at-4th-worldwide-impact-awards---2019-12974.html
15,ABFRL Launches Innovation Challenge to Find Alternatives to Plastic Packaging in Collaboration with Circular Apparel Innovation Factory,https://www.newsvoir.com/release/abfrl-launches-innovation-challenge-to-find-alternatives-to-plastic-packaging-in-collaboration-with-circular-apparel-innovation-factory-12950.html
16,Essel Propack Unveils Recyclable Tube Packaging – Platina and Green Maple Leaf Lamitubes,https://www.newsvoir.com/release/essel-propack-unveils-recyclable-tube-packaging-platina-and-green-maple-leaf-lamitubes-12752.html
17,Notion Press Publishing Expands into Eight Indian Languages,https://www.newsvoir.com/release/notion-press-publishing-expands-into-eight-indian-languages-12541.html
18,Madras Security Printers Successfully Completes Data Digitization Project for National Population Register in TN,https://www.newsvoir.com/release/madras-security-printers-successfully-completes-data-digitization-project-for-national-population-register-in-tn-12440.html
19,OMG! Launches Innovative Fruit Juices Range,https://www.newsvoir.com/release/omg-launches-innovative-fruit-juices-range-11888.html
20,"West NovaGuard® SA Pro Safety System Recognized for Excellence in Design and User Experience at the India Packaging Awards
",https://www.newsvoir.com/release/west-novaguard-sa-pro-safety-system-recognized-for-excellence-in-design-and-user-experience-at-the-india-packaging-awards--11867.html
21,Tetra Pak Launches Connected Packaging Platform ,https://www.newsvoir.com/release/tetra-pak-launches-connected-packaging-platform-11628.html
22,Tetra Pak Introduces the “Factory of the Future” with Human and Al Collaboration at its Core,https://www.newsvoir.com/release/tetra-pak-introduces-the-factory-of-the-future-with-human-and-al-collaboration-at-its-core-11604.html
23,Borouge Underscores Future Growth Plans with Advanced Polyolefins Showcase at Indiaplast 2019,https://www.newsvoir.com/release/borouge-underscores-future-growth-plans-with-advanced-polyolefins-showcase-at-indiaplast-2019-11458.html
24,Future Consumer Ltd. Introduces Braille Friendly Products on World Braille Day,https://www.newsvoir.com/release/future-consumer-ltd-introduces-braille-friendly-products-on-world-braille-day-11184.html
25,Madras Security Printers Wins 5 Awards in “National Awards for Excellence in Printing” from AIFMP ,https://www.newsvoir.com/release/madras-security-printers-wins-5-awards-in-national-awards-for-excellence-in-printing-from-aifmp--11181.html
26,Bizongo Launches New Brand Identity; Consolidates its Leadership in the Packaging Industry,https://www.newsvoir.com/release/bizongo-launches-new-brand-identity-consolidates-its-leadership-in-the-packaging-industry-11138.html
27,Tetra Pak and Veolia Partner to get All Beverage Carton Components Recycled,https://www.newsvoir.com/release/tetra-pak-and-veolia-partner-to-get-all-beverage-carton-components-recycled-10996.html
28,"Max Ventures and Industries Limited Reports Consolidated Revenues of Rs. 267 Cr. in Q2 FY 2019, up 51% Y-o-Y",https://www.newsvoir.com/release/max-ventures-and-industries-limited-reports-consolidated-revenues-of-rs-267-cr-in-q2-fy-2019-up-51-y-o-y-10954.html
29,Tetra Pak Brings Smart Packaging to India ,https://www.newsvoir.com/release/tetra-pak-brings-smart-packaging-to-india-10912.html
30,CANPACK Opens a New Facility in Nuh,https://www.newsvoir.com/release/canpack-opens-a-new-facility-in-nuh-10880.html
31,Tetra Pak Launches Total-plant Management Service Boosting Customer Profitability,https://www.newsvoir.com/release/tetra-pak-launches-total-plant-management-service-boosting-customer-profitability-10821.html
32,Rising Health Consciousness to Drive India Packaged Coconut Water Market at 18% CAGR by 2023,https://www.newsvoir.com/release/rising-health-consciousness-to-drive-india-packaged-coconut-water-market-at-18-cagr-by-2023-10720.html
33,Fresca Juices Launches India’s First Holographic Packs ,https://www.newsvoir.com/release/fresca-juices-launches-india-s-first-holographic-packs--10591.html
34,"Uflex Income for Q1 FY 2018-19 Up by 17.5 %,  Volumes are up too",https://www.newsvoir.com/release/uflex-income-for-q1-fy-2018-19-up-by-17-5-volumes-are-up-too-10531.html
35,Smart Packaging will Transform the Fast Growing Online Grocery Space: Tetra Pak Index 2018,https://www.newsvoir.com/release/smart-packaging-will-transform-the-fast-growing-online-grocery-space-tetra-pak-index-2018-10456.html
