,title,link
0,Public Media Solution Invests in F Sharp to Provide Affordable Musical Instruments to The Youth of Pune,https://www.newsvoir.com/release/public-media-solution-invests-in-f-sharp-to-provide-affordable-musical-instruments-to-the-youth-of-pune-19178.html
1,Meerut's Successful Woman Entrepreneur Parul Shukla Honored under Mission Shakti,https://www.newsvoir.com/release/meerut-s-successful-woman-entrepreneur-parul-shukla-honored-under-mission-shakti-17998.html
2,ICCPL Bags 'Best Infrastructure and Real Estate Sector Campaign' Award,https://www.newsvoir.com/release/iccpl-bags-best-infrastructure-and-real-estate-sector-campaign-award-17889.html
3,Noted Public Relations and International Relations Expert Rahul Kashyap Bags India Policy Foundation's Lodha Fellowship for Public Policy,https://www.newsvoir.com/release/noted-public-relations-and-international-relations-expert-rahul-kashyap-bags-india-policy-foundation-s-lodha-fellowship-for-public-policy-17886.html
4,Catalyst PR Bags Two Prestigious Awards,https://www.newsvoir.com/release/catalyst-pr-bags-two-prestigious-awards-17838.html
5,Public Media Solution Combining Seed Funding Services with Digital Marketing to Boost Indian Startups,https://www.newsvoir.com/release/public-media-solution-combining-seed-funding-services-with-digital-marketing-to-boost-indian-startups-17124.html
6,Brand Opus India Honours the Winners of Leadership Icon Awards - 2021,https://www.newsvoir.com/release/brand-opus-india-honours-the-winners-of-leadership-icon-awards-2021-16229.html
7,Brand Opus India Honors the Winners Of Design Icon Awards - 2021,https://www.newsvoir.com/release/brand-opus-india-honors-the-winners-of-design-icon-awards-2021-16192.html
8,"Celebration is the New Marketing Buzz Word as Bubble Communication Celebrates 10 Years of ""Bringing Limelight"" ",https://www.newsvoir.com/release/celebration-is-the-new-marketing-buzz-word-as-bubble-communication-celebrates-10-years-of-quot-bringing-limelight-quot-16184.html
9,Brand Opus India Announces the Winners of Health Icon Awards - 2021,https://www.newsvoir.com/release/brand-opus-india-announces-the-winners-of-health-icon-awards-2021-15641.html
10,Brand Opus India Announces the Winners of Global Icon Awards - 2021,https://www.newsvoir.com/release/brand-opus-india-announces-the-winners-of-global-icon-awards-2021-15518.html
11,PRCAI Elects its New Executive Committee for 2020-2022,https://www.newsvoir.com/release/prcai-elects-its-new-executive-committee-for-2020-2022-15025.html
12,"Super Star E Awards, A New Normal Biggest Digital Award Show  for the COVID Warrior and Social Media Entertainers During this Pandemic Time",https://www.newsvoir.com/release/super-star-e-awards-a-new-normal-biggest-digital-award-show-for-the-covid-warrior-and-social-media-entertainers-during-this-pandemic-time-14745.html
13,"Realty Majors Offer Possession, Sector Gets a Push",https://www.newsvoir.com/release/realty-majors-offer-possession-sector-gets-a-push-14626.html
14, 'MF Power' a New Mutual Fund Offering from DSIJ Private Limited,https://www.newsvoir.com/release/apos-mf-power-apos-a-new-mutual-fund-offering-from-dsij-private-limited-14055.html
15,"""Rising above COVID Challenges"" at FLO's 36th Annual Session",https://www.newsvoir.com/release/quot-rising-above-covid-challenges-quot-at-flo-apos-s-36th-annual-session-13909.html
16,PR Professionals Names Rahul Kashyap as Chief Operating Officer,https://www.newsvoir.com/release/pr-professionals-names-rahul-kashyap-as-chief-operating-officer-13489.html
17,The NextGen of Developers are Providing New Dimensions to Businesses,https://www.newsvoir.com/release/the-nextgen-of-developers-are-providing-new-dimensions-to-businesses-13451.html
18,"ICCPL, India’s Leading Public Relations Agency Wins the Coveted WASME Excellency Award 2019",https://www.newsvoir.com/release/iccpl-india-s-leading-public-relations-agency-wins-the-coveted-wasme-excellency-award-2019-13073.html
19,India’s Leading PR Firm ICCPL Launches its Mumbai Operations,https://www.newsvoir.com/release/india-s-leading-pr-firm-iccpl-launches-its-mumbai-operations-12900.html
20,"#LooTalks - An Impact Initiative Focused at the 'Issues of the Urban Woman', Curated by Brands4Purpose, Volunteer4India, One Impression, and Hubhopper goes Live ",https://www.newsvoir.com/release/lootalks-an-impact-initiative-focused-at-the-issues-of-the-urban-woman-curated-by-brands4purpose-volunteer4india-one-impression-and-hubhopper-goes-live-12367.html
21,3Mark Services is Set to Launch itself in Delhi and Mumbai,https://www.newsvoir.com/release/3mark-services-is-set-to-launch-itself-in-delhi-and-mumbai-12096.html
22,Veteran Journalist to Helm Connected to India’s Editorial Globally ,https://www.newsvoir.com/release/veteran-journalist-to-helm-connected-to-india-s-editorial-globally--11898.html
23,Manipal ProLearn in Association with Janaagraha Launches CitizenPro,https://www.newsvoir.com/release/manipal-prolearn-in-association-with-janaagraha-launches-citizenpro-11667.html
24,"Indian Polity, the Electronic Voting Machines (EVMs) and the General Lok Sabha Elections of 2019",https://www.newsvoir.com/release/indian-polity-the-electronic-voting-machines-evms-and-the-general-lok-sabha-elections-of-2019-11643.html
25,PR Professionals’ Third Offshore Office Comes up in Bahrain,https://www.newsvoir.com/release/pr-professionals-third-offshore-office-comes-up-in-bahrain-11144.html
26,Women to be the ʻForce to Reckon With’ in Asian Economies in this Decade: Topline Consulting,https://www.newsvoir.com/release/women-to-be-the-force-to-reckon-with-in-asian-economies-in-this-decade-topline-consulting-11044.html
27,Topline Consulting Group Launches its Annual Biz Challenge at MICANVAS 2018,https://www.newsvoir.com/release/topline-consulting-group-launches-its-annual-biz-challenge-at-micanvas-2018-11012.html
28,Drrumrolls Media Manages the Privika Gala Wedding,https://www.newsvoir.com/release/drrumrolls-media-manages-the-privika-gala-wedding-10857.html
29,PR Guru's MD Manoj Sharma receives 'Pride of India 2018' Award,https://www.newsvoir.com/release/pr-guru-s-md-manoj-sharma-receives-pride-of-india-2018-award-10620.html
30,"India’s Leading PR Agency, PR Professionals, Enters into Film Production",https://www.newsvoir.com/release/india-s-leading-pr-agency-pr-professionals-enters-into-film-production-10377.html
