,title,link
0,Harpic Mission Paani Launches India's First-ever Preamble for Sustainable Sanitation on World Toilet Day ,https://www.newsvoir.com/release/harpic-mission-paani-launches-india-s-first-ever-preamble-for-sustainable-sanitation-on-world-toilet-day-18444.html
1,"DS Group's Water Conservation Initiatives Focus on Long Term Water Sustainability
",https://www.newsvoir.com/release/ds-group-s-water-conservation-initiatives-focus-on-long-term-water-sustainability-17691.html
2,Green Sheen Environment Foundation Offers AI-based Solutions to Challenges in Water Sector,https://www.newsvoir.com/release/green-sheen-environment-foundation-offers-ai-based-solutions-to-challenges-in-water-sector-17425.html
3,Stovekraft makes Sustainability the Focus by going Solar,https://www.newsvoir.com/release/stovekraft-makes-sustainability-the-focus-by-going-solar-17313.html
4,"eGov Foundation and The Town and Country Planning Department, Govt. of Puducherry, Celebrate the Inauguration of the eDCR",https://www.newsvoir.com/release/egov-foundation-and-the-town-and-country-planning-department-govt-of-puducherry-celebrate-the-inauguration-of-the-edcr-16929.html
5,Mangaluru becomes Data Driven with Integrated Command Control Centre,https://www.newsvoir.com/release/mangaluru-becomes-data-driven-with-integrated-command-control-centre-15650.html
6,Changing Raipur: A Year of New Parameters in Development Raipur,https://www.newsvoir.com/release/changing-raipur-a-year-of-new-parameters-in-development-raipur-15337.html
7,JanaJal 'Water on Wheels' Electric Vehicle Recommended by Jal Shakti Ministry for Delivery of Safe Water,https://www.newsvoir.com/release/janajal-apos-water-on-wheels-apos-electric-vehicle-recommended-by-jal-shakti-ministry-for-delivery-of-safe-water-15307.html
8,"QR Code Based House to House Garbage Collection Begins at Mangaluru Smart City
",https://www.newsvoir.com/release/qr-code-based-house-to-house-garbage-collection-begins-at-mangaluru-smart-city-14780.html
9,JSL Lifestyle Participated in an Exhibition Organised by Indian Railways to Commemorate the 150th Anniversary of Mahatma Gandhi in New Delhi,https://www.newsvoir.com/release/jsl-lifestyle-participated-in-an-exhibition-organised-by-indian-railways-to-commemorate-the-150th-anniversary-of-mahatma-gandhi-in-new-delhi-12587.html
10,"#LooTalks - An Impact Initiative Focused at the 'Issues of the Urban Woman', Curated by Brands4Purpose, Volunteer4India, One Impression, and Hubhopper goes Live ",https://www.newsvoir.com/release/lootalks-an-impact-initiative-focused-at-the-issues-of-the-urban-woman-curated-by-brands4purpose-volunteer4india-one-impression-and-hubhopper-goes-live-12367.html
11,India’s First Rapid Rail Project on Track,https://www.newsvoir.com/release/india-s-first-rapid-rail-project-on-track-10470.html
12,Carzonrent and SAP Concur Team up for Smoother Business Travel,https://www.newsvoir.com/release/carzonrent-and-sap-concur-team-up-for-smoother-business-travel-10432.html
13,"Eastman Auto and Power Limited on a Nationwide Mission to Spread Awareness about e-Rickshaw Batteries
",https://www.newsvoir.com/release/eastman-auto-and-power-limited-on-a-nationwide-mission-to-spread-awareness-about-e-rickshaw-batteries-10262.html
14,DCM Shriram Ltd. Signs MoU for Kota School Sanitation Project; Launches “Shriram Swachagrah Project” ,https://www.newsvoir.com/release/dcm-shriram-ltd-signs-mou-for-kota-school-sanitation-project-launches-shriram-swachagrah-project--10235.html
15,Jaguar Land Rover to offer GST Related Benefits of up to 12% to Customers with Immediate Effect,https://www.newsvoir.com/release/jaguar-land-rover-to-offer-gst-related-benefits-of-up-to-12-to-customers-with-immediate-effect-8769.html
16,"Acer India Observes Remarkable Growth, Named as a Leader in Overall Commercial Desktop Category, as per Leading Research Firm",https://www.newsvoir.com/release/acer-india-observes-remarkable-growth-named-as-a-leader-in-overall-commercial-desktop-category-as-per-leading-research-firm-8765.html
17,OPPLE Introduces the ‘Gold Eagle Club’ Exclusively for Channel Partners,https://www.newsvoir.com/release/opple-introduces-the-gold-eagle-club-exclusively-for-channel-partners-8759.html
18,Infosys Foundation Invests in the Sustainable Development of Tribal Villages of Madhya Pradesh in Partnership with Shivganga Samagra Gramvikas Parishad,https://www.newsvoir.com/release/infosys-foundation-invests-in-the-sustainable-development-of-tribal-villages-of-madhya-pradesh-in-partnership-with-shivganga-samagra-gramvikas-parishad-8710.html
19,Jakson to Participate at Intersolar Europe 2017 in Munich Germany,https://www.newsvoir.com/release/jakson-to-participate-at-intersolar-europe-2017-in-munich-germany-8711.html
20,Toxics Link Appeals the Government for a Mercury-Free Healthcare System in India,https://www.newsvoir.com/release/toxics-link-appeals-the-government-for-a-mercury-free-healthcare-system-in-india-8692.html
21,Adarsh Charitable Foundation Organises Health Camp in Mahudi,https://www.newsvoir.com/release/adarsh-charitable-foundation-organises-health-camp-in-mahudi-8669.html
22,Renault India Launches New Duster Petrol with CVT,https://www.newsvoir.com/release/renault-india-launches-new-duster-petrol-with-cvt-8651.html
23,"Philips Lighting Inaugurates 9th LightLounge in Bengaluru, India",https://www.newsvoir.com/release/philips-lighting-inaugurates-9th-lightlounge-in-bengaluru-india-8631.html
24,To Fight the Rising Pollution Levels: AUZAIR is Providing the Australian Fresh Air in India,https://www.newsvoir.com/release/to-fight-the-rising-pollution-levels-auzair-is-providing-the-australian-fresh-air-in-india-8622.html
25,Mentoring Frontline Health Workers as the Champions of NCD Prevention,https://www.newsvoir.com/release/mentoring-frontline-health-workers-as-the-champions-of-ncd-prevention-8567.html
26,Essel Infraprojects Ltd. (EIL) Pledges Rs 5700 Cr for Jharkhand Government towards Infrastructure Development at Momentum Jharkhand,https://www.newsvoir.com/release/essel-infraprojects-ltd-eil-pledges-rs-5700-cr-for-jharkhand-government-towards-infrastructure-development-at-momentum-jharkhand-8269.html
27,"SPML Infra Secures New Orders Worth INR 1275 Crore for Wastewater Treatment Projects with Provision of Reuse

 
",https://www.newsvoir.com/release/spml-infra-secures-new-orders-worth-inr-1275-crore-for-wastewater-treatment-projects-with-provision-of-reuse-7073.html
28,Believers Church Installs Tube Wells in Uttar Pradesh,https://www.newsvoir.com/release/believers-church-installs-tube-wells-in-uttar-pradesh-6742.html
29,"Dr. Lokendra Singh, Director DRDE, Gwalior Inaugurates K. K. Nag’s Bacteria Generation Plant for Manufacture of Anaerobic Microbial Inoculum for Use in Bio-Digester Toilets at Pune",https://www.newsvoir.com/release/dr-lokendra-singh-director-drde-gwalior-inaugurates-k-k-nag-s-bacteria-generation-plant-for-manufacture-of-anaerobic-microbial-inoculum-for-use-in-bio-digester-toilets-at-pune-6525.html
30,OPPO Brings Memorable Selfie Experience for Kids from UNICEF’s Swachh Clinic Initiative with ICC WT20 Trophy,https://www.newsvoir.com/release/oppo-brings-memorable-selfie-experience-for-kids-from-unicef-s-swachh-clinic-initiative-with-icc-wt20-trophy-6193.html
31,"Voltas Water Solutions Combines Smart Engineering with Smart Water Science 
to Launch Smart Water Solutions
",https://www.newsvoir.com/release/voltas-water-solutions-combines-smart-engineering-with-smart-water-science-to-launch-smart-water-solutions-6172.html
32,"ICICI Bank Launches 'ICICI Appathon', a Mobile App Development Challenge
",https://www.newsvoir.com/release/icici-bank-launches-icici-appathon-a-mobile-app-development-challenge-6168.html
33,EON Electric Wins Rs 40 Crore LED Streetlight Project in Rajasthan,https://www.newsvoir.com/release/eon-electric-wins-rs-40-crore-led-streetlight-project-in-rajasthan-6162.html
34,"Mission Swachh Punjab: 1015 Gram Panchayats Declared Themselves Open Defecation Free
 
",https://www.newsvoir.com/release/mission-swachh-punjab-1015-gram-panchayats-declared-themselves-open-defecation-free-6111.html
35,YES Bank Joins Hands with Indian Railways to Set Up Over 1000 Community Water Purification Systems Across the Country,https://www.newsvoir.com/release/yes-bank-joins-hands-with-indian-railways-to-set-up-over-1000-community-water-purification-systems-across-the-country-6100.html
36,RailTel Launches Free High-speed Public Wi-Fi Service with Google at Mumbai Central,https://www.newsvoir.com/release/railtel-launches-free-high-speed-public-wi-fi-service-with-google-at-mumbai-central-6035.html
37,India Reactive Power Compensation Market is Valued at INR 750 Crores,https://www.newsvoir.com/release/india-reactive-power-compensation-market-is-valued-at-inr-750-crores-5365.html
38,Cadila Pharmaceuticals Initiates ‘Consume With Care’ Awareness Drive on World Environment Day ,https://www.newsvoir.com/release/cadila-pharmaceuticals-initiates-consume-with-care-awareness-drive-on-world-environment-day--4476.html
39,SBI Launches Barcode Based Passbook Printing Kiosk,https://www.newsvoir.com/release/sbi-launches-barcode-based-passbook-printing-kiosk-2274.html
40,MediaTek’s True Octa-Core™ 4G LTE SoC MT6595 Now Commercialized in India,https://www.newsvoir.com/release/mediatek-s-true-octa-core-4g-lte-soc-mt6595-now-commercialized-in-india-1956.html
41,"2mpower Health Management Services Launches GetActive Tapp, a Personal Health and Activity Tracker",https://www.newsvoir.com/release/2mpower-health-management-services-launches-getactive-tapp-a-personal-health-and-activity-tracker-1773.html
42,"Jet Airways Announces Enhanced Connectivity to the Gulf with the Launch of Four International Flights From Kochi, Kozhikode and Thiruvananthapuram",https://www.newsvoir.com/release/jet-airways-announces-enhanced-connectivity-to-the-gulf-with-the-launch-of-four-international-flights-from-kochi-kozhikode-and-thiruvananthapuram-1760.html
