,title,link
0,Dangal TV becomes No. 4 Channel in India Across GECs,https://www.newsvoir.com/release/dangal-tv-becomes-no-4-channel-in-india-across-gecs-19601.html
1,Dangal TV Originals Hitting High on Prime Time Slots Across HSM GEC's,https://www.newsvoir.com/release/dangal-tv-originals-hitting-high-on-prime-time-slots-across-hsm-gecs-19507.html
2,"Muthoot Finance Launches Sunheri Soch Season-2, Only on RED FM 93.5",https://www.newsvoir.com/release/muthoot-finance-launches-sunheri-soch-season-2-only-on-red-fm-93-5-19496.html
3,"RED FM Launches New Podcast 'Decoding Unicorns'
",https://www.newsvoir.com/release/red-fm-launches-new-podcast-apos-decoding-unicorns-apos-19477.html
4,'Chausar - The Power Games': Punjab's Hottest Political Drama Series Releases on PTC Play App,https://www.newsvoir.com/release/chausar-the-power-games-punjabs-hottest-political-drama-series-releases-on-ptc-play-app-19448.html
5,Internet Radio of Dr. MGR Janaki College Streams Programs Exclusively for Campuses Across Tamil Nadu ,https://www.newsvoir.com/release/internet-radio-of-dr-mgr-janaki-college-streams-programs-exclusively-for-campuses-across-tamil-nadu-19300.html
6,"The Eight Network – A First-of-its-kind Open Interactive Social Radio, is Set to Disrupt the Audio Entertainment Space ",https://www.newsvoir.com/release/the-eight-network-a-first-of-its-kind-open-interactive-social-radio-is-set-to-disrupt-the-audio-entertainment-space-19267.html
7,RED FM Announces New Campaign 'India at 75' ,https://www.newsvoir.com/release/red-fm-announces-new-campaign-apos-india-at-75-apos-19260.html
8,M5 Entertainment Talent Agency Onboards Kareena Kapoor Khan and Saif Ali Khan for Tata Play,https://www.newsvoir.com/release/m5-entertainment-talent-agency-onboards-kareena-kapoor-khan-and-saif-ali-khan-for-tata-play-19244.html
9,RED FM Launches 'Vote Da Haq' Campaign for Upcoming Elections,https://www.newsvoir.com/release/red-fm-launches-vote-da-haq-campaign-for-upcoming-elections-19170.html
10,Radio City Maintains Leadership Position with a Strong Profit Growth,https://www.newsvoir.com/release/radio-city-maintains-leadership-position-with-a-strong-profit-growth-19135.html
11,"RED FM Announces New Campaign 'Wave Se Safe'
",https://www.newsvoir.com/release/red-fm-announces-new-campaign-wave-se-safe-19098.html
12,"VYRE Network Partners with DK Films India to Expand Bollywood Content on its ""Vasool TV"" Channel",https://www.newsvoir.com/release/vyre-network-partners-with-dk-films-india-to-expand-bollywood-content-on-its-quot-vasool-tv-quot-channel-19092.html
13,Radio City Exclusively Launched at Kanpur and Lucknow Metro Stations ,https://www.newsvoir.com/release/radio-city-exclusively-launched-at-kanpur-and-lucknow-metro-stations-18918.html
14,India's Favourite Music Destinations Radio City and JioSaavn Come Together for a Brand New Weekly Show ,https://www.newsvoir.com/release/indias-favourite-music-destinations-radio-city-and-jiosaavn-come-together-for-a-brand-new-weekly-show-18742.html
15,News18 India Wraps up Grand Edition of News18 India Chaupal,https://www.newsvoir.com/release/news18-india-wraps-up-grand-edition-of-news18-india-chaupal-18591.html
16,RED FM Announces of The Kavi Collective Season 2,https://www.newsvoir.com/release/red-fm-announces-of-the-kavi-collective-season-2-18404.html
17,Entertainment from Around the World Now in Just One App with PlayboxTV,https://www.newsvoir.com/release/entertainment-from-around-the-world-now-in-just-one-app-with-playboxtv-18260.html
18,RED FM Launches World Cup Campaign 'Totka Chalao India Ko Jeetao',https://www.newsvoir.com/release/red-fm-launches-world-cup-campaign-totka-chalao-india-ko-jeetao-18098.html
19,"'Hunar Punjab Da - Season 2' Sunanda Sharma's Maiden Show Opens on PTC Punjabi Tonight
",https://www.newsvoir.com/release/hunar-punjab-da-season-2-sunanda-sharma-s-maiden-show-opens-on-ptc-punjabi-tonight-18068.html
20,"Unfolding the Untold Stories of Family Business in India and How the NextGen is Carrying this Legacy Forward, Exclusively on Aaj Tak HD",https://www.newsvoir.com/release/unfolding-the-untold-stories-of-family-business-in-india-and-how-the-nextgen-is-carrying-this-legacy-forward-exclusively-on-aaj-tak-hd-18000.html
21,Parikshit Balochi: A Small-town Boy from India is Now UAE's Funniest Breakfast Show Host,https://www.newsvoir.com/release/parikshit-balochi-a-small-town-boy-from-india-is-now-uae-s-funniest-breakfast-show-host-17995.html
22,RED FM Announces Dugga Dugga Festival 2021,https://www.newsvoir.com/release/red-fm-announces-dugga-dugga-festival-2021-17737.html
23,Rozana Spokesman Strengthens Regional Portfolio with 9 New Digital Verticals,https://www.newsvoir.com/release/rozana-spokesman-strengthens-regional-portfolio-with-9-new-digital-verticals-17413.html
24,"'Red FM Announces Return of 'South Side Story', an Ultimate South India Experience'",https://www.newsvoir.com/release/red-fm-announces-return-of-south-side-story-an-ultimate-south-india-experience-17219.html
25,Korikart TV Homeshopping Collaborates with Tata Sky to Air on Channel 155 on India Voice,https://www.newsvoir.com/release/korikart-tv-homeshopping-collaborates-with-tata-sky-to-air-on-channel-155-on-india-voice-16945.html
26,Compaq Television's Flagship HEX 65 QLED Smart TV is Now Powered by Android 9.0,https://www.newsvoir.com/release/compaq-television-s-flagship-hex-65-qled-smart-tv-is-now-powered-by-android-9-0-16906.html
27,"Daytime Emmy Awards Winner Prajakta Koli Recounts her Meeting with Michelle Obama on Radio City's New Show, 'Khayalon Wali Khidki'",https://www.newsvoir.com/release/daytime-emmy-awards-winner-prajakta-koli-recounts-her-meeting-with-michelle-obama-on-radio-city-s-new-show-khayalon-wali-khidki-16895.html
28,Nickelodeon Celebrates International Yoga Day 2021 with 'Yoga Se Hi Hoga' Campaign,https://www.newsvoir.com/release/nickelodeon-celebrates-international-yoga-day-2021-with-yoga-se-hi-hoga-campaign-16831.html
29,RED FM Launches Red Indies Radio Festival,https://www.newsvoir.com/release/red-fm-launches-red-indies-radio-festival-16805.html
30,Crypto kick-off: WazirX Announces Partnership with SonyLIV as Co-presenting Sponsor for UEFA EURO 2020 ,https://www.newsvoir.com/release/crypto-kick-off-wazirx-announces-partnership-with-sonyliv-as-co-presenting-sponsor-for-uefa-euro-2020-16779.html
31,RED FM Launches Hidden Files Season 3,https://www.newsvoir.com/release/red-fm-launches-hidden-files-season-3-16762.html
32,'Hausla High Rakh' by RED FM to Promote Hope ,https://www.newsvoir.com/release/hausla-high-rakh-by-red-fm-to-promote-hope-16526.html
33,Brett Lee on SportsAdda's T20 Crazy: Rishabh Pant is the One to Watch Out for,https://www.newsvoir.com/release/brett-lee-on-sportsadda-apos-s-t20-crazy-rishabh-pant-is-the-one-to-watch-out-for-16212.html
