,title,link
0,GROHE and Hurun India Launch 'Builders of Tomorrow',https://www.newsvoir.com/release/grohe-and-hurun-india-launch-builders-of-tomorrow-19690.html
1,Announcing Colive Venus2022 with Rs. 25 Lakhs of Stay Scholarships for Female Students and Women Entrepreneurs,https://www.newsvoir.com/release/announcing-colive-venus2022-with-rs-25-lakhs-of-stay-scholarships-for-female-students-and-women-entrepreneurs-19652.html
2,Wave City in Association with Dainik Jagran Group Organizes Ghaziabad Half Marathon on the Occasion of International Women's Day ,https://www.newsvoir.com/release/wave-city-in-association-with-dainik-jagran-group-organizes-ghaziabad-half-marathon-on-the-occasion-of-international-women-s-day-19631.html
3,Rise Infraventures Targets 300 Crore of Sales with Delhi Office,https://www.newsvoir.com/release/rise-infraventures-targets-300-crore-of-sales-with-delhi-office-19630.html
4,"TimesPro Consulting - A New Face to Believe for your Real Estate Investment in Delhi NCR
",https://www.newsvoir.com/release/timespro-consulting-a-new-face-to-believe-for-your-real-estate-investment-in-delhi-ncr-19597.html
5,SWAMIH Investment Fund to back the Home&Soul Project,https://www.newsvoir.com/release/swamih-investment-fund-to-back-the-home-soul-project-19567.html
6,"Urban Development Needs to Align itself with NUDM to Improve Ease of Living for Citizens, says Raman Aggarwal",https://www.newsvoir.com/release/urban-development-needs-to-align-itself-with-nudm-to-improve-ease-of-living-for-citizens-says-raman-aggarwal-19561.html
7,CM Haryana Honored Signature Global Group for Developing Remarkable Real Estate Projects,https://www.newsvoir.com/release/cm-haryana-honored-signature-global-group-for-developing-remarkable-real-estate-projects-19553.html
8,"After Commissioning Rs. 500 cr worth Contracts, Smartworld Developers to Cumulatively Award Rs. 1200 cr worth Contracts in 90 Days",https://www.newsvoir.com/release/after-commissioning-rs-500-cr-worth-contracts-smartworld-developers-to-cumulatively-award-rs-1200-cr-worth-contracts-in-90-days-19529.html
9,"Omaxe On-boards Eastin Hotel and Eastin Easy to Operate Serviced Apartments in Lucknow
",https://www.newsvoir.com/release/omaxe-on-boards-eastin-hotel-and-eastin-easy-to-operate-serviced-apartments-in-lucknow-19489.html
10,"Mr. Vineet Nanda Appointed as the Chairman of the FICCI Committee of Housing and Infrastructure for Punjab, Haryana, Himachal Pradesh, Chandigarh and Uttarakhand",https://www.newsvoir.com/release/mr-vineet-nanda-appointed-as-the-chairman-of-the-ficci-committee-of-housing-and-infrastructure-for-punjab-haryana-himachal-pradesh-chandigarh-and-uttarakhand-19472.html
11,"56 Percent Participants in CII-ANAROCK Survey Expect Housing Prices Hike in 2022, Affordable Housing Demand Sinks Further
",https://www.newsvoir.com/release/56-percent-participants-in-cii-anarock-survey-expect-housing-prices-hike-in-2022-affordable-housing-demand-sinks-further-19413.html
12,eXp India Hosts a Power Packed Session for Real Estate Agents to Create a Generation of World Class Trained Competitive Professionals in India,https://www.newsvoir.com/release/exp-india-hosts-a-power-packed-session-for-real-estate-agents-to-create-a-generation-of-world-class-trained-competitive-professionals-in-india-19408.html
13,"Piramal Realty Creates a World of Endless Luxuries, Introduces Welltech Homes at Piramal Aranya in Byculla",https://www.newsvoir.com/release/piramal-realty-creates-a-world-of-endless-luxuries-introduces-welltech-homes-at-piramal-aranya-in-byculla-19376.html
14,Assetz Launches New Towers in its 26-acre Sustainable Township,https://www.newsvoir.com/release/assetz-launches-new-towers-in-its-26-acre-sustainable-township-19360.html
15,'M3M Capital' Luxury Golf Residential Project near Aerocity Clocks Rs. 800 Crore Booking in First 3-days,https://www.newsvoir.com/release/m3m-capital-luxury-golf-residential-project-near-aerocity-clocks-rs-800-crore-booking-in-first-3-days-19344.html
16,"US-based DHR Holdings Leases 35,000 Square Feet of Commercial Space with The Phoenix Mills Ltd.",https://www.newsvoir.com/release/us-based-dhr-holdings-leases-35-000-square-feet-of-commercial-space-with-the-phoenix-mills-ltd-19329.html
17,CRC Group Launches 'Spirit of Noida' Initiative,https://www.newsvoir.com/release/crc-group-launches-spirit-of-noida-initiative-19303.html
18,Viridian RED Launches Collaborative Space 'Co.Lab' in Noida and Gurugram,https://www.newsvoir.com/release/viridian-red-launches-collaborative-space-co-lab-in-noida-and-gurugram-19296.html
19,Realtors' Relying on Budget's Infra Focus to Open New Avenues,https://www.newsvoir.com/release/realtors-relying-on-budgets-infra-focus-to-open-new-avenues-19253.html
20,Farmhouses see Jump in Demand after New CLU Policy,https://www.newsvoir.com/release/farmhouses-see-jump-in-demand-after-new-clu-policy-19190.html
21,"Budget 2022: Expectations from the Government for a Strong Realty Growth

",https://www.newsvoir.com/release/budget-2022-expectations-from-the-government-for-a-strong-realty-growth-19188.html
22,Signature Global Created Success Story of Millennia IV Project,https://www.newsvoir.com/release/signature-global-created-success-story-of-millennia-iv-project-19147.html
23,Young India Looking for Tax Rebates to Invest in Realty,https://www.newsvoir.com/release/young-india-looking-for-tax-rebates-to-invest-in-realty-19074.html
24,"Ahuja Residences Opens a 97-room Property, AR Suites Jewels Royale in Koregaon Park Annexe, Pune",https://www.newsvoir.com/release/ahuja-residences-opens-a-97-room-property-ar-suites-jewels-royale-in-koregaon-park-annexe-pune-19070.html
25,"Your-Space Student Housing Startup, Raises USD 10 Million in Series 'A' Funding ",https://www.newsvoir.com/release/your-space-student-housing-startup-raises-usd-10-million-in-series-a-funding-19059.html
26,Better Lifestyle Choices Changing the Definition of Affordable Housing,https://www.newsvoir.com/release/better-lifestyle-choices-changing-the-definition-of-affordable-housing-19055.html
27,"Crib Raises USD 400,000 in its Pre-seed Round to Build the Super Co-living App",https://www.newsvoir.com/release/crib-raises-usd-400-000-in-its-pre-seed-round-to-build-the-super-co-living-app-19023.html
28,AI to Benefit Customers and Developers in Real Estate,https://www.newsvoir.com/release/ai-to-benefit-customers-and-developers-in-real-estate-19018.html
29,"Strata, Leading Proptech Startup Crosses 500 Crore AUM Mark",https://www.newsvoir.com/release/strata-leading-proptech-startup-crosses-500-crore-aum-mark-18994.html
30,'Skyz' by Danube Receives Overwhelming Response by Clocking 60 percent Sales,https://www.newsvoir.com/release/skyz-by-danube-receives-overwhelming-response-by-clocking-60-percent-sales-18986.html
31,"UP, Haryana and Punjab Account for 56 percent of New Hiring in Omaxe in 2021",https://www.newsvoir.com/release/up-haryana-and-punjab-account-for-56-percent-of-new-hiring-in-omaxe-in-2021-18983.html
32,US-based Satellite Coworks Debuts in Bhutani Group's Alphathum Project in Noida,https://www.newsvoir.com/release/us-based-satellite-coworks-debuts-in-bhutani-group-s-alphathum-project-in-noida-18981.html
33,Zirakpur Commercial Realty Growth in Sync with National Demand,https://www.newsvoir.com/release/zirakpur-commercial-realty-growth-in-sync-with-national-demand-18978.html
34,Investors Clinic Honours COVID Warriors by Awarding a Flat,https://www.newsvoir.com/release/investors-clinic-honours-covid-warriors-by-awarding-a-flat-18971.html
35,10 Projects to Look Out for in 2022,https://www.newsvoir.com/release/10-projects-to-look-out-for-in-2022-18965.html
36,Real Estate Sector Looks Forward to Promising 2022,https://www.newsvoir.com/release/real-estate-sector-looks-forward-to-promising-2022-18939.html
37,8 Most Liked Projects of 2021,https://www.newsvoir.com/release/8-most-liked-projects-of-2021-18933.html
38,Reshaping Gurugram's Realty Market,https://www.newsvoir.com/release/reshaping-gurugram-s-realty-market-18928.html
39,The Capital gets its First Luxury High-rise Township in West Delhi,https://www.newsvoir.com/release/the-capital-gets-its-first-luxury-high-rise-township-in-west-delhi-18921.html
40,Krisumi Waterfall Residences Enters the 100 Crores League in Q3,https://www.newsvoir.com/release/krisumi-waterfall-residences-enters-the-100-crores-league-in-q3-18914.html
41,"Provident Palm Vista is Set to Create a Positive Disruption in MMR Architectural Housing Landscape


",https://www.newsvoir.com/release/provident-palm-vista-is-set-to-create-a-positive-disruption-in-mmr-architectural-housing-landscape-18899.html
42,"IT/ITeS, Infrastructure Drive Growth in Telangana – CREDAI-ANAROCK Report",https://www.newsvoir.com/release/it-ites-infrastructure-drive-growth-in-telangana-credai-anarock-report-18835.html
