,title,link
0,AI-based Tech Firm CronJ Completes Security Project for Saudi Arabia Coast Guard,https://www.newsvoir.com/release/ai-based-tech-firm-cronj-completes-security-project-for-saudi-arabia-coast-guard-15358.html
1,Cyril Amarchand Mangaldas Advises in Relation to Mazagon Dock Shipbuilders Limited's IPO,https://www.newsvoir.com/release/cyril-amarchand-mangaldas-advises-in-relation-to-mazagon-dock-shipbuilders-limited-apos-s-ipo-14831.html
2,Norwegian Cruise Line takes Delivery of Norwegian Encore ,https://www.newsvoir.com/release/norwegian-cruise-line-takes-delivery-of-norwegian-encore-12876.html
3,The Newly Refurbished Oceania Insignia Sails to the Shores of India,https://www.newsvoir.com/release/the-newly-refurbished-oceania-insignia-sails-to-the-shores-of-india-11816.html
4,Mumbai Road to Global Entrepreneurship Summit Celebrating and Empowering Women in Entrepreneurship,https://www.newsvoir.com/release/mumbai-road-to-global-entrepreneurship-summit-celebrating-and-empowering-women-in-entrepreneurship-9505.html
5,Jugnoo Adds Bicycles to its Delivery Vertical,https://www.newsvoir.com/release/jugnoo-adds-bicycles-to-its-delivery-vertical-9346.html
6,APM Terminals Pipavav Celebrates Safety Performance,https://www.newsvoir.com/release/apm-terminals-pipavav-celebrates-safety-performance-9172.html
7,Jugnoo Launches Fugu - Real Time Customer Support App ,https://www.newsvoir.com/release/jugnoo-launches-fugu-real-time-customer-support-app-9041.html
8,Maersk ME1 Service Calls APM Terminals Pipavav,https://www.newsvoir.com/release/maersk-me1-service-calls-apm-terminals-pipavav-8879.html
9,1000 Days Safe Environment at APM Terminals Pipavav,https://www.newsvoir.com/release/1000-days-safe-environment-at-apm-terminals-pipavav-8705.html
10,"APM Terminals Pipavav’s (Gujarat Pipavav Port Ltd.) Financial Performance for the Quarter and Year Ended March 31, 2017",https://www.newsvoir.com/release/apm-terminals-pipavav-s-gujarat-pipavav-port-ltd-financial-performance-for-the-quarter-and-year-ended-march-31-2017-8671.html
11,Allcargo Logistics’ Chennai CFS Celebrates 10 Years,https://www.newsvoir.com/release/allcargo-logistics-chennai-cfs-celebrates-10-years-8626.html
12,Allcargo Logistics’ Mundra CFS Completes 10 Years,https://www.newsvoir.com/release/allcargo-logistics-mundra-cfs-completes-10-years-8553.html
13,"APM Terminals Pipavav Welcomed Inaugural Container Train Service from Rail Container Terminal, Vadodara",https://www.newsvoir.com/release/apm-terminals-pipavav-welcomed-inaugural-container-train-service-from-rail-container-terminal-vadodara-8440.html
14,APM Terminals Pipavav Welcomes One of the Largest RORO [Roll In Roll Out] Carrier,https://www.newsvoir.com/release/apm-terminals-pipavav-welcomes-one-of-the-largest-roro-roll-in-roll-out-carrier-8302.html
15,APM Terminals Pipavav Implements E-SMTP for Paper Free Customs Clearance Procedure,https://www.newsvoir.com/release/apm-terminals-pipavav-implements-e-smtp-for-paper-free-customs-clearance-procedure-8227.html
16,"APM Terminals Pipavav’s (Gujarat Pipavav Port Ltd.) Standalone Financial Performance for the Quarter Ended September 30, 2016",https://www.newsvoir.com/release/apm-terminals-pipavav-s-gujarat-pipavav-port-ltd-standalone-financial-performance-for-the-quarter-ended-september-30-2016-7739.html
17,"APM Terminals Pipavav’s (Gujarat Pipavav Port Ltd) Standalone Financial Performance for the Quarter Ended June 30, 2016",https://www.newsvoir.com/release/apm-terminals-pipavav-s-gujarat-pipavav-port-ltd-standalone-financial-performance-for-the-quarter-ended-june-30-2016-7267.html
18,"L&T Hydrocarbon Enters into Long-Term Agreement with McDermott for Emerging Deepwater Market in India

McDermott for Emerging Deepwater Market in India",https://www.newsvoir.com/release/l-t-hydrocarbon-enters-into-long-term-agreement-with-mcdermott-for-emerging-deepwater-market-in-india-mcdermott-for-emerging-deepwater-market-in-india-6238.html
19,Reliance Infrastructure Proceeds to Complete the Acquisition of Pipavav Defence and Offshore Engineering Company Limited,https://www.newsvoir.com/release/reliance-infrastructure-proceeds-to-complete-the-acquisition-of-pipavav-defence-and-offshore-engineering-company-limited-5678.html
20,APM Terminal Pipavav Wins “ICD Preferred Terminal” Award,https://www.newsvoir.com/release/apm-terminal-pipavav-wins-icd-preferred-terminal-award-5504.html
21,Allcargo Consolidates its Leadership in the Coastal Shipping Space,https://www.newsvoir.com/release/allcargo-consolidates-its-leadership-in-the-coastal-shipping-space-5079.html
22,"JSW Jaigarh Port Signs Concession Agreement with Konkan Railway Corporation
",https://www.newsvoir.com/release/jsw-jaigarh-port-signs-concession-agreement-with-konkan-railway-corporation-4686.html
23,APM Terminals Pipavav (Gujarat Pipavav Port Ltd) Jan-March 2015 Net Profit at INR 669 Million up 10% Over Q1 2014,https://www.newsvoir.com/release/apm-terminals-pipavav-gujarat-pipavav-port-ltd-jan-march-2015-net-profit-at-inr-669-million-up-10-over-q1-2014-4392.html
24,"Adani Ports Consolidated PAT Increases by 33% to Rs. 2,314 Crores for the Year Ended March 2015",https://www.newsvoir.com/release/adani-ports-consolidated-pat-increases-by-33-to-rs-2-314-crores-for-the-year-ended-march-2015-4126.html
25,L&T Bags Rs. 1432 Crores Defence Order for 7 Patrol Vessels,https://www.newsvoir.com/release/l-t-bags-rs-1432-crores-defence-order-for-7-patrol-vessels-3771.html
26,Maersk Line Launches an India-Middle East-Mediterranean Service- ME-5 at DP World Chennai,https://www.newsvoir.com/release/maersk-line-launches-an-india-middle-east-mediterranean-service-me-5-at-dp-world-chennai-3464.html
27,MAWINGU Service Calls at Mundra International Container Terminal,https://www.newsvoir.com/release/mawingu-service-calls-at-mundra-international-container-terminal-3317.html
28,Maulik Jasubhai Takes Charge of the Jasubhai Group as Vice Chairman,https://www.newsvoir.com/release/maulik-jasubhai-takes-charge-of-the-jasubhai-group-as-vice-chairman-1621.html
