,title,link
0,KredX Recognised as the 'Best MSME Finance Company of the Year' at the NBFC and FinTech Excellence Awards 2022,https://www.newsvoir.com/release/kredx-recognised-as-the-best-msme-finance-company-of-the-year-at-the-nbfc-and-fintech-excellence-awards-2022-19628.html
1,"Biz2X Powered Made-in-India Middleware Platform ""Maadhyam"" Launched for Lenders, Aggregators and SMEs",https://www.newsvoir.com/release/biz2x-powered-made-in-india-middleware-platform-maadhyam-launched-for-lenders-aggregators-and-smes-19560.html
2,Modicare Limited Forays into Consumer Durables with the Launch of Modicare Cuckoo Air Purifier,https://www.newsvoir.com/release/modicare-limited-forays-into-consumer-durables-with-the-launch-of-modicare-cuckoo-air-purifier-19330.html
3,"R Narayan Founder & CEO Power2SME, President FICCI-CMSME Hails the Capital Infusions for the MSME Sector in New Budget",https://www.newsvoir.com/release/r-narayan-founder-ceo-power2sme-president-ficci-cmsme-hails-the-capital-infusions-for-the-msme-sector-in-new-budget-19231.html
4,"Kinara Capital Introduces Collateral-Free Short-Term Working Capital Loan
",https://www.newsvoir.com/release/kinara-capital-introduces-collateral-free-short-term-working-capital-loan-19168.html
5,Vyapaar Jagat Convention and Awards 2021 Closes 3 days Affair with Grand Success and Attended by 15000 plus Business Owners,https://www.newsvoir.com/release/vyapaar-jagat-convention-and-awards-2021-closes-3-days-affair-with-grand-success-and-attended-by-15000-plus-business-owners-18794.html
6,G7CR Technologies Invests Over USD 1 Million in Start-ups Via Technology Services in the Last Quarter,https://www.newsvoir.com/release/g7cr-technologies-invests-over-usd-1-million-in-start-ups-via-technology-services-in-the-last-quarter-18778.html
7,KAnalysis Consultants to Set up 'Help-Desk' to Assist and Guide India's E-commerce Players and Manufacturers ,https://www.newsvoir.com/release/kanalysis-consultants-to-set-up-help-desk-to-assist-and-guide-indias-e-commerce-players-and-manufacturers-18773.html
8,"Marwari Catalysts Announces Corporate FinTech Accelerator Cohort Program, 'Thrive 5.0' in Association with Kumbhat Advisors and ENNENN Group",https://www.newsvoir.com/release/marwari-catalysts-announces-corporate-fintech-accelerator-cohort-program-thrive-5-0-in-association-with-kumbhat-advisors-and-ennenn-group-18702.html
9,"With Over 72,000 Visitors and Rs. 1,545 crore Business Inquiries Generated, 'ENGIMACH 2021' Proved a Roaring Success in Reviving SME Industry",https://www.newsvoir.com/release/with-over-72-000-visitors-and-rs-1-545-crore-business-inquiries-generated-engimach-2021-proved-a-roaring-success-in-reviving-sme-industry-18654.html
10,"Poor Customer Experiences Costing Businesses up to USD 216 Billion in India, says Qualtrics Study",https://www.newsvoir.com/release/poor-customer-experiences-costing-businesses-up-to-usd-216-billion-in-india-says-qualtrics-study-18642.html
11,Keka HR Raises USD 1.6MN through Trading Subscriptions on Recur Club,https://www.newsvoir.com/release/keka-hr-raises-usd-1-6mn-through-trading-subscriptions-on-recur-club-18641.html
12,"Vedanta Aluminium Invites Partners for Aluminium Park at Odisha
",https://www.newsvoir.com/release/vedanta-aluminium-invites-partners-for-aluminium-park-at-odisha-18612.html
13,"Wolken Software Launches a Cloud-native, Self-Serve SaaS Customer Service Platform, Wolken Care",https://www.newsvoir.com/release/wolken-software-launches-a-cloud-native-self-serve-saas-customer-service-platform-wolken-care-18551.html
14,"Vyapaar Jagat Convention and Awards to be Held Virtually from Dec 2021, 17 to 19 and Winner's Felicitation in Mumbai",https://www.newsvoir.com/release/vyapaar-jagat-convention-and-awards-to-be-held-virtually-from-dec-2021-17-to-19-and-winner-s-felicitation-in-mumbai-18521.html
15,Vertex Group Founder and CEO Gagan Arora Appointed as Senator for India at World Business Angels Investment Forum,https://www.newsvoir.com/release/vertex-group-founder-and-ceo-gagan-arora-appointed-as-senator-for-india-at-world-business-angels-investment-forum-18484.html
16,ASCENT Foundation Announces the Line-up of High-profile Speakers for Sixth Edition of its Flagship Event - 'ASCENT eConclave 2021',https://www.newsvoir.com/release/ascent-foundation-announces-the-line-up-of-high-profile-speakers-for-sixth-edition-of-its-flagship-event-ascent-econclave-2021-18460.html
17,Top B2B Lead Generation Company Beyond Codes Inc. Announce Opening of 2 International Offices,https://www.newsvoir.com/release/top-b2b-lead-generation-company-beyond-codes-inc-announce-opening-of-2-international-offices-18183.html
18,Drip Capital Appoints Rahul Nath as Product Head to Drive Product Growth,https://www.newsvoir.com/release/drip-capital-appoints-rahul-nath-as-product-head-to-drive-product-growth-18384.html
19,Drip Capital Connects with TradeLens to Provide Blockchain-enabled Financing Solutions for Importers and Exporters,https://www.newsvoir.com/release/drip-capital-connects-with-tradelens-to-provide-blockchain-enabled-financing-solutions-for-importers-and-exporters-18341.html
