,title,link
0,COVIDActionCollab and USAID Provide Critical COVID-19 Services to 10 Million,https://www.newsvoir.com/release/covidactioncollab-and-usaid-provide-critical-covid-19-services-to-10-million-19700.html
1,USAID's CoVLEx Initiative Brings Private Sector Learnings to the Global South,https://www.newsvoir.com/release/usaids-covlex-initiative-brings-private-sector-learnings-to-the-global-south-19677.html
2,40 Women Survivors of Acid Attacks Seek Support to Battle Stigma and Reclaim their Lives,https://www.newsvoir.com/release/40-women-survivors-of-acid-attacks-seek-support-to-battle-stigma-and-reclaim-their-lives-19672.html
3,Union Minister Smriti Irani Confers 'Vishishta Mahila Ratna Samman' to Entrepreneur Nowhera Shaik,https://www.newsvoir.com/release/union-minister-smriti-irani-confers-vishishta-mahila-ratna-samman-to-entrepreneur-nowhera-shaik-19658.html
4,PreludeSys is All Set to Welcome their Employees Back to Work,https://www.newsvoir.com/release/preludesys-is-all-set-to-welcome-their-employees-back-to-work-19641.html
5,Veddis Foundation and J-PAL South Asia Set up ASPIRE to Accelerate Evidence-based Policymaking,https://www.newsvoir.com/release/veddis-foundation-and-j-pal-south-asia-set-up-aspire-to-accelerate-evidence-based-policymaking-19586.html
6,India Cannot have Aatman Nirbhar Bharat without Aatman Nirbhar Women and Girls: Lakshmi M Puri,https://www.newsvoir.com/release/india-cannot-have-aatman-nirbhar-bharat-without-aatman-nirbhar-women-and-girls-lakshmi-m-puri-19289.html
7,Copper can Curb Transmission of COVID-19: Healthcare Experts,https://www.newsvoir.com/release/copper-can-curb-transmission-of-covid-19-healthcare-experts-19275.html
8,"Sentinels of the Soil is a Storybook of Courage, Determination and Growing Human Compassion",https://www.newsvoir.com/release/sentinels-of-the-soil-is-a-storybook-of-courage-determination-and-growing-human-compassion-19159.html
9,"Alstom in Collaboration with its NGO Partner United Way Bengaluru Supports Integrated Rural Development at Selakarachal Gram Panchayat, Sultanpet Block in Coimbatore",https://www.newsvoir.com/release/alstom-in-collaboration-with-its-ngo-partner-united-way-bengaluru-supports-integrated-rural-development-at-selakarachal-gram-panchayat-sultanpet-block-in-coimbatore-19094.html
10,"Need to Replace Sputum Smear Testing to Identify ""Missing Millions"" TB Suspects",https://www.newsvoir.com/release/need-to-replace-sputum-smear-testing-to-identify-missing-millions-tb-suspects-19075.html
11,Indus International School Students Crowdfund on Ketto to Improve Menstrual Hygiene Among Adolescent Girls,https://www.newsvoir.com/release/indus-international-school-students-crowdfund-on-ketto-to-improve-menstrual-hygiene-among-adolescent-girls-19076.html
12,GiveIndia's 'Gold Standard' Work Culture Recognised for a Second Consecutive Year,https://www.newsvoir.com/release/giveindias-gold-standard-work-culture-recognised-for-a-second-consecutive-year-19062.html
13,SRAM & MRAM Group Strengthens its PPE Manufacturing and Distribution in India to Address the Sudden Surge in COVID-19 Cases,https://www.newsvoir.com/release/sram-mram-group-strengthens-its-ppe-manufacturing-and-distribution-in-india-to-address-the-sudden-surge-in-covid-19-cases-19040.html
14,In surge of 3rd Wave Crypto Relief Activates 1000 Beds across Major Affected Areas,https://www.newsvoir.com/release/in-surge-of-3rd-wave-crypto-relief-activates-1000-beds-across-major-affected-areas-19034.html
15,"Health Facilities of Small Villages Upgraded to Combat COVID by a Joint Team of Army Officers, District Administration, and NGOs",https://www.newsvoir.com/release/health-facilities-of-small-villages-upgraded-to-combat-covid-by-a-joint-team-of-army-officers-district-administration-and-ngos-18985.html
16,Milaap Thanks all Donors who Helped to Restore Faith in Humanity in 2021: The Year of Generosity,https://www.newsvoir.com/release/milaap-thanks-all-donors-who-helped-to-restore-faith-in-humanity-in-2021-the-year-of-generosity-18849.html
17,Student Start-up Project Nishant Organises Virtual Art Exhibition Showcasing Talented Young Neurodiverse Artists,https://www.newsvoir.com/release/student-start-up-project-nishant-organises-virtual-art-exhibition-showcasing-talented-young-neurodiverse-artists-18787.html
18,"Online Education may become the Mainstay of the Post-pandemic World, says Education Expert Rajesh Bhatia",https://www.newsvoir.com/release/online-education-may-become-the-mainstay-of-the-post-pandemic-world-says-education-expert-rajesh-bhatia-18755.html
19,Mumbai and Delhi Teenagers Rank the Highest in Supporting the Underprivileged During COVID-19: Report,https://www.newsvoir.com/release/mumbai-and-delhi-teenagers-rank-the-highest-in-supporting-the-underprivileged-during-covid-19-report-18373.html
20,Battling the Pandemic through Awareness: United Way Delhi (UWD) and Amway Continue to Support Nation's Fight Against Coronavirus,https://www.newsvoir.com/release/battling-the-pandemic-through-awareness-united-way-delhi-uwd-and-amway-continue-to-support-nation-s-fight-against-coronavirus-18359.html
21,USAID-AMCHAM Organizes Winning Against COVID-19 Roadshow to Mobilize Private Sector to Ramp up Vaccination in India,https://www.newsvoir.com/release/usaid-amcham-organizes-winning-against-covid-19-roadshow-to-mobilize-private-sector-to-ramp-up-vaccination-in-india-18220.html
22,"Kauvery Hospital Emphasises on Post-COVID Rehabilitation A 38-year-old COVID Patient with 80 percent Lung Infection Recovers through Rehabilitation
",https://www.newsvoir.com/release/kauvery-hospital-emphasises-on-post-covid-rehabilitation-a-38-year-old-covid-patient-with-80-percent-lung-infection-recovers-through-rehabilitation-17967.html
23,GiveIndia Launches Institutional Giving Practice After Spike in Industry Philanthropy During COVID-19,https://www.newsvoir.com/release/giveindia-launches-institutional-giving-practice-after-spike-in-industry-philanthropy-during-covid-19-17966.html
24,"Ambassador, Dr. Deborah Birx Urges on Re-envision Pandemic Preparedness while Addressing C3 Summit",https://www.newsvoir.com/release/ambassador-dr-deborah-birx-urges-on-re-envision-pandemic-preparedness-while-addressing-c3-summit-17800.html
25,Symbiosis Skills and Professional University and Gravittus Foundation Join Hands for Skill Development Program for Transgenders,https://www.newsvoir.com/release/symbiosis-skills-and-professional-university-and-gravittus-foundation-join-hands-for-skill-development-program-for-transgenders-17728.html
26,"ICICI Lombard Registers and Vaccinates over 30,000 in a Week, Sets a New Guinness World Record Title, in the Process
",https://www.newsvoir.com/release/icici-lombard-registers-and-vaccinates-over-30-000-in-a-week-sets-a-new-guinness-world-record-title-in-the-process-17381.html
27,"Retire Elephants from Rides at Amer Fort in Jaipur, says World Animal Protection",https://www.newsvoir.com/release/retire-elephants-from-rides-at-amer-fort-in-jaipur-says-world-animal-protection-17318.html
28,"Online Purchases without Permission by Kids Increased during the Pandemic, Reveals OLX National Parenting Day Study",https://www.newsvoir.com/release/online-purchases-without-permission-by-kids-increased-during-the-pandemic-reveals-olx-national-parenting-day-study-17217.html
29,'Go and Vaccinate Yourself' Shahi Imam & Naib Shahi Imam of Jama Masjid Encourages Muslim Population for Vaccination,https://www.newsvoir.com/release/apos-go-and-vaccinate-yourself-apos-shahi-imam-naib-shahi-imam-of-jama-masjid-encourages-muslim-population-for-vaccination-16958.html
30,RAW NTR Starts 365 Days Food Donation Program Across Telugu States,https://www.newsvoir.com/release/raw-ntr-starts-365-days-food-donation-program-across-telugu-states-16865.html
31,"Food, Medicines and Delivery Chains: NGO Plans Ahead for the Third Wave",https://www.newsvoir.com/release/food-medicines-and-delivery-chains-ngo-plans-ahead-for-the-third-wave-16840.html
32,"World Day Against Child Labour: Kailash Satyarthi Claims Child Labour is ""Stain on the Dream of Mahaan Bharat"" in NEWJ Exclusive",https://www.newsvoir.com/release/world-day-against-child-labour-kailash-satyarthi-claims-child-labour-is-quot-stain-on-the-dream-of-mahaan-bharat-quot-in-newj-exclusive-16753.html
33,Delhi NCR Girl Diya Singh Help Stray Dogs through Various Dog Shelters,https://www.newsvoir.com/release/delhi-ncr-girl-diya-singh-help-stray-dogs-through-various-dog-shelters-16715.html
34,NEWJ Joins Hands with Kineer Services - An Initiative by Laxmi Narayan Tripathi to Promote Financial Independence for Transgender People in India,https://www.newsvoir.com/release/newj-joins-hands-with-kineer-services-an-initiative-by-laxmi-narayan-tripathi-to-promote-financial-independence-for-transgender-people-in-india-16728.html
35,"An Enterprising Attitude Meets Philanthropy, Chetna Jhamb",https://www.newsvoir.com/release/an-enterprising-attitude-meets-philanthropy-chetna-jhamb-16712.html
36,"Ariel India's New Film Heroes COVID Warriors Who Have, with their Acts of Kindness, Started a New Cycle of Hope",https://www.newsvoir.com/release/ariel-india-s-new-film-heroes-covid-warriors-who-have-with-their-acts-of-kindness-started-a-new-cycle-of-hope-16631.html
37,Sonalika Sets up PSA Oxygen Plant at St. Stephen's Hospital to Support India's Fight Against COVID-19,https://www.newsvoir.com/release/sonalika-sets-up-psa-oxygen-plant-at-st-stephen-apos-s-hospital-to-support-india-apos-s-fight-against-covid-19-16576.html
38,Yes!poho Initiates Medical Drive to Support Artisans During COVID-19 Crisis,https://www.newsvoir.com/release/yes-poho-initiates-medical-drive-to-support-artisans-during-covid-19-crisis-16575.html
39,eXp India Announces COVID Vaccine Cover for all Agents and Employees,https://www.newsvoir.com/release/exp-india-announces-covid-vaccine-cover-for-all-agents-and-employees-16571.html
40,Billroth Hospitals Donates Rs. 50 Lakh to Chief Minister's Relief Fund in the Fight against COVID-19,https://www.newsvoir.com/release/billroth-hospitals-donates-rs-50-lakh-to-chief-minister-s-relief-fund-in-the-fight-against-covid-19-16549.html
41,"With the Second Wave of COVID-19, TVS Credit Adds Additional Financial Assistance to its Employees under 'Parivaar' Program",https://www.newsvoir.com/release/with-the-second-wave-of-covid-19-tvs-credit-adds-additional-financial-assistance-to-its-employees-under-parivaar-program-16532.html
42,Delhi Capitals and OctaFX Part of COVID-19 Relief,https://www.newsvoir.com/release/delhi-capitals-and-octafx-part-of-covid-19-relief-16530.html
43,'Hausla High Rakh' by RED FM to Promote Hope ,https://www.newsvoir.com/release/hausla-high-rakh-by-red-fm-to-promote-hope-16526.html
44,Vedanta Aluminium Announces COVID Kavach Term Insurance for Business Partner Employees,https://www.newsvoir.com/release/vedanta-aluminium-announces-covid-kavach-term-insurance-for-business-partner-employees-16524.html
45,Australia-India Trade Association (AITA) Joins Hands with SoftBank Robotics in Fight Against COVID-19 in India,https://www.newsvoir.com/release/australia-india-trade-association-aita-joins-hands-with-softbank-robotics-in-fight-against-covid-19-in-india-16515.html
46,"IIT Delhi Excellence Foundation, in Association with PanIIT Alumni India, and PanIIT USA Organises UAC (United Against COVID) Global Virtual Summit",https://www.newsvoir.com/release/iit-delhi-excellence-foundation-in-association-with-paniit-alumni-india-and-paniit-usa-organises-uac-united-against-covid-global-virtual-summit-16513.html
47,DonateKart and NEWJ Come Together and Encourage Citizens to Join India's Battle Against COVID-19 ,https://www.newsvoir.com/release/donatekart-and-newj-come-together-and-encourage-citizens-to-join-india-apos-s-battle-against-covid-19-16507.html
48,Leveraging New Technologies can Help Protect Families During the COVID: Population Foundation of India,https://www.newsvoir.com/release/leveraging-new-technologies-can-help-protect-families-during-the-covid-population-foundation-of-india-16505.html
49,The Art of Living Announces Mission Zindagi - A Volunteer Driven Service Initiative for COVID Relief ,https://www.newsvoir.com/release/the-art-of-living-announces-mission-zindagi-a-volunteer-driven-service-initiative-for-covid-relief-16504.html
50,Ketto.org Celebrates Eid with the Change Starts with You Digital Campaign,https://www.newsvoir.com/release/ketto-org-celebrates-eid-with-the-change-starts-with-you-digital-campaign-16502.html
51,State Health Minister Thiru M. Subramanian Inagurated COVID Care Center at Hande Hospital Opened by Jain Annapurna Trust,https://www.newsvoir.com/release/state-health-minister-thiru-m-subramanian-inagurated-covid-care-center-at-hande-hospital-opened-by-jain-annapurna-trust-16498.html
52,"Launch of Oxygen Bank O2 Mission in Chennai by Bharatiya Jain Sanghatana, (BJS)",https://www.newsvoir.com/release/launch-of-oxygen-bank-o2-mission-in-chennai-by-bharatiya-jain-sanghatana-bjs-16463.html
53,"Modish Care to Import 25,000 Oxygen Concentrators to Help India Fight Against COVID-19",https://www.newsvoir.com/release/modish-care-to-import-25000-oxygen-concentrators-to-help-india-fight-against-covid-19-16458.html
54,Mangaluru Smart City's Control Centre Helps in Fight Against COVID with Real Time Data ,https://www.newsvoir.com/release/mangaluru-smart-city-s-control-centre-helps-in-fight-against-covid-with-real-time-data-16444.html
55,Smartworks Partners with MediBuddy as Healthcare Services Partner,https://www.newsvoir.com/release/smartworks-partners-with-medibuddy-as-healthcare-services-partner-16440.html
56,"Sania Mirza Join Hands with Ketto.org, Crowdfunding to Aid Oxygen Cylinders to COVID Patients",https://www.newsvoir.com/release/sania-mirza-join-hands-with-ketto-org-crowdfunding-to-aid-oxygen-cylinders-to-covid-patients-16437.html
57,#ARM Worldwide Strengthens People First Culture,https://www.newsvoir.com/release/arm-worldwide-strengthens-people-first-culture-16431.html
58,"Lives are on the line, The UPS Foundation Pledges USD 1 Million in Aid to India",https://www.newsvoir.com/release/lives-are-on-the-line-the-ups-foundation-pledges-usd-1-million-in-aid-to-india-16429.html
59,Over 7500 People Vaccinated by Vedanta at its Plants in Odisha and Chhattisgarh,https://www.newsvoir.com/release/over-7500-people-vaccinated-by-vedanta-at-its-plants-in-odisha-and-chhattisgarh-16426.html
60,GiveIndia Launches Fundraiser to Provide Free Shelter for the Underprivileged During their Recovery from COVID-19 in Partnership with OYO Care,https://www.newsvoir.com/release/giveindia-launches-fundraiser-to-provide-free-shelter-for-the-underprivileged-during-their-recovery-from-covid-19-in-partnership-with-oyo-care-16421.html
61,Khalsa Aid Raises Over Rs. 1 Crore in 3 Days through Crowdfunding to Procure Oxygen Concentrators,https://www.newsvoir.com/release/khalsa-aid-raises-over-rs-1-crore-in-3-days-through-crowdfunding-to-procure-oxygen-concentrators-16418.html
62,GAIN & Hexagon Nutrition Jointly Host a Virtual Webinar on Fortifying the Supply Chain and Addressing Micronutrient Premix Challenges,https://www.newsvoir.com/release/gain-hexagon-nutrition-jointly-host-a-virtual-webinar-on-fortifying-the-supply-chain-and-addressing-micronutrient-premix-challenges-16414.html
63,Good Samaritans Trust a Ray of Hope Amidst Pandemic,https://www.newsvoir.com/release/good-samaritans-trust-a-ray-of-hope-amidst-pandemic-16412.html
64,Chetu Donates Rs. 1 Crore to Combat COVID-19,https://www.newsvoir.com/release/global-software-developer-makes-charitable-donation-to-the-chief-minister-relief-fund-to-help-battle-the-current-pandemic-crisis-16399.html
65,Simpolo Foundation Starts Corona Care Centre in Morbi,https://www.newsvoir.com/release/simpolo-foundation-starts-corona-care-centre-in-morbi-16384.html
66,Bhumi Pednekar Collaborates with Ketto.org to Aid Financial Assistance to COVID-19 Patients,https://www.newsvoir.com/release/bhumi-pednekar-collaborates-with-ketto-org-to-aid-financial-assistance-to-covid-19-patients-16387.html
67,sRide Launches sNeighbour Feature to Help Communities Tide Over the Pandemic,https://www.newsvoir.com/release/sride-launches-sneighbour-feature-to-help-communities-tide-over-the-pandemic-16375.html
68,"Leading Change Agent Dr. Shweta Singh Strives to Strengthen Society through Women

",https://www.newsvoir.com/release/leading-change-agent-dr-shweta-singh-strives-to-strengthen-society-through-women-16358.html
69,Onir storms Bakstage with his candid LGBTQ room,https://www.newsvoir.com/release/onir-storms-bakstage-with-his-candid-lgbtq-room-16340.html
70,"Role of Commercial Office Cleaning Services in The Digital Age, Post-COVID World ",https://www.newsvoir.com/release/role-of-commercial-office-cleaning-services-in-the-digital-age-post-covid-world-16317.html
71,"GoAir Lends Support to #BreakTheChain, Reiterates Air Travel is the Safest Mode",https://www.newsvoir.com/release/goair-lends-support-to-breakthechain-reiterates-air-travel-is-the-safest-mode-16337.html
72,Kauvery Hospital Launches Diabetes Helpline +91 88802 88802 to Help Public Achieve Optimum Management of Diabetes During these Pandemic ,https://www.newsvoir.com/release/kauvery-hospital-launches-diabetes-helpline-91-88802-88802-to-help-public-achieve-optimum-management-of-diabetes-during-these-pandemic-16326.html
73,"Odisha Based Business Tycoon Provides Facilities to Staff, General Public in a Fight against COVID
",https://www.newsvoir.com/release/odisha-based-business-tycoon-provides-facilities-to-staff-general-public-in-a-fight-against-covid-16322.html
74,"Nail Tycoon, Dr. Leena S. Gets Champions of Change Award",https://www.newsvoir.com/release/nail-tycoon-dr-leena-s-gets-champions-of-change-award-16307.html
