,title,link
0,"IIT Madras-based Start-up Agnikul Cosmos Unveils Made in India Rocket Engine at Dubai
",https://www.newsvoir.com/release/iit-madras-based-start-up-agnikul-cosmos-unveils-made-in-india-rocket-engine-at-dubai-18360.html
1,"India Gearing up to Launch Industry-led Policies in the Space Sector: ISRO Chief, Dr. Sivan",https://www.newsvoir.com/release/india-gearing-up-to-launch-industry-led-policies-in-the-space-sector-isro-chief-dr-sivan-18060.html
2,Over 400 Participants from 12 Countries Attended 2-day Conference by SIA-India,https://www.newsvoir.com/release/over-400-participants-from-12-countries-attended-2-day-conference-by-sia-india-17299.html
3,Indian High School Students to Compete for a Chance to Run Coding Experiments on the Edge Computer in Space,https://www.newsvoir.com/release/indian-high-school-students-to-compete-for-a-chance-to-run-coding-experiments-on-the-edge-computer-in-space-16156.html
4,Indian Scientist Dr. Hemachandran Ravikumar from N&H Research Park Honored with Doctorate by WHRPC ,https://www.newsvoir.com/release/indian-scientist-dr-hemachandran-ravikumar-from-n-h-research-park-honored-with-doctorate-by-whrpc-15786.html
5,IET India's Chennai Local Network to Host the NASA International Space Apps Challenge 2020,https://www.newsvoir.com/release/iet-india-apos-s-chennai-local-network-to-host-the-nasa-international-space-apps-challenge-2020-14733.html
6,Defsys Solutions Named Best SEZ MSME in Engineering Category at EPCES Export Awards,https://www.newsvoir.com/release/defsys-solutions-named-best-sez-msme-in-engineering-category-at-epces-export-awards-13255.html
7,Planet Taps Antrix/ISRO’s PSLV for Third Time to Launch Four Dove Satellites,https://www.newsvoir.com/release/planet-taps-antrix-isro-s-pslv-for-third-time-to-launch-four-dove-satellites-9546.html
8,UPES Students Represent India at Moon-Mars Exploratory Mission in Poland,https://www.newsvoir.com/release/upes-students-represent-india-at-moon-mars-exploratory-mission-in-poland-9351.html
9,"Critically Acclaimed Film Patriots Day off to a Great Start, Critics Dub it a Perfect “Anti-Trump” Movie",https://www.newsvoir.com/release/critically-acclaimed-film-patriots-day-off-to-a-great-start-critics-dub-it-a-perfect-anti-trump-movie-8341.html
10,IBN7 Re-Launches with ‘Hausla Hai’; Dons New Look,https://www.newsvoir.com/release/ibn7-re-launches-with-hausla-hai-dons-new-look-2014.html
11,JAINHITS Strengthens its Position in Karnataka,https://www.newsvoir.com/release/jainhits-strengthens-its-position-in-karnataka-2008.html
12,Brocade Advances Replication and Disaster Recovery Capabilities for Remote Data Centers,https://www.newsvoir.com/release/brocade-advances-replication-and-disaster-recovery-capabilities-for-remote-data-centers-1966.html
13,"Skyscanner Reveals the Destinations of the Future: Space Tourism, Underwater Resorts & Hyper-Personalisation",https://www.newsvoir.com/release/skyscanner-reveals-the-destinations-of-the-future-space-tourism-underwater-resorts-hyper-personalisation-1790.html
