,title,link
0,Jagran Lakecity University Announces Launch of Central India's Groundbreaking Football Talent Development Programme,https://www.newsvoir.com/release/jagran-lakecity-university-announces-launch-of-central-india-s-groundbreaking-football-talent-development-programme-19519.html
1,"From School Leagues to World-Cup Winning Team, Oakridge Alumnus Rishith Makes Everyone Proud",https://www.newsvoir.com/release/from-school-leagues-to-world-cup-winning-team-oakridge-alumnus-rishith-makes-everyone-proud-19460.html
2,"Fired up and Victorious, Chelsea FC are Crowned World Champions",https://www.newsvoir.com/release/fired-up-and-victorious-chelsea-fc-are-crowned-world-champions-19452.html
3,"Fast&Up Fizztival Run is Back with its Third Edition, Remote 5K Run",https://www.newsvoir.com/release/fast-up-fizztival-run-is-back-with-its-third-edition-remote-5k-run-19385.html
4,Seagram's Royal Stag Proudly Sponsors the West Indies Cricket Team for their Tour of India-2022,https://www.newsvoir.com/release/seagram-s-royal-stag-proudly-sponsors-the-west-indies-cricket-team-for-their-tour-of-india-2022-19354.html
5,A&W Capital Acts as the Exclusive Financial Advisor to CVC Capital Partners on their Winning USD 750 mn Bid for the Ahmedabad IPL Franchise,https://www.newsvoir.com/release/a-w-capital-acts-as-the-exclusive-financial-advisor-to-cvc-capital-partners-on-their-winning-usd-750-mn-bid-for-the-ahmedabad-ipl-franchise-19348.html
6,Fastrack and Irony Esports Join Hands to Encourage Long-term Healthy Habits for Esports Athletes and Streamers,https://www.newsvoir.com/release/fastrack-and-irony-esports-join-hands-to-encourage-long-term-healthy-habits-for-esports-athletes-and-streamers-19308.html
7,Taniya Bhatia Joins Hand with Real11 as their Brand Ambassador,https://www.newsvoir.com/release/taniya-bhatia-joins-hand-with-real11-as-their-brand-ambassador-19160.html
8,Parimatch News and W-Key are Gearing up to Bring you the Finals of the BGMI Esports Tournament in India,https://www.newsvoir.com/release/parimatch-news-and-w-key-are-gearing-up-to-bring-you-the-finals-of-the-bgmi-esports-tournament-in-india-19119.html
9,Ramagya Sports Academy Announces Safety Measures while Providing Top-notch Sports Training amid Pandemic,https://www.newsvoir.com/release/ramagya-sports-academy-announces-safety-measures-while-providing-top-notch-sports-training-amid-pandemic-19099.html
10,"A&W Capital Acts As the Exclusive Financial Advisor to Rooter on its USD 25 mn (INR 185 crore) Series-A Fund Raise Led by Lightbox, March Gaming, and Duane Park",https://www.newsvoir.com/release/a-w-capital-acts-as-the-exclusive-financial-advisor-to-rooter-on-its-usd-25-mn-inr-185-crore-series-a-fund-raise-led-by-lightbox-march-gaming-and-duane-park-19052.html
11,"On SportsAdda's All-new Show Kabaddi Adda, Veteran Defender Rohit Rana Offers Key Advice to bring back India's Dominance",https://www.newsvoir.com/release/on-sportsaddas-all-new-show-kabaddi-adda-veteran-defender-rohit-rana-offers-key-advice-to-bring-back-indias-dominance-19035.html
12,"Road Safety World Series T20 Season 2 to be held in India and UAE 
",https://www.newsvoir.com/release/road-safety-world-series-t20-season-2-to-be-held-in-india-and-uae-18924.html
13,ADYP Healthcare Conducts Private Screening of 83 with Kapil Dev,https://www.newsvoir.com/release/adyp-healthcare-conducts-private-screening-of-83-with-kapil-dev-18915.html
14,"The Adrenaline Pumping, Endurance Driving Challenge Gumball India is back, Two People, One Car",https://www.newsvoir.com/release/the-adrenaline-pumping-endurance-driving-challenge-gumball-india-is-back-two-people-one-car-18862.html
15, Bowled over by Pennline's New 83 Branded Cricket Collection,https://www.newsvoir.com/release/bowled-over-by-pennline-s-new-83-branded-cricket-collection-18852.html
16,Pro Kabaddi League (PKL) Joins Hands with Parimatch News as its Official Sponsor,https://www.newsvoir.com/release/pro-kabaddi-league-pkl-joins-hands-with-parimatch-news-as-its-official-sponsor-18834.html
17,Intelligent Cricket Partners with the Telugu Titans for PKL 2021-22,https://www.newsvoir.com/release/intelligent-cricket-partners-with-the-telugu-titans-for-pkl-2021-22-18823.html
18,"Real11 Introduces Kabaddi on their Platform, Ravinder Pahal as Brand Ambassador",https://www.newsvoir.com/release/real11-introduces-kabaddi-on-their-platform-ravinder-pahal-as-brand-ambassador-18812.html
19,3x3 Pro Basketball League Season 3 to Tip off in March 2022,https://www.newsvoir.com/release/3x3-pro-basketball-league-season-3-to-tip-off-in-march-2022-18761.html
20,Majestic Pride Felicitated Ravi Kumar Dahiya in a Glittering Ceremony,https://www.newsvoir.com/release/majestic-pride-felicitated-ravi-kumar-dahiya-in-a-glittering-ceremony-18476.html
21,Cricket for India Scores in The United States - Promotes Well Deserving American College Cricketers,https://www.newsvoir.com/release/cricket-for-india-scores-in-the-united-states-promotes-well-deserving-american-college-cricketers-18462.html
22,Parimatch News becomes the Official Partner of the Hero Indian Super League 2021,https://www.newsvoir.com/release/parimatch-news-becomes-the-official-partner-of-the-hero-indian-super-league-2021-18456.html
23,"Eldeco Ties up with Rohit Sharma's Cricket Academy - CricKingdom, for a Flagship Project, Live by the Greens, Sector 150 Noida",https://www.newsvoir.com/release/eldeco-ties-up-with-rohit-sharma-apos-s-cricket-academy-crickingdom-for-a-flagship-project-live-by-the-greens-sector-150-noida-18399.html
24,Sportsbet.io Donate Bitcoin to Southampton FC Supporters in First-of-its-kind 'Crypto Fan Fund',https://www.newsvoir.com/release/sportsbet-io-donate-bitcoin-to-southampton-fc-supporters-in-first-of-its-kind-crypto-fan-fund-18380.html
25,GrabOn Presents Croma CFL S7 Cosponsored by PharmEasy and Tata Cliq Glides in Buzz Among Enthusiasts,https://www.newsvoir.com/release/grabon-presents-croma-cfl-s7-cosponsored-by-pharmeasy-and-tata-cliq-glides-in-buzz-among-enthusiasts-18244.html
26,Creatigies Gets Vijay Sales and Hyderabad FC to Continue into the 2nd Year of Indian Super League (ISL) Partnership,https://www.newsvoir.com/release/creatigies-gets-vijay-sales-and-hyderabad-fc-to-continue-into-the-2nd-year-of-indian-super-league-isl-partnership-18157.html
27,"Grassroots Football, more Young Women Playing Football: Goal Goa, the Film, Looks to the Future
",https://www.newsvoir.com/release/grassroots-football-more-young-women-playing-football-goal-goa-the-film-looks-to-the-future-18152.html
28,Parimatch News Teams up with Tamil Thalaivas as its Platinum Partner,https://www.newsvoir.com/release/parimatch-news-teams-up-with-tamil-thalaivas-as-its-platinum-partner-18160.html
29,"Religare Group Pledges Support to Promote Sports and Athletics, Sponsors Champion Olympic Athletes",https://www.newsvoir.com/release/religare-group-pledges-support-to-promote-sports-and-athletics-sponsors-champion-olympic-athletes-18109.html
30,RED FM Launches World Cup Campaign 'Totka Chalao India Ko Jeetao',https://www.newsvoir.com/release/red-fm-launches-world-cup-campaign-totka-chalao-india-ko-jeetao-18098.html
31,Parimatch News Empowered Cricket Fans to Experience IPL Grand Finals in Dubai,https://www.newsvoir.com/release/parimatch-news-empowered-cricket-fans-to-experience-ipl-grand-finals-in-dubai-18057.html
32,Infinity Learn by Sri Chaitanya Ropes in Stylish Opener Rohit Sharma as its Brand Ambassador,https://www.newsvoir.com/release/infinity-learn-by-sri-chaitanya-ropes-in-stylish-opener-rohit-sharma-as-its-brand-ambassador-18046.html
33,"India's Golden Boy, Neeraj Chopra, Shines on the Cover of FACE Magazine",https://www.newsvoir.com/release/india-s-golden-boy-neeraj-chopra-shines-on-the-cover-of-face-magazine-18018.html
34,"League11.in, A Leading Fantasy Gaming Platform in India Raises Venture Debt Financing from KapTable and AngelBay",https://www.newsvoir.com/release/league11-in-a-leading-fantasy-gaming-platform-in-india-raises-venture-debt-financing-from-kaptable-and-angelbay-18004.html
35,"Allan Thomas is Set to Open his 2nd Fitness Outlet in Hiranandani, Powai",https://www.newsvoir.com/release/allan-thomas-is-set-to-open-his-2nd-fitness-outlet-in-hiranandani-powai-18003.html
36,Men of Platinum Launches its Latest Collection with Ace Cricketer and Trendsetter KL Rahul,https://www.newsvoir.com/release/men-of-platinum-launches-its-latest-collection-with-ace-cricketer-and-trendsetter-kl-rahul-17961.html
37,Andrew Leipus Joins Legend League Cricket to Ensure High Fitness Levels of Legendary Players,https://www.newsvoir.com/release/andrew-leipus-joins-legend-league-cricket-to-ensure-high-fitness-levels-of-legendary-players-17904.html
38,Parimatch Introduces Online Horse-race Betting in India,https://www.newsvoir.com/release/parimatch-introduces-online-horse-race-betting-in-india-17898.html
39,Delhi Capitals Partner OctaFX Launches Educational Campaign to Celebrate the Resumption of the Indian Premier League,https://www.newsvoir.com/release/delhi-capitals-partner-octafx-launches-educational-campaign-to-celebrate-the-resumption-of-the-indian-premier-league-17879.html
40,Criconet Launches Hybrid Coaching Model for Cricket Enthusiasts,https://www.newsvoir.com/release/criconet-launches-hybrid-coaching-model-for-cricket-enthusiasts-17869.html
41,"SportsAdda's Brand Ambassador Brett Lee on T20 Crazy: Loved Virat Kohli's Way of Leading the Team, his Aggression and the Manner of Control",https://www.newsvoir.com/release/sportsadda-s-brand-ambassador-brett-lee-on-t20-crazy-loved-virat-kohli-s-way-of-leading-the-team-his-aggression-and-the-manner-of-control-17742.html
42,OctaFX and Delhi Capitals Partnership Continues as Highly Anticipated Indian Premier League Resumes,https://www.newsvoir.com/release/octafx-and-delhi-capitals-partnership-continues-as-highly-anticipated-indian-premier-league-resumes-17733.html
43,Experience the IPL with Parimatch,https://www.newsvoir.com/release/experience-the-ipl-with-parimatch-17713.html
44,"BharatPe Launches the 'BharatPe Lagao, World Cup Jao' Contest for its Merchant Partners",https://www.newsvoir.com/release/bharatpe-launches-the-bharatpe-lagao-world-cup-jao-contest-for-its-merchant-partners-17695.html
45,Parimatch Announces a Major Partnership with Trinbago Knight Riders,https://www.newsvoir.com/release/parimatch-announces-a-major-partnership-with-trinbago-knight-riders-17684.html
46,Parimatch News Teleports 6 Winners to the IPL Finals,https://www.newsvoir.com/release/parimatch-news-teleports-6-winners-to-the-ipl-finals-17662.html
