,title,link
0,"Following the Digital Dream: AgFarm, A Dubai Based Agrochemical Company, Launched in India",https://www.newsvoir.com/release/following-the-digital-dream-agfarm-a-dubai-based-agrochemical-company-launched-in-india-19695.html
1,Women at workplace Champion Kunal Chowdhry Invests in RushOwl - AI-based Public Transport Service,https://www.newsvoir.com/release/women-at-workplace-champion-kunal-chowdhry-invests-in-rushowl-ai-based-public-transport-service-19627.html
2,Drip Capital Named to Y Combinator's Top Companies List,https://www.newsvoir.com/release/drip-capital-named-to-y-combinator-s-top-companies-list-19607.html
3,"Ginglani Distillers raises Rs. 6.6 Crores in its Pre-Series-A Round led by Supermorpheus, Eagle10 Ventures and Grand Anicut Angel Fund",https://www.newsvoir.com/release/ginglani-distillers-raises-rs-6-6-crores-in-its-pre-series-a-round-led-by-supermorpheus-eagle10-ventures-and-grand-anicut-angel-fund-19600.html
4,"Contributing to Metaverse Revolution in India, Leading Extended Reality Innovator, AjnaLens, Raises Rs 12 Crore",https://www.newsvoir.com/release/contributing-to-metaverse-revolution-in-india-leading-extended-reality-innovator-ajnalens-raises-rs-12-crore-19595.html
5,Y-Combinator Recognises Razorpay as the First Indian Company to Appear in Top 10 Breakthrough Global Companies List,https://www.newsvoir.com/release/y-combinator-recognises-razorpay-as-the-first-indian-company-to-appear-in-top-10-breakthrough-global-companies-list-19583.html
6,"Time for Startups to Paint the Future AkzoNobel's India Challenge Opens for Solutions on Digital Consumer Experience 
",https://www.newsvoir.com/release/time-for-startups-to-paint-the-future-akzonobel-s-india-challenge-opens-for-solutions-on-digital-consumer-experience-19568.html
7,"ERGO Group AG Launches 3rd Tech Hub of ERGO Technology and Services Management in Mumbai, India",https://www.newsvoir.com/release/ergo-group-ag-launches-3rd-tech-hub-of-ergo-technology-and-services-management-in-mumbai-india-19559.html
8,Devendra Jaiswal Welcomes Dhiraj Singh; Duo to take KidsChaupal to Greater Heights,https://www.newsvoir.com/release/devendra-jaiswal-welcomes-dhiraj-singh-duo-to-take-kidschaupal-to-greater-heights-19533.html
9,"akudo, India's First Ed-fintech Startup, Registers 1 Million Members on its Platform",https://www.newsvoir.com/release/akudo-indias-first-ed-fintech-startup-registers-1-million-members-on-its-platform-19532.html
10,Chennai Based Food Startup BVK Biryani Launches 99-Minute Delivery in Re-usable Tin Containers,https://www.newsvoir.com/release/chennai-based-food-startup-bvk-biryani-launches-99-minute-delivery-in-re-usable-tin-containers-19508.html
11,Wurkr Launches Startup Program Enabling Startups Around the World,https://www.newsvoir.com/release/wurkr-launches-startup-program-enabling-startups-around-the-world-19502.html
12,Smartr Logistics Offers Same-day Interstate Express Delivery: A First in India's Express Logistics Industry,https://www.newsvoir.com/release/smartr-logistics-offers-same-day-interstate-express-delivery-a-first-in-india-s-express-logistics-industry-19495.html
13,"RED FM Launches New Podcast 'Decoding Unicorns'
",https://www.newsvoir.com/release/red-fm-launches-new-podcast-apos-decoding-unicorns-apos-19477.html
14,Viridian RED Launches IconX at World Trade Center Noida,https://www.newsvoir.com/release/viridian-red-launches-iconx-at-world-trade-center-noida-19449.html
15,Navars Edutech to Launch 100 Satellite Constellations in the Next 5 Years in Collaboration with Skyroot Aerospace,https://www.newsvoir.com/release/navars-edutech-to-launch-100-satellite-constellations-in-the-next-5-years-in-collaboration-with-skyroot-aerospace-19384.html
16,AkzoNobel Announces Paint the Future Startup Challenge in India,https://www.newsvoir.com/release/akzonobel-announces-paint-the-future-startup-challenge-19372.html
17,'Devnagri' Presented Machine Translation Engine that Translates Instantly with more than 85 percent Contextual Results,https://www.newsvoir.com/release/devnagri-presented-machine-translation-engine-that-translates-instantly-with-more-than-85-percent-contextual-results-19369.html
18,"Fintech Startup Krazzy Fin Pvt. Ltd. Launches a Unique Stock Market Gaming App - Bullspree
",https://www.newsvoir.com/release/fintech-startup-krazzy-fin-pvt-ltd-launches-a-unique-stock-market-gaming-app-bullspree-19338.html
19,MetroMedi.com - Online Pharmacy Startup Reshaping as Aggregator for Organic Stores to Serve Customers Better,https://www.newsvoir.com/release/metromedi-com-online-pharmacy-startup-reshaping-as-aggregator-for-organic-stores-to-serve-customers-better-19325.html
20,"B2B Procurement Startup H3Mart Raises USD 500,000 in Pre-seed Funding, Prepares for Diversification and Expansion",https://www.newsvoir.com/release/b2b-procurement-startup-h3mart-raises-usd-500-000-in-pre-seed-funding-prepares-for-diversification-and-expansion-19326.html
21,"Budget 2022 Focusses on Digitalization, Set to Provide Definite Boost for Start-Ups in India",https://www.newsvoir.com/release/budget-2022-focusses-on-digitalization-set-to-provide-definite-boost-for-start-ups-in-india-19302.html
22,TECHIN's Global Sanitation Center of Excellence to be Launched at IIT Palakkad,https://www.newsvoir.com/release/techin-s-global-sanitation-center-of-excellence-to-be-launched-at-iit-palakkad-19284.html
23,"IISc-incubated Startup Azooka Labs Launches mWRAPR, India's First Indegenous Bio-sample Collection kit ",https://www.newsvoir.com/release/iisc-incubated-startup-azooka-labs-launches-mwrapr-india-s-first-indegenous-bio-sample-collection-kit-19262.html
24,WhizHack Technologies and IIT Jodhpur TISC Launch India's 1st Multi-tiered Cyber Security Certified Training for School Going Teenagers,https://www.newsvoir.com/release/whizhack-technologies-and-iit-jodhpur-tisc-launch-indias-1st-multi-tiered-cyber-security-certified-training-for-school-going-teenagers-19239.html
25,Startup Comes with a Solution for a Hike in Petrol-Diesel Price in a Market,https://www.newsvoir.com/release/startup-comes-with-a-solution-for-a-hike-in-petrol-diesel-price-in-a-market-19198.html
26,Dubai Silicon Oasis and India Innovation Hub Partner with EaseMyTrip and HSBC to Support Tech-Startups,https://www.newsvoir.com/release/dubai-silicon-oasis-and-india-innovation-hub-partner-with-easemytrip-and-hsbc-to-support-tech-startups-19221.html
27,Home Quarantine Made Easy: Group Health Insurance Startup Loop Health Provides COVID Care Package For Members,https://www.newsvoir.com/release/home-quarantine-made-easy-group-health-insurance-startup-loop-health-provides-covid-care-package-for-members-19217.html
28,"KSIDC Beats COVID Blues, Profit After Tax Jumps 62 percent",https://www.newsvoir.com/release/ksidc-beats-covid-blues-profit-after-tax-jumps-62-percent-19208.html
29,"Avataar Ventures-backed, Heal Software Raises Non-dilutive Capital by Trading Subscriptions on Recur Club",https://www.newsvoir.com/release/avataar-ventures-backed-heal-software-raises-non-dilutive-capital-by-trading-subscriptions-on-recur-club-19162.html
