,title,link
0,Cyril Amarchand Mangaldas Advises on the USD 500 Million Foreign Currency Climate Bond Issue by Indian Railway Finance Corporation,https://www.newsvoir.com/release/cyril-amarchand-mangaldas-advises-on-the-usd-500-million-foreign-currency-climate-bond-issue-by-indian-railway-finance-corporation-19488.html
1,"Fintech Startup Krazzy Fin Pvt. Ltd. Launches a Unique Stock Market Gaming App - Bullspree
",https://www.newsvoir.com/release/fintech-startup-krazzy-fin-pvt-ltd-launches-a-unique-stock-market-gaming-app-bullspree-19338.html
2,Alice Blue Sees Surge in Young Investors Opting for IPO's,https://www.newsvoir.com/release/alice-blue-sees-surge-in-young-investors-opting-for-ipo-s-19146.html
3,ShibRWD (USD SRWD) Announces Primary Listing on BitMart,https://www.newsvoir.com/release/shibrwd-usd-srwd-announces-primary-listing-on-bitmart-19089.html
4,OctaFX Copytrading Redesigns its Copying Settings,https://www.newsvoir.com/release/octafx-copytrading-redesigns-its-copying-settings-19030.html
5,Jet Freight Migrates from NSE-Emerge Platform to NSE and BSE Main Board,https://www.newsvoir.com/release/jet-freight-migrates-from-nse-emerge-platform-to-nse-and-bse-main-board-18809.html
6,Cyril Amarchand Mangaldas Advised Nykaa on its IPO ,https://www.newsvoir.com/release/cyril-amarchand-mangaldas-advised-nykaa-on-its-ipo-18781.html
7,Nupur Recyclers IPO Closes Day 3 with Over 41.37X Subscription ,https://www.newsvoir.com/release/nupur-recyclers-ipo-closes-day-3-with-over-41-37x-subscription-18728.html
8,Sonalika Clocks Highest ever November Overall Estimated Market Share of 16 percent with 1.4 percent Market Share Gain,https://www.newsvoir.com/release/sonalika-clocks-highest-ever-november-overall-estimated-market-share-of-16-percent-with-1-4-percent-market-share-gain-18595.html
9,INHERITCOIN Launches on Buyucoin.com Exchange,https://www.newsvoir.com/release/inheritcoin-launches-on-buyucoin-com-exchange-18528.html
10,"Alice Blue Updates its ANT App with New Customized Features, Security and much more",https://www.newsvoir.com/release/alice-blue-updates-its-ant-app-with-new-customized-features-security-and-much-more-18482.html
11,Trentar Acquires 75 percent Stake in Drones Propulsion System's Startup - Trishula,https://www.newsvoir.com/release/trentar-acquires-75-percent-stake-in-drones-propulsion-system-apos-s-startup-trishula-18162.html
12,Alice Blue Customer Base Grows by 30 percent,https://www.newsvoir.com/release/alice-blue-customer-base-grows-by-30-percent-17690.html
13,Asian Granito India Ltd.'s Rs. 224.65 Crores Rights Issue to open on September 23,https://www.newsvoir.com/release/asian-granito-india-ltd-apos-s-rs-224-65-crores-rights-issue-to-open-on-september-23-17565.html
14,Cyril Amarchand Mangaldas Advises CarTrade on its Initial Public Offering of INR 2999 Crores,https://www.newsvoir.com/release/cyril-amarchand-mangaldas-advises-cartrade-on-its-initial-public-offering-of-inr-2999-crores-17522.html
15,Ask to Bid by OctaFX: a Celebrity Show Marking the Company's 10-year Anniversary,https://www.newsvoir.com/release/ask-to-bid-by-octafx-a-celebrity-show-marking-the-company-s-10-year-anniversary-17474.html
16,OctaFX Captures 2021's Best Forex Broker India Award,https://www.newsvoir.com/release/octafx-captures-2021-s-best-forex-broker-india-award-17420.html
17,"KGiSL Wins Common Infrastructure for Brokers Back Office Project from Stock Exchange of Thailand
",https://www.newsvoir.com/release/kgisl-wins-common-infrastructure-for-brokers-back-office-project-from-stock-exchange-of-thailand-17377.html
18,AliceBlue Donates Rs. 50 Lakhs to PM Cares Fund towards the Fight Against COVID-19 Pandemic in the Country,https://www.newsvoir.com/release/aliceblue-donates-rs-50-lakhs-to-pm-cares-fund-towards-the-fight-against-covid-19-pandemic-in-the-country-17269.html
