,title,link
0,Lexar Professional CFexpress Type-B Card Wins Photography News 'Best Memory Card – Editor's Choice' Award,https://www.newsvoir.com/release/lexar-professional-cfexpress-type-b-card-wins-photography-news-best-memory-card-editor-s-choice-award-19629.html
1,"Contributing to Metaverse Revolution in India, Leading Extended Reality Innovator, AjnaLens, Raises Rs 12 Crore",https://www.newsvoir.com/release/contributing-to-metaverse-revolution-in-india-leading-extended-reality-innovator-ajnalens-raises-rs-12-crore-19595.html
2,43 percent Employees say Remote Work Boosts Overall Productivity: Barco ClickShare Global Hybrid Meeting Survey,https://www.newsvoir.com/release/43-percent-employees-say-remote-work-boosts-overall-productivity-barco-clickshare-global-hybrid-meeting-survey-19596.html
3,Imaginarium Partners with Global 3D Printing Giant Ultimaker to Fuel Make in India,https://www.newsvoir.com/release/imaginarium-partners-with-global-3d-printing-giant-ultimaker-to-fuel-make-in-india-19431.html
4,Sony Launches SRS-NB10 and SRS-NS7 Wireless Neckband Speakers and WLA-NS7 Wireless Transmitter for an Enhanced Work from Home and Cinema at Home Experience,https://www.newsvoir.com/release/sony-launches-srs-nb10-and-srs-ns7-wireless-neckband-speakers-and-wla-ns7-wireless-transmitter-for-an-enhanced-work-from-home-and-cinema-at-home-experience-19386.html
5,ETC Things Launches in India with Budget Home Cinema System,https://www.newsvoir.com/release/etc-things-launches-in-india-with-budget-home-cinema-system-19323.html
6,"Sony India Raises the Bar for Best-in-Class Surround Sound with HT-A9 Home Theater System and Flagship HT-A7000 Soundbar
",https://www.newsvoir.com/release/sony-india-raises-the-bar-for-best-in-class-surround-sound-with-ht-a9-home-theater-system-and-flagship-ht-a7000-soundbar-19295.html
7,Lexar Announces New Lexar® ARES RGB DDR4 Desktop Memory,https://www.newsvoir.com/release/lexar-announces-new-lexar-ares-rgb-ddr4-desktop-memory-19241.html
8,Sony India Extends its Affordable Earbuds Range with the launch of WF-C500,https://www.newsvoir.com/release/sony-india-extends-its-affordable-earbuds-range-with-the-launch-of-wf-c500-19105.html
9,"AskLaser Exhibits at World's Leading Trade Fair for Photonics, 'Laser World of Photonics India'
",https://www.newsvoir.com/release/asklaser-exhibits-at-worlds-leading-trade-fair-for-photonics-laser-world-of-photonics-india-19081.html
10,"Optoma Kick Starts 2022 with the Launch of UHZ50, a 4K Laser High Performance Projector for Home Entertainment and Beyond",https://www.newsvoir.com/release/optoma-kick-starts-2022-with-the-launch-of-uhz50-a-4k-laser-high-performance-projector-for-home-entertainment-and-beyond-19072.html
11,"Cerebralx Launches Xone, Innovative and Affordable Solutions for the Specially-abled",https://www.newsvoir.com/release/cerebralx-launches-xone-innovative-and-affordable-solutions-for-the-specially-abled-18996.html
12,"Titan Eye+ Launches the Revolutionary Titan EyeX: Smart Eyewear with Audio, Touch, and Eye care",https://www.newsvoir.com/release/titan-eye-launches-the-revolutionary-titan-eyex-smart-eyewear-with-audio-touch-and-eye-care-18970.html
13,5 Proven Ways to Achieve more Efficiency from your Data Center - NetRack,https://www.newsvoir.com/release/5-proven-ways-to-achieve-more-efficiency-from-your-data-center-netrack-18616.html
14, DDN to Launch First 'Make in India' Data Storage Products,https://www.newsvoir.com/release/ddn-to-launch-first-make-in-india-data-storage-products-18111.html
15,EonStor GS Supports File-Level SSD Cache to Accelerate Random File Access Performance,https://www.newsvoir.com/release/eonstor-gs-supports-file-level-ssd-cache-to-accelerate-random-file-access-performance-17906.html
16,Sony Launches HT-S40R Real 5.1 Channel Soundbar with Wireless Rear Speakers,https://www.newsvoir.com/release/sony-launches-ht-s40r-real-5-1-channel-soundbar-with-wireless-rear-speakers-17625.html
17,Infortrend Launches U.2 SSD EonStor DS to Boost Performance of SAN Applications,https://www.newsvoir.com/release/infortrend-launches-u-2-ssd-eonstor-ds-to-boost-performance-of-san-applications-17506.html
18,Socomec Launches NETYS RT Single Phase Superior UPS to Support Business Continuity,https://www.newsvoir.com/release/socomec-launches-netys-rt-single-phase-superior-ups-to-support-business-continuity-16723.html
19,Infortrend Launched U.2 NVMe Unified Storage Solution,https://www.newsvoir.com/release/infortrend-launched-u-2-nvme-unified-storage-solution-16716.html
